dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,0.000000,0.003110,0.124393,2.487869,49.757376,0.000000
0.050000,0.000000,0.000000,0.015549,0.373180,4.975738,49.757376,0.000000
0.050000,0.000000,0.000000,0.043538,0.746361,7.463606,49.757376,0.000000
0.050000,0.000000,0.000000,0.093295,1.243934,9.951475,49.757376,0.000000
0.050000,0.047931,0.000000,0.167931,1.741508,9.951475,-0.000000,0.000000
0.050000,0.147446,0.000000,0.267446,2.239082,9.951475,0.000000,0.000000
0.050000,0.271839,0.000000,0.391839,2.736656,9.951475,-0.000000,0.000000
0.050000,0.421111,0.000000,0.541111,3.234229,9.951475,-0.000000,0.000000
0.050000,0.595262,0.000000,0.715262,3.731803,9.951475,0.000000,0.000000
0.050000,0.794292,0.000000,0.914292,4.229377,9.951475,0.000000,0.000000
0.050000,1.018200,0.000000,1.138200,4.726951,9.951475,0.000000,0.000000
0.050000,1.266987,0.000000,1.386987,5.224525,9.951475,-0.000000,0.000000
0.050000,1.540652,0.000000,1.660652,5.722098,9.951475,0.000000,0.000000
0.050000,1.839197,0.000000,1.959197,6.219672,9.951475,-0.000000,0.000000
0.050000,2.162620,0.000000,2.282620,6.717246,9.951475,0.000000,0.000000
0.050000,2.510921,0.000000,2.630921,7.214820,9.951475,0.000000,0.000000
0.050000,2.884102,0.000000,3.004102,7.712393,9.951475,0.000000,0.000000
0.050000,3.282161,0.000000,3.402161,8.209967,9.951475,0.000000,0.000000
0.050000,3.705098,0.000000,3.825098,8.707541,9.951475,-0.000000,0.000000
0.050000,4.152915,0.000000,4.272915,9.205115,9.951475,0.000000,0.000000
0.050000,4.625610,0.000000,4.745610,9.702688,9.951475,-0.000000,0.000000
0.050000,5.123184,0.000000,5.243184,10.200262,9.951475,0.000000,0.000000
0.050000,5.645636,0.000000,5.765636,10.697836,9.951475,0.000000,0.000000
0.050000,6.192967,0.000000,6.312967,11.195410,9.951475,0.000000,0.000000
0.050000,6.765177,0.000000,6.885177,11.692983,9.951475,-0.000000,0.000000
0.050000,7.362265,0.000000,7.482265,12.190557,9.951475,0.000000,0.000000
0.050000,7.984233,0.000000,8.104233,12.688131,9.951475,0.000000,0.000000
0.050000,8.631079,0.000000,8.751079,13.185705,9.951475,0.000000,0.000000
0.050000,9.302803,0.000000,9.422803,13.683279,9.951475,0.000000,0.000000
0.050000,9.999406,0.000000,10.119406,14.180852,9.951475,-0.000000,0.000000
0.050000,10.720888,0.000000,10.840888,14.678426,9.951475,0.000000,0.000000
0.050000,11.467249,0.000000,11.587249,15.176000,9.951475,0.000000,0.000000
0.050000,12.238488,0.000000,12.358488,15.673574,9.951475,0.000000,0.000000
0.050000,13.034606,0.000000,13.154606,16.171147,9.951475,-0.000000,0.000000
0.050000,13.855603,0.000000,13.975603,16.668721,9.951475,0.000000,0.000000
0.050000,14.701479,0.000000,14.821479,17.166295,9.951475,-0.000000,0.000000
0.050000,15.572233,0.000000,15.692233,17.663869,9.951475,0.000000,0.000000
0.050000,16.467865,0.000000,16.587865,18.161442,9.951475,-0.000000,0.000000
0.050000,17.388377,0.000000,17.508377,18.659016,9.951475,0.000000,0.000000
0.050000,18.333767,0.000000,18.453767,19.156590,9.951475,-0.000000,0.000000
0.050000,19.304036,0.000000,19.424036,19.654164,9.951475,0.000000,0.000000
0.050000,20.299183,0.000000,20.419183,20.151737,9.951475,-0.000000,0.000000
0.050000,21.319210,0.000000,21.439210,20.649311,9.951475,0.000000,0.000000
0.050000,22.364114,0.000000,22.484114,21.146885,9.951475,-0.000000,0.000000
0.050000,23.433898,0.000000,23.553898,21.644459,9.951475,0.000000,0.000000
0.050000,24.528560,0.000000,24.648560,22.142033,9.951475,0.000000,0.000000
0.050000,25.648101,0.000000,25.768101,22.639606,9.951475,-0.000000,0.000000
0.050000,26.792521,0.000000,26.912521,23.137180,9.951475,0.000000,0.000000
0.050000,27.961819,0.000000,28.081819,23.634754,9.951475,-0.000000,0.000000
0.050000,29.155996,0.000000,29.275996,24.132328,9.951475,0.000000,0.000000
0.050000,30.375052,0.000000,30.495052,24.629901,9.951475,-0.000000,0.000000
0.050000,31.618987,0.000000,31.738987,25.127475,9.951475,0.000000,0.000000
0.050000,32.887800,0.000000,33.007800,25.625049,9.951475,-0.000000,0.000000
0.050000,34.181491,0.000000,34.301491,26.122623,9.951475,0.000000,0.000000
0.050000,35.500062,0.000000,35.620062,26.620196,9.951475,-0.000000,0.000000
0.050000,36.843511,0.000000,36.963511,27.117770,9.951475,0.000000,0.000000
0.050000,38.211839,0.000000,38.331839,27.615344,9.951475,-0.000000,0.000000
0.050000,39.605045,0.000000,39.725045,28.112918,9.951475,0.000000,0.000000
0.050000,41.023131,0.000000,41.143131,28.610491,9.951475,-0.000000,0.000000
0.050000,42.466095,0.000000,42.586095,29.108065,9.951475,0.000000,0.000000
0.050000,43.933937,0.000000,44.053937,29.605639,9.951475,-0.000000,0.000000
0.050000,45.426658,0.000000,45.546658,30.103213,9.951475,-0.000000,0.000000
0.050000,46.944258,0.000000,47.064258,30.600787,9.951475,0.000000,0.000000
0.050000,48.486737,0.000000,48.606737,31.098360,9.951475,-0.000000,0.000000
0.050000,50.054094,0.000000,50.174094,31.595934,9.951475,0.000000,0.000000
0.050000,51.646331,0.000000,51.766331,32.093508,9.951475,-0.000000,0.000000
0.050000,53.263445,0.000000,53.383445,32.591082,9.951475,0.000000,0.000000
0.050000,54.905439,0.000000,55.025439,33.088655,9.951475,-0.000000,0.000000
0.050000,56.569201,0.000000,56.689201,33.461836,7.463606,-49.757376,0.000000
0.050000,58.248512,0.000000,58.368512,33.710623,4.975738,-49.757376,0.000000
0.050000,59.937153,0.000000,60.057153,33.835016,2.487869,-49.757376,0.000000
0.050000,61.625805,0.000000,61.745805,33.711041,-2.479496,-99.347304,0.000000
0.050000,63.305148,0.000000,63.425148,33.462673,-4.967365,-49.757376,0.000000
0.050000,64.968962,0.000000,65.088962,33.089911,-7.455234,-49.757376,0.000000
0.050000,66.611029,0.000000,66.731029,32.592756,-9.943103,-49.757376,0.000000
0.050000,68.228227,0.000000,68.348227,32.095182,-9.951475,-0.167449,0.000000
0.050000,69.820547,0.000000,69.940547,31.597609,-9.951475,0.000000,0.000000
0.050000,71.387988,0.000000,71.507988,31.100035,-9.951475,-0.000000,0.000000
0.050000,72.930551,0.000000,73.050551,30.602461,-9.951475,0.000000,0.000000
0.050000,74.448234,0.000000,74.568234,30.104887,-9.951475,-0.000000,0.000000
0.050000,75.941039,0.000000,76.061039,29.607313,-9.951475,0.000000,0.000000
0.050000,77.408966,0.000000,77.528966,29.109740,-9.951475,0.000000,0.000000
0.050000,78.852013,0.000000,78.972013,28.612166,-9.951475,-0.000000,0.000000
0.050000,80.270182,0.000000,80.390182,28.114592,-9.951475,0.000000,0.000000
0.050000,81.663473,0.000000,81.783473,27.617018,-9.951475,-0.000000,0.000000
