dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,-12.000000,0.003446,0.137835,2.756702,55.134035,0.000000
0.050000,0.000000,-12.000000,0.003446,0.000000,-2.756702,-110.268069,0.000000
0.050000,0.000000,-12.000000,0.003446,0.000000,0.000000,55.134035,0.000000
0.050000,0.000000,-12.000000,0.003446,0.000000,0.000000,0.000000,0.000000
0.050000,0.069523,-12.000000,0.072969,1.390465,27.809298,556.185954,0.000000
0.050000,0.193575,-12.000000,0.197021,2.481032,21.811334,-119.959283,0.000000
0.050000,0.362423,-12.000000,0.365869,3.376960,17.918561,-77.855445,0.000000
0.050000,0.582959,-12.000000,0.586405,4.410723,20.675263,55.134035,0.000000
0.050000,0.862075,-12.000000,0.865521,5.582321,23.431965,55.134035,0.000000
0.050000,1.206663,-12.000000,1.210109,6.891754,26.188666,55.134035,0.000000
0.050000,1.623614,-12.000000,1.627060,8.339023,28.945368,55.134035,0.000000
0.050000,2.119820,-12.000000,2.123266,9.924126,31.702070,55.134035,0.000000
0.050000,2.702173,-12.000000,2.705619,11.647065,34.458772,55.134035,0.000000
0.050000,3.377565,-12.000000,3.381011,13.507838,37.215473,55.134035,0.000000
0.050000,4.152888,-12.000000,4.156334,15.506447,39.972175,55.134035,0.000000
0.050000,5.035032,-12.000000,5.038478,17.642891,42.728877,55.134035,0.000000
0.050000,6.030891,-12.000000,6.034337,19.917170,45.485579,55.134035,0.000000
0.050000,7.147355,-12.000000,7.150801,22.329284,48.242280,55.134035,0.000000
0.050000,8.387871,-12.000000,8.391317,24.810316,49.620631,27.567017,0.000000
0.050000,9.752438,-12.000000,9.755884,27.291347,49.620631,-0.000000,0.000000
0.050000,11.241057,-12.000000,11.244503,29.772379,49.620631,0.000000,0.000000
0.050000,12.853728,-12.000000,12.857173,32.253410,49.620631,0.000000,0.000000
0.050000,14.590450,-12.000000,14.593896,34.734442,49.620631,0.000000,0.000000
0.050000,16.451223,-12.000000,16.454669,37.215473,49.620631,-0.000000,0.000000
0.050000,18.432603,-12.000000,18.436049,39.627587,48.242280,-27.567017,0.000000
0.050000,20.527696,-12.000000,20.531142,41.901866,45.485579,-55.134035,0.000000
0.050000,22.729611,-12.000000,22.733057,44.038310,42.728877,-55.134035,0.000000
0.050000,25.031457,-12.000000,25.034903,46.036919,39.972175,-55.134035,0.000000
0.050000,27.426342,-12.000000,27.429788,47.897693,37.215473,-55.134035,0.000000
0.050000,29.907374,-12.000000,29.910820,49.620631,34.458772,-55.134035,0.000000
