dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.011833,11.999994,0.003113,0.124530,2.490598,49.811951,6.282199
0.050000,0.011211,11.999995,0.003735,0.012429,-2.242016,-94.652273,6.282251
0.050000,0.009813,11.999996,0.005133,0.027970,0.310821,51.056745,6.282368
0.050000,0.007326,11.999998,0.007620,0.049741,0.435414,2.491847,6.282575
0.050000,0.003593,11.999999,0.011353,0.074650,0.498183,1.255381,6.282886
0.050000,0.026364,12.000002,0.034123,0.455411,7.615213,142.340617,0.000116
0.050000,0.144675,12.000046,0.152434,2.366222,38.216236,612.020450,0.000635
0.050000,0.286613,12.000180,0.294373,2.838764,9.450824,-575.308236,0.001260
0.050000,0.452175,12.000449,0.459935,3.311241,9.449546,-0.025574,0.001989
0.050000,0.641403,12.000905,0.649163,3.784573,9.466649,0.342078,0.002826
0.050000,0.854241,12.001607,0.862002,4.256782,9.444172,-0.449551,0.003769
0.050000,1.090682,12.002622,1.098446,4.728866,9.441682,-0.049792,0.004820
0.050000,1.350711,12.004026,1.358478,5.200650,9.435675,-0.120143,0.005980
0.050000,1.634347,12.005902,1.642121,5.672852,9.444044,0.167369,0.007250
0.050000,1.941549,12.008342,1.949332,6.144229,9.427549,-0.329891,0.008632
0.050000,2.272266,12.011443,2.280064,6.614630,9.408008,-0.390828,0.010125
0.050000,2.626563,12.015315,2.634382,7.086375,9.434895,0.537750,0.011733
0.050000,3.004342,12.020074,3.012191,7.556176,9.396037,-0.777169,0.013457
0.050000,3.405597,12.025843,3.413488,8.025930,9.395074,-0.019248,0.015298
0.050000,3.830326,12.032756,3.838273,8.495707,9.395539,0.009289,0.017258
0.050000,4.278493,12.040957,4.286515,8.964833,9.382525,-0.260270,0.019338
0.050000,4.750072,12.050597,4.758192,9.433551,9.374347,-0.163565,0.021543
0.050000,5.245032,12.061838,5.253280,9.901762,9.364228,-0.202381,0.023872
0.050000,5.763317,12.074849,5.771728,10.368955,9.343862,-0.407313,0.026329
0.050000,6.304887,12.089811,6.313505,10.835536,9.331623,-0.244777,0.028916
0.050000,6.869744,12.106917,6.878621,11.302315,9.335574,0.079008,0.031636
0.050000,7.457804,12.126367,7.467002,11.767631,9.306317,-0.585127,0.034492
0.050000,8.069019,12.148372,8.078614,12.232229,9.291954,-0.287262,0.037486
0.050000,8.703354,12.173157,8.713433,12.696382,9.283069,-0.177700,0.040622
0.050000,9.360761,12.200956,9.371426,13.159872,9.269805,-0.265292,0.043904
0.050000,10.041176,12.232015,10.052550,13.622477,9.252090,-0.354296,0.047334
0.050000,10.744525,12.266592,10.756749,14.083970,9.229858,-0.444629,0.050916
0.050000,11.470718,12.304958,11.483955,14.544122,9.203048,-0.536198,0.054655
0.050000,12.219731,12.347398,12.234170,15.004292,9.203405,0.007123,0.058554
0.050000,12.991419,12.394206,13.007275,15.462110,9.156344,-0.941216,0.062618
0.050000,13.785775,12.445696,13.803299,15.920473,9.167269,0.218500,0.066851
0.050000,14.602649,12.502191,14.622123,16.376492,9.120378,-0.937809,0.071258
0.050000,15.441948,12.564031,15.463698,16.831494,9.100037,-0.406821,0.075845
0.050000,16.303566,12.631569,16.327959,17.285217,9.074464,-0.511458,0.080616
0.050000,17.187378,12.705175,17.214830,17.737431,9.044288,-0.603536,0.085577
0.050000,18.093313,12.785241,18.124297,18.189334,9.038049,-0.124773,0.090735
0.050000,19.021157,12.872162,19.056203,18.638118,8.975681,-1.247357,0.096094
0.050000,19.970837,12.966366,20.010544,19.086817,8.973979,-0.034035,0.101663
0.050000,20.942146,13.068285,20.987186,19.532845,8.920557,-1.068454,0.107447
0.050000,21.934936,13.178379,21.986061,19.977508,8.893270,-0.545723,0.113453
0.050000,22.949032,13.297123,23.007086,20.420496,8.859761,-0.670195,0.119690
0.050000,23.984237,13.425014,24.050161,20.861494,8.819953,-0.796154,0.126164
0.050000,25.040327,13.562563,25.115170,21.300184,8.773796,-0.923149,0.132885
0.050000,26.117126,13.710315,26.202059,21.737785,8.752037,-0.435171,0.139860
0.050000,27.214333,13.868819,27.310656,22.171937,8.683024,-1.380262,0.147099
0.050000,28.331751,14.038665,28.440908,22.605041,8.662093,-0.418618,0.154611
0.050000,29.469072,14.220451,29.592666,23.035157,8.602305,-1.195767,0.162406
0.050000,30.625998,14.414805,30.765803,23.462736,8.551595,-1.014192,0.170494
0.050000,31.802225,14.622381,31.960206,23.888065,8.506576,-0.900388,0.178886
0.050000,32.997420,14.843855,33.175747,24.310826,8.455220,-1.027117,0.187594
0.050000,34.211181,15.079924,34.412252,24.730090,8.385283,-1.398730,0.196627
0.050000,35.443157,15.331322,35.669617,25.147295,8.344097,-0.823734,0.205999
0.050000,36.692916,15.598800,36.947679,25.561242,8.278940,-1.303130,0.215721
0.050000,37.959999,15.883139,38.246274,25.971897,8.213107,-1.316669,0.225808
0.050000,39.243929,16.185145,39.565244,26.379416,8.150372,-1.254697,0.236271
0.050000,40.544222,16.505663,40.904458,26.784268,8.097032,-1.066794,0.247125
0.050000,41.860273,16.845541,42.263688,27.184601,8.006677,-1.807109,0.258384
0.050000,43.191551,17.205685,43.642820,27.582638,7.960733,-0.918863,0.270062
0.050000,44.537400,17.587005,45.041646,27.976527,7.877768,-1.659303,0.282173
0.050000,45.897151,17.990448,46.459987,28.366815,7.805769,-1.439987,0.294733
0.050000,47.270112,18.416990,47.897679,28.753849,7.740676,-1.301867,0.307757
0.050000,48.655518,18.867630,49.354534,29.137088,7.664788,-1.517754,0.321259
0.050000,50.052562,19.343391,50.830367,29.516659,7.591425,-1.467255,0.335255
0.050000,51.460393,19.845323,52.324998,29.892632,7.519451,-1.439485,0.349759
0.050000,52.878117,20.374502,53.838263,30.265291,7.453173,-1.325568,0.364786
0.050000,54.304773,20.932020,55.369986,30.634458,7.383349,-1.396480,0.380351
0.050000,55.739348,21.518991,56.919999,31.000266,7.316166,-1.343653,0.396466
0.050000,57.180804,22.136555,58.488176,31.363540,7.265470,-1.013925,0.413143
0.050000,58.628009,22.785855,60.074365,31.723774,7.204693,-1.215536,0.430395
0.050000,60.079794,23.468053,61.678445,32.081600,7.156519,-0.963476,0.448231
0.050000,61.534933,24.184316,63.300315,32.437400,7.115990,-0.810574,0.466660
0.050000,62.992174,24.935837,64.939929,32.792292,7.097835,-0.363115,0.485686
0.050000,64.450159,25.723779,66.597208,33.145565,7.065468,-0.647325,0.505315
0.050000,65.907525,26.549329,68.272155,33.498945,7.067592,0.042465,0.525547
0.050000,67.362851,27.413665,69.964801,33.852922,7.079549,0.239148,0.546379
0.050000,68.814664,28.317949,71.675208,34.208143,7.104411,0.497241,0.567807
0.050000,70.261448,29.263325,73.403479,34.565416,7.145466,0.821100,0.589821
0.050000,71.701674,30.250936,75.149797,34.926354,7.218768,1.466029,0.612407
0.050000,73.133753,31.281878,76.914362,35.291304,7.298994,1.604535,0.635547
0.050000,74.556084,32.357229,78.697451,35.661785,7.409614,2.212387,0.659219
0.050000,75.967044,33.478028,80.499394,36.038855,7.541402,2.635769,0.683395
