dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,0.000000,0.000031,0.001245,0.024906,0.498121,6.282186
0.050000,0.000000,0.000000,0.000156,0.003736,0.049812,0.498121,6.282187
0.050000,0.000000,0.000000,0.000436,0.007472,0.074718,0.498121,6.282188
0.050000,0.000000,0.000000,0.000934,0.012453,0.099624,0.498121,6.282190
0.050000,0.000000,0.000000,0.001712,0.018680,0.124530,0.498121,6.282193
0.050000,0.000000,0.000000,0.002833,0.026151,0.149436,0.498121,6.282198
0.050000,0.000000,0.000000,0.004359,0.034868,0.174342,0.498121,6.282204
0.050000,0.000000,0.000000,0.006351,0.044831,0.199249,0.498121,6.282213
0.050000,0.000000,0.000000,0.008873,0.056039,0.224155,0.498121,6.282223
0.050000,0.000000,0.000000,0.011986,0.068492,0.249061,0.498121,6.282236
0.050000,0.000000,0.000000,0.015753,0.082190,0.273967,0.498121,6.282252
0.050000,0.000000,0.000000,0.020236,0.097134,0.298873,0.498121,6.282270
0.050000,0.000000,0.000000,0.025498,0.113323,0.323779,0.498121,6.282292
0.050000,0.000000,0.000000,0.031600,0.130757,0.348685,0.498121,6.282318
0.050000,0.000000,0.000000,0.038604,0.149436,0.373591,0.498121,6.282347
0.050000,0.000000,0.000000,0.046574,0.169361,0.398497,0.498121,6.282380
0.050000,0.000000,0.000000,0.055572,0.190531,0.423403,0.498121,6.282417
0.050000,0.000000,0.000000,0.065659,0.212947,0.448309,0.498121,6.282459
0.050000,0.000000,0.000000,0.076897,0.236608,0.473215,0.498121,6.282506
0.050000,0.000000,0.000000,0.089351,0.261514,0.498121,0.498121,6.282558
0.050000,0.000000,0.000000,0.103080,0.287665,0.523027,0.498121,6.282615
0.050000,0.000000,0.000000,0.118148,0.315062,0.547933,0.498121,6.282678
0.050000,0.000000,0.000000,0.134617,0.343704,0.572840,0.498121,6.282746
0.050000,0.000000,0.000000,0.152550,0.373591,0.597746,0.498121,6.282821
0.050000,0.000000,0.000000,0.172008,0.404724,0.622652,0.498121,6.282902
0.050000,0.000000,0.000000,0.193053,0.437101,0.647558,0.498121,6.282990
0.050000,0.000000,0.000000,0.215749,0.470725,0.672464,0.498121,6.283084
0.050000,0.000157,0.000000,0.240157,0.505593,0.697370,0.498121,0.000001
0.050000,0.026351,0.000001,0.266339,0.541707,0.722276,0.498121,0.000110
0.050000,0.054380,0.000006,0.294359,0.579066,0.747182,0.498121,0.000227
0.050000,0.084304,0.000015,0.324277,0.617670,0.772088,0.498121,0.000351
0.050000,0.116187,0.000028,0.356157,0.657520,0.796994,0.498121,0.000484
0.050000,0.150088,0.000047,0.390060,0.698615,0.821900,0.498121,0.000626
0.050000,0.186070,0.000072,0.426049,0.740955,0.846806,0.498121,0.000776
0.050000,0.224194,0.000105,0.464187,0.784541,0.871712,0.498121,0.000935
0.050000,0.264546,0.000146,0.504535,0.829372,0.896618,0.498121,0.001104
0.050000,0.307179,0.000197,0.547155,0.875448,0.921524,0.498121,0.001282
0.050000,0.352140,0.000259,0.592111,0.922770,0.946431,0.498121,0.001470
0.050000,0.399490,0.000333,0.639463,0.971337,0.971337,0.498121,0.001669
0.050000,0.449288,0.000421,0.689275,1.021149,0.996243,0.498121,0.001877
0.050000,0.501588,0.000525,0.741578,1.070961,0.996243,-0.000000,0.002097
0.050000,0.556397,0.000646,0.796371,1.120773,0.996243,0.000000,0.002326
0.050000,0.613684,0.000787,0.853655,1.170585,0.996243,0.000000,0.002567
0.050000,0.673447,0.000948,0.913430,1.220397,0.996243,-0.000000,0.002818
0.050000,0.735702,0.001131,0.975695,1.270209,0.996243,0.000000,0.003080
0.050000,0.800476,0.001339,1.040451,1.320022,0.996243,-0.000000,0.003352
0.050000,0.867723,0.001574,1.107697,1.369834,0.996243,0.000000,0.003635
0.050000,0.937441,0.001838,1.177434,1.419646,0.996243,-0.000000,0.003929
0.050000,1.009679,0.002133,1.249662,1.469458,0.996243,0.000000,0.004234
0.050000,1.084406,0.002461,1.324380,1.519270,0.996243,0.000000,0.004549
0.050000,1.161599,0.002825,1.401589,1.569082,0.996243,-0.000000,0.004875
0.050000,1.241301,0.003227,1.481288,1.618894,0.996243,0.000000,0.005213
0.050000,1.323501,0.003670,1.563478,1.668706,0.996243,-0.000000,0.005561
0.050000,1.408163,0.004156,1.648159,1.718519,0.996243,0.000000,0.005919
0.050000,1.495343,0.004688,1.735330,1.768331,0.996243,-0.000000,0.006289
0.050000,1.585008,0.005269,1.824992,1.818143,0.996243,0.000000,0.006670
0.050000,1.677132,0.005901,1.917144,1.867955,0.996243,-0.000000,0.007062
0.050000,1.771800,0.006589,2.011788,1.917767,0.996243,0.000000,0.007465
0.050000,1.868920,0.007334,2.108921,1.967579,0.996243,-0.000000,0.007879
0.050000,1.968544,0.008140,2.208545,2.017391,0.996243,0.000000,0.008304
0.050000,2.070660,0.009010,2.310660,2.067204,0.996243,0.000000,0.008741
0.050000,2.175246,0.009948,2.415266,2.117016,0.996243,-0.000000,0.009188
0.050000,2.282356,0.010957,2.522362,2.166828,0.996243,0.000000,0.009647
0.050000,2.391910,0.012040,2.631949,2.216640,0.996243,-0.000000,0.010117
0.050000,2.504009,0.013201,2.744026,2.266452,0.996243,0.000000,0.010599
0.050000,2.618544,0.014443,2.858594,2.316264,0.996243,0.000000,0.011092
0.050000,2.735621,0.015771,2.975652,2.366076,0.996243,0.000000,0.011597
0.050000,2.855136,0.017188,3.095201,2.415888,0.996243,0.000000,0.012112
0.050000,2.977192,0.018699,3.217241,2.465701,0.996243,0.000000,0.012640
0.050000,3.101683,0.020306,3.341771,2.515513,0.996243,0.000000,0.013179
0.050000,3.228721,0.022015,3.468792,2.565325,0.996243,-0.000000,0.013730
0.050000,3.358200,0.023829,3.598304,2.615137,0.996243,0.000000,0.014292
0.050000,3.490206,0.025754,3.730306,2.664949,0.996243,0.000000,0.014867
0.050000,3.624676,0.027793,3.864799,2.714761,0.996243,0.000000,0.015453
0.050000,3.761641,0.029950,4.001782,2.764573,0.996243,0.000000,0.016051
0.050000,3.901106,0.032232,4.141256,2.814386,0.996243,-0.000000,0.016660
0.050000,4.043023,0.034640,4.283221,2.864198,0.996243,0.000000,0.017282
0.050000,4.187483,0.037183,4.427676,2.914010,0.996243,-0.000000,0.017916
0.050000,4.334396,0.039863,4.574622,2.963822,0.996243,0.000000,0.018562
0.050000,4.483800,0.042686,4.724058,3.013634,0.996243,-0.000000,0.019221
0.050000,4.635713,0.045657,4.875985,3.063446,0.996243,0.000000,0.019891
0.050000,4.790085,0.048780,5.030403,3.113258,0.996243,0.000000,0.020574
0.050000,4.946960,0.052063,5.187311,3.163070,0.996243,-0.000000,0.021269
0.050000,5.106334,0.055510,5.346710,3.212883,0.996243,0.000000,0.021977
0.050000,5.268172,0.059125,5.508599,3.262695,0.996243,-0.000000,0.022697
0.050000,5.432501,0.062916,5.672979,3.312507,0.996243,0.000000,0.023430
0.050000,5.599341,0.066888,5.839850,3.362319,0.996243,-0.000000,0.024175
0.050000,5.768650,0.071046,6.009211,3.412131,0.996243,-0.000000,0.024934
0.050000,5.940428,0.075396,6.181063,3.461943,0.996243,0.000000,0.025705
0.050000,6.114722,0.079946,6.355406,3.511755,0.996243,0.000000,0.026489
0.050000,6.291501,0.084700,6.532239,3.561568,0.996243,-0.000000,0.027286
0.050000,6.470754,0.089665,6.711562,3.611380,0.996243,0.000000,0.028096
0.050000,6.652480,0.094847,6.893377,3.661192,0.996243,-0.000000,0.028919
0.050000,6.836704,0.100253,7.077681,3.711004,0.996243,0.000000,0.029756
0.050000,7.023428,0.105890,7.264477,3.760816,0.996243,-0.000000,0.030605
0.050000,7.212628,0.111764,7.453763,3.810628,0.996243,0.000000,0.031469
0.050000,7.404304,0.117882,7.645540,3.860440,0.996243,0.000000,0.032345
0.050000,7.598458,0.124250,7.839807,3.910252,0.996243,-0.000000,0.033236
0.050000,7.795090,0.130877,8.036565,3.960065,0.996243,0.000000,0.034139
0.050000,7.994228,0.137770,8.235814,4.009877,0.996243,-0.000000,0.035057
0.050000,8.195850,0.144935,8.437553,4.059689,0.996243,0.000000,0.035989
0.050000,8.399949,0.152380,8.641782,4.109501,0.996243,0.000000,0.036935
0.050000,8.606527,0.160112,8.848503,4.159313,0.996243,-0.000000,0.037894
0.050000,8.815583,0.168140,9.057714,4.209125,0.996243,0.000000,0.038868
0.050000,9.027118,0.176471,9.269415,4.258937,0.996243,0.000000,0.039856
0.050000,9.241133,0.185113,9.483607,4.308750,0.996243,0.000000,0.040859
0.050000,9.457627,0.194074,9.700290,4.358562,0.996243,-0.000000,0.041876
0.050000,9.676600,0.203362,9.919464,4.408374,0.996243,0.000000,0.042908
0.050000,9.898052,0.212986,10.141128,4.458186,0.996243,0.000000,0.043954
0.050000,10.121982,0.222954,10.365282,4.507998,0.996243,-0.000000,0.045015
0.050000,10.348391,0.233274,10.591927,4.557810,0.996243,0.000000,0.046091
0.050000,10.577278,0.243956,10.821063,4.607622,0.996243,0.000000,0.047182
0.050000,10.808641,0.255009,11.052690,4.657434,0.996243,0.000000,0.048289
0.050000,11.042481,0.266441,11.286807,4.707247,0.996243,-0.000000,0.049410
0.050000,11.278796,0.278262,11.523414,4.757059,0.996243,0.000000,0.050547
0.050000,11.517585,0.290480,11.762513,4.806871,0.996243,0.000000,0.051700
0.050000,11.758847,0.303106,12.004101,4.856683,0.996243,-0.000000,0.052868
0.050000,12.002581,0.316148,12.248181,4.906495,0.996243,0.000000,0.054052
0.050000,12.248785,0.329617,12.494751,4.956307,0.996243,0.000000,0.055252
0.050000,12.497458,0.343522,12.743812,5.006119,0.996243,0.000000,0.056469
0.050000,12.748598,0.357874,12.995363,5.055931,0.996243,0.000000,0.057701
0.050000,13.002204,0.372682,13.249405,5.105744,0.996243,-0.000000,0.058949
0.050000,13.258272,0.387957,13.505937,5.155556,0.996243,0.000000,0.060214
0.050000,13.516802,0.403710,13.764960,5.205368,0.996243,-0.000000,0.061496
0.050000,13.777826,0.419952,14.026474,5.255180,0.996243,0.000000,0.062794
0.050000,14.041309,0.436693,14.290478,5.304992,0.996243,0.000000,0.064110
0.050000,14.307248,0.453943,14.556973,5.354804,0.996243,0.000000,0.065442
0.050000,14.575641,0.471714,14.825959,5.404616,0.996243,0.000000,0.066792
0.050000,14.846486,0.490017,15.097435,5.454429,0.996243,0.000000,0.068159
0.050000,15.119805,0.508865,15.371402,5.504241,0.996243,-0.000000,0.069543
0.050000,15.395594,0.528270,15.647859,5.554053,0.996243,0.000000,0.070945
0.050000,15.673828,0.548241,15.926807,5.603865,0.996243,0.000000,0.072365
0.050000,15.954503,0.568790,16.208245,5.653677,0.996243,-0.000000,0.073803
0.050000,16.237641,0.589932,16.492175,5.703489,0.996243,0.000000,0.075259
0.050000,16.523249,0.611679,16.778594,5.753301,0.996243,-0.000000,0.076734
0.050000,16.811289,0.634041,17.067505,5.803113,0.996243,0.000000,0.078227
0.050000,17.101759,0.657030,17.358906,5.852926,0.996243,0.000000,0.079738
0.050000,17.394722,0.680666,17.652797,5.902738,0.996243,-0.000000,0.081269
0.050000,17.690108,0.704955,17.949179,5.952550,0.996243,0.000000,0.082818
0.050000,17.987913,0.729910,18.248052,6.002362,0.996243,0.000000,0.084387
0.050000,18.288208,0.755552,18.549416,6.052174,0.996243,0.000000,0.085975
0.050000,18.590915,0.781886,18.853270,6.101986,0.996243,0.000000,0.087583
0.050000,18.896052,0.808930,19.159614,6.151798,0.996243,0.000000,0.089211
0.050000,19.203653,0.836699,19.468450,6.201611,0.996243,-0.000000,0.090858
0.050000,19.513653,0.865204,19.779775,6.251423,0.996243,0.000000,0.092526
0.050000,19.826118,0.894464,20.093592,6.301235,0.996243,-0.000000,0.094214
0.050000,20.140991,0.924488,20.409899,6.351047,0.996243,0.000000,0.095923
0.050000,20.458296,0.955296,20.728696,6.400859,0.996243,0.000000,0.097652
0.050000,20.778031,0.986900,21.049985,6.450671,0.996243,-0.000000,0.099403
0.050000,21.100174,1.019316,21.373764,6.500483,0.996243,0.000000,0.101175
0.050000,21.424755,1.052562,21.700033,6.550295,0.996243,0.000000,0.102968
0.050000,21.751733,1.086649,22.028793,6.600108,0.996243,-0.000000,0.104783
0.050000,22.081144,1.121598,22.360044,6.649920,0.996243,0.000000,0.106619
0.050000,22.412951,1.157422,22.693785,6.699732,0.996243,-0.000000,0.108478
0.050000,22.747174,1.194138,23.030017,6.749544,0.996243,-0.000000,0.110359
0.050000,23.083804,1.231764,23.368740,6.799356,0.996243,0.000000,0.112263
0.050000,23.422820,1.270314,23.709953,6.849168,0.996243,0.000000,0.114189
0.050000,23.764262,1.309811,24.053656,6.898980,0.996243,0.000000,0.116139
0.050000,24.108066,1.350264,24.399851,6.948793,0.996243,0.000000,0.118111
0.050000,24.454295,1.391699,24.748536,6.998605,0.996243,-0.000000,0.120108
0.050000,24.802898,1.434128,25.099711,7.048417,0.996243,0.000000,0.122128
0.050000,25.153867,1.477570,25.453377,7.098229,0.996243,0.000000,0.124172
0.050000,25.507256,1.522049,25.809534,7.148041,0.996243,-0.000000,0.126241
0.050000,25.862999,1.567576,26.168181,7.197853,0.996243,0.000000,0.128334
0.050000,26.221099,1.614171,26.529319,7.247665,0.996243,0.000000,0.130451
0.050000,26.581607,1.661861,26.892948,7.297477,0.996243,-0.000000,0.132595
0.050000,26.944462,1.710658,27.259067,7.347290,0.996243,0.000000,0.134763
0.050000,27.309662,1.760581,27.627677,7.397102,0.996243,-0.000000,0.136957
0.050000,27.677231,1.811655,27.998777,7.446914,0.996243,0.000000,0.139177
0.050000,28.047163,1.863899,28.372368,7.496726,0.996243,0.000000,0.141423
0.050000,28.419430,1.917331,28.748450,7.546538,0.996243,0.000000,0.143696
0.050000,28.794029,1.971973,29.127022,7.596350,0.996243,0.000000,0.145995
0.050000,29.170958,2.027844,29.508085,7.646162,0.996243,0.000000,0.148321
0.050000,29.550248,2.084973,29.891638,7.695975,0.996243,-0.000000,0.150675
0.050000,29.931856,2.143376,30.277682,7.745787,0.996243,0.000000,0.153057
0.050000,30.315779,2.203075,30.666217,7.795599,0.996243,0.000000,0.155467
0.050000,30.702012,2.264092,31.057242,7.845411,0.996243,-0.000000,0.157905
0.050000,31.090551,2.326450,31.450758,7.895223,0.996243,0.000000,0.160371
0.050000,31.481390,2.390172,31.846765,7.945035,0.996243,-0.000000,0.162867
0.050000,31.874524,2.455283,32.245262,7.994847,0.996243,0.000000,0.165392
0.050000,32.269954,2.521805,32.646249,8.044659,0.996243,0.000000,0.167947
0.050000,32.667673,2.589764,33.049728,8.094472,0.996243,-0.000000,0.170531
0.050000,33.067666,2.659183,33.455696,8.144284,0.996243,0.000000,0.173146
0.050000,33.469926,2.730085,33.864156,8.194096,0.996243,0.000000,0.175792
0.050000,33.874447,2.802496,34.275106,8.243908,0.996243,0.000000,0.178468
0.050000,34.281221,2.876441,34.688547,8.293720,0.996243,0.000000,0.181176
0.050000,34.690240,2.951946,35.104478,8.343532,0.996243,0.000000,0.183916
0.050000,35.101497,3.029037,35.522900,8.393344,0.996243,-0.000000,0.186688
0.050000,35.514982,3.107739,35.943813,8.443157,0.996243,0.000000,0.189492
0.050000,35.930686,3.188079,36.367216,8.492969,0.996243,0.000000,0.192329
0.050000,36.348616,3.270087,36.793109,8.542781,0.996243,0.000000,0.195199
0.050000,36.768751,3.353788,37.221494,8.592593,0.996243,0.000000,0.198103
0.050000,37.191079,3.439209,37.652369,8.642405,0.996243,-0.000000,0.201041
0.050000,37.615590,3.526378,38.085734,8.692217,0.996243,0.000000,0.204013
0.050000,38.042274,3.615324,38.521590,8.742029,0.996243,0.000000,0.207020
0.050000,38.471119,3.706074,38.959937,8.791841,0.996243,-0.000000,0.210062
0.050000,38.902113,3.798658,39.400775,8.841654,0.996243,0.000000,0.213139
0.050000,39.335265,3.893109,39.844103,8.891466,0.996243,0.000000,0.216253
0.050000,39.770559,3.989456,40.289921,8.941278,0.996243,0.000000,0.219403
0.050000,40.207967,4.087726,40.738230,8.991090,0.996243,0.000000,0.222589
0.050000,40.647476,4.187948,41.189030,9.040902,0.996243,-0.000000,0.225813
0.050000,41.089085,4.290158,41.642321,9.090714,0.996243,0.000000,0.229075
0.050000,41.532802,4.394389,42.098102,9.140526,0.996243,0.000000,0.232374
0.050000,41.978579,4.500667,42.556373,9.190339,0.996243,0.000000,0.235712
0.050000,42.426400,4.609023,43.017135,9.240151,0.996243,0.000000,0.239089
0.050000,42.876304,4.719501,43.480388,9.289963,0.996243,0.000000,0.242506
0.050000,43.328226,4.832123,43.946132,9.339775,0.996243,-0.000000,0.245962
0.050000,43.782152,4.946922,44.414366,9.389587,0.996243,0.000000,0.249458
0.050000,44.238117,5.063944,44.885090,9.439399,0.996243,0.000000,0.252995
0.050000,44.696047,5.183209,45.358306,9.489211,0.996243,-0.000000,0.256573
0.050000,45.155965,5.304760,45.834012,9.539023,0.996243,0.000000,0.260193
0.050000,45.617841,5.428630,46.312208,9.588836,0.996243,0.000000,0.263855
0.050000,46.081653,5.554851,46.792895,9.638648,0.996243,0.000000,0.267559
0.050000,46.547406,5.683467,47.276073,9.688460,0.996243,0.000000,0.271307
0.050000,47.015052,5.814504,47.761741,9.738272,0.996243,-0.000000,0.275097
0.050000,47.484610,5.948010,48.249900,9.788084,0.996243,0.000000,0.278932
0.050000,47.956026,6.084012,48.740549,9.837896,0.996243,-0.000000,0.282811
0.050000,48.429309,6.222555,49.233690,9.887708,0.996243,-0.000000,0.286735
0.050000,48.904425,6.363672,49.729320,9.937521,0.996243,0.000000,0.290704
0.050000,49.381352,6.507402,50.227442,9.987333,0.996243,0.000000,0.294719
0.050000,49.860093,6.653789,50.728054,10.037145,0.996243,-0.000000,0.298781
0.050000,50.340589,6.802863,51.231156,10.086957,0.996243,0.000000,0.302889
0.050000,50.822860,6.954674,51.736749,10.136769,0.996243,-0.000000,0.307044
0.050000,51.306861,7.109255,52.244833,10.186581,0.996243,0.000000,0.311247
0.050000,51.792557,7.266644,52.755407,10.236393,0.996243,0.000000,0.315498
0.050000,52.279962,7.426893,53.268472,10.286205,0.996243,0.000000,0.319798
0.050000,52.769030,7.590035,53.784028,10.336018,0.996243,0.000000,0.324147
0.050000,53.259728,7.756109,54.302074,10.385830,0.996243,0.000000,0.328546
0.050000,53.752036,7.925159,54.822611,10.435642,0.996243,0.000000,0.332994
0.050000,54.245958,8.097238,55.345638,10.485454,0.996243,-0.000000,0.337494
0.050000,54.741438,8.272377,55.871156,10.535266,0.996243,0.000000,0.342044
0.050000,55.238450,8.450620,56.399165,10.585078,0.996243,-0.000000,0.346645
0.050000,55.736968,8.632011,56.929664,10.634890,0.996243,0.000000,0.351299
0.050000,56.236966,8.816595,57.462654,10.684703,0.996243,0.000000,0.356005
0.050000,56.738425,9.004420,57.998134,10.734515,0.996243,-0.000000,0.360764
0.050000,57.241312,9.195529,58.536105,10.784327,0.996243,0.000000,0.365576
0.050000,57.745590,9.389964,59.076567,10.834139,0.996243,0.000000,0.370441
