dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.011808,-11.999994,0.003600,0.143989,2.879779,57.595589,6.282201
0.050000,-0.011090,-11.999995,0.004318,0.014371,-2.592351,-109.442610,6.282261
0.050000,-0.009473,-11.999996,0.005935,0.032342,0.359412,59.035254,6.282396
0.050000,-0.006597,-11.999998,0.008811,0.057518,0.503529,2.882349,6.282636
0.050000,-0.002100,-12.000000,0.013308,0.089928,0.648188,2.893185,6.283010
0.050000,0.091985,-11.999983,0.107393,1.881713,35.835696,703.750150,0.000365
0.050000,0.277193,-11.999847,0.292601,3.704148,36.448701,12.260097,0.001102
0.050000,0.519144,-11.999464,0.534553,4.839043,22.697904,-275.015940,0.002066
0.050000,0.825435,-11.998644,0.840845,6.125837,25.735874,60.759405,0.003291
0.050000,1.203618,-11.997112,1.219031,7.563717,28.757607,60.434664,0.004809
0.050000,1.661339,-11.994489,1.676760,9.154581,31.817283,61.193515,0.006655
0.050000,2.206198,-11.990261,2.221635,10.897498,34.858346,60.821261,0.008866
0.050000,2.845876,-11.983755,2.861345,12.794219,37.934417,61.521418,0.011478
0.050000,3.588020,-11.974104,3.603552,14.844138,40.998369,61.279051,0.014533
0.050000,4.440333,-11.960210,4.455978,17.048521,44.087674,61.786097,0.018074
0.050000,5.410553,-11.940699,5.426394,19.408319,47.195948,62.165480,0.022148
0.050000,6.506408,-11.913876,6.522578,21.923674,50.307093,62.222900,0.026804
0.050000,7.735723,-11.877668,7.752426,24.596965,53.465825,63.174637,0.032099
0.050000,9.106318,-11.829556,9.123865,27.428774,56.636194,63.407372,0.038093
0.050000,10.626000,-11.766508,10.644855,30.419790,59.820302,63.682172,0.044854
0.050000,12.302711,-11.684886,12.323551,33.573928,63.082775,65.249463,0.052455
0.050000,14.144336,-11.580349,14.168140,36.891786,66.357152,65.487534,0.060981
0.050000,16.158730,-11.447743,16.186895,40.375098,69.666237,66.181695,0.070525
0.050000,18.353888,-11.280948,18.388380,44.029707,73.092194,68.519139,0.081195
0.050000,20.729979,-11.073453,20.773514,47.702670,73.459257,7.341256,0.093071
0.050000,23.279507,-10.818661,23.335742,51.244563,70.837857,-52.427989,0.106207
0.050000,25.994798,-10.509430,26.068584,54.656846,68.245665,-51.843834,0.120664
0.050000,28.867989,-10.138062,28.965676,57.941835,65.699766,-50.917985,0.136507
0.050000,31.890886,-9.696311,32.020680,61.100085,63.165003,-50.695255,0.153812
0.050000,35.054981,-9.175373,35.227373,64.133849,60.675291,-49.794242,0.172659
0.050000,38.351301,-8.565903,38.579563,67.043802,58.199049,-49.524842,0.193133
0.050000,41.770365,-7.858026,42.071136,69.831466,55.753275,-48.915476,0.215324
0.050000,45.302022,-7.041381,45.695983,72.496928,53.309251,-48.880486,0.239324
0.050000,48.935400,-6.105169,49.448040,75.041144,50.884310,-48.498822,0.265226
0.050000,52.658638,-5.038273,53.321122,77.461646,48.410051,-49.485181,0.293116
0.050000,56.458885,-3.829361,57.309021,79.757984,45.926758,-49.665863,0.323077
0.050000,60.322045,-2.467104,61.405331,81.926199,43.364297,-51.249213,0.355174
0.050000,64.232644,-0.940432,65.603367,83.960720,40.690426,-53.477420,0.389453
0.050000,68.173816,0.761169,69.896185,85.856351,37.912621,-55.556113,0.425932
0.050000,72.127095,2.647195,74.276312,87.602545,34.923864,-59.775126,0.464590
0.050000,76.072539,4.725676,78.735752,89.188802,31.725150,-63.974293,0.505362
0.050000,79.988815,7.002624,83.265842,90.601792,28.259795,-69.307092,0.548124
0.050000,83.853514,9.481485,87.857209,91.827344,24.511046,-74.974979,0.592695
0.050000,87.643534,12.162581,92.499679,92.849389,20.440896,-81.403011,0.638828
0.050000,91.335745,15.042711,97.182367,93.653767,16.087565,-87.066613,0.686215
0.050000,94.907684,18.114856,101.893718,94.227027,11.465193,-92.447435,0.734493
0.050000,98.338394,21.368146,106.621685,94.559325,6.645959,-96.384682,0.783256
0.050000,101.606545,24.785125,111.349956,94.565437,0.122254,-130.474109,0.832035
0.050000,104.694423,28.344670,116.062212,94.245107,-6.406618,-130.577434,0.880361
0.050000,107.590882,32.025962,120.746375,93.683262,-11.236887,-96.605378,0.927827
0.050000,110.288623,35.806612,125.390847,92.889442,-15.876400,-92.790252,0.974064
0.050000,112.784170,39.663499,129.984684,91.876736,-20.254128,-87.554563,1.018761
0.050000,115.077604,43.573488,134.517658,90.659482,-24.345086,-81.819154,1.061666
0.050000,117.172161,47.514087,138.980335,89.253537,-28.118901,-75.476305,1.102590
0.050000,119.073686,51.463858,143.363996,87.673227,-31.606184,-69.745665,1.141409
0.050000,120.790081,55.402728,147.660589,85.931862,-34.827307,-64.422456,1.178051
0.050000,122.330764,59.312123,151.862621,84.040633,-37.824590,-59.945655,1.212493
0.050000,123.706190,63.175033,155.963093,82.009440,-40.623842,-55.985043,1.244750
0.050000,124.927406,66.975881,159.955312,79.844392,-43.300978,-53.542730,1.274865
0.050000,126.005742,70.700473,163.832863,77.551005,-45.867738,-51.335197,1.302904
0.050000,126.952537,74.335847,167.589505,75.132855,-48.362987,-49.904981,1.328947
0.050000,127.778935,77.870079,171.219069,72.591266,-50.831791,-49.376071,1.353080
0.050000,128.495763,81.292200,174.715460,69.927826,-53.268799,-48.740162,1.375396
0.050000,129.113423,84.592031,178.072600,67.142804,-55.700430,-48.632616,1.395986
0.050000,129.641821,87.760004,181.284338,64.234752,-58.161048,-49.212361,1.414942
0.050000,130.090349,90.787139,184.344521,61.203670,-60.621639,-49.211826,1.432348
0.050000,130.467846,93.664880,187.246916,58.047891,-63.115575,-49.878731,1.448286
0.050000,130.782600,96.385036,189.985222,54.766118,-65.635466,-50.397820,1.462829
0.050000,131.042339,98.939677,192.553033,51.356228,-68.197801,-51.246692,1.476046
0.050000,131.254240,101.321114,194.943879,47.816912,-70.786324,-51.770468,1.487997
0.050000,131.424932,103.521844,197.151218,44.146795,-73.402343,-52.320365,1.498736
0.050000,131.560957,105.541862,199.175811,40.491861,-73.098675,6.073363,1.508344
0.050000,131.668471,107.388814,201.025890,37.001571,-69.805788,65.857726,1.516926
0.050000,131.752684,109.070617,202.709800,33.678206,-66.467315,66.769471,1.524579
0.050000,131.817983,110.595189,204.235770,30.519396,-63.176193,65.822434,1.531385
0.050000,131.868042,111.970363,205.611855,27.521695,-59.954014,64.443577,1.537420
0.050000,131.905933,113.204044,206.846117,24.685245,-56.729016,64.499973,1.542752
0.050000,131.934204,114.304040,207.946476,22.007181,-53.561262,63.355078,1.547441
0.050000,131.954955,115.278133,208.920790,19.486284,-50.417950,62.866239,1.551545
0.050000,131.969905,116.134059,209.776847,17.121132,-47.303037,62.298256,1.555112
0.050000,131.980449,116.879588,210.522450,14.912067,-44.181298,62.434771,1.558191
0.050000,131.987705,117.522417,211.165320,12.857401,-41.093324,61.759489,1.560825
0.050000,131.992556,118.070172,211.713097,10.955527,-38.037480,61.116875,1.563054
0.050000,131.995692,118.530556,212.173492,9.207912,-34.952306,61.703482,1.564916
0.050000,131.997638,118.911155,212.554096,7.612077,-31.916692,60.712280,1.566449
0.050000,131.998788,119.219631,212.862574,6.169555,-28.850451,61.324819,1.567686
0.050000,131.999428,119.463535,213.106479,4.878102,-25.829055,60.427920,1.568661
0.050000,131.999757,119.650462,213.293406,3.738542,-22.791202,60.757055,1.569407
0.050000,131.999911,119.788031,213.430975,2.751381,-19.743213,60.959797,1.569954
0.050000,131.999973,119.883757,213.526701,1.914527,-16.737083,60.122586,1.570335
0.050000,131.999994,119.945259,213.588204,1.230042,-13.689701,60.947647,1.570579
0.050000,131.999999,119.980078,213.623022,0.696379,-10.673261,60.328799,1.570717
0.050000,132.000000,119.995768,213.638712,0.313786,-7.651856,60.428092,1.570780
0.050000,132.000000,119.999887,213.642831,0.082394,-4.627841,60.480302,1.570796
0.050000,132.000000,120.000000,213.642944,0.002254,-1.602794,60.500937,1.570796
0.050000,132.000000,120.000000,213.642944,0.000000,-0.045083,31.154224,1.570796
