dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,12.000000,0.003084,0.123375,2.467497,49.349943,0.000000
0.050000,0.000000,12.000000,0.003084,0.000000,-2.467497,-98.699886,0.000000
0.050000,0.000000,12.000000,0.003084,0.000000,0.000000,49.349943,0.000000
0.050000,0.032531,12.000000,0.035616,0.650623,13.012457,260.249144,0.000000
0.050000,0.106556,12.000000,0.109640,1.480498,16.597509,71.701028,0.000000
0.050000,0.205256,12.000000,0.208340,1.973998,9.869989,-134.550400,0.000000
0.050000,0.328631,12.000000,0.331715,2.467497,9.869989,-0.000000,0.000000
0.050000,0.476681,12.000000,0.479765,2.960997,9.869989,-0.000000,0.000000
0.050000,0.649405,12.000000,0.652490,3.454496,9.869989,0.000000,0.000000
0.050000,0.846805,12.000000,0.849890,3.947995,9.869989,-0.000000,0.000000
0.050000,1.068880,12.000000,1.071964,4.441495,9.869989,0.000000,0.000000
0.050000,1.315630,12.000000,1.318714,4.934994,9.869989,-0.000000,0.000000
0.050000,1.587054,12.000000,1.590139,5.428494,9.869989,0.000000,0.000000
0.050000,1.883154,12.000000,1.886238,5.921993,9.869989,-0.000000,0.000000
0.050000,2.203929,12.000000,2.207013,6.415493,9.869989,0.000000,0.000000
0.050000,2.549378,12.000000,2.552463,6.908992,9.869989,0.000000,0.000000
0.050000,2.919503,12.000000,2.922587,7.402491,9.869989,-0.000000,0.000000
0.050000,3.314302,12.000000,3.317387,7.895991,9.869989,0.000000,0.000000
0.050000,3.733777,12.000000,3.736861,8.389490,9.869989,-0.000000,0.000000
0.050000,4.177926,12.000000,4.181011,8.882990,9.869989,-0.000000,0.000000
0.050000,4.646751,12.000000,4.649835,9.376489,9.869989,-0.000000,0.000000
0.050000,5.140250,12.000000,5.143335,9.869989,9.869989,0.000000,0.000000
0.050000,5.658425,12.000000,5.661509,10.363488,9.869989,0.000000,0.000000
0.050000,6.201274,12.000000,6.204358,10.856987,9.869989,-0.000000,0.000000
0.050000,6.768798,12.000000,6.771883,11.350487,9.869989,0.000000,0.000000
0.050000,7.360998,12.000000,7.364082,11.843986,9.869989,0.000000,0.000000
0.050000,7.977872,12.000000,7.980956,12.337486,9.869989,0.000000,0.000000
0.050000,8.619421,12.000000,8.622506,12.830985,9.869989,-0.000000,0.000000
0.050000,9.285645,12.000000,9.288730,13.324485,9.869989,0.000000,0.000000
0.050000,9.976545,12.000000,9.979629,13.817984,9.869989,-0.000000,0.000000
0.050000,10.692119,12.000000,10.695203,14.311483,9.869989,0.000000,0.000000
0.050000,11.432368,12.000000,11.435452,14.804983,9.869989,0.000000,0.000000
0.050000,12.197292,12.000000,12.200376,15.298482,9.869989,-0.000000,0.000000
0.050000,12.986891,12.000000,12.989976,15.791982,9.869989,0.000000,0.000000
0.050000,13.801165,12.000000,13.804250,16.285481,9.869989,-0.000000,0.000000
0.050000,14.640114,12.000000,14.643199,16.778981,9.869989,0.000000,0.000000
0.050000,15.503738,12.000000,15.506823,17.272480,9.869989,0.000000,0.000000
0.050000,16.392037,12.000000,16.395122,17.765979,9.869989,-0.000000,0.000000
0.050000,17.305011,12.000000,17.308096,18.259479,9.869989,0.000000,0.000000
0.050000,18.242660,12.000000,18.245744,18.752978,9.869989,0.000000,0.000000
0.050000,19.204984,12.000000,19.208068,19.246478,9.869989,0.000000,0.000000
0.050000,20.191983,12.000000,20.195067,19.739977,9.869989,-0.000000,0.000000
0.050000,21.203657,12.000000,21.206741,20.233477,9.869989,0.000000,0.000000
0.050000,22.240005,12.000000,22.243090,20.726976,9.869989,0.000000,0.000000
0.050000,23.301029,12.000000,23.304114,21.220475,9.869989,-0.000000,0.000000
0.050000,24.386728,12.000000,24.389812,21.713975,9.869989,-0.000000,0.000000
0.050000,25.497102,12.000000,25.500186,22.207474,9.869989,0.000000,0.000000
0.050000,26.632150,12.000000,26.635235,22.700974,9.869989,-0.000000,0.000000
0.050000,27.788790,12.000000,27.791874,23.132786,8.636240,-24.674971,0.000000
0.050000,28.960851,12.000000,28.963935,23.441223,6.168743,-49.349943,0.000000
0.050000,30.141268,12.000000,30.144353,23.608351,3.342569,-56.523487,0.000000
0.050000,31.319893,12.000000,31.322977,23.572484,-0.717354,-81.198458,0.000000
0.050000,32.487470,12.000000,32.490555,23.351554,-4.418600,-74.024914,0.000000
0.050000,33.637833,12.000000,33.640917,23.007249,-6.886097,-49.349943,0.000000
0.050000,34.765708,12.000000,34.768792,22.557503,-8.994917,-42.176399,0.000000
0.050000,35.868908,12.000000,35.871992,22.064003,-9.869989,-17.501427,0.000000
0.050000,36.947433,12.000000,36.950518,21.570504,-9.869989,0.000000,0.000000
0.050000,38.001283,12.000000,38.004368,21.077005,-9.869989,-0.000000,0.000000
0.050000,39.030459,12.000000,39.033543,20.583505,-9.869989,0.000000,0.000000
0.050000,40.034959,12.000000,40.038043,20.090006,-9.869989,0.000000,0.000000
0.050000,41.014784,12.000000,41.017869,19.596506,-9.869989,-0.000000,0.000000
0.050000,41.969935,12.000000,41.973019,19.103007,-9.869989,0.000000,0.000000
0.050000,42.900410,12.000000,42.903494,18.609507,-9.869989,0.000000,0.000000
0.050000,43.806210,12.000000,43.809295,18.116008,-9.869989,-0.000000,0.000000
0.050000,44.687336,12.000000,44.690420,17.622509,-9.869989,0.000000,0.000000
