dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,185.941142,138.837020,0.003571,0.142857,2.857143,57.142857,3.138644
0.050000,185.943285,138.837014,0.005714,0.042847,-2.000198,-97.146810,3.138815
0.050000,185.948107,138.837001,0.010536,0.096440,1.071856,61.441069,3.139201
0.050000,185.956685,138.836984,0.019114,0.171564,1.502484,8.612556,3.139887
0.050000,185.970103,138.836968,0.032532,0.268364,1.936003,8.670392,3.140961
0.050000,185.913317,138.836936,0.089319,1.135730,17.347312,308.226177,3.142511
0.050000,185.764831,138.836643,0.237805,2.969720,36.679804,386.649841,3.144626
0.050000,185.570981,138.835786,0.431656,3.877029,18.146173,-370.672627,3.147405
0.050000,185.325959,138.833928,0.676685,4.900582,20.471066,46.497857,3.150946
0.050000,185.023909,138.830438,0.978756,6.041412,22.816589,46.910474,3.155356
0.050000,184.659217,138.824437,1.343498,7.294833,25.068426,45.036731,3.160747
0.050000,184.226241,138.814740,1.776582,8.661689,27.337122,45.373923,3.167244
0.050000,183.719658,138.799787,2.283386,10.136072,29.487658,43.010713,3.174981
0.050000,183.134165,138.777566,2.869300,11.718281,31.644174,43.130320,3.184109
0.050000,182.467906,138.745685,3.536321,13.340427,32.442921,15.974956,3.194747
0.050000,181.725142,138.701648,4.280389,14.881364,30.818748,-32.483471,3.206932
0.050000,180.913104,138.642943,5.094547,16.283153,28.035775,-55.659462,3.220660
0.050000,180.039359,138.567037,5.971583,17.540721,25.151356,-57.688385,3.235924
0.050000,179.111372,138.471415,6.904483,18.658003,22.345641,-56.114285,3.252719
0.050000,178.136694,138.353663,7.886249,19.635315,19.546256,-55.987704,3.271035
0.050000,177.122957,138.211540,8.909899,20.473009,16.753864,-55.847832,3.290852
0.050000,176.077605,138.043017,9.968748,21.176980,14.079426,-53.488760,3.312143
0.050000,175.008091,137.846367,11.056191,21.748864,11.437676,-52.835010,3.334863
0.050000,173.921821,137.620240,12.165748,22.191134,8.845408,-51.845360,3.358950
0.050000,172.825791,137.363652,13.291411,22.513264,6.442588,-48.056403,3.384322
0.050000,171.726837,137.076095,14.427364,22.719063,4.115993,-46.531904,3.410873
0.050000,170.631467,136.757554,15.568112,22.814950,1.917728,-43.965285,3.438469
0.050000,169.545849,136.408549,16.708449,22.806741,-0.164176,-41.638090,3.466951
0.050000,168.475591,136.030100,17.843648,22.703986,-2.055097,-37.818420,3.496133
0.050000,167.423529,135.622825,18.971792,22.562869,-2.822334,-15.344736,3.525877
0.050000,166.389681,135.186516,20.093936,22.442881,-2.399756,8.451560,3.556100
0.050000,165.373957,134.720960,21.211271,22.346698,-1.923671,9.521696,3.586710
0.050000,164.376230,134.225967,22.325037,22.275338,-1.427196,9.929507,3.617606
0.050000,163.396265,133.701332,23.436601,22.231269,-0.881373,10.916452,3.648676
0.050000,162.433766,133.146850,24.547391,22.215809,-0.309215,11.443156,3.679809
0.050000,161.488382,132.562318,25.658889,22.229961,0.283039,11.845084,3.710886
0.050000,160.559766,131.947567,26.772553,22.273271,0.866201,11.663245,3.741789
0.050000,159.647558,131.302452,27.889825,22.345436,1.443303,11.542037,3.772404
0.050000,158.751406,130.626877,29.012095,22.445404,1.999367,11.121277,3.802618
0.050000,157.870978,129.920799,30.140679,22.571672,2.525367,10.520007,3.832328
0.050000,157.005983,129.184261,31.276770,22.721829,3.003135,9.555362,3.861437
