dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,186.014858,163.836911,0.003571,0.142857,2.857143,57.142857,3.138644
0.050000,186.012715,163.836918,0.005714,0.042847,-2.000198,-97.146810,3.138815
0.050000,186.007893,163.836930,0.010536,0.096440,1.071856,61.441069,3.139201
0.050000,185.999315,163.836948,0.019114,0.171564,1.502484,8.612556,3.139887
0.050000,185.985897,163.836963,0.032532,0.268364,1.936003,8.670392,3.140961
0.050000,185.890370,163.836926,0.128059,1.910541,32.843529,618.150513,3.142511
0.050000,185.689001,163.836528,0.329429,4.027388,42.336938,189.868177,3.144626
0.050000,185.425675,163.835364,0.592757,5.266564,24.783524,-351.068267,3.147405
0.050000,185.092123,163.832835,0.926318,6.671229,28.093304,66.195586,3.150946
0.050000,184.679830,163.828070,1.338639,8.246423,31.503873,68.211384,3.155356
0.050000,184.180378,163.819851,1.838158,9.990381,34.879157,67.505689,3.160747
0.050000,183.585026,163.806515,2.433660,11.910029,38.392971,70.276284,3.167244
0.050000,182.885113,163.785854,3.133878,14.004364,41.886698,69.874528,3.174981
0.050000,182.071577,163.754973,3.948000,16.282442,45.561555,73.497152,3.184109
0.050000,181.139668,163.710376,4.880975,18.659498,47.541125,39.591396,3.194747
0.050000,180.092822,163.648302,5.929660,20.973695,46.283936,-25.143791,3.206932
0.050000,178.938489,163.564839,7.087007,23.146940,43.464893,-56.380860,3.220660
0.050000,177.684579,163.455890,8.345640,25.172672,40.514651,-59.004837,3.235924
0.050000,176.338932,163.317211,9.698415,27.055491,37.656369,-57.165643,3.252719
0.050000,174.909671,163.144514,11.138072,28.793135,34.752888,-58.069622,3.271035
0.050000,173.405318,162.933578,12.657141,30.381384,31.764984,-59.758073,3.290852
0.050000,171.834497,162.680307,14.248249,31.822162,28.815556,-58.988567,3.312143
0.050000,170.206350,162.380899,15.903697,33.108966,25.736092,-61.589276,3.334863
0.050000,168.530573,162.032008,17.615407,34.234200,22.504672,-64.628399,3.358950
0.050000,166.816968,161.630791,19.375356,35.198977,19.295530,-64.182839,3.384322
0.050000,165.075897,161.175161,21.175057,35.994017,15.900811,-67.894387,3.410873
0.050000,163.318096,160.663925,23.005693,36.612724,12.374136,-70.533501,3.438469
0.050000,161.554651,160.096959,24.858040,37.046930,8.684124,-73.800233,3.466951
0.050000,159.796598,159.475251,26.722784,37.294889,4.959171,-74.499057,3.496133
0.050000,158.051130,158.799497,28.594495,37.434221,2.786644,-43.450540,3.525877
0.050000,156.321201,158.069385,30.472185,37.553791,2.391397,-7.904935,3.556100
0.050000,154.609852,157.284959,32.354747,37.651246,1.949103,-8.845888,3.586710
0.050000,152.920256,156.446693,34.240860,37.722261,1.420310,-10.575860,3.617606
0.050000,151.255515,155.555443,36.129163,37.766068,0.876133,-10.883537,3.648676
0.050000,149.618639,154.612463,38.018231,37.781348,0.305607,-11.410528,3.679809
0.050000,148.012464,153.619375,39.906622,37.767829,-0.270394,-11.520007,3.710886
0.050000,146.439648,152.578181,41.792844,37.724437,-0.867838,-11.948878,3.741789
0.050000,144.902560,151.491188,43.675447,37.652064,-1.447457,-11.592391,3.772404
0.050000,143.403243,150.360956,45.553045,37.551955,-2.002175,-11.094356,3.802618
0.050000,141.943378,149.190245,47.424347,37.426047,-2.518164,-10.319786,3.832328
0.050000,140.524289,147.981967,49.288147,37.275984,-3.001263,-9.661978,3.861437
0.050000,139.146919,146.739115,51.143364,37.104353,-3.432609,-8.626917,3.889860
0.050000,137.811826,145.464695,52.989067,36.914047,-3.806125,-7.470315,3.917521
0.050000,136.519221,144.161691,54.824454,36.707750,-4.125946,-6.396419,3.944357
0.050000,135.268974,142.833004,56.648879,36.488492,-4.385159,-5.184262,3.970315
0.050000,134.060666,141.481428,58.461823,36.258887,-4.592102,-4.138856,3.995354
0.050000,132.893609,140.109612,60.262907,36.021671,-4.744314,-3.044240,4.019445
0.050000,131.766885,138.720033,62.051883,35.779529,-4.842848,-1.970680,4.042566
0.050000,130.679393,137.315001,63.828609,35.534516,-4.900262,-1.148285,4.064707
0.050000,129.629897,135.896657,65.593018,35.288181,-4.926699,-0.528739,4.085863
0.050000,128.617023,134.466936,67.345165,35.042941,-4.904788,0.438220,4.106037
0.050000,127.639318,133.027602,69.085161,34.799928,-4.860256,0.890640,4.125239
0.050000,126.695276,131.580254,70.813175,34.560266,-4.793244,1.340232,4.143482
0.050000,125.783357,130.126329,72.529419,34.324890,-4.707522,1.714439,4.160783
0.050000,124.902003,128.667114,74.234146,34.094527,-4.607271,2.005026,4.177163
0.050000,124.049662,127.203760,75.927631,33.869715,-4.496233,2.220760,4.192643
0.050000,123.224791,125.737289,77.610173,33.650830,-4.377704,2.370583,4.207248
0.050000,122.425877,124.268616,79.282078,33.438103,-4.254542,2.463236,4.221001
0.050000,121.651435,122.798549,80.943660,33.231643,-4.129192,2.506997,4.233929
0.050000,120.900020,121.327812,82.595233,33.031457,-4.003716,2.509514,4.246055
0.050000,120.170231,119.857045,84.237106,32.837466,-3.879831,2.477717,4.257406
0.050000,119.460708,118.386822,85.869582,32.649519,-3.758942,2.417777,4.268004
0.050000,118.770142,116.917662,87.492947,32.467300,-3.644380,2.291234,4.277873
0.050000,118.097271,115.450037,89.107468,32.290418,-3.537624,2.135114,4.287036
0.050000,117.440867,113.984349,90.713428,32.119197,-3.424424,2.263998,4.295513
0.050000,116.799756,112.520976,92.311077,31.952979,-3.324359,2.001305,4.303325
0.050000,116.172812,111.060283,93.900632,31.791103,-3.237525,1.736682,4.310490
0.050000,115.558940,109.602582,95.482318,31.633723,-3.147598,1.798537,4.317025
0.050000,114.957087,108.148164,97.056345,31.480529,-3.063874,1.674476,4.322947
0.050000,114.366247,106.697329,98.622873,31.330575,-2.999079,1.295907,4.328270
