dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,186.014664,138.837019,0.003571,0.142857,2.857143,57.142857,3.144526
0.050000,186.012888,138.837014,0.005348,0.035532,-2.146507,-100.072996,3.144384
0.050000,186.008889,138.837004,0.009347,0.079976,0.888890,60.707939,3.144064
0.050000,186.001775,138.836988,0.016461,0.142282,1.246111,7.144416,3.143495
0.050000,185.990646,138.836972,0.027590,0.222576,1.605888,7.195541,3.142604
0.050000,185.947277,138.836970,0.070958,0.867374,12.895959,225.801423,3.141320
0.050000,185.750270,138.837196,0.267966,3.940154,61.455598,971.192788,3.139564
0.050000,185.492879,138.838015,0.525359,5.147849,24.153903,-746.033900,3.137260
0.050000,185.166885,138.839906,0.851358,6.519979,27.442591,65.773761,3.134323
0.050000,184.764037,138.843570,1.254223,8.057304,30.746494,66.078046,3.130664
0.050000,184.276071,138.849993,1.742231,9.760161,34.057141,66.212944,3.126190
0.050000,183.694433,138.860519,2.323964,11.634657,37.489934,68.655853,3.120794
0.050000,183.010716,138.876936,3.007878,13.678291,40.872675,67.654833,3.114364
0.050000,182.216075,138.901590,3.802901,15.900460,44.443386,71.414210,3.106769
0.050000,181.306071,138.937316,4.713606,18.214100,46.272793,36.588150,3.097909
0.050000,180.283769,138.987190,5.737124,20.470356,45.125125,-22.953373,3.087744
0.050000,179.156732,139.054397,6.866163,22.580778,42.208443,-58.333622,3.076273
0.050000,177.932144,139.142335,8.093905,24.554835,39.481136,-54.546159,3.063484
0.050000,176.617744,139.254504,9.413082,26.383550,36.574288,-58.136942,3.049372
0.050000,175.220871,139.394527,10.816956,28.077477,33.878544,-53.914883,3.033925
0.050000,173.749630,139.565987,12.298154,29.623958,30.929616,-58.978562,3.017140
0.050000,172.211859,139.772459,13.849724,31.031402,28.148882,-55.614692,2.999014
0.050000,170.615875,140.017357,15.464388,32.293277,25.237511,-58.227419,2.979552
0.050000,168.970185,140.303879,17.134834,33.408925,22.312960,-58.491014,2.958770
0.050000,167.283698,140.634874,18.853496,34.373230,19.286103,-60.537144,2.936700
0.050000,165.565508,141.012766,20.612750,35.185098,16.237344,-60.975167,2.913385
0.050000,163.825174,141.439378,22.404610,35.837189,13.041836,-63.910167,2.888892
0.050000,162.072647,141.915789,24.220737,36.322546,9.707133,-66.694061,2.863312
0.050000,160.318095,142.442230,26.052565,36.636555,6.280186,-68.538933,2.836758
0.050000,158.567674,143.019389,27.895684,36.862371,4.516309,-35.277547,2.809305
0.050000,156.823793,143.648835,29.749686,37.080043,4.353439,-3.257394,2.780981
0.050000,155.089059,144.331947,31.614075,37.287777,4.154676,-3.975272,2.751822
0.050000,153.366265,145.069879,33.488257,37.483651,3.917484,-4.743844,2.721880
0.050000,151.658457,145.863471,35.371445,37.663763,3.602239,-6.304897,2.691218
0.050000,149.968884,146.713203,37.262662,37.824336,3.211457,-7.815626,2.659915
0.050000,148.300946,147.619148,39.160754,37.961842,2.750121,-9.226732,2.628062
0.050000,146.658126,148.580942,41.064410,38.073128,2.225728,-10.487854,2.595763
0.050000,145.043911,149.597763,42.972187,38.155537,1.648186,-11.550846,2.563132
0.050000,143.461670,150.668359,44.882597,38.208194,1.053134,-11.901043,2.530293
0.050000,141.914682,151.790989,46.794002,38.228098,0.398089,-13.100895,2.497373
0.050000,140.406002,152.963479,48.704721,38.214387,-0.274221,-13.446188,2.464508
0.050000,138.938337,154.183312,50.613132,38.168213,-0.923487,-12.985332,2.431828
0.050000,137.514089,155.447598,52.517575,38.088861,-1.587045,-13.271161,2.399466
0.050000,136.135217,156.753226,54.416509,37.978689,-2.203430,-12.327691,2.367544
0.050000,134.803249,158.096896,56.308489,37.839598,-2.781829,-11.567991,2.336179
0.050000,133.519269,159.475198,58.192188,37.673967,-3.312612,-10.615657,2.305477
0.050000,132.283898,160.884705,60.066448,37.485198,-3.775381,-9.255378,2.275530
0.050000,131.097337,162.322024,61.930265,37.276351,-4.176943,-8.031243,2.246419
0.050000,129.959377,163.783871,63.782817,37.051039,-4.506249,-6.586114,2.218210
0.050000,128.869465,165.267091,65.623428,36.812213,-4.776504,-5.405096,2.190956
0.050000,127.826709,166.768747,67.451627,36.563981,-4.964653,-3.762993,2.164696
0.050000,126.829982,168.286067,69.267040,36.308266,-5.114296,-2.992856,2.139458
0.050000,125.877910,169.816556,71.069493,36.049062,-5.184079,-1.395661,2.115259
0.050000,124.968978,171.357901,72.858879,35.787717,-5.226905,-0.856524,2.092104
0.050000,124.101516,172.908065,74.635252,35.527456,-5.205221,0.433680,2.069992
0.050000,123.273801,174.465178,76.398689,35.268747,-5.174175,0.620922,2.048914
0.050000,122.484015,176.027653,78.149430,35.014810,-5.078740,1.908695,2.028853
0.050000,121.730358,177.594017,79.887674,34.764897,-4.998251,1.609793,2.009791
0.050000,121.010997,179.163043,81.613745,34.521419,-4.869564,2.573734,1.991703
0.050000,120.324122,180.733652,83.327983,34.284747,-4.733440,2.722492,1.974562
0.050000,119.667965,182.304893,85.030728,34.054904,-4.596858,2.731623,1.958342
0.050000,119.040807,183.875935,86.722325,33.831933,-4.459416,2.748856,1.943012
