dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,185.941336,163.836912,0.003571,0.142857,2.857143,57.142857,3.144526
0.050000,185.943112,163.836917,0.005348,0.035532,-2.146507,-100.072996,3.144384
0.050000,185.947111,163.836928,0.009347,0.079976,0.888890,60.707939,3.144064
0.050000,185.954225,163.836943,0.016461,0.142282,1.246111,7.144416,3.143495
0.050000,185.965354,163.836959,0.027590,0.222576,1.605888,7.195541,3.142604
0.050000,185.954104,163.836969,0.038840,0.225006,0.048595,-31.145861,3.141320
0.050000,185.800977,163.837145,0.191966,3.062527,56.750415,1134.036404,3.139564
0.050000,185.601200,163.837780,0.391745,3.995579,18.661038,-761.787535,3.137260
0.050000,185.348636,163.839245,0.644313,5.051355,21.115525,49.089737,3.134323
0.050000,185.037246,163.842077,0.955716,6.228066,23.534221,48.373910,3.130664
0.050000,184.661131,163.847028,1.331863,7.522937,25.897431,47.264201,3.126190
0.050000,184.214362,163.855112,1.778706,8.936856,28.278368,47.618746,3.120794
0.050000,183.691355,163.867668,2.301864,10.463152,30.525931,44.951258,3.114364
0.050000,183.086486,163.886433,2.907023,12.103195,32.800850,45.498374,3.106769
0.050000,182.397808,163.913466,3.596232,13.784168,33.619458,16.372178,3.097909
0.050000,181.629325,163.950953,4.365628,15.387932,32.075286,-30.883441,3.087744
0.050000,180.788574,164.001082,5.207872,16.844875,29.138864,-58.728446,3.076273
0.050000,179.882876,164.066111,6.115903,18.160607,26.314640,-56.484479,3.063484
0.050000,178.919988,164.148271,7.082289,19.327740,23.342648,-59.439835,3.049372
0.050000,177.907355,164.249764,8.099996,20.354123,20.527672,-56.299530,3.033925
0.050000,176.852911,164.372632,9.161573,21.231554,17.548613,-59.581174,3.017140
0.050000,175.764269,164.518780,10.259982,21.968177,14.732455,-56.323161,2.999014
0.050000,174.649193,164.689859,11.388106,22.562472,11.885914,-56.930829,2.979552
0.050000,173.515325,164.887241,12.539025,23.018390,9.118344,-55.351393,2.958770
0.050000,172.370259,165.111942,13.705930,23.338097,6.394152,-54.483837,2.936700
0.050000,171.221317,165.364600,14.882324,23.527877,3.795589,-51.971270,2.913385
0.050000,170.075672,165.645396,16.061879,23.591103,1.264525,-50.621277,2.888892
0.050000,168.940230,165.954015,17.238516,23.532732,-1.167412,-48.638736,2.863312
0.050000,167.821478,166.289646,18.406529,23.360265,-3.449349,-45.638745,2.836758
0.050000,166.722825,166.651857,19.563350,23.136427,-4.476762,-20.548257,2.809305
0.050000,165.644970,167.040860,20.709254,22.918063,-4.367271,2.189816,2.780981
0.050000,164.588469,167.456851,21.844702,22.708962,-4.182029,3.704844,2.751822
0.050000,163.553724,167.900027,22.970358,22.513130,-3.916630,5.307986,2.721880
0.050000,162.541026,168.370575,24.087037,22.333583,-3.590951,6.513577,2.691218
0.050000,161.550546,168.868679,25.195712,22.173489,-3.201869,7.781640,2.659915
0.050000,160.582331,169.394538,26.297514,22.036038,-2.749021,9.056959,2.628062
0.050000,159.636308,169.948366,27.393728,21.924278,-2.235197,10.276480,2.595763
0.050000,158.712293,170.530401,28.485775,21.840953,-1.666509,11.373750,2.563132
0.050000,157.809983,171.140924,29.575226,21.789011,-1.038840,12.553379,2.530293
0.050000,156.929042,171.780211,30.663685,21.769193,-0.396357,12.849676,2.497373
0.050000,156.069093,172.448540,31.752802,21.782328,0.262708,13.181294,2.464508
0.050000,155.229714,173.146197,32.844261,21.829179,0.937002,13.485883,2.431828
0.050000,154.410519,173.873413,33.939672,21.908217,1.580777,12.875506,2.399466
0.050000,153.611123,174.630383,35.040597,22.018515,2.205957,12.503590,2.367544
0.050000,152.831180,175.417222,36.148490,22.157853,2.786747,11.615793,2.336179
0.050000,152.070394,176.233949,37.264662,22.323432,3.311588,10.496834,2.305477
0.050000,151.328500,177.080481,38.390283,22.512417,3.779706,9.362352,2.275530
0.050000,150.605278,177.956609,39.526351,22.721365,4.178948,7.984851,2.246419
0.050000,149.900535,178.862008,40.673700,22.946981,4.512324,6.667508,2.218210
0.050000,149.214108,179.796217,41.832979,23.185591,4.772201,5.197546,2.190956
0.050000,148.545826,180.758679,43.004702,23.434450,4.977186,4.099695,2.164696
0.050000,147.895536,181.748698,44.189191,23.689781,5.106613,2.588546,2.139458
0.050000,147.263054,182.765518,45.386670,23.949585,5.196079,1.789322,2.115259
0.050000,146.648191,183.808271,46.597203,24.210659,5.221474,0.507885,2.092104
0.050000,146.050711,184.876056,47.820783,24.471596,5.218752,-0.054440,2.069992
0.050000,145.470370,185.967888,49.057267,24.729674,5.161561,-1.143810,2.048914
0.050000,144.906855,187.082799,50.306497,24.984615,5.098824,-1.254749,2.028853
0.050000,144.359849,188.219749,51.568190,25.233860,4.984899,-2.278492,2.009791
0.050000,143.828973,189.377736,52.842068,25.477551,4.873812,-2.221733,1.991703
0.050000,143.313819,190.555762,54.127808,25.714799,4.744964,-2.576977,1.974562
0.050000,142.813949,191.752825,55.425048,25.944798,4.599970,-2.899867,1.958342
0.050000,142.328901,192.967944,56.733400,26.167045,4.444944,-3.100525,1.943012
0.050000,141.858168,194.200204,58.052511,26.382228,4.303670,-2.825486,1.928542
0.050000,141.401227,195.448705,59.382003,26.589830,4.152039,-3.032607,1.914903
0.050000,140.957538,196.712584,60.721500,26.789939,4.002177,-2.997249,1.902063
0.050000,140.526539,197.991024,62.070636,26.982724,3.855697,-2.929589,1.889994
0.050000,140.107657,199.283249,63.429057,27.168416,3.713841,-2.837134,1.878669
0.050000,139.700305,200.588527,64.796422,27.347293,3.577530,-2.726204,1.868058
0.050000,139.303887,201.906170,66.172405,27.519664,3.447429,-2.602021,1.858137
0.050000,138.917800,203.235532,67.556698,27.685863,3.323988,-2.468830,1.848881
0.050000,138.541437,204.576011,68.949010,27.846238,3.207487,-2.330014,1.840266
0.050000,138.174185,205.927042,70.349067,28.001142,3.098077,-2.188214,1.832270
0.050000,137.815432,207.288091,71.756603,28.150726,2.991689,-2.127754,1.824873
0.050000,137.464564,208.658670,73.171381,28.295551,2.896499,-1.903798,1.818056
0.050000,137.120959,210.038336,74.593190,28.436187,2.812723,-1.675527,1.811801
0.050000,136.784000,211.426669,76.021829,28.572780,2.731862,-1.617209,1.806092
0.050000,136.453071,212.823277,77.457109,28.705590,2.656201,-1.513218,1.800914
0.050000,136.127556,214.227787,78.898846,28.834756,2.583309,-1.457841,1.796254
0.050000,135.806832,215.639887,80.346911,28.961292,2.530733,-1.051520,1.792099
0.050000,135.490279,217.059272,81.801167,29.085113,2.476414,-1.086375,1.788439
0.050000,135.177279,218.485645,83.261478,29.206226,2.422247,-1.083346,1.785264
0.050000,134.867205,219.918763,84.727757,29.325584,2.387161,-0.701713,1.782566
0.050000,134.559431,221.358392,86.199918,29.443208,2.352486,-0.693511,1.780339
0.050000,134.253329,222.804304,87.677875,29.559147,2.318774,-0.674235,1.778575
0.050000,133.948261,224.256311,89.161584,29.674176,2.300596,-0.363561,1.777272
0.050000,133.643586,225.714231,90.650999,29.788305,2.282566,-0.360593,1.776425
0.050000,133.338657,227.177897,92.146091,29.901835,2.270596,-0.239409,1.776032
0.050000,133.032816,228.647161,93.646849,30.015167,2.266649,-0.078949,1.776093
0.050000,132.725397,230.121885,95.153275,30.128512,2.266906,0.005156,1.776607
0.050000,132.415720,231.601946,96.665386,30.242223,2.274213,0.146128,1.777576
0.050000,132.103094,233.087225,98.183209,30.356463,2.284801,0.211762,1.779001
0.050000,131.786813,234.577623,99.706797,30.471761,2.305959,0.423160,1.780888
0.050000,131.466153,236.073040,101.236207,30.588199,2.328759,0.455996,1.783241
0.050000,131.140373,237.573379,102.771508,30.706029,2.356611,0.557046,1.786065
0.050000,130.808708,239.078571,104.312808,30.825992,2.399259,0.852949,1.789369
0.050000,130.470374,240.588524,105.860202,30.947875,2.437649,0.767810,1.793160
0.050000,130.124561,242.103153,107.413807,31.072102,2.484543,0.937889,1.797449
0.050000,129.770427,243.622394,108.973776,31.199379,2.545546,1.220055,1.802246
0.050000,129.407102,245.146165,110.540263,31.329743,2.607275,1.234583,1.807565
0.050000,129.033687,246.674371,112.113430,31.463334,2.671816,1.290812,1.813419
0.050000,128.649244,248.206924,113.693466,31.600723,2.747785,1.519380,1.819822
0.050000,128.252793,249.743736,115.280590,31.742490,2.835337,1.751047,1.826792
0.050000,127.843314,251.284700,116.875032,31.888830,2.926791,1.829083,1.834347
0.050000,127.419747,252.829679,118.477021,32.039781,3.019021,1.844588,1.842506
0.050000,126.980980,254.378528,120.086820,32.195975,3.123884,2.097271,1.851291
0.050000,126.525851,255.931082,121.704708,32.357773,3.235970,2.241708,1.860722
