dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,185.941285,160.325054,0.003571,0.142857,2.857143,57.142857,3.138655
0.050000,185.943090,160.325049,0.005376,0.036091,-2.135317,-99.849204,3.138800
0.050000,185.947151,160.325038,0.009438,0.081236,0.902885,60.764056,3.139125
0.050000,185.954378,160.325022,0.016664,0.144522,1.265728,7.256851,3.139703
0.050000,185.965682,160.325006,0.027968,0.226080,1.631163,7.308697,3.140607
0.050000,185.950530,160.324996,0.043120,0.303040,1.539195,-1.839357,3.141912
0.050000,185.797760,160.324811,0.195889,3.055386,55.046921,1070.154520,3.143695
0.050000,185.598433,160.324159,0.395218,3.986573,18.623735,-728.463725,3.146036
0.050000,185.346448,160.322664,0.647207,5.039781,21.064165,48.808597,3.149020
0.050000,185.035792,160.319780,0.957877,6.213398,23.472336,48.163424,3.152736
0.050000,184.660526,160.314747,1.333176,7.505992,25.851879,47.590860,3.157281
0.050000,184.214888,160.306537,1.778890,8.914275,28.165663,46.275689,3.162761
0.050000,183.693093,160.293790,2.300840,10.439006,30.494631,46.579351,3.169294
0.050000,183.089749,160.274752,2.904485,12.072895,32.677766,43.662711,3.177008
0.050000,182.402798,160.247331,3.591983,13.749953,33.541160,17.267877,3.186007
0.050000,181.636371,160.209322,4.359352,15.347383,31.948604,-31.851125,3.196331
0.050000,180.797877,160.158504,5.199384,16.800649,29.065315,-57.665768,3.207983
0.050000,179.894784,160.092600,6.104879,18.109890,26.184835,-57.609613,3.220969
0.050000,178.934626,160.009341,7.068640,19.275230,23.306785,-57.561005,3.235300
0.050000,177.925237,159.906539,8.083251,20.292207,20.339557,-59.344547,3.250981
0.050000,176.874110,159.782089,9.141719,21.169358,17.543010,-55.930953,3.268020
0.050000,175.789157,159.634108,10.236717,21.899973,14.612306,-58.614070,3.286414
0.050000,174.677903,159.460903,11.361388,22.493423,11.868995,-54.866220,3.306160
0.050000,173.548232,159.261139,12.508586,22.943949,9.010517,-57.169562,3.327234
0.050000,172.407526,159.033773,13.671731,23.262910,6.379220,-52.625933,3.349608
0.050000,171.263146,158.778186,14.844305,23.451468,3.771162,-52.161162,3.373229
0.050000,170.122223,158.494211,16.020037,23.514650,1.263651,-50.150216,3.398029
0.050000,168.991643,158.182189,17.192885,23.456946,-1.154082,-48.354675,3.423911
0.050000,167.877752,157.842930,18.357294,23.288180,-3.375319,-44.424741,3.450756
0.050000,166.784055,157.476927,19.510606,23.066257,-4.438475,-21.263103,3.478483
0.050000,165.711034,157.083918,20.653336,22.854597,-4.233197,4.105557,3.507064
0.050000,164.659267,156.663731,21.785931,22.651905,-4.053844,3.587051,3.536454
0.050000,163.629117,156.216176,22.909103,22.463425,-3.769597,5.684935,3.566597
0.050000,162.620825,155.741067,24.023724,22.292418,-3.420126,6.989422,3.597423
0.050000,161.634510,155.238215,25.130827,22.142070,-3.006962,8.263280,3.628849
0.050000,160.670149,154.707405,26.231623,22.015927,-2.522870,9.681843,3.660781
0.050000,159.727603,154.148402,27.327468,21.916895,-1.980641,10.844591,3.693110
0.050000,158.806688,153.560981,28.419782,21.846272,-1.412460,11.363602,3.725720
0.050000,157.907066,152.944857,29.510162,21.807598,-0.773472,12.779767,3.758486
0.050000,157.028388,152.299757,30.600221,21.801187,-0.128217,12.905103,3.791277
0.050000,156.170254,151.625403,31.691618,21.827939,0.535037,13.265089,3.823961
0.050000,155.332269,150.921545,32.785983,21.887294,1.187100,13.041244,3.856407
0.050000,154.514027,150.187954,33.884926,21.978871,1.831544,12.888882,3.888488
0.050000,153.715177,149.424487,34.989934,22.100150,2.425576,11.880634,3.920083
0.050000,152.935385,148.631065,36.102406,22.249453,2.986061,11.209717,3.951081
0.050000,152.174365,147.807710,37.223595,22.423768,3.486295,10.004665,3.981382
0.050000,151.431876,146.954560,38.354592,22.619950,3.923649,8.747097,4.010899
0.050000,150.707706,146.071869,39.496330,22.834760,4.296197,7.450960,4.039556
0.050000,150.001678,145.160020,40.649563,23.064648,4.597758,6.031219,4.067294
0.050000,149.313621,144.219504,41.814892,23.306590,4.838832,4.821482,4.094065
0.050000,148.643380,143.250937,42.992748,23.557120,5.010598,3.435304,4.119834
0.050000,147.990791,142.255037,44.183416,23.813351,5.124627,2.280580,4.144578
0.050000,147.355664,141.232589,45.387071,24.073099,5.194956,1.406576,4.168284
0.050000,146.737811,140.184501,46.603718,24.332948,5.196976,0.040410,4.190949
0.050000,146.136977,139.111665,47.833344,24.592513,5.191312,-0.113274,4.212578
0.050000,145.552916,138.015097,49.075757,24.848255,5.114836,-1.529519,4.233182
0.050000,144.985299,136.895754,50.330793,25.100733,5.049565,-1.305432,4.252778
0.050000,144.433803,135.754682,51.598150,25.347141,4.928160,-2.428103,4.271387
0.050000,143.898037,134.592872,52.877544,25.587869,4.814563,-2.271934,4.289034
0.050000,143.377584,133.411316,54.168646,25.822049,4.683596,-2.619345,4.305746
0.050000,142.872009,132.211022,55.471071,26.048490,4.528806,-3.095790,4.321550
0.050000,142.380829,130.992927,56.784469,26.267963,4.389477,-2.786586,4.336477
0.050000,141.903537,129.757945,58.108474,26.480093,4.242602,-2.937501,4.350556
0.050000,141.439609,128.506962,59.442710,26.684734,4.092811,-2.995812,4.363816
0.050000,140.988501,127.240823,60.786810,26.882003,3.945373,-2.948767,4.376288
0.050000,140.549649,125.960334,62.140415,27.072091,3.801772,-2.872014,4.387999
0.050000,140.122478,124.666253,63.503176,27.255229,3.662755,-2.780334,4.398978
0.050000,139.706401,123.359299,64.874763,27.431735,3.530111,-2.652892,4.409251
0.050000,139.300819,122.040140,66.254864,27.602009,3.405484,-2.492529,4.418842
0.050000,138.905131,120.709413,67.643172,27.766175,3.283321,-2.443272,4.427777
0.050000,138.518729,119.367708,69.039410,27.924761,3.171718,-2.232062,4.436078
0.050000,138.140998,118.015574,70.443314,28.078077,3.066320,-2.107961,4.443765
0.050000,137.771324,116.653525,71.854638,28.226482,2.968107,-1.964249,4.450858
0.050000,137.409090,115.282039,73.273155,28.370334,2.877047,-1.821195,4.457377
0.050000,137.053676,113.901557,74.698654,28.509987,2.793054,-1.679876,4.463337
0.050000,136.704464,112.512491,76.130944,28.645788,2.716008,-1.540904,4.468754
0.050000,136.360834,111.115229,77.569840,28.777926,2.642768,-1.464809,4.473643
0.050000,136.022165,109.710123,79.015184,28.906881,2.579091,-1.273537,4.478015
0.050000,135.687831,108.297489,80.466844,29.033193,2.526252,-1.056787,4.481882
