dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,186.014715,185.324946,0.003571,0.142857,2.857143,57.142857,3.138655
0.050000,186.012910,185.324951,0.005376,0.036091,-2.135317,-99.849204,3.138800
0.050000,186.008849,185.324962,0.009438,0.081236,0.902885,60.764056,3.139125
0.050000,186.001622,185.324978,0.016664,0.144522,1.265728,7.256851,3.139703
0.050000,185.990318,185.324994,0.027968,0.226080,1.631163,7.308697,3.140607
0.050000,185.942541,185.324994,0.075745,0.955551,14.589422,259.165188,3.141912
0.050000,185.745201,185.324755,0.273086,3.946806,59.825105,904.713660,3.143695
0.050000,185.487349,185.323912,0.530939,5.157062,24.205118,-712.399743,3.146036
0.050000,185.160775,185.321974,0.857519,6.531600,27.490745,65.712538,3.149020
0.050000,184.757220,185.318228,1.261091,8.071450,30.797001,66.125118,3.152736
0.050000,184.268326,185.311671,1.750029,9.778752,34.146047,66.980921,3.157281
0.050000,183.685712,185.300936,2.332742,11.654257,37.510102,67.281094,3.162761
0.050000,183.000655,185.284199,3.018004,13.705235,41.019561,70.189177,3.169294
0.050000,182.204558,185.259076,3.814497,15.929869,44.492677,69.462337,3.177008
0.050000,181.292795,185.222677,4.726985,18.249769,46.398003,38.106504,3.186007
0.050000,180.268589,185.171878,5.752451,20.509307,45.190751,-24.145041,3.196331
0.050000,179.139342,185.103428,6.883770,22.626387,42.341604,-56.982940,3.207983
0.050000,177.912450,185.013884,8.113926,24.603118,39.534630,-56.139474,3.220969
0.050000,176.595364,184.899658,9.435956,26.440591,36.749448,-55.703647,3.235300
0.050000,175.195986,184.757117,10.842575,28.132379,33.835773,-58.273491,3.250981
0.050000,173.721850,184.582558,12.327009,29.688697,31.126344,-54.188583,3.268020
0.050000,172.181262,184.372400,13.881866,31.097139,28.168856,-59.149756,3.286414
0.050000,170.582264,184.123136,15.500176,32.366192,25.381043,-55.756256,3.306160
0.050000,168.933799,183.831589,17.174224,33.480970,22.295567,-61.709532,3.327234
0.050000,167.244575,183.494843,18.896686,34.449237,19.365338,-58.604569,3.349608
0.050000,165.523876,183.110485,20.659791,35.262087,16.257011,-62.166553,3.373229
0.050000,163.781346,182.676711,22.455499,35.914172,13.041694,-64.306328,3.398029
0.050000,162.027075,182.192495,24.275370,36.397419,9.664947,-67.534938,3.423911
0.050000,160.271201,181.657640,26.110898,36.710563,6.262863,-68.041684,3.450756
0.050000,158.520199,181.071602,27.957368,36.929385,4.376448,-37.728298,3.478483
0.050000,156.776284,180.432799,29.814599,37.144627,4.304840,-1.432163,3.507064
0.050000,155.042258,179.739977,31.681910,37.346222,4.031898,-5.458838,3.536454
0.050000,153.321006,178.992103,33.558615,37.534097,3.757497,-5.488014,3.566597
0.050000,151.615635,178.188468,35.443853,37.704759,3.413253,-6.884894,3.597423
0.050000,149.929430,177.328735,37.336583,37.854610,2.997009,-8.324864,3.628849
0.050000,148.265769,176.412965,39.235636,37.981052,2.528837,-9.363442,3.660781
0.050000,146.628088,175.441657,41.139695,38.081173,2.002423,-10.528284,3.693110
0.050000,145.019893,174.415820,43.047215,38.150405,1.384642,-12.355627,3.725720
0.050000,143.444474,173.336851,44.956695,38.189612,0.784149,-12.009858,3.758486
0.050000,141.905020,172.206634,46.866489,38.195863,0.125019,-13.182601,3.791277
0.050000,140.404440,171.027442,48.774952,38.169274,-0.531785,-13.136083,3.823961
0.050000,138.945348,169.801926,50.680429,38.109528,-1.194926,-13.262821,3.856407
0.050000,137.529939,168.533001,52.581363,38.018694,-1.816680,-12.435081,3.888488
0.050000,136.160049,167.223855,54.476215,37.897040,-2.433066,-12.327721,3.920083
0.050000,134.837029,165.877790,56.363613,37.747951,-2.981789,-10.974446,3.951081
0.050000,133.561801,164.498200,58.242303,37.573811,-3.482803,-10.020277,3.981382
0.050000,132.334844,163.088480,60.111189,37.377715,-3.921920,-8.782348,4.010899
0.050000,131.156217,161.651962,61.969345,37.163123,-4.291846,-7.398512,4.039556
0.050000,130.025606,160.191872,63.816003,36.933151,-4.599439,-6.151865,4.067294
0.050000,128.942340,158.711257,65.650583,36.691603,-4.830947,-4.630153,4.094065
0.050000,127.905469,157.212994,67.472641,36.441162,-5.008820,-3.557469,4.119834
0.050000,126.913792,155.699742,69.281883,36.184830,-5.126641,-2.356422,4.144578
0.050000,125.965893,154.173908,71.078179,35.925928,-5.178044,-1.028059,4.168284
0.050000,125.060246,152.637740,72.861436,35.665150,-5.215568,-0.750488,4.190949
0.050000,124.195151,151.093161,74.631780,35.406860,-5.165790,0.995561,4.212578
0.050000,123.368899,149.541995,76.389280,35.150016,-5.136889,0.578021,4.233182
0.050000,122.579672,147.985742,78.134216,34.898724,-5.025837,2.221036,4.252778
0.050000,121.825690,146.425822,79.866798,34.651629,-4.941886,1.679029,4.271387
0.050000,121.105141,144.863407,81.587360,34.411243,-4.807726,2.683191,4.289034
0.050000,120.416241,143.299528,83.296248,34.177767,-4.669529,2.763956,4.305746
0.050000,119.757264,141.735126,84.993777,33.950569,-4.543952,2.511534,4.321550
0.050000,119.126501,140.170957,86.680338,33.731222,-4.386933,3.140388,4.336477
0.050000,118.522302,138.607682,88.356310,33.519445,-4.235542,3.027813,4.350556
