dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,185.455876,161.259054,0.003571,0.142857,2.857143,57.142857,3.144543
0.050000,185.453748,161.259048,0.005700,0.042573,-2.005682,-97.256496,3.144372
0.050000,185.448957,161.259036,0.010491,0.095823,1.065004,61.413716,3.143989
0.050000,185.440433,161.259018,0.019015,0.170468,1.492900,8.557932,3.143307
0.050000,185.427101,161.259003,0.032347,0.266653,1.923704,8.616066,3.142241
0.050000,185.333395,161.259038,0.126053,1.874116,32.149244,604.510805,3.140701
0.050000,185.132196,161.259429,0.327252,4.023978,42.997251,216.960138,3.138599
0.050000,184.869079,161.260580,0.590372,5.262395,24.768331,-364.578406,3.135837
0.050000,184.535819,161.263083,0.923641,6.665391,28.059924,65.831872,3.132318
0.050000,184.123852,161.267806,1.335635,8.239876,31.489703,68.595585,3.127935
0.050000,183.624817,161.275957,1.834737,9.982032,34.843121,67.068360,3.122577
0.050000,183.029941,161.289188,2.429760,11.900464,38.368639,70.510357,3.116119
0.050000,182.330554,161.309694,3.129447,13.993751,41.865733,69.941878,3.108426
0.050000,181.517650,161.340349,3.942929,16.269632,45.517617,73.037684,3.099349
0.050000,180.586500,161.384629,4.875132,18.644051,47.488384,39.415328,3.088769
0.050000,179.540331,161.446283,5.923116,20.959681,46.312604,-23.515586,3.076646
0.050000,178.386880,161.529188,7.079542,23.128528,43.376945,-58.713188,3.062985
0.050000,177.133685,161.637452,8.337405,25.157254,40.574507,-56.048760,3.047789
0.050000,175.788808,161.775288,9.689327,27.038455,37.624031,-59.009529,3.031062
0.050000,174.360356,161.946974,11.128059,28.774633,34.723553,-58.009548,3.012814
0.050000,172.856507,162.156775,12.646473,30.368279,31.872919,-57.012676,2.993057
0.050000,171.286183,162.408756,14.236885,31.808234,28.799098,-61.476429,2.971821
0.050000,169.658450,162.706737,15.891668,33.095669,25.748698,-61.008007,2.949146
0.050000,167.982655,163.054164,17.603099,34.228620,22.659028,-61.793389,2.925089
0.050000,166.268857,163.453869,19.362891,35.195829,19.344190,-66.296756,2.899730
0.050000,164.527344,163.908004,21.162642,35.995036,15.984139,-67.201027,2.873174
0.050000,162.768831,164.417829,22.993569,36.618522,12.469718,-70.288417,2.845549
0.050000,161.004201,164.983606,24.846680,37.062232,8.874190,-71.910553,2.817012
0.050000,159.244789,165.604335,26.712380,37.313991,5.035178,-76.780257,2.787747
0.050000,157.497539,166.279490,28.585536,37.463129,2.982770,-41.048158,2.757891
0.050000,155.765586,167.009407,30.465015,37.589585,2.529116,-9.073084,2.727527
0.050000,154.052031,167.794102,32.349694,37.693577,2.079843,-8.985449,2.696745
0.050000,152.360048,168.633190,34.238312,37.772357,1.575589,-10.085090,2.665649
0.050000,150.692805,169.525873,36.129498,37.823711,1.027087,-10.970022,2.634348
0.050000,149.053398,170.470941,38.021800,37.846046,0.446699,-11.607773,2.602957
0.050000,147.444776,171.466785,39.913722,37.838439,-0.152132,-11.976615,2.571597
0.050000,145.869674,172.511427,41.803755,37.800664,-0.755504,-12.067450,2.540388
0.050000,144.330549,173.602563,43.690414,37.733177,-1.349735,-11.884615,2.509449
0.050000,142.829532,174.737617,45.572275,37.637221,-1.919128,-11.387850,2.478893
0.050000,141.368394,175.913795,47.447993,37.514357,-2.457283,-10.763109,2.448831
0.050000,139.948547,177.128135,49.316305,37.366235,-2.962428,-10.102896,2.419360
0.050000,138.570989,178.377598,51.176096,37.195821,-3.408288,-8.917200,2.390571
0.050000,137.236336,179.659112,53.026387,37.005828,-3.799860,-7.831448,2.362543
0.050000,135.944840,180.969631,54.866338,36.799026,-4.136033,-6.723458,2.335342
0.050000,134.696400,182.306186,56.695267,36.578579,-4.408938,-5.458101,2.309023
