dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,185.382124,186.258946,0.003571,0.142857,2.857143,57.142857,3.144543
0.050000,185.384252,186.258952,0.005700,0.042573,-2.005682,-97.256496,3.144372
0.050000,185.389043,186.258964,0.010491,0.095823,1.065004,61.413716,3.143989
0.050000,185.397567,186.258982,0.019015,0.170468,1.492900,8.557932,3.143307
0.050000,185.410899,186.258997,0.032347,0.266653,1.923704,8.616066,3.142241
0.050000,185.355688,186.259028,0.087559,1.104237,16.751666,296.559255,3.140701
0.050000,185.207036,186.259317,0.236211,2.973031,37.375883,412.484322,3.138599
0.050000,185.012961,186.260166,0.430288,3.881549,18.170367,-384.110309,3.135837
0.050000,184.767675,186.262008,0.675581,4.905859,20.486202,46.316707,3.132318
0.050000,184.465276,186.265474,0.977999,6.048364,22.850088,47.277705,3.127935
0.050000,184.100183,186.271437,1.343142,7.302847,25.089659,44.791418,3.122577
0.050000,183.666722,186.281077,1.776710,8.671365,27.370362,45.614067,3.116119
0.050000,183.159557,186.295945,2.284093,10.147659,29.525876,43.110287,3.108426
0.050000,182.573422,186.318046,2.870644,11.731031,31.667440,42.831277,3.099349
0.050000,181.906479,186.349757,3.538341,13.353927,32.457925,15.809697,3.088769
0.050000,181.162863,186.393575,4.283246,14.898106,30.883579,-31.486929,3.076646
0.050000,180.350040,186.451989,5.098166,16.298395,28.005782,-57.555939,3.062985
0.050000,179.475349,186.527542,5.976114,17.558959,25.211285,-55.889940,3.047789
0.050000,178.546454,186.622730,6.909873,18.675186,22.324548,-57.734741,3.031062
0.050000,177.570940,186.739960,7.892406,19.650656,19.509392,-56.303112,3.012814
0.050000,176.556258,186.881497,8.916911,20.490111,16.789102,-54.405797,2.993057
0.050000,175.510114,187.049341,9.976435,21.190462,14.007025,-55.641542,2.971821
0.050000,174.439969,187.245219,11.064359,21.758487,11.360494,-52.930620,2.949146
0.050000,173.353066,187.470525,12.174368,22.200189,8.834047,-50.528946,2.925089
0.050000,172.256637,187.726209,13.300215,22.516929,6.334792,-49.985095,2.899730
0.050000,171.157526,188.012790,14.436072,22.717154,4.004497,-46.605889,2.873174
0.050000,170.062284,188.330285,15.576405,22.806653,1.789976,-44.290432,2.845549
0.050000,168.976995,188.678216,16.716102,22.793941,-0.254240,-40.884324,2.817012
0.050000,167.907474,189.055515,17.850223,22.682412,-2.230576,-39.526715,2.787747
0.050000,166.856420,189.461624,18.977005,22.535652,-2.935200,-14.092480,2.757891
0.050000,165.823960,189.896720,20.097399,22.407868,-2.555672,7.590558,2.727527
0.050000,164.810031,190.361012,21.212576,22.303538,-2.086598,9.381482,2.696745
0.050000,163.814479,190.854711,22.323819,22.224859,-1.573591,10.260142,2.665649
0.050000,162.837075,191.378029,23.432503,22.173697,-1.023242,11.006973,2.634348
0.050000,161.877521,191.931180,24.540077,22.151471,-0.444517,11.574506,2.602957
0.050000,160.935478,192.514373,25.648030,22.159055,0.151683,11.923992,2.571597
0.050000,160.010577,193.127801,26.757865,22.196712,0.753135,12.029042,2.540388
0.050000,159.102443,193.771628,27.871069,22.264064,1.347038,11.878061,2.509449
0.050000,158.210705,194.445978,28.989078,22.360189,1.922513,11.509501,2.478893
0.050000,157.335020,195.150917,30.113250,22.483439,2.464999,10.849725,2.448831
0.050000,156.475089,195.886425,31.244821,22.631424,2.959694,9.893900,2.419360
0.050000,155.630636,196.652400,32.384917,22.801919,3.409911,9.004346,2.390571
0.050000,154.801428,197.448647,33.534523,22.992121,3.804024,7.882248,2.362543
0.050000,153.987266,198.274857,34.694473,23.199005,4.137680,6.673129,2.335342
0.050000,153.187972,199.130625,35.865460,23.419726,4.414434,5.535068,2.309023
0.050000,152.403395,200.015430,37.048016,23.651133,4.628136,4.274045,2.283631
0.050000,151.633381,200.928666,38.242555,23.890765,4.792629,3.289865,2.259197
0.050000,150.877778,201.869635,39.449352,24.135944,4.903585,2.219118,2.235742
0.050000,150.136426,202.837557,40.668563,24.384215,4.965422,1.236736,2.213281
0.050000,149.409148,203.831583,41.900237,24.633490,4.985501,0.401579,2.191818
0.050000,148.695735,204.850830,43.144352,24.882294,4.976086,-0.188297,2.171349
0.050000,147.995952,205.894363,44.400798,25.128936,4.932826,-0.865192,2.151866
0.050000,147.309534,206.961227,45.669407,25.372175,4.864787,-1.360788,2.133356
0.050000,146.636182,208.050451,46.949959,25.611026,4.777013,-1.755471,2.115802
0.050000,145.975563,209.161062,48.242195,25.844730,4.674081,-2.058652,2.099182
0.050000,145.327308,210.292095,49.545832,26.072732,4.560046,-2.280691,2.083474
0.050000,144.691019,211.442598,50.860564,26.294654,4.438436,-2.432196,2.068653
0.050000,144.066265,212.611644,52.186078,26.510267,4.312261,-2.523503,2.054695
0.050000,143.452588,213.798331,53.522051,26.719469,4.184045,-2.564315,2.041574
0.050000,142.849504,215.001788,54.868164,26.922263,4.055872,-2.563475,2.029264
0.050000,142.256504,216.221180,56.224101,27.118734,3.929429,-2.528848,2.017739
0.050000,141.673061,217.455705,57.589553,27.309037,3.806065,-2.467282,2.006975
0.050000,141.098633,218.704590,58.964209,27.493133,3.681914,-2.483027,1.996948
0.050000,140.532656,219.967111,60.347788,27.671566,3.568651,-2.265266,1.987636
0.050000,139.974548,221.242588,61.740025,27.844751,3.463699,-2.099036,1.979015
0.050000,139.423720,222.530368,63.140664,28.012780,3.360590,-2.062173,1.971065
0.050000,138.879578,223.829816,64.549443,28.175571,3.255827,-2.095263,1.963769
0.050000,138.341500,225.140376,65.966162,28.334386,3.176298,-1.590584,1.957106
0.050000,137.808869,226.461492,67.390608,28.488910,3.090468,-1.716596,1.951062
0.050000,137.281056,227.792645,68.822583,28.639499,3.011793,-1.573493,1.945620
0.050000,136.757417,229.133365,70.261933,28.787009,2.950200,-1.231865,1.940768
0.050000,136.237311,230.483180,71.708485,28.931031,2.880442,-1.395154,1.936492
0.050000,135.720076,231.841682,73.162121,29.072730,2.833960,-0.929641,1.932783
0.050000,135.205052,233.208457,74.622712,29.211811,2.781625,-1.046708,1.929630
0.050000,134.691561,234.583137,76.090164,29.349046,2.744701,-0.738472,1.927026
0.050000,134.178923,235.965361,77.564390,29.484514,2.709362,-0.706786,1.924964
0.050000,133.666441,237.354798,79.045326,29.618730,2.684322,-0.500800,1.923439
0.050000,133.153411,238.751130,80.532923,29.751928,2.663952,-0.407405,1.922447
0.050000,132.639115,240.154059,82.027148,29.884516,2.651767,-0.243702,1.921985
0.050000,132.122820,241.563300,83.527988,30.016795,2.645576,-0.123824,1.922052
0.050000,131.603779,242.978581,85.035444,30.149116,2.646419,0.016871,1.922648
0.050000,131.081229,244.399642,86.549535,30.281831,2.654309,0.157795,1.923775
0.050000,130.554388,245.826230,88.070297,30.415240,2.668182,0.277471,1.925436
0.050000,130.022452,247.258104,89.597785,30.549745,2.690102,0.438382,1.927635
0.050000,129.484600,248.695022,91.132066,30.685620,2.717485,0.547674,1.930378
0.050000,128.939982,250.136748,92.673228,30.823256,2.752734,0.704974,1.933671
0.050000,128.387725,251.583048,94.221379,30.963017,2.795218,0.849689,1.937523
0.050000,127.826930,253.033678,95.776635,31.105105,2.841754,0.930717,1.941943
0.050000,127.256660,254.488407,97.339146,31.250235,2.902600,1.216911,1.946944
0.050000,126.675959,255.946965,98.909053,31.398133,2.957970,1.107395,1.952537
0.050000,126.083818,257.409114,100.486554,31.550023,3.037800,1.596615,1.958737
0.050000,125.479209,258.874558,102.071823,31.705386,3.107261,1.389211,1.965559
0.050000,124.861057,260.343001,103.665070,31.864932,3.190911,1.672996,1.973019
0.050000,124.228236,261.814144,105.266546,32.029528,3.291921,2.020208,1.981137
0.050000,123.579595,263.287619,106.876472,32.198514,3.379713,1.755831,1.989931
0.050000,122.913929,264.763042,108.495109,32.372738,3.484490,2.095541,1.999423
0.050000,122.229979,266.240005,110.122748,32.552782,3.600873,2.327658,2.009635
0.050000,121.526447,267.718038,111.759678,32.738587,3.716097,2.304497,2.020589
0.050000,120.801988,269.196605,113.406189,32.930238,3.833030,2.338651,2.032311
0.050000,120.055206,270.675119,115.062597,33.128155,3.958341,2.506225,2.044824
0.050000,119.284661,272.152920,116.729221,33.332472,4.086341,2.559990,2.058155
0.050000,118.488868,273.629262,118.406383,33.543246,4.215480,2.582792,2.072330
0.050000,117.666303,275.103306,120.094405,33.760440,4.343877,2.567935,2.087373
0.050000,116.815412,276.574104,121.793600,33.983904,4.469273,2.507926,2.103310
0.050000,115.934615,278.040590,123.504268,34.213354,4.589000,2.394539,2.120165
0.050000,115.022324,279.501565,125.226686,34.448351,4.699947,2.218930,2.137960
0.050000,114.076949,280.955682,126.961099,34.688278,4.798539,1.971847,2.156715
0.050000,113.096923,282.401440,128.707715,34.932315,4.880736,1.643942,2.176447
0.050000,112.080720,283.837166,130.466686,35.179417,4.942047,1.226216,2.197167
0.050000,111.026879,285.261011,132.238102,35.428315,4.977952,0.718104,2.218884
0.050000,109.934028,286.670954,134.021991,35.677794,4.989581,0.232578,2.241598
0.050000,108.800945,288.064754,135.818253,35.925231,4.948740,-0.816820,2.265302
0.050000,107.626562,289.440001,137.626700,36.168936,4.874109,-1.492632,2.289982
0.050000,106.410013,290.794113,139.447033,36.406656,4.754385,-2.394479,2.315612
0.050000,105.150680,292.124339,141.278813,36.635615,4.579196,-3.503769,2.342159
0.050000,103.848234,293.427786,143.121458,36.852884,4.345370,-4.676531,2.369576
0.050000,102.502661,294.701462,144.974244,37.055728,4.056879,-5.769820,2.397804
0.050000,101.114304,295.942306,146.836294,37.241005,3.705534,-7.026902,2.426773
0.050000,99.683873,297.147253,148.706596,37.406030,3.300511,-8.100444,2.456403
0.050000,98.212470,298.313278,150.583998,37.548055,2.840497,-9.200281,2.486601
0.050000,96.701609,299.437447,152.467203,37.664087,2.320648,-10.396995,2.517264
0.050000,95.153143,300.517025,154.354856,37.753072,1.779700,-10.818950,2.548283
0.050000,93.569293,301.549497,156.245512,37.813106,1.200670,-11.580600,2.579542
0.050000,91.952594,302.532636,158.137674,37.843246,0.602801,-11.957391,2.610921
0.050000,90.305840,303.464555,160.029834,37.843205,-0.000815,-12.072317,2.642300
0.050000,88.632025,304.343743,161.920504,37.813386,-0.596375,-11.911188,2.673560
0.050000,86.934269,305.169094,163.808248,37.754885,-1.170028,-11.473067,2.704587
0.050000,85.215751,305.939915,165.691721,37.669458,-1.708546,-10.770360,2.735271
0.050000,83.479631,306.655925,167.569694,37.559461,-2.199932,-9.827721,2.765515
0.050000,81.728992,307.317235,169.441076,37.427635,-2.636517,-8.731699,2.795229
0.050000,79.968721,307.923681,171.302883,37.236158,-3.829537,-23.860393,2.824303
0.050000,78.207489,308.474491,173.148237,36.907073,-6.581714,-55.043544,2.852580
0.050000,76.456592,308.969093,174.967653,36.388313,-10.375184,-75.869398,2.879883
0.050000,74.726886,309.408123,176.752205,35.691052,-13.945225,-71.400824,2.906064
0.050000,73.028943,309.793181,178.493263,34.821150,-17.398038,-69.056262,2.931004
0.050000,71.373086,310.126665,180.182367,33.782091,-20.781192,-67.663080,2.954605
0.050000,69.768942,310.411688,181.811635,32.585359,-23.934631,-63.068787,2.976797
0.050000,68.225973,310.651811,183.373178,31.230842,-27.090348,-63.114335,2.997527
0.050000,66.753090,310.850981,184.859466,29.725765,-30.101532,-60.223669,3.016759
0.050000,65.359014,311.013340,186.262965,28.069981,-33.115676,-60.282882,3.034470
0.050000,64.051924,311.143169,187.576486,26.270427,-35.991078,-57.508045,3.050647
