dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,269.500015,94.980358,0.003571,0.142857,2.857143,57.142857,4.713960
0.050000,269.500010,94.984231,0.007444,0.077444,-1.308261,-83.308075,4.713651
0.050000,269.500002,94.992950,0.016163,0.174384,1.938807,64.941365,4.712953
0.050000,269.499992,94.977286,0.031826,0.313268,2.777679,16.777431,4.711710
0.050000,269.499885,94.912362,0.096751,1.298494,19.704504,338.536500,4.709762
0.050000,269.499509,94.819095,0.190018,1.865345,11.337030,-167.349483,4.706937
0.050000,269.498574,94.692573,0.316544,2.530519,13.303478,39.328958,4.703059
0.050000,269.496619,94.528076,0.481053,3.290170,15.193028,37.791016,4.697934
0.050000,269.492949,94.321132,0.688030,4.139539,16.987370,35.886825,4.691350
0.050000,269.486569,94.067619,0.941622,5.071853,18.646284,33.178291,4.683066
0.050000,269.476109,93.763872,1.245550,6.078551,20.133961,29.753525,4.672809
0.050000,269.459742,93.406820,1.602977,7.148534,21.399648,25.313747,4.660260
0.050000,269.435090,92.994191,2.016341,8.267296,22.375253,19.512110,4.645045
0.050000,269.399143,92.524696,2.487210,9.417375,23.001578,12.526484,4.626715
0.050000,269.348423,92.000658,3.013697,10.529744,22.247385,-15.083856,4.604834
0.050000,269.279490,91.430202,3.588303,11.492105,19.247215,-60.003399,4.579090
0.050000,269.189174,90.824456,4.200744,12.248838,15.134664,-82.251012,4.549230
0.050000,269.074625,90.194969,4.840570,12.796504,10.953320,-83.626885,4.514990
0.050000,268.933510,89.553379,5.497495,13.138498,6.839865,-82.269092,4.476119
0.050000,268.764159,88.910899,6.161919,13.288496,2.999970,-76.797900,4.432420
0.050000,268.565601,88.277643,6.825575,13.273106,-0.307800,-66.155400,4.383803
0.050000,268.337397,87.661779,7.482359,13.135694,-2.748250,-48.809006,4.330352
0.050000,268.079194,87.068652,8.129251,12.937825,-3.957372,-24.182432,4.272397
0.050000,267.790024,86.500166,8.767056,12.756106,-3.634383,6.459774,4.210572
0.050000,267.467497,85.954694,9.400747,12.673817,-1.645773,39.772198,4.145848
0.050000,267.107221,85.427771,10.039062,12.766302,1.849691,69.909284,4.079495
0.050000,266.702832,84.913537,10.693254,13.083838,6.350717,90.020506,4.012983
0.050000,266.246863,84.406505,11.375155,13.638018,11.083608,94.657825,3.947830
0.050000,265.732271,83.903057,12.095061,14.398127,15.202178,82.371408,3.885432
0.050000,265.152659,83.400971,12.861899,15.336768,18.772820,71.412830,3.826788
0.050000,264.502700,82.899289,13.682954,16.421097,21.686585,58.275306,3.772480
0.050000,263.779576,82.398829,14.562367,17.588265,23.343366,33.135611,3.722841
0.050000,262.982894,81.901363,15.501609,18.784836,23.931417,11.761024,3.677986
0.050000,262.114267,81.408909,16.500120,19.970216,23.707591,-4.476511,3.637873
0.050000,261.176758,80.923230,17.555965,21.116893,22.933540,-15.481016,3.602345
0.050000,260.174318,80.445541,18.666402,22.208752,21.837185,-21.927117,3.571183
0.050000,259.111322,79.976384,19.828327,23.238489,20.594741,-24.848876,3.544140
0.050000,257.992213,79.515621,21.038578,24.205022,19.330659,-25.281629,3.520962
0.050000,256.821257,79.062468,22.294160,25.111642,18.132407,-23.965047,3.501410
0.050000,255.602390,78.615574,23.592371,25.964218,17.051501,-21.618116,3.485268
0.050000,254.339135,78.173082,24.930882,26.770226,16.120167,-18.626684,3.472350
0.050000,253.034568,77.732697,26.307774,27.537841,15.352309,-15.357152,3.462502
0.050000,251.691318,77.291723,27.721556,28.275643,14.756043,-11.925334,3.455605
0.050000,250.311576,76.847086,29.171173,28.992331,14.333756,-8.445735,3.451574
0.050000,248.897133,76.395344,30.656003,29.696604,14.085457,-4.965980,3.450360
0.050000,247.449414,75.932668,32.175858,30.397100,14.009923,-1.510680,3.451949
0.050000,245.969527,75.454810,33.730983,31.102495,14.107897,1.959477,3.456359
0.050000,244.458318,74.957062,35.322054,31.821415,14.378391,5.409888,3.463645
0.050000,242.916436,74.434186,36.950182,32.562562,14.822941,8.890986,3.473895
0.050000,241.344415,73.880340,38.616913,33.334634,15.441440,12.369986,3.487235
