dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,315.806409,95.018585,0.003571,0.142857,2.857143,57.142857,4.713876
0.050000,315.806415,95.014606,0.007550,0.079573,-1.265681,-82.456476,4.713557
0.050000,315.806422,95.005643,0.016513,0.179255,1.993645,65.186527,4.712840
0.050000,315.806404,94.952705,0.069450,1.058752,17.589936,311.925803,4.711562
0.050000,315.806194,94.838309,0.183847,2.287938,24.583712,139.875525,4.709552
0.050000,315.805485,94.673211,0.348947,3.301983,20.280914,-86.055950,4.706630
0.050000,315.803734,94.447854,0.574311,4.507283,24.105989,76.501493,4.702601
0.050000,315.800051,94.152317,0.869870,5.911197,28.078275,79.445725,4.697242
0.050000,315.793056,93.776360,1.245892,7.520431,32.184683,82.128151,4.690303
0.050000,315.780683,93.309159,1.713258,9.347313,36.537639,87.059134,4.681484
0.050000,315.759919,92.739105,2.283689,11.408628,41.226305,93.773312,4.670422
0.050000,315.726446,92.053756,2.969855,13.723319,46.293812,101.350134,4.656671
0.050000,315.674118,91.239309,3.785981,16.322526,51.984139,113.806552,4.639665
0.050000,315.594209,90.280298,4.748316,19.246696,58.483410,129.985421,4.618676
0.050000,315.474893,89.164130,5.870843,22.450542,64.076912,111.870030,4.592873
0.050000,315.301231,87.886334,7.160386,25.790865,66.806464,54.591047,4.561419
0.050000,315.054372,86.446281,8.621445,29.221165,68.606011,35.990936,4.523384
0.050000,314.709951,84.843073,10.261232,32.795743,71.491542,57.710610,4.477618
0.050000,314.236641,83.077117,12.089516,36.565693,75.399007,78.149300,4.422766
0.050000,313.594988,81.153361,14.117460,40.558864,79.863423,89.288319,4.357358
0.050000,312.737568,79.086694,16.354932,44.749439,83.811506,78.961669,4.280030
0.050000,311.612920,76.910322,18.804713,48.995626,84.923731,22.244493,4.189981
0.050000,310.176341,74.684770,21.453645,52.978649,79.660457,-105.265468,4.087688
0.050000,308.408738,72.501179,24.263003,56.187147,64.169964,-309.809865,3.975679
0.050000,306.336739,70.469263,27.165047,58.040889,37.074850,-541.902280,3.858811
0.050000,304.037985,68.687884,30.073239,58.163845,2.459117,-692.314667,3.743455
0.050000,301.621039,67.214297,32.903979,56.614797,-30.980955,-668.801429,3.635743
0.050000,299.191387,66.053726,35.596586,53.852140,-55.253155,-485.444009,3.539966
0.050000,296.826949,65.172605,38.119866,50.465596,-67.730878,-249.554454,3.458047
0.050000,294.567738,64.518899,40.471751,47.037705,-68.557821,-16.538868,3.389860
0.050000,292.424771,64.040240,42.667525,43.915480,-62.444493,122.266572,3.334176
0.050000,290.396107,63.692792,44.725728,41.164058,-55.028442,148.321023,3.289505
0.050000,288.474117,63.441908,46.664023,38.765905,-47.963067,141.307497,3.254434
0.050000,286.649757,63.260762,48.497354,36.666612,-41.985860,119.544138,3.227763
0.050000,284.914723,63.128543,50.237419,34.801298,-37.306279,93.591625,3.208556
0.050000,283.262445,63.028858,51.892701,33.105649,-33.912979,67.865994,3.196133
0.050000,281.688522,62.948503,53.468674,31.519460,-31.723779,43.783997,3.190055
0.050000,280.190919,62.876592,54.968003,29.986570,-30.657791,21.319768,3.190108
0.050000,278.770117,62.803977,56.390659,28.453122,-30.668959,-0.223372,3.196296
0.050000,277.429304,62.722940,57.733919,26.865196,-31.758519,-21.791198,3.208834
0.050000,276.174629,62.627144,58.992246,25.166540,-33.973119,-44.292004,3.228167
0.050000,275.015506,62.511861,60.157087,23.296821,-37.394384,-68.425284,3.254977
0.050000,273.964864,62.374567,61.216662,21.191492,-42.106584,-94.244007,3.290206
0.050000,272.957887,62.208039,62.237315,20.413073,-15.568378,530.764121,3.310899
0.050000,271.530469,61.961003,63.685953,28.972754,171.193620,3735.239949,3.315008
0.050000,270.103199,61.708001,65.135473,28.990395,0.352806,-3416.816268,3.319047
0.050000,268.676083,61.449129,66.585878,29.008113,0.354370,0.031274,3.323014
0.050000,267.249120,61.184485,68.037174,29.025909,0.355918,0.030964,3.326910
0.050000,265.822312,60.914169,69.489362,29.043771,0.357245,0.026546,3.330735
0.050000,264.395660,60.638278,70.942447,29.061685,0.358281,0.020701,3.334488
0.050000,262.969161,60.356912,72.396429,29.079655,0.359398,0.022356,3.338170
0.050000,261.542814,60.070171,73.851313,29.097676,0.360414,0.020312,3.341779
0.050000,260.116615,59.778153,75.307100,29.115744,0.361356,0.018850,3.345316
0.050000,258.690561,59.480960,76.763793,29.133852,0.362171,0.016290,3.348780
0.050000,257.264647,59.178691,78.221393,29.151994,0.362833,0.013232,3.352172
0.050000,255.838867,58.871448,79.679901,29.170168,0.363489,0.013127,3.355492
0.050000,254.413215,58.559332,81.139320,29.188372,0.364065,0.011514,3.358738
0.050000,252.987681,58.242443,82.599650,29.206599,0.364554,0.009780,3.361912
