dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,290.806437,94.981415,0.003571,0.142857,2.857143,57.142857,4.713876
0.050000,290.806432,94.985394,0.007550,0.079573,-1.265681,-82.456476,4.713557
0.050000,290.806424,94.994357,0.016513,0.179255,1.993645,65.186527,4.712840
0.050000,290.806412,94.973386,0.037484,0.419413,4.803162,56.190339,4.711562
0.050000,290.806295,94.909228,0.101642,1.283176,17.275248,249.441718,4.709552
0.050000,290.805899,94.817173,0.193698,1.841106,11.158607,-122.332831,4.706630
0.050000,290.804932,94.692557,0.318318,2.492402,13.025910,37.346066,4.702601
0.050000,290.802919,94.530969,0.479918,3.232013,14.792216,35.326126,4.697242
0.050000,290.799153,94.328464,0.682458,4.050790,16.375555,31.666781,4.690303
0.050000,290.792621,94.081663,0.929346,4.937754,17.739279,27.274470,4.681484
0.050000,290.781931,93.787971,1.223232,5.877728,18.799485,21.204119,4.670422
0.050000,290.765242,93.445983,1.565626,6.847890,19.403222,12.074744,4.656671
0.050000,290.740199,93.055802,1.956611,7.819686,19.435921,0.653980,4.639665
0.050000,290.703904,92.619682,2.394238,8.752546,18.657216,-15.574096,4.618676
0.050000,290.653232,92.144931,2.871686,9.548957,15.928212,-54.580087,4.592873
0.050000,290.585589,91.646257,3.374927,10.064822,10.317303,-112.218175,4.561419
0.050000,290.499580,91.143321,3.885164,10.204738,2.798317,-150.379730,4.523384
0.050000,290.395762,90.658589,4.380889,9.914499,-5.804774,-172.061819,4.477618
0.050000,290.277852,90.216895,4.838051,9.143238,-15.425226,-192.409030,4.422766
0.050000,290.154094,89.843842,5.231095,7.860890,-25.646966,-204.434795,4.357358
0.050000,290.038074,89.562045,5.535842,6.094930,-35.319186,-193.444411,4.280030
0.050000,289.947420,89.384539,5.735157,3.986299,-42.172633,-137.068938,4.189981
0.050000,289.897896,89.306146,5.827883,1.854524,-42.635501,-9.257367,4.087688
0.050000,289.891670,89.297552,5.838495,0.212243,-32.845612,195.797795,3.975679
0.050000,289.904466,89.310187,5.856478,0.359653,2.948199,715.876207,3.858811
0.050000,289.883522,89.294951,5.882377,0.517978,3.166506,4.366138,3.743455
0.050000,289.763941,89.223596,6.021629,2.785046,45.341359,843.497070,3.635743
0.050000,289.493389,89.096053,6.320737,5.982160,63.942269,372.018206,3.539966
0.050000,289.046968,88.931222,6.796616,9.517584,70.708489,135.324392,3.458047
0.050000,288.424618,88.752390,7.444150,12.950678,68.661865,-40.932474,3.389860
0.050000,287.639905,88.578070,8.247993,16.076849,62.523423,-122.768842,3.334176
0.050000,286.711756,88.419813,9.189537,18.830884,55.080704,-148.854386,3.289505
0.050000,285.659068,88.282912,10.251089,21.231048,48.003280,-141.548488,3.254434
0.050000,284.498159,88.168003,11.417672,23.331650,42.012037,-119.824844,3.227763
0.050000,283.241893,88.072513,12.677562,25.197801,37.323029,-93.780162,3.208556
0.050000,281.899625,87.991684,14.022261,26.893995,33.923880,-67.982993,3.196133
0.050000,280.477449,87.919152,15.446286,28.480482,31.729746,-43.882668,3.190055
0.050000,278.978503,87.847176,16.946958,30.013457,30.659496,-21.405010,3.190108
0.050000,277.403223,87.766581,18.524299,31.546817,30.667197,0.154024,3.196296
0.050000,275.749530,87.666444,20.181021,33.134440,31.752459,21.705240,3.208834
0.050000,274.012983,87.533515,21.922649,34.832547,33.962143,44.193690,3.228167
0.050000,272.186977,87.351334,23.757720,36.701419,37.377445,68.306028,3.254977
0.050000,270.263184,87.099000,25.697991,38.805433,42.080276,94.056622,3.290206
0.050000,268.745412,86.850584,27.235958,30.759333,-160.922002,-4060.045551,3.310899
0.050000,267.216775,86.586032,28.787318,31.027204,5.357414,3325.588305,3.315008
0.050000,265.690097,86.315409,30.337796,31.009557,-0.352947,-114.207204,3.319047
0.050000,264.165387,86.038834,31.887388,30.991834,-0.354449,-0.030049,3.323014
0.050000,262.642651,85.756430,33.436090,30.974048,-0.355727,-0.025566,3.326910
0.050000,261.121893,85.468314,34.983900,30.956197,-0.357010,-0.025647,3.330735
0.050000,259.603117,85.174609,36.530814,30.938278,-0.358380,-0.027408,3.334488
0.050000,258.086325,84.875434,38.076829,30.920306,-0.359448,-0.021351,3.338170
0.050000,256.571517,84.570910,39.621943,30.902285,-0.360419,-0.019421,3.341779
0.050000,255.058692,84.261156,41.166154,30.884221,-0.361271,-0.017048,3.345316
0.050000,253.547846,83.946292,42.709460,30.866118,-0.362072,-0.016016,3.348780
