dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,315.499989,95.016754,0.003571,0.142857,2.857143,57.142857,4.713729
0.050000,315.499993,95.012772,0.007553,0.079634,-1.264454,-82.431929,4.713411
0.050000,315.499999,95.003802,0.016523,0.179391,1.995133,65.191739,4.712693
0.050000,315.499973,94.944259,0.076066,1.190862,20.229415,364.685636,4.711414
0.050000,315.499746,94.829843,0.190482,2.288326,21.949280,34.397296,4.709402
0.050000,315.499012,94.664727,0.355600,3.302367,20.280826,-33.369077,4.706479
0.050000,315.497227,94.439340,0.580994,4.507863,24.109922,76.581913,4.702447
0.050000,315.493498,94.143794,0.876564,5.911404,28.070811,79.217784,4.697088
0.050000,315.486445,93.767863,1.252561,7.519938,32.170691,81.997607,4.690151
0.050000,315.474005,93.300743,1.719847,9.345721,36.515645,86.899080,4.681339
0.050000,315.453170,92.730910,2.290060,11.404267,41.170931,93.105717,4.670293
0.050000,315.419639,92.045964,2.975826,13.715316,46.220971,101.000798,4.656574
0.050000,315.367296,91.232186,3.791286,16.309205,51.877791,113.136391,4.639623
0.050000,315.287485,90.274325,4.752466,19.223604,58.287978,128.203746,4.618727
0.050000,315.168507,89.160030,5.873095,22.412567,63.779261,109.825668,4.593074
0.050000,314.995643,87.885099,7.159692,25.731945,66.387557,52.165914,4.561855
0.050000,314.750402,86.449240,8.616343,29.133028,68.021663,32.682123,4.524174
0.050000,314.409006,84.852012,10.249649,32.666115,70.661740,52.801541,4.478926
0.050000,313.941005,83.094144,12.068749,36.382004,74.317778,73.120746,4.424810
0.050000,313.308158,81.180639,14.084189,40.308792,78.535755,84.359551,4.360404
0.050000,312.464482,79.125746,16.305534,44.426909,82.362346,76.531811,4.284367
0.050000,311.359642,76.960695,18.736196,48.613241,83.726625,27.285595,4.195851
0.050000,309.948563,74.742300,21.365345,52.582961,79.394403,-86.644457,4.095144
0.050000,308.208657,72.556876,24.158793,55.868963,65.720049,-273.487075,3.984411
0.050000,306.159353,70.510639,27.054778,57.919714,41.015009,-494.100805,3.868029
0.050000,303.869685,68.703379,29.971758,58.339589,8.397504,-652.350092,3.751968
0.050000,301.442410,67.198216,32.827834,57.121533,-24.361122,-655.172528,3.642224
0.050000,298.982416,66.008220,35.560537,54.654059,-49.349465,-499.766863,3.543233
0.050000,296.570971,65.106123,38.135192,51.493085,-63.219495,-277.400595,3.457197
0.050000,294.252445,64.443259,40.546613,48.228428,-65.293140,-41.472904,3.384240
0.050000,292.041187,63.968379,42.808287,45.233488,-59.898800,107.886814,3.323278
0.050000,289.937120,63.637661,44.938187,42.597995,-52.709844,143.779124,3.272868
0.050000,287.933181,63.416128,46.954335,40.322949,-45.500935,144.178162,3.231565
0.050000,286.019862,63.276667,48.872729,38.367888,-39.101214,127.994427,3.198086
0.050000,284.187582,63.198374,50.706681,36.679048,-33.776789,106.488512,3.171366
0.050000,282.427803,63.164980,52.466776,35.201899,-29.542985,84.676070,3.150556
0.050000,280.733452,63.163591,54.161129,33.887043,-26.297123,64.917243,3.135006
0.050000,279.099023,63.183728,55.795682,32.691065,-23.919565,47.551164,3.124241
0.050000,277.520575,63.216639,57.374472,31.575807,-22.305159,32.288111,3.117938
0.050000,275.995694,63.254792,58.899831,30.507178,-21.372585,18.651484,3.115909
0.050000,274.523482,63.291529,60.372501,29.453396,-21.075642,5.938863,3.118096
0.050000,273.166503,63.320212,61.729783,27.145637,-46.155167,-501.590512,3.121831
0.050000,271.657304,63.350583,63.239288,30.190103,60.889310,2140.889537,3.121070
0.050000,270.144979,63.382358,64.751946,30.253169,1.261319,-1192.559813,3.120058
0.050000,268.629533,63.415926,66.267764,30.316357,1.263773,0.049079,3.118792
0.050000,267.110968,63.451678,67.786749,30.379708,1.267022,0.064981,3.117273
0.050000,265.589290,63.490009,69.308911,30.443232,1.270464,0.068840,3.115500
0.050000,264.064500,63.531318,70.834260,30.506971,1.274795,0.086616,3.113473
0.050000,262.536606,63.576008,72.362807,30.570953,1.279630,0.096704,3.111189
0.050000,261.005614,63.624485,73.894567,30.635187,1.284681,0.101019,3.108648
0.050000,259.471532,63.677160,75.429553,30.699719,1.290648,0.119345,3.105849
0.050000,257.934371,63.734448,76.967781,30.764561,1.296844,0.123921,3.102791
0.050000,256.394146,63.796769,78.509267,30.829724,1.303250,0.128119,3.099472
0.050000,254.850871,63.864547,80.054029,30.895246,1.310440,0.143798,3.095891
0.050000,253.304568,63.938212,81.602086,30.961137,1.317825,0.147703,3.092046
0.050000,251.755261,64.018196,83.153456,31.027394,1.325134,0.146175,3.087936
0.050000,250.202981,64.104938,84.708158,31.094040,1.332927,0.155861,3.083560
0.050000,248.647760,64.198884,86.266213,31.161108,1.341357,0.168603,3.078916
0.050000,247.089642,64.300480,87.827641,31.228553,1.348897,0.150790,3.074001
0.050000,245.528672,64.410182,89.392461,31.296399,1.356922,0.160511,3.068816
0.050000,243.964905,64.528447,90.960693,31.364643,1.364872,0.158998,3.063357
0.050000,242.398404,64.655739,92.532358,31.433297,1.373084,0.164239,3.057624
0.050000,240.829239,64.792525,94.107473,31.502304,1.380153,0.141376,3.051614
0.050000,239.257492,64.939279,95.686056,31.571669,1.387299,0.142926,3.045327
0.050000,237.683253,65.096477,97.268125,31.641368,1.393967,0.133364,3.038762
0.050000,236.106623,65.264598,98.853693,31.711370,1.400039,0.121427,3.031916
0.050000,234.527714,65.444127,100.442776,31.781651,1.405635,0.111924,3.024789
0.050000,232.946652,65.635550,102.035383,31.852145,1.409879,0.084885,3.017380
0.050000,231.363577,65.839356,103.631524,31.922812,1.413329,0.069001,3.009688
0.050000,229.778640,66.056035,105.231203,31.993596,1.415679,0.047004,3.001714
0.050000,228.192008,66.286079,106.834425,32.064433,1.416735,0.021115,2.993456
0.050000,226.603866,66.529980,108.441188,32.135250,1.416339,-0.007929,2.984914
0.050000,225.014410,66.788229,110.051486,32.205966,1.414328,-0.040218,2.976090
0.050000,223.423858,67.061314,111.665310,32.276493,1.410537,-0.075821,2.966984
0.050000,221.832444,67.349721,113.282647,32.346735,1.404842,-0.113889,2.957596
0.050000,220.240420,67.653932,114.903476,32.416581,1.396928,-0.158293,2.947929
0.050000,218.648056,67.974424,116.527772,32.485919,1.386759,-0.203374,2.937985
0.050000,217.055643,68.311664,118.155504,32.554627,1.374166,-0.251853,2.927766
0.050000,215.463492,68.666115,119.786632,32.622576,1.358963,-0.304073,2.917275
0.050000,213.871932,69.038225,121.421114,32.689625,1.340994,-0.359361,2.906516
0.050000,212.281314,69.428434,123.058895,32.755631,1.320118,-0.417524,2.895493
0.050000,210.692009,69.837166,124.699917,32.820441,1.296203,-0.478314,2.884210
0.050000,209.104407,70.264831,126.344112,32.883898,1.269131,-0.541426,2.872674
0.050000,207.518918,70.711818,127.991404,32.945838,1.238806,-0.606495,2.860890
0.050000,205.935974,71.178501,129.641709,33.006096,1.205152,-0.673094,2.848865
0.050000,204.356023,71.665230,131.294933,33.064488,1.167849,-0.746057,2.836606
0.050000,202.779531,72.172332,132.950976,33.120857,1.127369,-0.809591,2.824122
0.050000,201.206982,72.700108,134.609728,33.175036,1.083587,-0.875649,2.811420
0.050000,199.638875,73.248834,136.271071,33.226852,1.036323,-0.945285,2.798512
0.050000,198.075723,73.818754,137.934878,33.276140,0.985761,-1.011226,2.785407
0.050000,196.518052,74.410083,139.601013,33.322716,0.931521,-1.084804,2.772115
0.050000,194.966401,75.023003,141.269334,33.366411,0.873887,-1.152679,2.758648
0.050000,193.421311,75.657664,142.939692,33.407160,0.814990,-1.177939,2.745018
0.050000,191.883336,76.314180,144.611930,33.444771,0.752217,-1.255474,2.731238
0.050000,190.353035,76.992627,146.285882,33.479021,0.684997,-1.344384,2.717321
0.050000,188.830959,77.693049,147.961383,33.510031,0.620211,-1.295734,2.703280
0.050000,187.317672,78.415447,149.638254,33.537415,0.547663,-1.450948,2.689129
0.050000,185.813721,79.159792,151.316324,33.561397,0.479639,-1.360481,2.674882
0.050000,184.319662,79.926009,152.995401,33.581549,0.403052,-1.531744,2.660555
0.050000,182.836025,80.713994,154.675311,33.598203,0.333077,-1.399500,2.646161
0.050000,181.363340,81.523602,156.355867,33.611110,0.258144,-1.498661,2.631715
0.050000,179.902127,82.354651,158.036875,33.620159,0.180975,-1.543372,2.617233
0.050000,178.452876,83.206929,159.718156,33.625622,0.109263,-1.434254,2.602730
0.050000,177.016067,84.080189,161.399525,33.627383,0.035215,-1.480944,2.588219
0.050000,175.592158,84.974151,163.080800,33.625494,-0.037772,-1.459746,2.573716
0.050000,174.391138,85.752135,164.511781,28.619633,-100.117225,-2001.589067,2.558190
0.050000,172.899068,86.763013,166.314043,36.045232,148.511988,4972.584269,2.534004
0.050000,171.427818,87.813047,168.121569,36.150511,2.105574,-2928.128290,2.509400
0.050000,169.979337,88.902026,169.933741,36.243459,1.858957,-4.932324,2.484423
0.050000,168.555507,90.029600,171.749978,36.324740,1.625620,-4.666751,2.459120
0.050000,167.158202,91.195220,173.569630,36.393026,1.365722,-5.197954,2.433543
0.050000,165.789264,92.398133,175.391988,36.447167,1.082814,-5.658161,2.407750
0.050000,164.450475,93.637388,177.216299,36.486216,0.780993,-6.036427,2.381800
0.050000,163.143524,94.911841,179.041772,36.509456,0.464798,-6.323889,2.355757
0.050000,161.869985,96.220168,180.867592,36.516411,0.139085,-6.514261,2.329686
0.050000,160.631274,97.560898,182.692959,36.507338,-0.181462,-6.410952,2.303653
0.050000,159.428667,98.932392,184.517036,36.481545,-0.515844,-6.687626,2.277723
0.050000,158.263269,100.332879,186.338991,36.439082,-0.849264,-6.668408,2.251962
0.050000,157.135975,101.760509,188.158034,36.380867,-1.164299,-6.300704,2.226434
0.050000,156.047472,103.213370,189.973424,36.307808,-1.461187,-5.937753,2.201198
0.050000,154.998251,104.689497,191.784451,36.220526,-1.745644,-5.689145,2.176312
0.050000,153.988605,106.186898,193.590440,36.119780,-2.014908,-5.385283,2.151829
0.050000,153.018615,107.703607,195.390797,36.007144,-2.252732,-4.756482,2.127797
0.050000,152.088176,109.237683,197.184984,35.883736,-2.468150,-4.308346,2.104258
0.050000,151.197004,110.787239,198.972527,35.750870,-2.657321,-3.783424,2.081251
0.050000,150.344648,112.350465,200.753028,35.610025,-2.816907,-3.191732,2.058808
0.050000,149.530515,113.925619,202.526139,35.462223,-2.956028,-2.782419,2.036956
0.050000,148.753880,115.511067,204.291588,35.308969,-3.065094,-2.181317,2.015717
0.050000,148.013899,117.105287,206.049174,35.151724,-3.144883,-1.595784,1.995108
0.050000,147.309640,118.706857,207.798747,34.991462,-3.205247,-1.207274,1.975140
0.050000,146.640101,120.314443,209.540188,34.828812,-3.252999,-0.955027,1.955822
0.050000,146.004210,121.926849,211.273454,34.665323,-3.269784,-0.335704,1.937158
0.050000,145.400849,123.542990,212.998550,34.501922,-3.268025,0.035166,1.919148
0.050000,144.828872,125.161875,214.715508,34.339155,-3.255336,0.253795,1.901790
0.050000,144.287114,126.782610,216.424392,34.177683,-3.229440,0.517916,1.885078
0.050000,143.774400,128.404398,218.125296,34.018073,-3.192196,0.744883,1.869005
0.050000,143.289557,130.026530,219.818336,33.860805,-3.145363,0.936661,1.853561
0.050000,142.831421,131.648372,221.503643,33.706135,-3.093395,1.039350,1.838735
0.050000,142.398838,133.269380,223.181377,33.554695,-3.028801,1.291886,1.824515
0.050000,141.990674,134.889075,224.851710,33.406645,-2.961003,1.355963,1.810887
0.050000,141.605821,136.507038,226.514815,33.262102,-2.890868,1.402692,1.797838
0.050000,141.243197,138.122907,228.170872,33.121149,-2.819049,1.436376,1.785352
0.050000,140.901752,139.736359,229.820057,32.983703,-2.748913,1.402731,1.773416
0.050000,140.580461,141.347138,231.462567,32.850186,-2.670341,1.571427,1.762014
0.050000,140.278335,142.955021,233.098589,32.720444,-2.594839,1.510046,1.751131
0.050000,139.994414,144.559821,234.728311,32.594452,-2.519855,1.499688,1.740753
0.050000,139.727773,146.161385,236.351919,32.472155,-2.445934,1.478420,1.730864
0.050000,139.477518,147.759584,237.969593,32.353478,-2.373536,1.447960,1.721450
0.050000,139.242787,149.354305,239.581497,32.238076,-2.308040,1.309916,1.712498
0.050000,139.022753,150.945449,241.187782,32.125709,-2.247348,1.213830,1.703994
0.050000,138.816609,152.532982,242.788644,32.017237,-2.169445,1.558059,1.695924
0.050000,138.623582,154.116860,244.384241,31.911936,-2.106006,1.268787,1.688277
0.050000,138.442930,155.697023,245.974696,31.809103,-2.056656,0.987008,1.681040
0.050000,138.273934,157.273453,247.560160,31.709267,-1.996735,1.198415,1.674203
0.050000,138.115896,158.846165,249.140792,31.612644,-1.932446,1.285769,1.667752
0.050000,137.968152,160.415126,250.716693,31.518026,-1.892366,0.801600,1.661680
0.050000,137.830052,161.980345,252.287993,31.426001,-1.840511,1.037109,1.655976
0.050000,137.700968,163.541857,253.854831,31.336764,-1.784727,1.115678,1.650630
0.050000,137.580301,165.099626,255.417267,31.248709,-1.761103,0.472487,1.645634
0.050000,137.467458,166.653716,256.975448,31.163623,-1.701717,1.187723,1.640980
0.050000,137.361872,168.204121,258.529444,31.079920,-1.674064,0.553058,1.636660
0.050000,137.262992,169.750868,260.079349,30.998099,-1.636428,0.752723,1.632667
0.050000,137.170279,171.293986,261.625250,30.918014,-1.601688,0.694796,1.628996
0.050000,137.083212,172.833482,263.167205,30.839115,-1.577980,0.474150,1.625639
0.050000,137.001280,174.369397,264.705304,30.761983,-1.542642,0.706769,1.622591
0.050000,136.923986,175.901730,266.239586,30.685624,-1.527178,0.309275,1.619848
0.050000,136.850845,177.430524,267.770128,30.610842,-1.495651,0.630534,1.617406
0.050000,136.781380,178.955773,269.296958,30.536607,-1.484700,0.219023,1.615259
0.050000,136.715125,180.477513,270.820140,30.463628,-1.459566,0.502677,1.613405
0.050000,136.651622,181.995739,272.339693,30.391074,-1.451097,0.169392,1.611840
0.050000,136.590422,183.510473,273.855663,30.319403,-1.433411,0.353713,1.610563
0.050000,136.531080,185.021712,275.368067,30.248064,-1.426786,0.132501,1.609571
