dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,247.142456,227.014491,0.003571,0.142857,2.857143,57.142857,1.569637
0.050000,247.142454,227.012533,0.005530,0.039163,-2.073882,-98.620507,1.569794
0.050000,247.142450,227.008124,0.009938,0.088173,0.980207,61.081799,1.570146
0.050000,247.142448,227.000277,0.017786,0.156946,1.375460,7.905056,1.570774
0.050000,247.142411,227.075266,0.092775,1.499787,26.856807,509.626933,1.571758
0.050000,247.142226,227.186033,0.203542,2.215336,14.310982,-250.916494,1.573181
0.050000,247.141720,227.336668,0.354178,3.012723,15.947741,32.735185,1.575132
0.050000,247.140617,227.533094,0.550607,3.928576,18.317058,47.386333,1.577703
0.050000,247.138495,227.781215,0.798737,4.962602,20.680513,47.269104,1.580996
0.050000,247.134750,228.086763,1.104307,6.111412,22.976218,45.914094,1.585121
0.050000,247.128537,228.455308,1.472905,7.371952,25.210782,44.691284,1.590205
0.050000,247.118712,228.892186,1.909894,8.739780,27.356561,42.915570,1.596389
0.050000,247.103760,229.402407,2.420334,10.208801,29.380429,40.477360,1.603839
0.050000,247.081711,229.990579,3.008919,11.771691,31.257808,37.547596,1.612752
0.050000,247.050197,230.657818,3.676901,13.359652,31.759203,10.027885,1.623312
0.050000,247.006706,231.398776,4.419135,14.844680,29.700567,-41.172723,1.635647
0.050000,246.948670,232.204722,5.227168,16.160650,26.319410,-67.623136,1.649861
0.050000,246.873430,233.066522,6.092245,17.301558,22.818146,-70.025275,1.666083
0.050000,246.778313,233.974614,7.005306,18.261217,19.193181,-72.499301,1.684466
0.050000,246.660713,234.918985,7.956971,19.033290,15.441468,-75.034253,1.705189
0.050000,246.518200,235.889145,8.937542,19.611421,11.562613,-77.577110,1.728456
0.050000,246.348646,236.874133,9.937018,19.989515,7.561883,-80.014600,1.754495
0.050000,246.150366,237.862554,10.945130,20.162240,3.454511,-82.147429,1.783557
0.050000,245.922293,238.842668,11.951430,20.126007,-0.724664,-83.583503,1.815906
0.050000,245.664167,239.802540,12.945403,19.879468,-4.930789,-84.122509,1.851813
0.050000,245.376706,240.730325,13.916701,19.425959,-9.070172,-82.787663,1.891533
0.050000,245.061756,241.614700,14.855484,18.775650,-13.006190,-78.720353,1.935281
0.050000,244.722332,242.445417,15.752868,17.947687,-16.559247,-71.061138,1.983197
0.050000,244.362510,243.214029,16.601536,16.973348,-19.486783,-58.550729,2.035297
0.050000,243.986199,243.916192,17.398180,15.932888,-20.809195,-26.448225,2.091556
