dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,272.142436,226.982796,0.003571,0.142857,2.857143,57.142857,1.569420
0.050000,272.142439,226.985694,0.006470,0.057962,-1.697908,-91.101011,1.569652
0.050000,272.142445,226.992219,0.012994,0.130496,1.450691,62.971972,1.570174
0.050000,272.142444,227.022694,0.043470,0.609514,9.580356,162.593302,1.571103
0.050000,272.142333,227.130185,0.150961,2.149814,30.806007,424.513014,1.572560
0.050000,272.141897,227.285106,0.305882,3.098425,18.972214,-236.675845,1.574667
0.050000,272.140775,227.496215,0.516995,4.222250,22.476492,70.085545,1.577556
0.050000,272.138383,227.772384,0.793174,5.523595,26.026898,71.008137,1.581365
0.050000,272.133828,228.122625,1.143445,7.005407,29.636243,72.186895,1.586244
0.050000,272.125809,228.556115,1.577008,8.671274,33.317337,73.621867,1.592358
0.050000,272.112484,229.082276,2.103339,10.526607,37.106667,75.786616,1.599893
0.050000,272.091317,229.710801,2.732219,12.577618,41.020214,78.270924,1.609061
0.050000,272.058869,230.451714,3.473842,14.832456,45.096756,81.530852,1.620106
0.050000,272.010547,231.315482,4.338961,17.302382,49.398526,86.035406,1.633315
0.050000,271.940625,232.308490,5.334428,19.909325,52.138863,54.806729,1.648953
0.050000,271.842672,233.428628,6.458840,22.488255,51.578599,-11.205282,1.667193
0.050000,271.709643,234.669290,7.706614,24.955474,49.344389,-44.684193,1.688160
0.050000,271.533662,236.023720,9.072429,27.316300,47.216504,-42.557713,1.711999
0.050000,271.306061,237.484713,10.551045,29.572312,45.120248,-41.925113,1.738864
0.050000,271.017425,239.044449,12.137263,31.724357,43.040901,-41.586928,1.768909
0.050000,270.657724,240.694162,13.825734,33.769430,40.901456,-42.788919,1.802279
0.050000,270.216541,242.423739,15.610693,35.699186,38.595125,-46.126613,1.839083
0.050000,269.683433,244.221371,17.485709,37.500316,36.022608,-51.450337,1.879380
0.050000,269.048475,246.073148,19.443323,39.152277,33.039210,-59.667959,1.923145
0.050000,268.303013,247.962759,21.474663,40.626802,29.490494,-70.974315,1.970239
0.050000,267.440600,249.871390,23.569091,41.888553,25.235022,-85.109446,2.020383
