dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,269.564496,224.013255,0.003571,0.142857,2.857143,57.142857,1.569736
0.050000,269.564493,224.009411,0.007416,0.076894,-1.319254,-83.527928,1.570043
0.050000,269.564489,224.000754,0.016072,0.173126,1.924626,64.877598,1.570736
0.050000,269.564466,224.039682,0.055001,0.778562,12.108720,203.681867,1.571969
0.050000,269.564327,224.104803,0.120121,1.302414,10.477042,-32.633554,1.573903
0.050000,269.563905,224.198395,0.213714,1.871860,11.388918,18.237522,1.576701
0.050000,269.562912,224.325451,0.340774,2.541193,13.386661,39.954863,1.580536
0.050000,269.560884,224.490804,0.506139,3.307309,15.322324,38.713251,1.585593
0.050000,269.557129,224.699107,0.714476,4.166739,17.188601,37.325549,1.592069
0.050000,269.550657,224.954731,0.970183,5.114126,18.947741,35.182799,1.600183
0.050000,269.540104,225.261711,1.277344,6.143223,20.581943,32.684037,1.610182
0.050000,269.523650,225.623629,1.639635,7.245827,22.052070,29.402529,1.622341
0.050000,269.498927,226.043492,2.060226,8.411821,23.319888,25.356362,1.636979
0.050000,269.462921,226.523579,2.541661,9.628696,24.337497,20.352185,1.654464
0.050000,269.412127,227.062872,3.083341,10.833593,24.097939,-4.791162,1.675129
0.050000,269.343015,227.654784,3.679274,11.918662,21.701388,-47.931019,1.699167
0.050000,269.252225,228.289902,4.320848,12.831492,18.256592,-68.895916,1.726697
0.050000,269.136551,228.958600,4.999477,13.572584,14.821838,-68.695085,1.757833
0.050000,268.993084,229.651232,5.706811,14.146676,11.481851,-66.799742,1.792672
0.050000,268.819328,230.358393,6.435007,14.563916,8.344796,-62.741094,1.831270
0.050000,268.613270,231.071256,7.177053,14.840920,5.540084,-56.094228,1.873616
0.050000,268.373373,231.781944,7.927139,15.001722,3.216035,-46.480996,1.919603
0.050000,268.098476,232.483921,8.681022,15.077664,1.518833,-33.944039,1.969001
0.050000,267.787612,233.172270,9.436310,15.105758,0.561895,-19.138755,2.021428
0.050000,267.439771,233.843819,10.192598,15.125763,0.400086,-3.236171,2.076346
0.050000,267.053690,234.497028,10.951374,15.175509,0.994920,11.896676,2.133064
0.050000,266.627781,235.131594,11.715621,15.284941,2.188642,23.874437,2.190773
0.050000,266.160267,235.747875,12.489166,15.470895,3.719087,30.608905,2.248595
0.050000,265.649554,236.346258,13.275861,15.733897,5.260035,30.818963,2.305651
0.050000,265.093384,236.928010,14.080697,16.096731,7.256675,39.932797,2.361256
0.050000,264.488795,237.494835,14.909442,16.574895,9.563278,46.132062,2.414948
0.050000,263.833536,238.047404,15.766586,17.142888,11.359868,35.931794,2.466369
0.050000,263.126279,238.585519,16.655282,17.773915,12.620540,25.213438,2.515266
0.050000,262.366696,239.108357,17.577413,18.442629,13.374276,15.074720,2.561489
0.050000,261.555416,239.614733,18.533756,19.126855,13.684518,6.204846,2.604976
0.050000,260.693898,240.103322,19.524177,19.808418,13.631266,-1.065047,2.645736
0.050000,259.784246,240.572842,20.547854,20.473543,13.302499,-6.575335,2.683837
0.050000,258.829032,241.022173,21.603473,21.112379,12.776727,-10.515436,2.719383
0.050000,257.831122,241.450422,22.689394,21.718411,12.120627,-13.122008,2.752506
0.050000,256.793517,241.856956,23.803797,22.288061,11.393012,-14.552304,2.783350
0.050000,255.719244,242.241395,24.944785,22.819767,10.634117,-15.177888,2.812068
0.050000,254.611275,242.603590,26.110453,23.313354,9.871743,-15.247496,2.838811
0.050000,253.472448,242.943601,27.298953,23.770011,9.133125,-14.772357,2.863729
0.050000,252.371279,243.246695,28.441074,22.842409,-18.552031,-553.703118,2.876761
0.050000,250.923307,243.639409,29.941357,30.005654,143.264894,3236.338513,2.876739
0.050000,249.475724,244.032027,31.441238,29.997627,-0.160543,-2868.508756,2.876748
0.050000,248.028519,244.424503,32.940718,29.989600,-0.160540,0.000073,2.876790
0.050000,246.581679,244.816791,34.439797,29.981572,-0.160553,-0.000267,2.876864
0.050000,245.135191,245.208843,35.938474,29.973544,-0.160562,-0.000173,2.876969
0.050000,243.689042,245.600615,37.436749,29.965516,-0.160560,0.000037,2.877107
0.050000,242.243221,245.992059,38.934624,29.957486,-0.160604,-0.000891,2.877277
0.050000,240.797715,246.383129,40.432096,29.949454,-0.160634,-0.000599,2.877480
0.050000,239.352511,246.773779,41.929168,29.941424,-0.160607,0.000556,2.877714
0.050000,237.907597,247.163962,43.425837,29.933389,-0.160696,-0.001780,2.877980
0.050000,236.462960,247.553632,44.922105,29.925352,-0.160740,-0.000896,2.878279
0.050000,235.018590,247.942743,46.417970,29.917316,-0.160719,0.000428,2.878610
0.050000,233.574472,248.331249,47.913434,29.909276,-0.160805,-0.001725,2.878973
