dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,282.064489,224.000000,0.003571,0.142857,2.857143,57.142857,1.569736
0.050000,282.064489,224.000000,0.017857,0.428571,5.714286,57.142857,1.570043
0.050000,282.064489,224.000000,0.050000,0.857143,8.571429,57.142857,1.570736
0.050000,282.064457,224.054344,0.107143,1.428571,11.428571,57.142857,1.571969
0.050000,282.064266,224.143633,0.196429,2.142857,14.285714,57.142857,1.573903
0.050000,282.063687,224.272202,0.325000,3.000000,17.142857,57.142857,1.576701
0.050000,282.062319,224.447199,0.500000,4.000000,20.000000,57.142857,1.580536
0.050000,282.059516,224.675750,0.728571,5.142857,22.857143,57.142857,1.585593
0.050000,282.054301,224.964991,1.017857,6.428571,25.714286,57.142857,1.592069
0.050000,282.045260,225.322018,1.375000,7.857143,28.571429,57.142857,1.600183
0.050000,282.030410,225.753903,1.807143,9.428571,31.428571,57.142857,1.610182
0.050000,282.007048,226.267653,2.321429,11.142857,34.285714,57.142857,1.622341
0.050000,281.971561,226.870175,2.925000,13.000000,37.142857,57.142857,1.636979
0.050000,281.919195,227.568204,3.625000,15.000000,40.000000,57.142857,1.654464
0.050000,281.844156,228.364662,4.425000,17.000000,40.000000,-0.000000,1.675129
0.050000,281.740162,229.255019,5.321429,18.857143,37.142857,-57.142857,1.699167
0.050000,281.600627,230.230775,6.307143,20.571429,34.285714,-57.142857,1.726697
0.050000,281.418547,231.282948,7.375000,22.142857,31.428571,-57.142857,1.757833
0.050000,281.186665,232.401973,8.517857,23.571429,28.571429,-57.142857,1.792672
0.050000,280.897680,233.577617,9.728571,24.857143,25.714286,-57.142857,1.831270
0.050000,280.544513,234.798913,11.000000,26.000000,22.857143,-57.142857,1.873616
0.050000,280.120637,236.054156,12.325000,27.000000,20.000000,-57.142857,1.919603
0.050000,279.620460,237.330971,13.696429,27.857143,17.142857,-57.142857,1.969001
0.050000,279.039763,238.616449,15.107143,28.571429,14.285714,-57.142857,2.021428
0.050000,278.376126,239.897424,16.550000,29.142857,11.428571,-57.142857,2.076346
0.050000,277.629293,241.160857,18.017857,29.571429,8.571429,-57.142857,2.133064
0.050000,276.801430,242.394298,19.503571,29.857143,5.714286,-57.142857,2.190773
0.050000,275.897203,243.586374,21.000000,30.000000,2.857143,-57.142857,2.248595
0.050000,274.923657,244.727249,22.500000,30.000000,0.000000,-57.142857,2.305651
0.050000,273.887370,245.811467,24.000000,30.000000,0.000000,0.000000,2.361256
0.050000,272.793364,246.837434,25.500000,30.000000,0.000000,0.000000,2.414948
0.050000,271.646935,247.804494,27.000000,30.000000,0.000000,0.000000,2.466369
0.050000,270.453434,248.712848,28.500000,30.000000,0.000000,0.000000,2.515266
0.050000,269.218078,249.563431,30.000000,30.000000,0.000000,0.000000,2.561489
0.050000,267.945809,250.357772,31.500000,30.000000,0.000000,0.000000,2.604976
0.050000,266.641210,251.097842,33.000000,30.000000,0.000000,0.000000,2.645736
0.050000,265.308443,251.785926,34.500000,30.000000,0.000000,0.000000,2.683837
0.050000,263.951241,252.424496,36.000000,30.000000,0.000000,0.000000,2.719383
0.050000,262.572918,253.016120,37.500000,30.000000,0.000000,0.000000,2.752506
0.050000,261.176380,253.563386,39.000000,30.000000,0.000000,0.000000,2.783350
0.050000,259.764163,254.068847,40.500000,30.000000,0.000000,0.000000,2.812068
0.050000,258.338476,254.534976,42.000000,30.000000,0.000000,0.000000,2.838811
0.050000,256.901222,254.964147,43.500000,30.000000,0.000000,0.000000,2.863729
0.050000,255.643109,255.310903,45.000000,30.000000,0.000000,0.000000,2.876761
0.050000,254.195409,255.703543,46.500000,30.000000,0.000000,0.000000,2.876739
0.050000,252.747712,256.096193,48.000000,30.000000,0.000000,0.000000,2.876748
0.050000,251.300005,256.488805,49.500000,30.000000,0.000000,0.000000,2.876790
0.050000,249.852276,256.881334,51.000000,30.000000,0.000000,0.000000,2.876864
0.050000,248.404511,257.273733,52.500000,30.000000,0.000000,0.000000,2.876969
0.050000,246.956698,257.665955,54.000000,30.000000,0.000000,0.000000,2.877107
0.050000,245.508825,258.057954,55.500000,30.000000,0.000000,0.000000,2.877277
0.050000,244.060879,258.449684,57.000000,30.000000,0.000000,0.000000,2.877480
0.050000,242.612847,258.841098,58.500000,30.000000,0.000000,0.000000,2.877714
0.050000,241.164718,259.232150,60.000000,30.000000,0.000000,0.000000,2.877980
0.050000,239.716478,259.622792,61.500000,30.000000,0.000000,0.000000,2.878279
0.050000,238.268115,260.012978,63.000000,30.000000,0.000000,0.000000,2.878610
0.050000,236.819617,260.402663,64.500000,30.000000,0.000000,0.000000,2.878973
0.050000,235.370972,260.791798,66.000000,30.000000,0.000000,0.000000,2.879368
0.050000,233.922167,261.180337,67.500000,30.000000,0.000000,0.000000,2.879795
0.050000,232.473189,261.568234,69.000000,30.000000,0.000000,0.000000,2.880254
0.050000,231.024027,261.955442,70.500000,30.000000,0.000000,0.000000,2.880746
