dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,315.499999,223.995609,0.003571,0.142857,2.857143,57.142857,1.570445
0.050000,315.500000,223.996583,0.004545,0.019479,-2.467571,-106.494287,1.570523
0.050000,315.500000,223.998779,0.006741,0.043914,0.488716,59.125754,1.570699
0.050000,315.499995,224.042006,0.049969,0.864550,16.412716,318.479998,1.571012
0.050000,315.499951,224.137454,0.145416,1.908954,20.888072,89.507118,1.571505
0.050000,315.499805,224.274991,0.282953,2.750738,16.835674,-81.047954,1.572222
0.050000,315.499445,224.462362,0.470324,3.747423,19.933704,61.960596,1.573212
0.050000,315.498692,224.707383,0.715347,4.900456,23.060662,62.539150,1.574528
0.050000,315.497270,225.017971,1.025938,6.211818,26.227248,63.331733,1.576233
0.050000,315.494767,225.402173,1.410148,7.684197,29.447580,64.406644,1.578398
0.050000,315.490596,225.868187,1.876181,9.320658,32.729223,65.632849,1.581109
0.050000,315.483931,226.424437,2.432470,11.125793,36.102696,67.469471,1.584469
0.050000,315.473628,227.079605,3.087720,13.104984,39.583824,69.622548,1.588604
0.050000,315.458123,227.842714,3.850986,15.265331,43.206934,72.462208,1.593665
0.050000,315.435402,228.719305,4.727872,17.537718,45.447729,44.815892,1.599816
0.050000,315.403108,229.707451,5.716545,19.773461,44.714874,-14.657095,1.607196
0.050000,315.358531,230.801556,6.811558,21.900262,42.536022,-43.577039,1.615940
0.050000,315.298490,231.996251,8.007761,23.924053,40.475805,-41.204341,1.626208
0.050000,315.219279,233.286362,9.300302,25.850815,38.535256,-38.810978,1.638183
0.050000,315.116597,234.666940,10.684693,27.687825,36.740190,-35.901331,1.652078
0.050000,314.985459,236.133227,12.156832,29.442782,35.099136,-32.821077,1.668136
0.050000,314.820101,237.680656,13.713070,31.124770,33.639765,-29.187423,1.686637
0.050000,314.613852,239.304796,15.350254,32.743673,32.378066,-25.233964,1.707900
0.050000,314.358990,241.001294,17.065789,34.310699,31.340512,-20.751083,1.732289
0.050000,314.046592,242.765701,18.857639,35.836992,30.525866,-16.292932,1.760213
0.050000,313.666359,244.593273,20.724346,37.334147,29.943097,-11.655372,1.792128
0.050000,313.206490,246.478582,22.664931,38.811698,29.551023,-7.841472,1.828526
0.050000,312.653645,248.414905,24.678630,40.273985,29.245733,-6.105803,1.869919
0.050000,311.993103,250.393423,26.764499,41.717381,28.867918,-7.556305,1.916804
0.050000,311.207276,252.406884,28.925876,43.227537,30.203130,26.704241,1.969734
0.050000,310.275042,254.448503,31.170261,44.887704,33.203332,60.004033,2.029312
0.050000,309.174015,256.505442,33.503341,46.661592,35.477754,45.488443,2.095993
0.050000,307.882866,258.556658,35.927089,48.474963,36.267436,15.793639,2.169937
0.050000,306.385165,260.571356,38.437491,50.208030,34.661326,-32.122200,2.250824
0.050000,304.674462,262.509273,41.022452,51.699231,29.824027,-96.745982,2.337686
0.050000,302.759296,264.324036,43.660866,52.768269,21.380769,-168.865148,2.428832
0.050000,300.665684,265.969901,46.323962,53.261935,9.873308,-230.149223,2.521957
0.050000,298.434951,267.410126,48.979224,53.105239,-3.133917,-260.144504,2.614454
0.050000,296.116849,268.623569,51.595718,52.329872,-15.507342,-247.468508,2.703844
0.050000,293.760671,269.606742,54.148796,51.061559,-25.366248,-197.178118,2.788151
0.050000,291.407975,270.371090,56.622539,49.474871,-31.733772,-127.350477,2.866101
0.050000,289.089048,270.937632,59.009670,47.742605,-34.645326,-58.231086,2.937111
0.050000,286.822885,271.331507,61.309807,46.002742,-34.797256,-3.038584,3.001154
0.050000,284.619245,271.577950,63.527185,44.347563,-33.103576,33.873585,3.058568
0.050000,282.481376,271.699991,65.668534,42.826976,-30.411741,53.836713,3.109896
0.050000,280.408296,271.717516,67.741688,41.463091,-27.277702,62.680767,3.155762
0.050000,278.396709,271.647145,69.754506,40.256348,-24.134857,62.856898,3.196799
0.050000,276.442167,271.502521,71.714391,39.197718,-21.172607,59.244999,3.233599
0.050000,274.539802,271.294756,73.628068,38.273529,-18.483764,53.776867,3.266700
0.050000,272.684836,271.032886,75.501427,37.467186,-16.126870,47.137875,3.296575
0.050000,270.872739,270.724269,77.339617,36.763793,-14.067862,41.180162,3.323635
0.050000,269.099363,270.374929,79.147073,36.149127,-12.293324,35.490771,3.348235
0.050000,267.360986,269.989832,80.927594,35.610412,-10.774290,30.380677,3.370680
0.050000,265.936292,269.644536,82.393535,29.318831,-125.831616,-2301.146529,3.387409
0.050000,264.341903,269.234615,84.039776,32.924821,72.119791,3959.028137,3.399110
0.050000,262.750074,268.805265,85.688492,32.974310,0.989788,-1422.600043,3.411010
0.050000,261.161087,268.356161,87.339725,33.024669,1.007172,0.347681,3.423108
0.050000,259.575337,267.887011,88.993420,33.073890,0.984425,-0.454950,3.435404
0.050000,257.993251,267.397543,90.649492,33.121449,0.951184,-0.664826,3.447893
0.050000,256.415100,266.887442,92.308035,33.170848,0.987985,0.736022,3.460575
0.050000,254.841435,266.356494,93.968856,33.216425,0.911536,-1.528967,3.473444
0.050000,253.272550,265.804406,95.632046,33.263794,0.947373,0.716731,3.486498
0.050000,251.709002,265.230992,97.297425,33.307587,0.875872,-1.430025,3.499730
0.050000,250.151189,264.636024,98.964989,33.351271,0.873679,-0.043852,3.513137
0.050000,248.599580,264.019314,100.634666,33.393541,0.845383,-0.565913,3.526711
0.050000,247.054698,263.380715,102.306332,33.433331,0.795816,-0.991358,3.540446
0.050000,245.517033,262.720089,103.979903,33.471423,0.761831,-0.679689,3.554333
0.050000,243.987090,262.037324,105.655282,33.507566,0.722862,-0.779374,3.568365
0.050000,242.465386,261.332341,107.332358,33.541522,0.679117,-0.874911,3.582533
0.050000,240.952447,260.605091,109.011011,33.573064,0.630833,-0.965669,3.596827
0.050000,239.448808,259.855557,110.691110,33.601978,0.578281,-1.051044,3.611236
0.050000,237.955006,259.083759,112.372513,33.628066,0.521758,-1.130465,3.625749
0.050000,236.471582,258.289749,114.055070,33.651145,0.461588,-1.203405,3.640354
0.050000,234.999075,257.473615,115.738623,33.671051,0.398119,-1.269384,3.655039
0.050000,233.538021,256.635484,117.423005,33.687637,0.331719,-1.327983,3.669791
0.050000,232.088949,255.775516,119.108043,33.700776,0.262777,-1.378849,3.684596
0.050000,230.652357,254.893897,120.793585,33.710822,0.200930,-1.236929,3.699441
0.050000,229.228750,253.990857,122.479449,33.717284,0.129230,-1.434018,3.714311
0.050000,227.818640,253.066680,124.165425,33.719515,0.044634,-1.691905,3.729191
0.050000,226.422475,252.121651,125.851354,33.718580,-0.018709,-1.266872,3.744066
0.050000,225.040713,251.156110,127.537039,33.713707,-0.097449,-1.574786,3.758922
0.050000,223.673793,250.170432,129.222278,33.704777,-0.178614,-1.623304,3.773743
0.050000,222.322096,249.165000,130.906908,33.692614,-0.243261,-1.292936,3.788514
0.050000,220.986022,248.140258,132.590710,33.676028,-0.331716,-1.769099,3.803220
0.050000,219.665896,247.096644,134.273524,33.656292,-0.394714,-1.259964,3.817846
0.050000,218.362051,246.034647,135.955146,33.632424,-0.477369,-1.653105,3.832377
0.050000,217.074761,244.954762,137.635403,33.605155,-0.545385,-1.360327,3.846799
0.050000,215.804275,243.857506,139.314124,33.574419,-0.614717,-1.386630,3.861098
0.050000,214.550820,242.743425,140.991124,33.539992,-0.688532,-1.476304,3.875260
0.050000,213.314558,241.613055,142.666260,33.502714,-0.745555,-1.140457,3.889271
0.050000,212.095648,240.466968,144.339358,33.461960,-0.815094,-1.390780,3.903120
0.050000,210.894199,239.305736,146.010268,33.418200,-0.875187,-1.201852,3.916795
0.050000,209.710276,238.129925,147.678861,33.371864,-0.926718,-1.030639,3.930283
0.050000,208.543927,236.940125,149.344992,33.322628,-0.984725,-1.160127,3.943574
0.050000,207.395158,235.736917,151.008537,33.270893,-1.034696,-0.999421,3.956659
0.050000,206.263937,234.520878,152.669383,33.216931,-1.079242,-0.890924,3.969528
0.050000,205.150206,233.292587,154.327423,33.160792,-1.122785,-0.870861,3.982172
0.050000,204.053877,232.052618,155.982555,33.102634,-1.163161,-0.807509,3.994583
0.050000,202.974829,230.801536,157.634690,33.042708,-1.198524,-0.707267,4.006755
0.050000,201.912914,229.539896,159.283751,32.981210,-1.229953,-0.628573,4.018681
0.050000,200.867959,228.268246,160.929662,32.918228,-1.259637,-0.593699,4.030354
0.050000,199.839766,226.987121,162.572361,32.853987,-1.284836,-0.503971,4.041771
0.050000,198.828113,225.697045,164.211794,32.788649,-1.306741,-0.438099,4.052926
0.050000,197.832759,224.398527,165.847911,32.722332,-1.326343,-0.392040,4.063816
0.050000,196.853441,223.092063,167.480672,32.655239,-1.341867,-0.310471,4.074438
