dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,112.500000,0.003568,0.142726,2.854528,57.090564,0.000000
0.050000,0.000000,112.500000,0.003568,0.000000,-2.854528,-114.181129,0.000000
0.050000,0.000000,112.500000,0.003568,0.000000,0.000000,57.090564,0.000000
0.050000,0.047045,112.500000,0.050613,0.940896,18.817923,376.358464,0.000000
0.050000,0.136249,112.500000,0.139817,1.784080,16.863679,-39.084875,0.000000
0.050000,0.264703,112.500000,0.268271,2.569075,15.699905,-23.275486,0.000000
0.050000,0.439542,112.500000,0.443111,3.496797,18.554433,57.090564,0.000000
0.050000,0.667905,112.500000,0.671473,4.567245,21.408962,57.090564,0.000000
0.050000,0.956926,112.500000,0.960494,5.780420,24.263490,57.090564,0.000000
0.050000,1.313742,112.500000,1.317310,7.136321,27.118018,57.090564,0.000000
0.050000,1.745489,112.500000,1.749057,8.634948,29.972546,57.090564,0.000000
0.050000,2.259304,112.500000,2.262872,10.276302,32.827074,57.090564,0.000000
0.050000,2.862323,112.500000,2.865891,12.060382,35.681603,57.090564,0.000000
0.050000,3.558115,112.500000,3.561683,13.915825,37.108867,28.545282,0.000000
0.050000,4.346678,112.500000,4.350246,15.771268,37.108867,0.000000,0.000000
0.050000,5.228014,112.500000,5.231582,17.626712,37.108867,-0.000000,0.000000
0.050000,6.202121,112.500000,6.205689,19.482155,37.108867,0.000000,0.000000
0.050000,7.269001,112.500000,7.272569,21.337598,37.108867,0.000000,0.000000
0.050000,8.428653,112.500000,8.432221,23.193042,37.108867,0.000000,0.000000
0.050000,9.681078,112.500000,9.684646,25.048485,37.108867,-0.000000,0.000000
0.050000,11.022706,112.500000,11.026274,26.832565,35.681603,-28.545282,0.000000
0.050000,12.446402,112.500000,12.449970,28.473919,32.827074,-57.090564,0.000000
0.050000,13.945029,112.500000,13.948597,29.972546,29.972546,-57.090564,0.000000
0.050000,15.511451,112.500000,15.515020,31.328447,27.118018,-57.090564,0.000000
0.050000,17.138532,112.500000,17.142101,32.541622,24.263490,-57.090564,0.000000
0.050000,18.819136,112.500000,18.822704,33.612070,21.408962,-57.090564,0.000000
0.050000,20.546126,112.500000,20.549694,34.539791,18.554433,-57.090564,0.000000
0.050000,22.312365,112.500000,22.315933,35.324787,15.699905,-57.090564,0.000000
0.050000,24.110718,112.500000,24.114286,35.967055,12.845377,-57.090564,0.000000
0.050000,25.934048,112.500000,25.937616,36.466598,9.990849,-57.090564,0.000000
0.050000,27.775218,112.500000,27.778786,36.823414,7.136321,-57.090564,0.000000
0.050000,29.627093,112.500000,29.630662,37.037504,4.281792,-57.090564,0.000000
0.050000,31.480287,112.500000,31.483856,37.063881,0.527549,-75.084875,0.000000
0.050000,33.325415,112.500000,33.328983,36.902546,-3.226695,-75.084875,0.000000
0.050000,35.155339,112.500000,35.158907,36.598485,-6.081223,-57.090564,0.000000
0.050000,36.962924,112.500000,36.966492,36.151697,-8.935752,-57.090564,0.000000
0.050000,38.741033,112.500000,38.744601,35.562184,-11.790280,-57.090564,0.000000
0.050000,40.482530,112.500000,40.486098,34.829943,-14.644808,-57.090564,0.000000
0.050000,42.180279,112.500000,42.183847,33.954976,-17.499336,-57.090564,0.000000
0.050000,43.827143,112.500000,43.830711,32.937283,-20.353864,-57.090564,0.000000
0.050000,45.415986,112.500000,45.419555,31.776863,-23.208393,-57.090564,0.000000
0.050000,46.939672,112.500000,46.943240,30.473717,-26.062921,-57.090564,0.000000
0.050000,48.391064,112.500000,48.394633,29.027845,-28.917449,-57.090564,0.000000
0.050000,49.763027,112.500000,49.766595,27.439246,-31.771977,-57.090564,0.000000
0.050000,51.048423,112.500000,51.051991,25.707921,-34.626506,-57.090564,0.000000
0.050000,52.242366,112.500000,52.245934,23.878855,-36.581318,-39.096254,0.000000
0.050000,53.343536,112.500000,53.347104,22.023412,-37.108867,-10.550972,0.000000
0.050000,54.351935,112.500000,54.355503,20.167968,-37.108867,0.000000,0.000000
0.050000,55.267561,112.500000,55.271129,18.312525,-37.108867,-0.000000,0.000000
0.050000,56.090415,112.500000,56.093983,16.457082,-37.108867,0.000000,0.000000
0.050000,56.820497,112.500000,56.824065,14.601638,-37.108867,0.000000,0.000000
0.050000,57.457807,112.500000,57.461375,12.746195,-37.108867,0.000000,0.000000
0.050000,58.004593,112.500000,58.008162,10.935737,-36.209151,17.994310,0.000000
0.050000,58.466675,112.500000,58.470243,9.241629,-33.882172,46.539593,0.000000
0.050000,58.851187,112.500000,58.854755,7.690247,-31.027643,57.090564,0.000000
0.050000,59.165267,112.500000,59.168835,6.281591,-28.173115,57.090564,0.000000
0.050000,59.416050,112.500000,59.419618,5.015661,-25.318587,57.090564,0.000000
0.050000,59.610673,112.500000,59.614241,3.892458,-22.464059,57.090564,0.000000
0.050000,59.756272,112.500000,59.759840,2.911982,-19.609531,57.090564,0.000000
0.050000,59.859983,112.500000,59.863552,2.074232,-16.755002,57.090564,0.000000
0.050000,59.928944,112.500000,59.932512,1.379208,-13.900474,57.090564,0.000000
0.050000,59.970289,112.500000,59.973858,0.826911,-11.045946,57.090564,0.000000
0.050000,59.991156,112.500000,59.994725,0.417340,-8.191418,57.090564,0.000000
0.050000,59.998681,112.500000,60.002249,0.150495,-5.336889,57.090564,0.000000
0.050000,60.000000,112.500000,60.003568,0.026377,-2.482361,57.090564,0.000000
0.050000,60.000000,112.500000,60.003568,0.000000,-0.527549,39.096254,0.000000
