dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.024287,112.499976,0.003604,0.144161,2.883212,57.664233,6.281242
0.050000,0.019620,112.499985,0.008270,0.093327,-1.016665,-77.997532,6.281616
0.050000,0.009122,112.499997,0.018768,0.209962,2.332687,66.987030,6.282456
0.050000,0.019942,112.500008,0.029588,0.216392,0.128599,-44.081741,0.000763
0.050000,0.080877,112.500125,0.090523,1.218708,20.046329,398.354588,0.003096
0.050000,0.168599,112.500544,0.178247,1.754466,10.715165,-186.623273,0.006458
0.050000,0.287965,112.501588,0.297617,2.387399,12.658662,38.869930,0.011036
0.050000,0.443804,112.503775,0.453471,3.117086,14.593728,38.701326,0.017020
0.050000,0.640941,112.507877,0.650651,3.943604,16.530354,38.732515,0.024600
0.050000,0.884201,112.515002,0.894015,4.867273,18.473397,38.860862,0.033963
0.050000,1.178395,112.526667,1.188441,5.888514,20.424809,39.028251,0.045296
0.050000,1.528360,112.544895,1.538880,7.008794,22.405613,39.616077,0.058778
0.050000,1.938990,112.572318,1.950425,8.230888,24.441872,40.725168,0.074580
0.050000,2.415272,112.612288,2.428381,9.559126,26.564751,42.457590,0.092854
0.050000,2.962348,112.669007,2.978389,11.000166,28.820806,45.121101,0.113725
0.050000,3.583191,112.747324,3.604153,12.515268,30.302043,29.624739,0.137185
0.050000,4.278657,112.852562,4.307535,14.067652,31.047673,14.912588,0.163084
0.050000,5.049988,112.990705,5.091140,15.672087,32.088698,20.820507,0.191215
0.050000,5.898872,113.168406,5.958423,17.345671,33.471695,27.659933,0.221300
0.050000,6.827430,113.392964,6.913749,19.106520,35.216981,34.905737,0.252991
0.050000,7.835711,113.671536,7.959804,20.921106,36.291721,21.494787,0.285785
0.050000,8.921466,114.010530,9.097249,22.748892,36.555702,5.279635,0.319051
0.050000,10.082447,114.415796,10.326931,24.593636,36.894883,6.783617,0.352147
0.050000,11.316238,114.892316,11.649547,26.452318,37.173644,5.575210,0.384439
0.050000,12.620150,115.443900,13.065326,28.315593,37.265497,1.837055,0.415332
0.050000,13.991184,116.072919,14.573769,30.168852,37.065184,-4.006244,0.444291
0.050000,15.426074,116.780109,16.173465,31.993924,36.501435,-11.274982,0.470852
0.050000,16.921402,117.564474,17.862025,33.771194,35.545408,-19.120543,0.494629
0.050000,18.473739,118.423276,19.636085,35.481202,34.200166,-26.904833,0.515315
0.050000,20.079793,119.352122,21.491393,37.106152,32.498996,-34.023416,0.532673
0.050000,21.736544,120.345099,23.422927,38.630692,30.490796,-40.163997,0.546529
0.050000,23.441318,121.394949,25.425036,40.042171,28.229577,-45.224372,0.556757
0.050000,25.191819,122.493263,27.491566,41.330604,25.768665,-49.218244,0.563274
0.050000,26.986099,123.630650,29.615970,42.488076,23.149430,-52.384696,0.566026
0.050000,28.820660,124.795759,31.789237,43.465346,19.545406,-72.080481,0.564989
0.050000,30.691932,125.976498,34.001883,44.252927,15.751616,-75.875801,0.560176
0.050000,32.597928,127.161403,36.246170,44.885731,12.656084,-61.910652,0.551630
0.050000,34.536250,128.338676,38.514002,45.356649,9.418369,-64.754287,0.539422
0.050000,36.503785,129.496316,40.796835,45.656654,6.000091,-68.365569,0.523658
0.050000,38.496375,130.622293,43.085555,45.774397,2.354865,-72.904515,0.504490
0.050000,40.508467,131.704769,45.370346,45.695820,-1.571539,-78.528087,0.482127
0.050000,42.532787,132.732379,47.640555,45.404187,-5.832658,-85.222376,0.456845
0.050000,44.560067,133.694597,49.884599,44.880866,-10.466418,-92.675202,0.428994
0.050000,46.578884,134.582157,52.089907,44.106163,-15.494063,-100.552887,0.399002
0.050000,48.575649,135.387515,54.242968,43.061217,-20.898928,-108.097312,0.367375
0.050000,50.534786,136.105296,56.329454,41.729732,-26.629704,-114.615512,0.334682
0.050000,52.439102,136.732660,58.334450,40.099914,-32.596353,-119.332983,0.301541
0.050000,54.270327,137.269508,60.242745,38.165895,-38.680377,-121.680478,0.268591
0.050000,56.009732,137.718497,62.039164,35.928382,-44.750272,-121.397909,0.236470
0.050000,57.641460,138.085379,63.711629,33.449302,-49.581601,-96.626584,0.205737
0.050000,59.155137,138.378556,65.253436,30.836146,-52.263102,-53.630012,0.176808
0.050000,60.543690,138.607528,66.660741,28.146094,-53.801043,-30.758827,0.149991
0.050000,61.801486,138.781926,67.930570,25.396586,-54.990168,-23.782491,0.125523
0.050000,62.924235,138.911116,69.060728,22.603152,-55.868678,-17.570209,0.103579
0.050000,63.911625,139.004114,70.052488,19.835200,-55.359047,10.192629,0.084227
0.050000,64.769075,139.069247,70.912408,17.198400,-52.735989,52.461164,0.067397
0.050000,65.504798,139.113572,71.649465,14.741145,-49.145095,71.817869,0.052949
