dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,100.000000,0.003604,0.144161,2.883212,57.664233,6.281242
0.050000,0.000000,100.000000,0.018020,0.432482,5.766423,57.664233,6.281616
0.050000,0.000000,100.000000,0.050456,0.864963,8.649635,57.664233,6.282456
0.050000,0.029482,100.000011,0.108120,1.441606,11.532847,57.664233,0.000763
0.050000,0.119583,100.000185,0.198221,2.162409,14.416058,57.664233,0.003096
0.050000,0.249322,100.000805,0.327965,3.027372,17.299270,57.664233,0.006458
0.050000,0.425915,100.002350,0.504562,4.036496,20.182481,57.664233,0.011036
0.050000,0.656548,100.005585,0.735219,5.189781,23.065693,57.664233,0.017020
0.050000,0.948406,100.011659,1.027144,6.487226,25.948905,57.664233,0.024600
0.050000,1.308653,100.022211,1.387546,7.928832,28.832116,57.664233,0.033963
0.050000,1.744395,100.039488,1.823631,9.514598,31.715328,57.664233,0.045296
0.050000,2.262663,100.066482,2.342609,11.244525,34.598540,57.664233,0.058778
0.050000,2.870379,100.107065,2.951688,13.118613,37.481751,57.664233,0.074580
0.050000,3.574285,100.166137,3.658075,15.136861,40.364963,57.664233,0.092854
0.050000,4.380848,100.249753,4.468978,17.299270,43.248175,57.664233,0.113725
0.050000,5.292626,100.364762,5.388002,19.461679,43.248175,0.000000,0.137185
0.050000,6.308183,100.518421,6.415146,21.624087,43.248175,-0.000000,0.163084
0.050000,7.425631,100.718528,7.550410,23.786496,43.248175,0.000000,0.191215
0.050000,8.642600,100.973245,8.793796,25.948905,43.248175,-0.000000,0.221300
0.050000,9.956193,101.290863,10.145301,28.111313,43.248175,0.000000,0.252991
0.050000,11.359592,101.678527,11.601323,30.129562,40.364963,-57.664233,0.285785
0.050000,12.842289,102.141362,13.154653,32.003649,37.481751,-57.664233,0.319051
0.050000,14.393866,102.682865,14.798084,33.733576,34.598540,-57.664233,0.352147
0.050000,16.004223,103.304702,16.524407,35.319343,31.715328,-57.664233,0.384439
0.050000,17.663825,104.006622,18.326414,36.760948,28.832116,-57.664233,0.415332
0.050000,19.363911,104.786476,20.196898,38.058394,25.948905,-57.664233,0.444291
0.050000,21.096646,105.640333,22.128649,39.211678,23.065693,-57.664233,0.470852
0.050000,22.855217,106.562663,24.114461,40.220802,20.182481,-57.664233,0.494629
0.050000,24.633849,107.546556,26.147126,41.085766,17.299270,-57.664233,0.515315
0.050000,26.427766,108.583964,28.219434,41.806569,14.416058,-57.664233,0.532673
0.050000,28.233102,109.665926,30.324178,42.383211,11.532847,-57.664233,0.546529
0.050000,30.046765,110.782783,32.454151,42.815693,8.649635,-57.664233,0.556757
0.050000,31.866282,111.924368,34.602144,43.104014,5.766423,-57.664233,0.563274
0.050000,33.689623,113.080163,36.760948,43.248175,2.883212,-57.664233,0.566026
0.050000,35.513239,114.238326,38.921253,43.163993,-1.683628,-91.336789,0.564989
0.050000,37.333625,115.386979,41.073744,42.935651,-4.566839,-57.664233,0.560176
0.050000,39.148883,116.515513,43.211214,42.563149,-7.450051,-57.664233,0.551630
0.050000,40.956751,117.613605,45.326455,42.046486,-10.333263,-57.664233,0.539422
0.050000,42.754423,118.671367,47.412258,41.385662,-13.216474,-57.664233,0.523658
0.050000,44.538388,119.679530,49.461417,40.580678,-16.099686,-57.664233,0.504490
0.050000,46.304281,120.629637,51.466722,39.631533,-18.982898,-57.664233,0.482127
0.050000,48.046775,121.514272,53.420966,38.538227,-21.866109,-57.664233,0.456845
0.050000,49.759519,122.327289,55.316941,37.300761,-24.749321,-57.664233,0.428994
0.050000,51.435126,123.064044,57.147438,35.919135,-27.632533,-57.664233,0.399002
0.050000,53.065238,123.721599,58.905250,34.393347,-30.515744,-57.664233,0.367375
0.050000,54.640650,124.298863,60.583169,32.723400,-33.398956,-57.664233,0.334682
0.050000,56.151499,124.796660,62.173986,30.909291,-36.282167,-57.664233,0.301541
0.050000,57.587489,125.217686,63.670494,28.951022,-39.165379,-57.664233,0.268591
0.050000,58.938139,125.566360,65.065484,26.848593,-42.048591,-57.664233,0.236470
0.050000,60.195074,125.848997,66.353854,24.686184,-43.248175,-23.991677,0.205737
0.050000,61.353743,126.073430,67.534103,22.523775,-43.248175,-0.000000,0.176808
0.050000,62.411552,126.247872,68.606231,20.361366,-43.248175,0.000000,0.149991
0.050000,63.366401,126.380271,69.570239,18.198958,-43.248175,0.000000,0.125523
0.050000,64.216658,126.478110,70.426127,16.036549,-43.248175,-0.000000,0.103579
0.050000,64.963215,126.548427,71.175999,13.958322,-41.564547,33.672556,0.084227
0.050000,65.610902,126.597626,71.825563,12.024255,-38.681335,57.664233,0.067397
0.050000,66.166357,126.631091,72.382028,10.234349,-35.798124,57.664233,0.052949
0.050000,66.636413,126.653122,72.852602,8.588603,-32.914912,57.664233,0.040721
0.050000,67.028054,126.667082,73.244493,7.087018,-30.031700,57.664233,0.030538
0.050000,67.348356,126.675532,73.564908,5.729594,-27.148489,57.664233,0.022215
0.050000,67.604453,126.680371,73.821056,4.516330,-24.265277,57.664233,0.015566
0.050000,67.803528,126.682956,74.020145,3.447227,-21.382065,57.664233,0.010401
0.050000,67.952759,126.684219,74.169383,2.522284,-18.498854,57.664233,0.006533
0.050000,68.059353,126.684768,74.275977,1.741502,-15.615642,57.664233,0.003771
0.050000,68.130514,126.684971,74.347137,1.104880,-12.732430,57.664233,0.001928
