dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.024287,87.500024,0.003604,0.144161,2.883212,57.664233,6.281242
0.050000,-0.019620,87.500015,0.008270,0.093327,-1.016665,-77.997532,6.281616
0.050000,-0.009122,87.500003,0.018768,0.209962,2.332687,66.987030,6.282456
0.050000,0.039023,87.500015,0.066914,0.962901,15.058783,254.521925,0.000763
0.050000,0.158289,87.500245,0.186180,2.385321,28.448395,267.792239,0.003096
0.050000,0.330046,87.501066,0.357938,3.435176,20.997115,-149.025588,0.006458
0.050000,0.563866,87.503111,0.591767,4.676578,24.828040,76.618494,0.011036
0.050000,0.869293,87.507396,0.897225,6.109155,28.651533,76.469855,0.017020
0.050000,1.255870,87.515441,1.283886,7.733212,32.481147,76.592279,0.024600
0.050000,1.733106,87.529419,1.761326,9.548814,36.312043,76.617916,0.033963
0.050000,2.310395,87.552309,2.339069,11.554856,40.120833,76.175818,0.045296
0.050000,2.996965,87.588068,3.026569,13.750005,43.902986,75.643055,0.058778
0.050000,3.801769,87.641813,3.833166,16.131923,47.638345,74.707182,0.074580
0.050000,4.733299,87.719985,4.767970,18.696087,51.283290,72.898888,0.092854
0.050000,5.799347,87.830499,5.839731,21.435231,54.782876,69.991716,0.113725
0.050000,7.002060,87.982200,7.051974,24.244851,56.192406,28.190613,0.137185
0.050000,8.337709,88.184280,8.402823,27.016981,55.442593,-14.996260,0.163084
0.050000,9.801275,88.446352,9.889667,29.736887,54.398112,-20.889625,0.191215
0.050000,11.386328,88.778084,11.509063,32.387912,53.020507,-27.552106,0.221300
0.050000,13.084956,89.188762,13.256630,34.951346,51.268683,-35.036481,0.252991
0.050000,14.883472,89.685518,15.122489,37.317172,47.316522,-79.043216,0.285785
0.050000,16.763113,90.272194,17.091559,39.381411,41.284777,-120.634907,0.319051
0.050000,18.705286,90.949934,19.148588,41.140580,35.183382,-122.027890,0.352147
0.050000,20.692208,91.717088,21.278467,42.597578,29.139957,-120.868495,0.384439
0.050000,22.707500,92.569343,23.466558,43.761805,23.284549,-117.108176,0.415332
0.050000,24.736638,93.500033,25.698952,44.647884,17.721576,-111.259455,0.444291
0.050000,26.767218,94.500557,27.962644,45.273846,12.519246,-104.046596,0.470852
0.050000,28.789031,95.560852,30.245615,45.659414,7.711355,-96.157812,0.494629
0.050000,30.793959,96.669836,32.536811,45.823918,3.290086,-88.425396,0.515315
0.050000,32.775739,97.815805,34.826068,45.785144,-0.775496,-81.311628,0.532673
0.050000,34.729660,98.986753,37.103990,45.558435,-4.534174,-75.173555,0.546529
0.050000,36.652212,100.170617,39.361808,45.156357,-8.041566,-70.147841,0.556757
0.050000,38.540745,101.355473,41.591256,44.588961,-11.347909,-66.126866,0.563274
0.050000,40.393147,102.529677,43.784461,43.864101,-14.497214,-62.986110,0.566026
0.050000,42.205818,103.680894,45.931802,42.946833,-18.345358,-76.962873,0.564989
0.050000,43.975319,104.797460,48.024134,41.846645,-22.003747,-73.167778,0.560176
0.050000,45.699839,105.869622,50.054775,40.612805,-24.676799,-53.461036,0.551630
0.050000,47.377252,106.888533,52.017399,39.252488,-27.206343,-50.590878,0.539422
0.050000,49.005062,107.846418,53.906131,37.774637,-29.557019,-47.013518,0.523658
0.050000,50.580401,108.736766,55.715665,36.190678,-31.679178,-42.443182,0.504490
0.050000,52.100094,109.554505,57.441401,34.514726,-33.519043,-36.797306,0.482127
0.050000,53.560763,110.296164,59.079574,32.763458,-35.025371,-30.126555,0.456845
0.050000,54.958970,110.959980,60.627358,30.955676,-36.155631,-22.605212,0.428994
0.050000,56.291367,111.545932,62.082907,29.110973,-36.894062,-14.768618,0.399002
0.050000,57.554827,112.055683,63.445322,27.248313,-37.253200,-7.182762,0.367375
0.050000,58.746515,112.492429,64.714522,25.383997,-37.286321,-0.662419,0.334682
0.050000,59.863896,112.860659,65.891014,23.529832,-37.083309,4.060247,0.301541
0.050000,60.904652,113.165863,66.975598,21.691678,-36.763073,6.404719,0.268591
0.050000,61.866545,113.414223,67.969037,19.868788,-36.457797,6.105516,0.236470
0.050000,62.748687,113.612614,68.873213,18.083511,-35.705538,15.045178,0.205737
0.050000,63.552349,113.768304,69.691817,16.372080,-34.228617,29.538423,0.176808
0.050000,64.279414,113.888216,70.428703,14.737732,-32.686963,30.833089,0.149991
0.050000,64.931317,113.978617,71.086844,13.162820,-31.498242,23.774420,0.125523
0.050000,65.509080,114.045104,71.668420,11.631525,-30.625908,17.446676,0.103579
0.050000,66.014805,114.092739,72.176384,10.159266,-29.445168,23.614787,0.084227
0.050000,66.452728,114.126005,72.615569,8.783705,-27.511228,38.678819,0.067397
0.050000,66.827915,114.148609,72.991436,7.517332,-25.327453,43.675485,0.052949
0.050000,67.145291,114.163485,73.309160,6.354486,-23.256929,41.410487,0.040721
0.050000,67.409717,114.172910,73.573754,5.291887,-21.251982,40.098936,0.030538
0.050000,67.626021,114.178617,73.790134,4.327592,-19.285901,39.321616,0.022215
0.050000,67.799020,114.181885,73.963163,3.460585,-17.340133,38.915372,0.015566
0.050000,67.933543,114.183632,74.097698,2.690703,-15.397629,38.850077,0.010401
0.050000,68.034416,114.184486,74.198574,2.017515,-13.463777,38.677047,0.006533
0.050000,68.106486,114.184857,74.270645,1.441432,-11.521647,38.842581,0.003771
0.050000,68.154609,114.184994,74.318769,0.962463,-9.579387,38.845211,0.001928
0.050000,68.183642,114.185034,74.347801,0.580655,-7.636152,38.864705,0.000816
0.050000,68.198467,114.185042,74.362626,0.296495,-5.683197,39.059089,0.000249
0.050000,68.203949,114.185043,74.368109,0.109649,-3.736928,38.925392,0.000039
0.050000,68.204964,114.185043,74.369123,0.020293,-1.787113,38.996284,6.283185
0.050000,68.204964,114.185043,74.369123,0.000000,-0.405868,27.624903,6.283185
