dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,64.000545,64.500000,0.003571,0.142857,2.857143,57.142857,6.283142
0.050000,64.000448,64.500000,0.003668,0.001938,-2.818390,-113.510654,6.283149
0.050000,64.000230,64.500000,0.003886,0.004356,0.048369,57.335180,6.283167
0.050000,64.022986,64.500000,0.026642,0.455125,9.015383,179.340286,0.000013
0.050000,64.111670,64.500003,0.115326,1.773665,26.370791,347.108152,0.000061
0.050000,64.239377,64.500016,0.243033,2.554145,15.609604,-215.223744,0.000130
0.050000,64.413207,64.500046,0.416863,3.476604,18.449170,56.791317,0.000223
0.050000,64.640262,64.500111,0.643918,4.541093,21.289784,56.812294,0.000345
0.050000,64.927646,64.500232,0.931302,5.747682,24.131793,56.840177,0.000497
0.050000,65.282469,64.500441,1.286125,7.096462,26.975590,56.875941,0.000682
0.050000,65.711846,64.500782,1.715502,8.587543,29.821620,56.920590,0.000904
0.050000,66.222899,64.501310,2.226555,10.221062,32.670374,56.975093,0.001162
0.050000,66.822757,64.502097,2.826414,11.997181,35.522397,57.040447,0.001459
0.050000,67.518561,64.503229,3.522219,13.916095,38.378278,57.117631,0.001795
0.050000,68.313910,64.504806,4.317569,15.907008,39.818253,28.799493,0.002167
0.050000,69.205310,64.506918,5.208972,17.828044,38.420729,-27.950474,0.002569
0.050000,70.185717,64.509646,6.189383,19.608228,35.603675,-56.341090,0.002993
0.050000,71.248089,64.513061,7.251760,21.247545,32.786337,-56.346755,0.003432
0.050000,72.385379,64.517219,8.389058,22.745951,29.968126,-56.364218,0.003876
0.050000,73.590538,64.522161,9.594227,24.103376,27.148498,-56.392554,0.004320
0.050000,74.856511,64.527909,10.860213,25.319724,24.326960,-56.430767,0.004755
0.050000,76.176238,64.534466,12.179957,26.394878,21.503068,-56.477849,0.005176
0.050000,77.542654,64.541816,13.546392,27.328699,18.676429,-56.532776,0.005575
0.050000,78.948682,64.549922,14.952443,28.121034,15.846694,-56.594690,0.005948
0.050000,80.387241,64.558730,16.391029,28.771712,13.013573,-56.662427,0.006290
0.050000,81.851238,64.568168,17.855057,29.280553,10.176815,-56.735169,0.006597
0.050000,83.333572,64.578150,19.337425,29.647365,7.336226,-56.811765,0.006864
0.050000,84.827133,64.588577,20.831022,29.871947,4.491657,-56.891395,0.007091
0.050000,86.324800,64.599339,22.328727,29.954098,1.643009,-56.972950,0.007274
0.050000,87.823008,64.610348,23.826976,29.964968,0.217397,-28.512244,0.007414
0.050000,89.321758,64.621539,25.325767,29.975837,0.217395,-0.000046,0.007511
0.050000,90.821050,64.632846,26.825103,29.986707,0.217393,-0.000034,0.007564
0.050000,92.320886,64.644204,28.324982,29.997577,0.217392,-0.000020,0.007574
0.050000,93.821266,64.655548,29.825404,30.008446,0.217392,-0.000006,0.007540
0.050000,95.322189,64.666813,31.326370,30.019316,0.217392,0.000009,0.007463
0.050000,96.823657,64.677933,32.827879,30.030185,0.217393,0.000028,0.007342
0.050000,98.325670,64.688843,34.329932,30.041055,0.217395,0.000033,0.007178
0.050000,99.828229,64.699478,35.832528,30.051925,0.217397,0.000048,0.006970
0.050000,101.331333,64.709772,37.335668,30.062795,0.217400,0.000058,0.006719
0.050000,102.834984,64.719659,38.839351,30.073665,0.217404,0.000067,0.006424
