dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,64.000000,52.000000,0.003571,0.142857,2.857143,57.142857,6.283142
0.050000,64.000000,52.000000,0.017857,0.428571,5.714286,57.142857,6.283149
0.050000,64.000000,52.000000,0.050000,0.857143,8.571429,57.142857,6.283167
0.050000,64.023143,52.000000,0.107143,1.428571,11.428571,57.142857,0.000013
0.050000,64.112429,52.000003,0.196429,2.142857,14.285714,57.142857,0.000061
0.050000,64.241000,52.000016,0.325000,3.000000,17.142857,57.142857,0.000130
0.050000,64.416000,52.000047,0.500000,4.000000,20.000000,57.142857,0.000223
0.050000,64.644571,52.000112,0.728571,5.142857,22.857143,57.142857,0.000345
0.050000,64.933857,52.000233,1.017857,6.428571,25.714286,57.142857,0.000497
0.050000,65.291000,52.000444,1.375000,7.857143,28.571429,57.142857,0.000682
0.050000,65.723143,52.000787,1.807143,9.428571,31.428571,57.142857,0.000904
0.050000,66.237428,52.001318,2.321429,11.142857,34.285714,57.142857,0.001162
0.050000,66.840999,52.002110,2.925000,13.000000,37.142857,57.142857,0.001459
0.050000,67.540998,52.003249,3.625000,15.000000,40.000000,57.142857,0.001795
0.050000,68.340996,52.004835,4.425000,17.000000,40.000000,-0.000000,0.002167
0.050000,69.237423,52.006959,5.321429,18.857143,37.142857,-57.142857,0.002569
0.050000,70.223133,52.009702,6.307143,20.571429,34.285714,-57.142857,0.002993
0.050000,71.290985,52.013134,7.375000,22.142857,31.428571,-57.142857,0.003432
0.050000,72.433834,52.017313,8.517857,23.571429,28.571429,-57.142857,0.003876
0.050000,73.644538,52.022277,9.728571,24.857143,25.714286,-57.142857,0.004320
0.050000,74.915954,52.028050,11.000000,26.000000,22.857143,-57.142857,0.004755
0.050000,76.240937,52.034633,12.325000,27.000000,20.000000,-57.142857,0.005176
0.050000,77.612346,52.042010,13.696429,27.857143,17.142857,-57.142857,0.005575
0.050000,79.023037,52.050143,15.107143,28.571429,14.285714,-57.142857,0.005948
0.050000,80.465867,52.058977,16.550000,29.142857,11.428571,-57.142857,0.006290
0.050000,81.933694,52.068440,18.017857,29.571429,8.571429,-57.142857,0.006597
0.050000,83.419374,52.078444,19.503571,29.857143,5.714286,-57.142857,0.006864
0.050000,84.915766,52.088891,21.000000,30.000000,2.857143,-57.142857,0.007091
0.050000,86.415728,52.099670,22.500000,30.000000,0.000000,-57.142857,0.007274
0.050000,87.915687,52.110692,24.000000,30.000000,0.000000,0.000000,0.007414
0.050000,89.415645,52.121891,25.500000,30.000000,0.000000,0.000000,0.007511
0.050000,90.915603,52.133203,27.000000,30.000000,0.000000,0.000000,0.007564
