dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,63.999455,39.500000,0.003571,0.142857,2.857143,57.142857,6.283142
0.050000,63.999552,39.500000,0.003668,0.001938,-2.818390,-113.510654,6.283149
0.050000,63.999770,39.500000,0.003886,0.004356,0.048369,57.335180,6.283167
0.050000,64.023299,39.500000,0.027416,0.470589,9.324658,185.525777,0.000013
0.050000,64.113188,39.500003,0.117304,1.797764,26.543495,344.376733,0.000061
0.050000,64.242623,39.500016,0.246739,2.588712,15.818968,-214.490541,0.000130
0.050000,64.418793,39.500047,0.422909,3.523396,18.693687,57.494397,0.000223
0.050000,64.648881,39.500112,0.652997,4.601764,21.567358,57.473418,0.000345
0.050000,64.940068,39.500235,0.944185,5.823746,24.439635,57.445541,0.000497
0.050000,65.299531,39.500447,1.303647,7.189252,27.310124,57.409766,0.000682
0.050000,65.734439,39.500792,1.738556,8.698171,30.178380,57.365127,0.000904
0.050000,66.251957,39.501327,2.256074,10.350367,33.043911,57.310618,0.001162
0.050000,66.859241,39.502123,2.863358,12.145676,35.906174,57.245265,0.001459
0.050000,67.563435,39.503270,3.567553,14.083904,38.764578,57.168074,0.001795
0.050000,68.368083,39.504864,4.372203,16.092992,40.181746,28.343357,0.002167
0.050000,69.269535,39.507000,5.273658,18.029098,38.722127,-29.192376,0.002569
0.050000,70.260549,39.509758,6.264675,19.820343,35.824896,-57.944615,0.002993
0.050000,71.333880,39.513208,7.338012,21.466740,32.927947,-57.938983,0.003432
0.050000,72.482289,39.517407,8.486429,22.968334,30.031873,-57.921476,0.003876
0.050000,73.698539,39.522394,9.702688,24.325195,27.137216,-57.893140,0.004320
0.050000,74.975396,39.528191,10.979559,25.537418,24.244469,-57.854953,0.004755
0.050000,76.305636,39.534801,12.309815,26.605122,21.354074,-57.807884,0.005176
0.050000,77.682038,39.542204,13.686238,27.528443,18.466430,-57.752882,0.005575
0.050000,79.097392,39.550364,15.101614,28.307537,15.581877,-57.691067,0.005948
0.050000,80.544493,39.559224,16.548743,28.942573,12.700714,-57.623248,0.006290
0.050000,82.016149,39.568712,18.020430,29.433732,9.823185,-57.550585,0.006597
0.050000,83.505176,39.578739,19.509490,29.781207,6.949490,-57.473899,0.006864
0.050000,85.004399,39.589205,21.008750,29.985195,4.079773,-57.394344,0.007091
0.050000,86.506655,39.600001,22.511045,30.045902,1.214134,-57.312783,0.007274
0.050000,88.008367,39.611035,24.012796,30.035032,-0.217396,-28.630598,0.007414
0.050000,89.509533,39.622244,25.514005,30.024163,-0.217394,0.000041,0.007511
0.050000,91.010155,39.633561,27.014669,30.013293,-0.217392,0.000028,0.007564
