dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,35.023681,73.311800,0.003571,0.142857,2.857143,57.142857,6.281291
0.050000,35.016019,73.311812,0.011233,0.153234,0.207534,-52.992180,6.281904
0.050000,35.001052,73.311822,0.026200,0.299344,2.922201,54.293337,0.000097
0.050000,35.027558,73.311857,0.052707,0.530127,4.615668,33.869345,0.002548
0.050000,35.068959,73.312042,0.094108,0.828022,5.957903,26.844696,0.006379
0.050000,35.128554,73.312587,0.153706,1.191957,7.278685,26.415647,0.011897
0.050000,35.209640,73.313856,0.234801,1.621917,8.599197,26.410239,0.019409
0.050000,35.315526,73.316431,0.340718,2.118339,9.928446,26.584988,0.029222
0.050000,35.449570,73.321182,0.474847,2.682577,11.284754,27.126155,0.041634
0.050000,35.615239,73.329355,0.640717,3.317392,12.696317,28.231253,0.056936
0.050000,35.816211,73.342674,0.842130,4.028255,14.217259,30.418848,0.075394
0.050000,36.056528,73.363476,1.083346,4.824320,15.921285,34.080507,0.097239
0.050000,36.340830,73.394874,1.369377,5.720621,17.926021,40.094736,0.122642
0.050000,36.674651,73.440980,1.706366,6.739790,20.383392,49.147421,0.151681
0.050000,37.063027,73.506874,2.100292,7.878527,22.774727,47.826694,0.184166
0.050000,37.508838,73.598185,2.555358,9.101318,24.455838,33.622208,0.219473
0.050000,38.014238,73.720995,3.075466,10.402155,26.016725,31.217747,0.256719
0.050000,38.581979,73.881907,3.665570,11.802073,27.998362,39.632742,0.294936
0.050000,39.214891,74.087753,4.331114,13.310894,30.176428,43.561327,0.333118
0.050000,39.915333,74.345155,5.077355,14.924808,32.278268,42.036796,0.370273
0.050000,40.684744,74.659969,5.908680,16.626508,34.033999,35.114609,0.405477
0.050000,41.523401,75.036727,6.828078,18.387949,35.228836,23.896739,0.437922
0.050000,42.430409,75.478171,7.836808,20.174600,35.733021,10.083714,0.466935
0.050000,43.403906,75.984957,8.934318,21.950206,35.512117,-4.418085,0.491989
0.050000,44.441371,76.555559,10.118345,23.680537,34.606619,-18.109967,0.512694
0.050000,45.539958,77.186342,11.385144,25.335992,33.109086,-29.950656,0.528778
0.050000,46.696780,77.871746,12.729769,26.892490,31.129975,-39.582208,0.540064
0.050000,47.909079,78.604537,14.146332,28.331263,28.775458,-47.090351,0.546453
0.050000,49.174277,79.376057,15.628213,29.637610,26.126926,-52.970630,0.547903
0.050000,50.493101,80.178398,17.171925,30.874253,24.732876,-27.881017,0.544406
0.050000,51.870089,81.004849,18.777888,32.119252,24.899970,3.341897,0.535929
0.050000,53.310659,81.848020,20.447073,33.383701,25.288977,7.780127,0.522393
0.050000,54.820948,82.699600,22.180902,34.676574,25.857476,11.369979,0.503684
0.050000,56.407545,83.550054,23.981058,36.003121,26.530925,13.468993,0.479668
0.050000,58.077073,84.388286,25.849200,37.362850,27.194588,13.273254,0.450212
0.050000,59.835571,85.201319,27.786554,38.747069,27.684386,9.795960,0.415215
0.050000,61.687632,85.974079,29.793364,40.136208,27.782770,1.967678,0.374660
0.050000,63.635309,86.689407,31.868247,41.497655,27.228945,-11.076493,0.328654
0.050000,65.676865,87.328466,34.007487,42.784804,25.742979,-29.719335,0.277496
0.050000,67.805604,87.871682,36.204443,43.939117,23.086250,-53.134578,0.221717
0.050000,70.009113,88.300257,38.449243,44.895998,19.137638,-78.972243,0.162106
0.050000,72.269316,88.598103,40.728987,45.594876,13.977553,-103.201685,0.099697
0.050000,74.563604,88.753780,43.028550,45.991260,7.927672,-120.997629,0.035701
0.050000,76.866928,88.761918,45.331888,46.066770,1.510205,-128.349336,6.254587
0.050000,78.992992,88.641305,47.461371,42.589659,-69.542229,-1421.048676,6.200583
0.050000,81.092332,88.415384,49.572831,42.229209,-7.208984,1246.664905,6.151649
0.050000,83.147018,88.094548,51.652416,41.591700,-12.750181,-110.823951,6.105267
0.050000,85.147566,87.689491,53.693559,40.822844,-15.377136,-52.539098,6.061963
0.050000,87.087317,87.212001,55.691215,39.953127,-17.394321,-40.343704,6.022140
0.050000,88.962352,86.674202,57.641852,39.012733,-18.807881,-28.271203,5.986081
0.050000,90.771147,86.087951,59.543280,38.028561,-19.683444,-17.511247,5.953960
0.050000,92.514103,85.464440,61.394405,37.022500,-20.121233,-8.755795,5.925865
0.050000,94.193041,84.813967,63.194945,36.010811,-20.233776,-2.250856,5.901818
0.050000,95.810723,84.145864,64.945162,35.004326,-20.129684,2.081841,5.881799
0.050000,97.370452,83.468520,66.645618,34.009123,-19.904061,4.512457,5.865761
0.050000,98.875748,82.789469,68.296988,33.027407,-19.634319,5.394852,5.853650
