dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,35.000000,60.811822,0.003571,0.142857,2.857143,57.142857,6.281291
0.050000,35.000000,60.811822,0.017857,0.428571,5.714286,57.142857,6.281904
0.050000,35.002268,60.811822,0.050000,0.857143,8.571429,57.142857,0.000097
0.050000,35.059413,60.811898,0.107143,1.428571,11.428571,57.142857,0.002548
0.050000,35.148696,60.812296,0.196429,2.142857,14.285714,57.142857,0.006379
0.050000,35.277263,60.813471,0.325000,3.000000,17.142857,57.142857,0.011897
0.050000,35.452242,60.816210,0.500000,4.000000,20.000000,57.142857,0.019409
0.050000,35.680745,60.821768,0.728571,5.142857,22.857143,57.142857,0.029222
0.050000,35.969847,60.832014,1.017857,6.428571,25.714286,57.142857,0.041634
0.050000,36.326550,60.849610,1.375000,7.857143,28.571429,57.142857,0.056936
0.050000,36.757742,60.878184,1.807143,9.428571,31.428571,57.142857,0.075394
0.050000,37.270102,60.922526,2.321429,11.142857,34.285714,57.142857,0.097239
0.050000,37.870012,60.988762,2.925000,13.000000,37.142857,57.142857,0.122642
0.050000,38.563408,61.084500,3.625000,15.000000,40.000000,57.142857,0.151681
0.050000,39.352110,61.218257,4.425000,17.000000,40.000000,-0.000000,0.184166
0.050000,40.230279,61.398031,5.321429,18.857143,37.142857,-57.142857,0.219473
0.050000,41.188095,61.630642,6.307143,20.571429,34.285714,-57.142857,0.256719
0.050000,42.215467,61.921649,7.375000,22.142857,31.428571,-57.142857,0.294936
0.050000,43.302283,62.274912,8.517857,23.571429,28.571429,-57.142857,0.333118
0.050000,44.438703,62.692296,9.728571,24.857143,25.714286,-57.142857,0.370273
0.050000,45.615463,63.173542,11.000000,26.000000,22.857143,-57.142857,0.405477
0.050000,46.824136,63.716295,12.325000,27.000000,20.000000,-57.142857,0.437922
0.050000,48.057308,64.316271,13.696429,27.857143,17.142857,-57.142857,0.466935
0.050000,49.308660,64.967521,15.107143,28.571429,14.285714,-57.142857,0.491989
0.050000,50.572956,65.662733,16.550000,29.142857,11.428571,-57.142857,0.512694
0.050000,51.845938,66.393538,18.017857,29.571429,8.571429,-57.142857,0.528778
0.050000,53.124169,67.150801,19.503571,29.857143,5.714286,-57.142857,0.540064
0.050000,54.404833,67.924876,21.000000,30.000000,2.857143,-57.142857,0.546453
0.050000,55.685506,68.705823,22.500000,30.000000,0.000000,-57.142857,0.547903
0.050000,56.966976,69.485459,24.000000,30.000000,0.000000,0.000000,0.544406
0.050000,58.253084,70.257413,25.500000,30.000000,0.000000,0.000000,0.535929
0.050000,59.547598,71.015172,27.000000,30.000000,0.000000,0.000000,0.522393
0.050000,60.854144,71.751972,28.500000,30.000000,0.000000,0.000000,0.503684
0.050000,62.176108,72.460704,30.000000,30.000000,0.000000,0.000000,0.479668
0.050000,63.516524,73.133848,31.500000,30.000000,0.000000,0.000000,0.450212
0.050000,64.877909,73.763451,33.000000,30.000000,0.000000,0.000000,0.415215
0.050000,66.262079,74.341176,34.500000,30.000000,0.000000,0.000000,0.374660
0.050000,67.669929,74.858437,36.000000,30.000000,0.000000,0.000000,0.328654
0.050000,69.101223,75.306662,37.500000,30.000000,0.000000,0.000000,0.277496
0.050000,70.554416,75.677666,39.000000,30.000000,0.000000,0.000000,0.221717
0.050000,72.026579,75.964138,40.500000,30.000000,0.000000,0.000000,0.162106
0.050000,73.513467,76.160174,42.000000,30.000000,0.000000,0.000000,0.099697
0.050000,75.009767,76.261745,43.500000,30.000000,0.000000,0.000000,0.035701
0.050000,76.509495,76.267029,45.000000,30.000000,0.000000,0.000000,6.254587
0.050000,77.961636,76.183925,46.500000,30.000000,0.000000,0.000000,6.200583
0.050000,79.452867,76.023364,48.000000,30.000000,0.000000,0.000000,6.151649
0.050000,80.934759,75.791869,49.500000,30.000000,0.000000,0.000000,6.105267
0.050000,82.404789,75.494116,51.000000,30.000000,0.000000,0.000000,6.061963
0.050000,83.861186,75.135492,52.500000,30.000000,0.000000,0.000000,6.022140
0.050000,85.302940,74.721850,54.000000,30.000000,0.000000,0.000000,5.986081
0.050000,86.729770,74.259288,55.500000,30.000000,0.000000,0.000000,5.953960
0.050000,88.142040,73.753972,57.000000,30.000000,0.000000,0.000000,5.925865
0.050000,89.540670,73.212009,58.500000,30.000000,0.000000,0.000000,5.901818
0.050000,90.927033,72.639363,60.000000,30.000000,0.000000,0.000000,5.881799
0.050000,92.302858,72.041819,61.500000,30.000000,0.000000,0.000000,5.865761
0.050000,93.670146,71.424976,63.000000,30.000000,0.000000,0.000000,5.853650
0.050000,95.031096,70.794259,64.500000,30.000000,0.000000,0.000000,5.845416
0.050000,96.388039,70.154962,66.000000,30.000000,0.000000,0.000000,5.841019
0.050000,97.743388,69.512288,67.500000,30.000000,0.000000,0.000000,5.840435
0.050000,99.099320,68.871530,68.999708,29.988310,-0.233806,-4.676112,5.843662
0.050000,100.454750,68.239490,70.495260,29.833762,-3.090948,-57.142857,5.850689
0.050000,101.805466,67.624223,71.979513,29.536358,-5.948091,-57.142857,5.861460
0.050000,103.146936,67.033440,73.445324,29.096096,-8.805234,-57.142857,5.875854
0.050000,104.474170,66.474291,74.885551,28.512977,-11.662377,-57.142857,5.893683
0.050000,105.781606,65.953146,76.293050,27.787001,-14.519520,-57.142857,5.914680
0.050000,107.063033,65.475373,77.660679,26.918168,-17.376663,-57.142857,5.938492
0.050000,108.311557,65.045125,78.981296,25.906478,-20.233806,-57.142857,5.964678
0.050000,109.519629,64.665155,80.247756,24.751930,-23.090948,-57.142857,5.992706
0.050000,110.679120,64.336686,81.452917,23.454526,-25.948091,-57.142857,6.021971
0.050000,111.781446,64.059353,82.589637,22.014264,-28.805234,-57.142857,6.051805
0.050000,112.817731,63.831236,83.650772,20.431145,-31.662377,-57.142857,6.081506
0.050000,113.778981,63.648996,84.629180,18.705169,-34.519520,-57.142857,6.110365
0.050000,114.656250,63.508107,85.517718,16.836336,-37.376663,-57.142857,6.137694
0.050000,115.441056,63.403133,86.309534,14.836336,-40.000000,-52.466745,6.162858
0.050000,116.129035,63.327780,87.001643,12.848026,-39.766194,4.676112,6.185409
0.050000,116.722989,63.275433,87.597908,11.002574,-36.909052,57.142857,6.205202
0.050000,117.229322,63.240207,88.105472,9.299978,-34.051909,57.142857,6.222284
0.050000,117.654709,63.217354,88.531478,7.740240,-31.194766,57.142857,6.236765
0.050000,118.006011,63.203151,88.883068,6.323359,-28.337623,57.142857,6.248804
0.050000,118.290202,63.194768,89.167385,5.049335,-25.480480,57.142857,6.258590
0.050000,118.514341,63.190122,89.391573,3.918168,-22.623337,57.142857,6.266335
0.050000,118.685526,63.187744,89.562773,2.929858,-19.766194,57.142857,6.272264
0.050000,118.810878,63.186648,89.688130,2.084406,-16.909052,57.142857,6.276613
0.050000,118.897532,63.186209,89.774785,1.381810,-14.051909,57.142857,6.279623
0.050000,118.952630,63.186065,89.829882,0.822072,-11.194766,57.142857,6.281538
0.050000,118.983309,63.186031,89.860564,0.405191,-8.337623,57.142857,6.282605
0.050000,118.996720,63.186026,89.873973,0.131167,-5.480480,57.142857,6.283071
0.050000,119.000000,63.186026,89.877252,0.000000,-2.623337,57.142857,0.000000
0.050000,119.000000,63.186026,89.877252,0.000000,0.000000,52.466745,0.000000
