dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,34.976319,48.311844,0.003571,0.142857,2.857143,57.142857,6.281291
0.050000,34.983981,48.311832,0.011233,0.153234,0.207534,-52.992180,6.281904
0.050000,35.003483,48.311822,0.030735,0.390044,4.736210,90.573529,0.000097
0.050000,35.091267,48.311938,0.118520,1.755684,27.312798,451.531764,0.002548
0.050000,35.228433,48.312551,0.255687,2.743344,19.753197,-151.192025,0.006379
0.050000,35.425971,48.314356,0.453233,3.950919,24.151501,87.966072,0.011897
0.050000,35.694844,48.318565,0.722139,5.378129,28.544203,87.854042,0.019409
0.050000,36.045963,48.327104,1.073362,7.024454,32.926495,87.645845,0.029222
0.050000,36.490123,48.342847,1.517801,8.888781,37.286538,87.200853,0.041634
0.050000,37.037861,48.369865,2.066204,10.968067,41.585719,85.983621,0.056936
0.050000,37.699274,48.413694,2.729068,13.257280,45.784262,83.970865,0.075394
0.050000,38.483677,48.481576,3.516403,15.746689,49.788172,80.078189,0.097239
0.050000,39.399193,48.582650,4.437481,18.421567,53.497561,74.187782,0.122642
0.050000,40.452164,48.728020,5.500440,21.259178,56.752221,65.093198,0.151681
0.050000,41.641194,48.929641,6.706442,24.120047,57.217395,9.303495,0.184166
0.050000,42.951720,49.197877,8.044138,26.753906,52.677179,-90.804321,0.219473
0.050000,44.361951,49.540289,9.495344,29.024120,45.404273,-145.458124,0.256719
0.050000,45.848956,49.961392,11.040824,30.909610,37.709804,-153.889385,0.294936
0.050000,47.389675,50.462070,12.660854,32.400591,29.819620,-157.803671,0.333118
0.050000,48.962073,51.039437,14.335902,33.500963,22.007442,-156.243559,0.370273
0.050000,50.546182,51.687115,16.047301,34.227992,14.540574,-149.337362,0.405477
0.050000,52.124872,52.395862,17.777788,34.609733,7.634826,-138.114972,0.437922
0.050000,53.684206,53.154371,19.511818,34.680596,1.417244,-124.351627,0.466935
0.050000,55.213414,53.950086,21.235663,34.476892,-4.074075,-109.826380,0.491989
0.050000,56.704541,54.769907,22.937298,34.032717,-8.883500,-96.188508,0.512694
0.050000,58.151918,55.600734,24.606182,33.377674,-13.100862,-84.347236,0.528778
0.050000,59.551559,56.429856,26.232970,32.535768,-16.838122,-74.745202,0.540064
0.050000,60.900588,57.245214,27.809260,31.525789,-20.199569,-67.228931,0.546453
0.050000,62.196735,58.035588,29.327380,30.362392,-23.267944,-61.367505,0.547903
0.050000,63.440851,58.792520,30.783666,29.125724,-24.733371,-29.308550,0.544406
0.050000,64.636079,59.509977,32.177695,27.880579,-24.902895,-3.390471,0.535929
0.050000,65.784538,60.182325,33.508487,26.615849,-25.294588,-7.833855,0.522393
0.050000,66.887339,60.804345,34.774615,25.322554,-25.865914,-11.426527,0.503684
0.050000,67.944672,61.371354,35.974386,23.995431,-26.542456,-13.530833,0.479668
0.050000,68.955975,61.879410,37.106135,22.634974,-27.209129,-13.333466,0.450212
