dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.594984,113.044310,0.003571,0.142857,2.857143,57.142857,6.282794
0.050000,10.594984,113.044310,0.017857,0.428571,5.714286,57.142857,6.282870
0.050000,10.594984,113.044310,0.050000,0.857143,8.571429,57.142857,6.283040
0.050000,10.624801,113.044312,0.107143,1.428571,11.428571,57.142857,0.000158
0.050000,10.714087,113.044347,0.196429,2.142857,14.285714,57.142857,0.000631
0.050000,10.842658,113.044472,0.325000,3.000000,17.142857,57.142857,0.001309
0.050000,11.017658,113.044781,0.500000,4.000000,20.000000,57.142857,0.002228
0.050000,11.246228,113.045427,0.728571,5.142857,22.857143,57.142857,0.003421
0.050000,11.535512,113.046634,1.017857,6.428571,25.714286,57.142857,0.004919
0.050000,11.892648,113.048718,1.375000,7.857143,28.571429,57.142857,0.006751
0.050000,12.324778,113.052109,1.807143,9.428571,31.428571,57.142857,0.008940
0.050000,12.839036,113.057369,2.321429,11.142857,34.285714,57.142857,0.011508
0.050000,13.442557,113.065211,2.925000,13.000000,37.142857,57.142857,0.014468
0.050000,14.142465,113.076519,3.625000,15.000000,40.000000,57.142857,0.017829
0.050000,14.942309,113.092286,4.425000,17.000000,40.000000,-0.000000,0.021576
0.050000,15.838487,113.113463,5.321429,18.857143,37.142857,-57.142857,0.025653
0.050000,16.823819,113.140896,6.307143,20.571429,34.285714,-57.142857,0.029990
0.050000,17.891119,113.175346,7.375000,22.142857,31.428571,-57.142857,0.034513
0.050000,19.033199,113.217451,8.517857,23.571429,28.571429,-57.142857,0.039153
0.050000,20.242869,113.267701,9.728571,24.857143,25.714286,-57.142857,0.043840
0.050000,21.512940,113.326415,11.000000,26.000000,22.857143,-57.142857,0.048509
0.050000,22.836228,113.393732,12.325000,27.000000,20.000000,-57.142857,0.053100
0.050000,24.205555,113.469605,13.696429,27.857143,17.142857,-57.142857,0.057554
0.050000,25.613753,113.553795,15.107143,28.571429,14.285714,-57.142857,0.061822
0.050000,27.053668,113.645882,16.550000,29.142857,11.428571,-57.142857,0.065856
0.050000,28.518155,113.745276,18.017857,29.571429,8.571429,-57.142857,0.069617
0.050000,30.000086,113.851226,19.503571,29.857143,5.714286,-57.142857,0.073072
0.050000,31.492345,113.962849,21.000000,30.000000,2.857143,-57.142857,0.076193
0.050000,32.987830,114.079145,22.500000,30.000000,0.000000,-57.142857,0.078962
0.050000,34.483008,114.199311,24.000000,30.000000,0.000000,0.000000,0.081371
0.050000,35.977915,114.322809,25.500000,30.000000,0.000000,0.000000,0.083420
0.050000,37.472589,114.449101,27.000000,30.000000,0.000000,0.000000,0.085109
0.050000,38.967071,114.577648,28.500000,30.000000,0.000000,0.000000,0.086438
0.050000,40.461404,114.707912,30.000000,30.000000,0.000000,0.000000,0.087407
0.050000,41.955634,114.839357,31.500000,30.000000,0.000000,0.000000,0.088018
0.050000,43.449807,114.971445,33.000000,30.000000,0.000000,0.000000,0.088269
0.050000,44.943970,115.103640,34.500000,30.000000,0.000000,0.000000,0.088161
0.050000,46.438171,115.235405,36.000000,30.000000,0.000000,0.000000,0.087693
0.050000,47.932458,115.366204,37.500000,30.000000,0.000000,0.000000,0.086866
0.050000,49.426875,115.495498,39.000000,30.000000,0.000000,0.000000,0.085680
0.050000,50.921467,115.622751,40.500000,30.000000,0.000000,0.000000,0.084135
0.050000,52.416277,115.747425,42.000000,30.000000,0.000000,0.000000,0.082229
0.050000,53.911343,115.868981,43.500000,30.000000,0.000000,0.000000,0.079964
0.050000,55.406702,115.986881,45.000000,30.000000,0.000000,0.000000,0.077338
0.050000,56.902386,116.100584,46.500000,30.000000,0.000000,0.000000,0.074352
0.050000,58.398422,116.209550,48.000000,30.000000,0.000000,0.000000,0.071005
0.050000,59.894833,116.313238,49.500000,30.000000,0.000000,0.000000,0.067297
0.050000,61.391636,116.411107,51.000000,30.000000,0.000000,0.000000,0.063228
0.050000,62.888841,116.502614,52.500000,30.000000,0.000000,0.000000,0.058797
0.050000,64.386452,116.587217,54.000000,30.000000,0.000000,0.000000,0.054006
0.050000,65.884464,116.664372,55.500000,30.000000,0.000000,0.000000,0.048853
0.050000,67.382867,116.733538,57.000000,30.000000,0.000000,0.000000,0.043340
0.050000,68.881639,116.794172,58.500000,30.000000,0.000000,0.000000,0.037467
0.050000,70.380750,116.845732,60.000000,30.000000,0.000000,0.000000,0.031234
0.050000,71.880161,116.887679,61.500000,30.000000,0.000000,0.000000,0.024643
0.050000,73.379820,116.919474,63.000000,30.000000,0.000000,0.000000,0.017694
0.050000,74.879669,116.940582,64.500000,30.000000,0.000000,0.000000,0.010391
0.050000,76.379632,116.950468,66.000000,30.000000,0.000000,0.000000,0.002733
0.050000,77.879627,116.948605,67.500000,30.000000,0.000000,0.000000,6.277910
0.050000,79.379556,116.934468,69.000000,30.000000,0.000000,0.000000,6.269553
0.050000,80.879309,116.907537,70.500000,30.000000,0.000000,0.000000,6.260851
0.050000,82.378764,116.867302,72.000000,30.000000,0.000000,0.000000,6.251809
0.050000,83.877785,116.813257,73.500000,30.000000,0.000000,0.000000,6.242430
0.050000,85.376221,116.744906,75.000000,30.000000,0.000000,0.000000,6.232720
0.050000,86.873909,116.661765,76.500000,30.000000,0.000000,0.000000,6.222685
0.050000,88.307885,116.568538,78.000000,30.000000,0.000000,0.000000,6.215437
0.050000,89.804276,116.464546,79.500000,30.000000,0.000000,0.000000,6.212145
0.050000,91.300308,116.355531,81.000000,30.000000,0.000000,0.000000,6.208721
0.050000,92.795951,116.241297,82.500000,30.000000,0.000000,0.000000,6.205168
0.050000,94.291171,116.121650,84.000000,30.000000,0.000000,0.000000,6.201483
0.050000,95.785931,115.996396,85.500000,30.000000,0.000000,0.000000,6.197666
0.050000,97.280194,115.865341,87.000000,30.000000,0.000000,0.000000,6.193718
0.050000,98.773919,115.728288,88.500000,30.000000,0.000000,0.000000,6.189638
0.050000,100.267063,115.585044,90.000000,30.000000,0.000000,0.000000,6.185426
0.050000,101.759580,115.435414,91.500000,30.000000,0.000000,0.000000,6.181082
0.050000,103.251422,115.279202,93.000000,30.000000,0.000000,0.000000,6.176605
0.050000,104.742540,115.116214,94.500000,30.000000,0.000000,0.000000,6.171996
0.050000,106.232878,114.946256,96.000000,30.000000,0.000000,0.000000,6.167254
0.050000,107.722383,114.769133,97.500000,30.000000,0.000000,0.000000,6.162379
0.050000,109.210994,114.584654,99.000000,30.000000,0.000000,0.000000,6.157372
0.050000,110.698649,114.392623,100.500000,30.000000,0.000000,0.000000,6.152231
0.050000,112.185285,114.192850,102.000000,30.000000,0.000000,0.000000,6.146959
0.050000,113.670833,113.985143,103.500000,30.000000,0.000000,0.000000,6.141554
0.050000,115.155222,113.769311,105.000000,30.000000,0.000000,0.000000,6.136017
0.050000,116.638378,113.545166,106.500000,30.000000,0.000000,0.000000,6.130348
0.050000,118.120225,113.312520,108.000000,30.000000,0.000000,0.000000,6.124548
0.050000,119.600681,113.071185,109.500000,30.000000,0.000000,0.000000,6.118616
0.050000,121.079664,112.820977,111.000000,30.000000,0.000000,0.000000,6.112555
0.050000,122.557085,112.561713,112.500000,30.000000,0.000000,0.000000,6.106363
0.050000,124.032856,112.293211,114.000000,30.000000,0.000000,0.000000,6.100043
0.050000,125.506882,112.015293,115.500000,30.000000,0.000000,0.000000,6.093595
0.050000,126.979068,111.727782,117.000000,30.000000,0.000000,0.000000,6.087019
0.050000,128.449311,111.430503,118.500000,30.000000,0.000000,0.000000,6.080317
0.050000,129.917511,111.123286,120.000000,30.000000,0.000000,0.000000,6.073490
0.050000,131.383558,110.805962,121.500000,30.000000,0.000000,0.000000,6.066539
0.050000,132.847345,110.478365,123.000000,30.000000,0.000000,0.000000,6.059466
0.050000,134.308757,110.140334,124.500000,30.000000,0.000000,0.000000,6.052271
0.050000,135.767678,109.791711,126.000000,30.000000,0.000000,0.000000,6.044958
0.050000,137.223990,109.432342,127.500000,30.000000,0.000000,0.000000,6.037527
0.050000,138.677569,109.062076,129.000000,30.000000,0.000000,0.000000,6.029980
0.050000,140.128291,108.680768,130.500000,30.000000,0.000000,0.000000,6.022319
0.050000,141.576027,108.288278,132.000000,30.000000,0.000000,0.000000,6.014547
0.050000,143.020647,107.884468,133.500000,30.000000,0.000000,0.000000,6.006666
0.050000,144.462016,107.469208,135.000000,30.000000,0.000000,0.000000,5.998677
0.050000,145.900000,107.042371,136.500000,30.000000,0.000000,0.000000,5.990585
0.050000,147.334461,106.603839,138.000000,30.000000,0.000000,0.000000,5.982391
0.050000,148.765257,106.153496,139.500000,30.000000,0.000000,0.000000,5.974097
0.050000,150.124635,105.711365,141.000000,30.000000,0.000000,0.000000,5.960279
0.050000,151.542008,105.220481,142.500000,30.000000,0.000000,0.000000,5.939407
0.050000,152.949032,104.700665,144.000000,30.000000,0.000000,0.000000,5.919316
0.050000,154.345555,104.153258,145.500000,30.000000,0.000000,0.000000,5.900052
0.050000,155.731522,103.579648,147.000000,30.000000,0.000000,0.000000,5.881654
0.050000,157.106973,102.981252,148.500000,30.000000,0.000000,0.000000,5.864157
0.050000,158.472032,102.359512,150.000000,30.000000,0.000000,0.000000,5.847588
0.050000,159.826910,101.715881,151.500000,30.000000,0.000000,0.000000,5.831969
0.050000,161.171892,101.051815,153.000000,30.000000,0.000000,0.000000,5.817316
0.050000,162.507335,100.368766,154.500000,30.000000,0.000000,0.000000,5.803643
