dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,35.000000,112.500000,0.003571,0.142857,2.857143,57.142857,0.000086
0.050000,35.000000,112.500000,0.017857,0.428571,5.714286,57.142857,0.000065
0.050000,35.000000,112.500000,0.050000,0.857143,8.571429,57.142857,0.000017
0.050000,35.045355,112.499998,0.107143,1.428571,11.428571,57.142857,6.283119
0.050000,35.134641,112.499987,0.196429,2.142857,14.285714,57.142857,6.282988
0.050000,35.263212,112.499949,0.325000,3.000000,17.142857,57.142857,6.282802
0.050000,35.438212,112.499860,0.500000,4.000000,20.000000,57.142857,6.282549
0.050000,35.666784,112.499677,0.728571,5.142857,22.857143,57.142857,6.282223
0.050000,35.956069,112.499340,1.017857,6.428571,25.714286,57.142857,6.281815
0.050000,36.313212,112.498762,1.375000,7.857143,28.571429,57.142857,6.281320
0.050000,36.745353,112.497828,1.807143,9.428571,31.428571,57.142857,6.280733
0.050000,37.259637,112.496391,2.321429,11.142857,34.285714,57.142857,6.280052
0.050000,37.863205,112.494264,2.925000,13.000000,37.142857,57.142857,6.279276
0.050000,38.563198,112.491223,3.625000,15.000000,40.000000,57.142857,6.278409
0.050000,39.363187,112.487020,4.425000,17.000000,40.000000,-0.000000,6.277461
0.050000,40.259598,112.481433,5.321429,18.857143,37.142857,-57.142857,6.276454
0.050000,41.245287,112.474278,6.307143,20.571429,34.285714,-57.142857,6.275411
0.050000,42.313107,112.465408,7.375000,22.142857,31.428571,-57.142857,6.274360
0.050000,43.455914,112.454722,8.517857,23.571429,28.571429,-57.142857,6.273325
0.050000,44.666563,112.442172,9.728571,24.857143,25.714286,-57.142857,6.272331
0.050000,45.937910,112.427767,11.000000,26.000000,22.857143,-57.142857,6.271398
0.050000,47.262811,112.411573,12.325000,27.000000,20.000000,-57.142857,6.270550
0.050000,48.634123,112.393717,13.696429,27.857143,17.142857,-57.142857,6.269803
0.050000,50.044705,112.374379,15.107143,28.571429,14.285714,-57.142857,6.269174
0.050000,51.487415,112.353787,16.550000,29.142857,11.428571,-57.142857,6.268678
0.050000,52.955114,112.332215,18.017857,29.571429,8.571429,-57.142857,6.268325
0.050000,54.440662,112.309969,19.503571,29.857143,5.714286,-57.142857,6.268124
0.050000,55.936920,112.287379,21.000000,30.000000,2.857143,-57.142857,6.268081
0.050000,57.436749,112.264790,22.500000,30.000000,0.000000,-57.142857,6.268197
0.050000,58.936584,112.242497,24.000000,30.000000,0.000000,0.000000,6.268474
0.050000,60.436426,112.220738,25.500000,30.000000,0.000000,0.000000,6.268911
0.050000,61.936279,112.199755,27.000000,30.000000,0.000000,0.000000,6.269508
0.050000,63.436146,112.179788,28.500000,30.000000,0.000000,0.000000,6.270266
0.050000,64.936029,112.161078,30.000000,30.000000,0.000000,0.000000,6.271183
0.050000,66.435931,112.143864,31.500000,30.000000,0.000000,0.000000,6.272261
0.050000,67.935851,112.128387,33.000000,30.000000,0.000000,0.000000,6.273500
0.050000,69.435790,112.114888,34.500000,30.000000,0.000000,0.000000,6.274898
0.050000,70.935747,112.103607,36.000000,30.000000,0.000000,0.000000,6.276457
0.050000,72.435721,112.094784,37.500000,30.000000,0.000000,0.000000,6.278177
0.050000,73.935708,112.088661,39.000000,30.000000,0.000000,0.000000,6.280056
0.050000,75.435705,112.085478,40.500000,30.000000,0.000000,0.000000,6.282096
0.050000,76.935704,112.085475,42.000000,30.000000,0.000000,0.000000,0.001111
0.050000,78.435700,112.088892,43.500000,30.000000,0.000000,0.000000,0.003472
