dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,35.001069,100.000000,0.003571,0.142857,2.857143,57.142857,0.000086
0.050000,35.000807,100.000000,0.003834,0.005253,-2.752077,-112.184406,0.000065
0.050000,35.000216,100.000000,0.004424,0.011807,0.131066,57.662868,0.000017
0.050000,35.044524,99.999999,0.048732,0.886161,17.487083,347.120335,6.283119
0.050000,35.132180,99.999987,0.136388,1.753106,17.338899,-2.963672,6.282988
0.050000,35.258416,99.999950,0.262624,2.524722,15.432319,-38.131611,6.282802
0.050000,35.430261,99.999863,0.434469,3.436900,18.243563,56.224878,6.282549
0.050000,35.654752,99.999683,0.658960,4.489833,21.058673,56.302209,6.282223
0.050000,35.938941,99.999352,0.943149,5.683780,23.878923,56.405002,6.281815
0.050000,36.289894,99.998783,1.294103,7.019068,26.705767,56.536884,6.281320
0.050000,36.714698,99.997866,1.718908,8.496110,29.540841,56.701480,6.280733
0.050000,37.220467,99.996452,2.224679,10.115408,32.385964,56.902457,6.280052
0.050000,37.814341,99.994360,2.818557,11.877565,35.243136,57.143442,6.279276
0.050000,38.503500,99.991365,3.507722,13.783292,38.114538,57.428037,6.278409
0.050000,39.291640,99.987224,4.295873,15.763022,39.594609,29.601426,6.277461
0.050000,40.175451,99.981716,5.179701,17.676575,38.271058,-26.471027,6.276454
0.050000,41.148112,99.974655,6.152387,19.453716,35.542808,-54.564999,6.275411
0.050000,42.202795,99.965895,7.207107,21.094391,32.813510,-54.585962,6.274360
0.050000,43.332667,99.955330,8.337029,22.598440,30.080982,-54.650562,6.273325
0.050000,44.530883,99.942908,9.535309,23.965601,27.343212,-54.755403,6.272331
0.050000,45.790578,99.928635,10.795085,25.195520,24.598393,-54.896366,6.271398
0.050000,47.104868,99.912571,12.109473,26.287764,21.844877,-55.070332,6.270550
0.050000,48.466844,99.894837,13.471564,27.241826,19.081229,-55.272958,6.269803
0.050000,49.869569,99.875605,14.874421,28.057134,16.306168,-55.501225,6.269174
0.050000,51.306076,99.855102,16.311074,28.733065,13.518618,-55.750993,6.268678
0.050000,52.769365,99.833595,17.774522,29.268949,10.717674,-56.018874,6.268325
0.050000,54.252403,99.811386,19.257726,29.664080,7.902621,-56.301062,6.268124
0.050000,55.748119,99.788805,20.753612,29.917726,5.072916,-56.594106,6.268081
0.050000,57.249405,99.766194,22.255069,30.029136,2.228201,-56.894300,6.268197
0.050000,58.752699,99.743849,23.758528,30.069191,0.801114,-28.541738,6.268474
0.050000,60.258003,99.722012,25.263991,30.109249,0.801145,0.000610,6.268911
0.050000,61.765321,99.700924,26.771456,30.149308,0.801192,0.000949,6.269508
0.050000,63.274656,99.680831,28.280925,30.189371,0.801256,0.001283,6.270266
0.050000,64.786010,99.661978,29.792397,30.229437,0.801327,0.001418,6.271183
0.050000,66.299386,99.644609,31.305872,30.269508,0.801404,0.001547,6.272261
0.050000,67.814784,99.628973,32.821351,30.309582,0.801483,0.001576,6.273500
0.050000,69.332206,99.615317,34.338834,30.349660,0.801557,0.001481,6.274898
0.050000,70.851650,99.603890,35.858321,30.389740,0.801612,0.001090,6.276457
0.050000,72.373114,99.594941,37.379812,30.429823,0.801647,0.000699,6.278177
0.050000,73.896597,99.588723,38.903308,30.469905,0.801650,0.000077,6.280056
0.050000,75.422093,99.585485,40.428807,30.509985,0.801609,-0.000832,6.282096
0.050000,76.949596,99.585482,41.956310,30.550061,0.801513,-0.001917,0.001111
0.050000,78.479098,99.588967,43.485816,30.590129,0.801352,-0.003229,0.003472
0.050000,80.010590,99.596195,45.017325,30.630184,0.801106,-0.004918,0.005993
0.050000,81.544060,99.607420,46.550837,30.670222,0.800769,-0.006741,0.008674
0.050000,83.079494,99.622899,48.086349,30.710238,0.800321,-0.008950,0.011515
0.050000,84.616876,99.642889,49.623860,30.750226,0.799743,-0.011564,0.014515
0.050000,86.156185,99.667648,51.163369,30.790176,0.799015,-0.014548,0.017676
0.050000,87.697402,99.697434,52.704873,30.830083,0.798141,-0.017494,0.020997
0.050000,89.240500,99.732504,54.248370,30.869937,0.797078,-0.021250,0.024476
0.050000,90.785453,99.773120,55.793856,30.909727,0.795796,-0.025646,0.028115
0.050000,92.332228,99.819539,57.341328,30.949443,0.794310,-0.029716,0.031913
0.050000,93.880793,99.872023,58.890782,30.989072,0.792589,-0.034421,0.035870
0.050000,95.431108,99.930830,60.442212,31.028602,0.790594,-0.039909,0.039984
0.050000,96.983132,99.996220,61.995613,31.068015,0.788266,-0.046545,0.044256
0.050000,98.579799,100.077891,63.594367,31.975080,18.141303,347.060725,0.060690
0.050000,100.346302,100.204563,65.365406,35.420788,68.914155,1015.457039,0.082376
0.050000,102.100252,100.367966,67.126951,35.230909,-3.797576,-1454.234621,0.103302
0.050000,103.840596,100.566216,68.878550,35.031980,-3.978587,-3.620214,0.123433
0.050000,105.566466,100.797375,70.619832,34.825632,-4.126955,-2.967357,0.142737
0.050000,107.277176,101.059472,72.350503,34.613423,-4.244185,-2.344598,0.161193
0.050000,108.972209,101.350525,74.070343,34.396800,-4.332456,-1.765423,0.178782
0.050000,110.651207,101.668560,75.779196,34.177065,-4.394694,-1.244755,0.195492
0.050000,112.313953,102.011625,77.476965,33.955375,-4.433814,-0.782412,0.211315
0.050000,113.960361,102.377801,79.163602,33.732734,-4.452817,-0.380062,0.226247
0.050000,115.590456,102.765215,80.839102,33.509999,-4.454687,-0.037395,0.240288
0.050000,117.204364,103.172041,82.503496,33.287884,-4.442315,0.247449,0.253441
0.050000,118.802296,103.596513,84.156844,33.066962,-4.418441,0.477480,0.265709
0.050000,120.384531,104.036917,85.799228,32.847681,-4.385615,0.656506,0.277101
0.050000,121.951412,104.491602,87.430747,32.630372,-4.346174,0.788822,0.287623
0.050000,123.503325,104.958975,89.051510,32.415261,-4.302226,0.878966,0.297284
0.050000,125.040698,105.437498,90.661634,32.202478,-4.255650,0.931519,0.306095
0.050000,126.563983,105.925691,92.261237,31.992073,-4.208102,0.950961,0.314063
0.050000,128.073657,106.422125,93.850438,31.784022,-4.161024,0.941568,0.321200
0.050000,129.570205,106.925419,95.429350,31.578239,-4.115657,0.907343,0.327513
0.050000,131.054123,107.434240,96.998080,31.374586,-4.073058,0.851980,0.333011
0.050000,132.525907,107.947295,98.556724,31.172881,-4.034115,0.778849,0.337703
0.050000,133.986047,108.463330,100.105369,30.972902,-3.999565,0.691000,0.341595
0.050000,135.435029,108.981124,101.644089,30.774402,-3.970006,0.591184,0.344692
0.050000,136.873326,109.499488,103.172944,30.577106,-3.945915,0.481816,0.347001
0.050000,138.301395,110.017260,104.691980,30.380718,-3.927758,0.363132,0.348524
0.050000,139.719680,110.533300,106.201228,30.184953,-3.915304,0.249084,0.349264
0.050000,141.128600,111.046491,107.700702,29.989484,-3.909379,0.118511,0.349221
0.050000,142.528557,111.555732,109.190402,29.793994,-3.909793,-0.008285,0.348397
0.050000,143.919927,112.059935,110.670310,29.598168,-3.916537,-0.134886,0.346790
0.050000,145.303058,112.558026,112.140395,29.401692,-3.929516,-0.259571,0.344397
0.050000,146.678277,113.048942,113.600608,29.204276,-3.948321,-0.376104,0.341214
0.050000,148.045877,113.531626,115.050889,29.005617,-3.973179,-0.497169,0.337236
0.050000,149.406124,114.005030,116.491161,28.805443,-4.003481,-0.606041,0.332458
0.050000,150.759253,114.468112,117.921337,28.603512,-4.038622,-0.702819,0.326873
0.050000,152.105467,114.919834,119.341317,28.399608,-4.078063,-0.788819,0.320471
0.050000,153.444937,115.359164,120.750995,28.193556,-4.121057,-0.859879,0.313246
0.050000,154.777803,115.785076,122.150256,27.985220,-4.166705,-0.912961,0.305187
0.050000,156.104170,116.196550,123.538982,27.774523,-4.213940,-0.944689,0.296285
0.050000,157.424112,116.592575,124.917055,27.561448,-4.261507,-0.951338,0.286531
0.050000,158.737672,116.972148,126.284357,27.346051,-4.307949,-0.928849,0.275916
0.050000,160.044862,117.334281,127.640781,27.128471,-4.351592,-0.872866,0.264431
0.050000,161.345664,117.677999,128.986228,26.908944,-4.390533,-0.778814,0.252067
0.050000,162.640036,118.002345,130.320619,26.687813,-4.422634,-0.642009,0.238819
0.050000,163.927910,118.306386,131.643896,26.465536,-4.445525,-0.457826,0.224682
0.050000,165.209201,118.589214,132.956031,26.242705,-4.456621,-0.221916,0.209654
0.050000,166.483808,118.849952,134.257033,26.020048,-4.453145,0.069513,0.193735
0.050000,167.751620,119.087760,135.546955,25.798439,-4.432177,0.419366,0.176930
0.050000,169.012522,119.301833,136.825900,25.578904,-4.390713,0.829276,0.159247
0.050000,170.266402,119.491412,138.094031,25.362616,-4.325759,1.299074,0.140699
0.050000,171.513157,119.655786,139.351575,25.150886,-4.234584,1.823506,0.121304
0.050000,172.752702,119.794290,140.598834,24.945172,-4.114290,2.405888,0.101087
0.050000,173.984972,119.906315,141.836186,24.747043,-3.962575,3.034290,0.080077
0.050000,175.209935,119.991303,143.064094,24.558156,-3.777746,3.696582,0.058312
0.050000,176.427592,120.048751,144.283105,24.380220,-3.558719,4.380533,0.035835
0.050000,177.637982,120.078206,145.493853,24.214958,-3.305233,5.069725,0.012697
0.050000,178.841184,120.079272,146.697056,24.064060,-3.017962,5.745413,6.272141
0.050000,180.037320,120.051597,147.893512,23.929130,-2.698596,6.387326,6.247860
0.050000,181.226551,119.994881,149.084094,23.811637,-2.349860,6.974723,6.223109
0.050000,182.409070,119.908864,150.269737,23.712864,-1.975476,7.487676,6.197963
0.050000,183.585098,119.793332,151.451427,23.633798,-1.581318,7.883159,6.172500
0.050000,184.754871,119.648111,152.630180,23.575055,-1.174843,8.129496,6.146803
0.050000,185.918653,119.473062,153.807054,23.537470,-0.751713,8.462608,6.120956
0.050000,187.076678,119.268093,154.983078,23.520495,-0.339493,8.244410,6.095041
0.050000,188.229202,119.033145,156.159306,23.524551,0.081121,8.412274,6.069141
0.050000,189.376437,118.768204,157.336736,23.548607,0.481114,7.999855,6.043338
0.050000,190.518567,118.473302,158.516324,23.591761,0.863078,7.639281,6.017708
0.050000,191.655745,118.148517,159.698973,23.652973,1.224250,7.223441,5.992323
0.050000,192.788081,117.793977,160.885516,23.730853,1.557595,6.666892,5.967249
0.050000,193.915654,117.409860,162.076720,23.824078,1.864507,6.138243,5.942548
0.050000,195.038472,116.996404,163.273243,23.930461,2.127662,5.263101,5.918272
0.050000,196.156530,116.553896,164.475684,24.048833,2.367421,4.795179,5.894469
0.050000,197.994561,115.810557,166.458337,39.653055,312.084444,6194.340468,5.935348
0.050000,201.262000,114.904590,169.849050,67.814262,563.224154,5022.794198,6.086865
0.050000,204.112770,114.504388,172.727773,57.574464,-204.795972,-15360.402518,6.197280
0.050000,206.569736,114.391290,175.187341,49.191354,-167.662193,742.675573,6.274094
0.050000,208.703682,114.428918,177.321619,42.685563,-130.115829,750.927290,0.041669
0.050000,210.576696,114.537607,179.197784,37.523297,-103.245313,537.410314,0.071768
0.050000,212.229235,114.668967,180.855536,33.155038,-87.365187,317.602519,0.084389
0.050000,213.679797,114.791094,182.311230,29.113884,-80.823068,130.842386,0.080844
0.050000,214.925534,114.881609,183.560251,24.980424,-82.669216,-36.922975,0.060768
0.050000,215.938570,114.926162,184.574266,20.280288,-94.002708,-226.669829,0.022170
0.050000,216.665607,114.923308,185.301309,14.540868,-114.788410,-415.714044,6.244640
0.050000,217.032986,114.896782,185.669644,7.366700,-143.483347,-573.898739,6.156638
0.050000,216.966160,114.914055,185.738667,1.380451,-119.724994,475.167064,6.035628
0.050000,216.451942,115.092529,186.282977,10.886197,190.114925,6196.798375,5.879096
0.050000,215.635652,115.537740,187.212783,18.596137,154.198795,-718.322602,5.694785
0.050000,214.817161,116.204772,188.268653,21.117388,50.425025,-2075.475395,5.504061
0.050000,214.241840,116.877332,189.153713,17.701198,-68.323793,-2374.976356,5.331308
0.050000,213.947870,117.354089,189.713816,11.202059,-129.982783,-1233.179806,5.189440
0.050000,213.848294,117.570928,189.952425,4.772191,-128.597366,27.708346,5.078727
0.050000,213.849679,117.562195,189.961267,0.176835,-91.907109,733.805128,4.993791
0.050000,213.891651,117.393168,190.135427,3.483210,66.127492,3160.692020,4.928643
0.050000,213.942705,117.126270,190.407165,5.434747,39.030749,-541.934850,4.878425
0.050000,213.988781,116.811905,190.724888,6.354458,18.394220,-412.730576,4.839580
0.050000,214.025172,116.486975,191.051850,6.539247,3.695766,-293.969092,4.809463
0.050000,214.051779,116.174670,191.365286,6.268717,-5.410600,-182.127306,4.785990
0.050000,214.070211,115.887922,191.652626,5.746796,-10.438410,-100.556198,4.767589
0.050000,214.082382,115.633771,191.907068,5.088843,-13.159069,-54.413198,4.753147
0.050000,214.090036,115.415382,192.125591,4.370471,-14.367443,-24.167468,4.741853
