dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.783379,129.105616,0.003571,0.142857,2.857143,57.142857,6.283082
0.050000,11.783139,129.105616,0.003811,0.004793,-2.761280,-112.368452,6.283101
0.050000,11.782601,129.105616,0.004350,0.010775,0.119643,57.618461,6.283144
0.050000,11.808064,129.105616,0.029814,0.509274,9.969974,197.006620,0.000035
0.050000,11.895860,129.105624,0.117609,1.755914,24.932793,299.256383,0.000155
0.050000,12.022294,129.105655,0.244044,2.528690,15.455524,-189.545381,0.000326
0.050000,12.194402,129.105731,0.416152,3.442158,18.269368,56.276866,0.000557
0.050000,12.419225,129.105890,0.640974,4.496454,21.085912,56.330886,0.000857
0.050000,12.703813,129.106187,0.925562,5.691756,23.906044,56.402639,0.001233
0.050000,13.055227,129.106701,1.276977,7.028295,26.730783,56.494776,0.001691
0.050000,13.480544,129.107537,1.702295,8.506359,29.561266,56.609659,0.002237
0.050000,13.986857,129.108831,2.208610,10.126297,32.398770,56.750087,0.002875
0.050000,14.581281,129.110758,2.803036,11.888531,35.244686,56.918319,0.003606
0.050000,15.270953,129.113531,3.492714,13.793558,38.100542,57.117126,0.004432
0.050000,16.059520,129.117389,4.281291,15.771531,39.559456,29.178272,0.005346
0.050000,16.943606,129.122554,5.165392,17.682024,38.209854,-26.992048,0.006332
0.050000,17.916320,129.129222,6.138128,19.454723,35.453974,-55.117590,0.007370
0.050000,18.970766,129.137563,7.192608,21.089591,32.697367,-55.132132,0.008440
0.050000,20.100046,129.147712,8.321933,22.586516,29.938506,-55.177218,0.009523
0.050000,21.297251,129.159765,9.519199,23.945316,27.175988,-55.250372,0.010599
0.050000,22.555461,129.173771,10.777486,25.165743,24.408544,-55.348886,0.011650
0.050000,23.867738,129.189732,12.089861,26.247494,21.635027,-55.470338,0.012660
0.050000,25.227132,129.207602,13.449372,27.190216,18.854427,-55.611999,0.013614
0.050000,26.626669,129.227285,14.849047,27.993508,16.065854,-55.771459,0.014497
0.050000,28.059356,129.248642,16.281894,28.656936,13.268547,-55.946131,0.015297
0.050000,29.518179,129.271490,17.740896,29.180030,10.461878,-56.133393,0.016006
0.050000,30.996097,129.295610,19.219010,29.562297,7.645349,-56.330572,0.016614
