dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,35.000225,124.750000,0.003571,0.142857,2.857143,57.142857,6.283167
0.050000,35.000183,124.750000,0.003614,0.000849,-2.840157,-113.945996,6.283171
0.050000,35.000088,124.750000,0.003709,0.001910,0.021210,57.227341,6.283178
0.050000,35.027571,124.750000,0.031193,0.549665,10.955112,218.678036,0.000007
0.050000,35.116592,124.750002,0.120214,1.780425,24.615192,273.201601,0.000028
0.050000,35.244784,124.750007,0.248406,2.563833,15.668158,-178.940680,0.000058
0.050000,35.419269,124.750021,0.422891,3.489701,18.517364,56.984129,0.000099
0.050000,35.647171,124.750050,0.650793,4.558046,21.366894,56.990594,0.000153
0.050000,35.935615,124.750103,0.939237,5.768889,24.216855,56.999224,0.000220
0.050000,36.291728,124.750196,1.295350,7.122257,27.067369,57.010271,0.000303
0.050000,36.722638,124.750348,1.726259,8.618186,29.918572,57.024067,0.000401
0.050000,37.235473,124.750584,2.239095,10.256717,32.770618,57.040913,0.000517
0.050000,37.837368,124.750935,2.840990,12.037900,35.623673,57.061109,0.000651
0.050000,38.535458,124.751444,3.539080,13.961796,38.477921,57.084962,0.000804
0.050000,39.333319,124.752154,4.336942,15.957234,39.908764,28.616855,0.000975
0.050000,40.227408,124.753110,5.231031,17.881786,38.491040,-28.354485,0.001162
0.050000,41.210619,124.754351,6.214242,19.664226,35.648791,-56.844980,0.001363
0.050000,42.275845,124.755916,7.279470,21.304549,32.806454,-56.846733,0.001573
0.050000,43.415980,124.757834,8.419607,22.802741,29.963848,-56.852125,0.001791
0.050000,44.623917,124.760132,9.627546,24.158781,27.120804,-56.860878,0.002013
0.050000,45.892546,124.762828,10.896178,25.372640,24.277170,-56.872680,0.002236
0.050000,47.214757,124.765933,12.218392,26.444280,21.432809,-56.887221,0.002459
0.050000,48.583435,124.769451,13.587075,27.373660,18.587599,-56.904201,0.002679
0.050000,49.991466,124.773375,14.995112,28.160732,15.741433,-56.923319,0.002893
