dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.652494,124.999970,0.003571,0.142857,2.857143,57.142857,6.280986
0.050000,80.648562,124.999978,0.007503,0.078641,-1.284325,-82.829356,6.281300
0.050000,80.639715,124.999991,0.016351,0.176944,1.966064,65.007773,6.282008
0.050000,80.627670,125.000000,0.028395,0.240891,1.278940,-13.742484,0.000081
0.050000,80.692370,125.000069,0.093095,1.293987,21.061916,395.659536,0.002048
0.050000,80.785495,125.000392,0.186221,1.862523,11.370732,-193.823680,0.004884
0.050000,80.912174,125.001255,0.312903,2.533636,13.422256,41.030475,0.008750
0.050000,81.077502,125.003120,0.478240,3.306758,15.462427,40.803421,0.013808
0.050000,81.286546,125.006677,0.687315,4.181495,17.494748,40.646426,0.020225
0.050000,81.544321,125.012915,0.945166,5.157009,19.510269,40.310402,0.028169
0.050000,81.855783,125.023192,1.256798,6.232639,21.512616,40.046939,0.037809
0.050000,82.225844,125.039322,1.627210,7.408248,23.512173,39.991141,0.049319
0.050000,82.659358,125.063663,2.061406,8.683917,25.513377,40.024096,0.062869
0.050000,83.161125,125.099219,2.564431,10.060504,27.531739,40.367230,0.078626
0.050000,83.733364,125.149502,3.138876,11.488891,28.567753,20.720281,0.096670
0.050000,84.373222,125.218091,3.782399,12.870475,27.631681,-18.721445,0.116901
0.050000,85.075405,125.308476,4.490376,14.159525,25.780992,-37.013764,0.139119
0.050000,85.834775,125.424116,5.258500,15.362485,24.059198,-34.435885,0.163096
0.050000,86.646367,125.568335,6.082806,16.486133,22.472962,-31.724727,0.188578
0.050000,87.505399,125.744232,6.959662,17.537113,21.019607,-29.067099,0.215285
0.050000,88.407247,125.954588,7.885718,18.521110,19.679936,-26.793412,0.242912
0.050000,89.347416,126.201774,8.857839,19.442422,18.426233,-25.074070,0.271140
0.050000,90.321486,126.487658,9.872994,20.303106,17.213679,-24.251071,0.299639
0.050000,91.325053,126.813520,10.928140,21.102925,15.996375,-24.346088,0.328081
0.050000,92.353684,127.179974,12.020097,21.839141,14.724326,-25.440969,0.356150
