dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.597506,100.000030,0.003571,0.142857,2.857143,57.142857,6.280986
0.050000,80.601438,100.000022,0.007503,0.078641,-1.284325,-82.829356,6.281300
0.050000,80.610285,100.000009,0.016351,0.176944,1.966064,65.007773,6.282008
0.050000,80.629699,100.000000,0.035765,0.388277,4.226655,45.211830,0.000081
0.050000,80.743577,100.000121,0.149642,2.277558,37.785625,671.179399,0.002048
0.050000,80.907595,100.000690,0.313662,3.280394,20.056716,-354.578175,0.004884
0.050000,81.130909,100.002212,0.536981,4.466376,23.719638,73.258441,0.008750
0.050000,81.422687,100.005503,0.828777,5.835922,27.390927,73.425763,0.013808
0.050000,81.792133,100.011790,1.198277,7.390005,31.081659,73.814643,0.020225
0.050000,82.248445,100.022832,1.654722,9.128896,34.777817,73.923173,0.028169
0.050000,82.800794,100.041059,2.207372,11.052998,38.482032,74.084287,0.037809
0.050000,83.458320,100.069721,2.865522,13.163007,42.200182,74.363012,0.049319
0.050000,84.230041,100.113053,3.638459,15.458738,45.914617,74.288689,0.062869
0.050000,85.124756,100.176455,4.535418,17.939182,49.608892,73.885496,0.078626
0.050000,86.146351,100.266225,5.560950,20.510628,51.428916,36.400497,0.096670
0.050000,87.289105,100.388721,6.710249,22.985997,49.507377,-38.430793,0.116901
0.050000,88.542176,100.550013,7.973659,25.268186,45.643779,-77.271958,0.139119
0.050000,89.894128,100.755884,9.341196,27.350744,41.651168,-79.852209,0.163096
0.050000,91.332932,101.011541,10.802537,29.226816,37.521434,-82.594685,0.188578
0.050000,92.846039,101.321342,12.347033,30.889923,33.262137,-85.185944,0.215285
0.050000,94.420499,101.688546,13.963747,32.334285,28.887250,-87.497748,0.242912
0.050000,96.043158,102.115117,15.641539,33.555829,24.430883,-89.127337,0.271140
0.050000,97.700864,102.601579,17.369148,34.552195,19.927318,-90.071303,0.299639
0.050000,99.380734,103.146962,19.135332,35.323675,15.429587,-89.954613,0.328081
0.050000,101.070404,103.748824,20.928994,35.873242,10.991353,-88.764678,0.356150
0.050000,102.758242,104.403342,22.739295,36.206022,6.655605,-86.714968,0.383551
0.050000,104.433534,105.105477,24.555774,36.329576,2.471074,-83.690621,0.410016
0.050000,106.086590,105.849169,26.368416,36.252844,-1.534643,-80.114333,0.435317
0.050000,107.708799,106.627571,28.167715,35.985966,-5.337567,-76.058477,0.459264
0.050000,109.296356,107.435227,29.948906,35.623833,-7.242654,-38.101744,0.481763
0.050000,110.849791,108.268570,31.711751,35.256885,-7.338955,-1.926028,0.502793
0.050000,112.369926,109.124219,33.456155,34.888087,-7.375953,-0.739943,0.522347
0.050000,113.857817,109.998990,35.182146,34.519813,-7.365494,0.209172,0.540429
0.050000,115.314705,110.889900,36.889847,34.154020,-7.315848,0.992921,0.557046
0.050000,116.741963,111.794167,38.579452,33.792107,-7.238275,1.551466,0.572216
0.050000,118.141060,112.709198,40.251204,33.435034,-7.141460,1.936283,0.585957
0.050000,119.513519,113.632574,41.905370,33.083319,-7.034300,2.143203,0.598291
0.050000,120.860895,114.562041,43.542237,32.737345,-6.919477,2.296464,0.609241
0.050000,122.184752,115.495491,45.162090,32.397070,-6.805493,2.279675,0.618830
0.050000,123.486632,116.430939,46.765198,32.062146,-6.698491,2.140053,0.627079
0.050000,124.768057,117.366515,48.351814,31.732333,-6.596256,2.044691,0.634009
0.050000,126.030502,118.300441,49.922160,31.406914,-6.508379,1.757546,0.639636
0.050000,127.275395,119.231020,51.476424,31.085290,-6.432476,1.518051,0.643978
0.050000,128.504108,120.156618,53.014757,30.766649,-6.372828,1.192962,0.647044
0.050000,129.717949,121.075653,54.537266,30.450177,-6.329435,0.867855,0.648845
0.050000,130.918159,121.986580,56.044015,30.134988,-6.303767,0.513372,0.649385
0.050000,132.105911,122.887887,57.535024,29.820187,-6.296038,0.154584,0.648666
0.050000,133.282305,123.778078,59.010268,29.504863,-6.306479,-0.208828,0.646685
0.050000,134.448367,124.655668,60.469673,29.188115,-6.334946,-0.569344,0.643438
0.050000,135.605045,125.519182,61.913127,28.869076,-6.380787,-0.916814,0.638914
0.050000,136.753211,126.367139,63.340473,28.546920,-6.443120,-1.246657,0.633102
0.050000,137.893655,127.198060,64.751517,28.220869,-6.521012,-1.557838,0.625986
0.050000,139.027091,128.010461,66.146032,27.890306,-6.611275,-1.805260,0.617547
0.050000,140.154147,128.802853,67.523761,27.554589,-6.714332,-2.061148,0.607766
0.050000,141.275373,129.573749,68.884433,27.213440,-6.822978,-2.172922,0.596620
0.050000,142.391236,130.321664,70.227761,26.866547,-6.937859,-2.297614,0.584087
0.050000,143.502128,131.045125,71.553459,26.513963,-7.051693,-2.276680,0.570144
0.050000,144.608364,131.742684,72.861261,26.156042,-7.158408,-2.134304,0.554769
0.050000,145.710193,132.412922,74.150930,25.793387,-7.253109,-1.894019,0.537944
0.050000,146.807801,133.054473,75.422281,25.427007,-7.327587,-1.489559,0.519653
0.050000,147.901331,133.666030,76.675201,25.058406,-7.372032,-0.888908,0.499888
0.050000,148.990889,134.246373,77.909678,24.689546,-7.377196,-0.103274,0.478649
0.050000,150.076570,134.794377,79.125824,24.322922,-7.332485,0.894215,0.455942
0.050000,151.158476,135.309035,80.323903,23.961577,-7.226889,2.111920,0.431791
0.050000,152.234834,135.788649,81.502282,23.567583,-7.879892,-13.060056,0.406276
0.050000,153.301400,136.230892,82.656900,23.092354,-9.504567,-32.493503,0.379572
0.050000,154.353407,136.633936,83.783471,22.531426,-11.218565,-34.279957,0.351906
0.050000,155.386223,136.996778,84.878169,21.893962,-12.749272,-30.614130,0.323544
0.050000,156.395342,137.319211,85.937549,21.187589,-14.127467,-27.563907,0.294782
0.050000,157.376345,137.601777,86.958435,20.417729,-15.397200,-25.394668,0.265936
0.050000,158.324843,137.845694,87.937794,19.587176,-16.611062,-24.277227,0.237336
0.050000,159.236433,138.052779,88.872610,18.696318,-17.817149,-24.121745,0.209312
0.050000,160.106636,138.225364,89.759762,17.743048,-19.065419,-24.965394,0.182185
0.050000,160.930831,138.366204,90.595904,16.722826,-20.404432,-26.780271,0.156260
0.050000,161.704240,138.478391,91.377407,15.630065,-21.855219,-29.015734,0.131816
0.050000,162.421891,138.565265,92.100298,14.457816,-23.444970,-31.795023,0.109109
0.050000,163.078632,138.630319,92.760253,13.199097,-25.174383,-34.588260,0.088363
0.050000,163.669154,138.677107,93.352625,11.847455,-27.032853,-37.169407,0.069778
0.050000,164.189922,138.709236,93.874384,10.435167,-28.245755,-24.258033,0.053470
0.050000,164.641814,138.730231,94.326763,9.047577,-27.751796,9.879174,0.039398
0.050000,165.028933,138.743166,94.714098,7.746708,-26.017372,34.688492,0.027413
0.050000,165.356116,138.750487,95.041363,6.545301,-24.028151,39.784412,0.017340
0.050000,165.628253,138.754071,95.313523,5.443197,-22.042076,39.721511,0.009005
0.050000,165.850288,138.755318,95.535562,4.440773,-20.048478,39.871956,0.002235
0.050000,166.027227,138.755238,95.712500,3.538778,-18.039898,40.171604,6.280046
0.050000,166.164128,138.754524,95.849404,2.738074,-16.014079,40.516382,6.275900
0.050000,166.266094,138.753625,95.951373,2.039381,-13.973867,40.804223,6.272820
0.050000,166.338244,138.752798,96.023528,1.443095,-11.925713,40.963085,6.270645
0.050000,166.385736,138.752169,96.071025,0.949934,-9.863230,41.249659,6.269215
0.050000,166.413747,138.751765,96.099039,0.560279,-7.793106,41.402492,6.268372
0.050000,166.427458,138.751559,96.112751,0.274242,-5.720724,41.447641,6.267960
0.050000,166.432050,138.751489,96.117344,0.091855,-3.647742,41.459633,6.267822
0.050000,166.432715,138.751479,96.118009,0.013305,-1.571012,41.534606,6.267802
0.050000,166.432715,138.751479,96.118009,0.000000,-0.266095,26.098328,6.267802
