dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.659251,124.999953,0.003571,0.142857,2.857143,57.142857,6.280445
0.050000,80.655333,124.999963,0.007489,0.078360,-1.289947,-82.941791,6.280759
0.050000,80.646514,124.999981,0.016308,0.176373,1.960255,65.004043,6.281464
0.050000,80.630826,124.999999,0.031996,0.313766,2.747873,15.752343,6.282719
0.050000,80.674377,125.000037,0.075547,0.871017,11.145020,167.942953,0.001499
0.050000,80.767478,125.000308,0.168649,1.862042,19.820498,173.509546,0.004336
0.050000,80.893960,125.001102,0.295134,2.529684,13.352840,-129.353152,0.008216
0.050000,81.058797,125.002876,0.459980,3.296936,15.345032,39.843833,0.013315
0.050000,81.266745,125.006320,0.667957,4.159529,17.251862,38.136602,0.019818
0.050000,81.522504,125.012424,0.923788,5.116627,19.141962,37.802003,0.027924
0.050000,81.830470,125.022550,1.231921,6.162654,20.920536,35.571479,0.037845
0.050000,82.194830,125.038522,1.596631,7.294196,22.630837,34.206030,0.049811
0.050000,82.619436,125.062714,2.021925,8.505896,24.234003,32.063309,0.064072
0.050000,83.107776,125.098157,2.511550,9.792491,25.731914,29.958215,0.080900
0.050000,83.660494,125.148401,3.066546,11.099930,26.148778,8.337286,0.100502
0.050000,84.272932,125.217065,3.682821,12.325501,24.511406,-32.747447,0.122911
0.050000,84.938054,125.307695,4.354090,13.425380,21.997589,-50.276336,0.148067
0.050000,85.648877,125.423795,5.074332,14.404835,19.589110,-48.169576,0.175874
0.050000,86.398726,125.568760,5.838065,15.274658,17.396447,-43.853265,0.206201
0.050000,87.181304,125.745792,6.640417,16.047041,15.447669,-38.975559,0.238866
0.050000,87.990844,125.957855,7.477272,16.737088,13.800938,-32.934620,0.273629
0.050000,88.822129,126.207621,8.345268,17.359936,12.456954,-26.879669,0.310186
0.050000,89.670572,126.497449,9.241848,17.931595,11.433180,-20.475476,0.348168
0.050000,90.532174,126.829343,10.165164,18.466324,10.694589,-14.771838,0.387155
0.050000,91.403396,127.204880,11.113877,18.974251,10.158543,-10.720913,0.426682
0.050000,92.281019,127.625112,12.086922,19.460904,9.733058,-8.509693,0.466262
0.050000,93.161997,128.090458,13.083250,19.926549,9.312890,-8.403357,0.505407
0.050000,94.043269,128.600546,14.101498,20.364975,8.768520,-10.887405,0.543657
0.050000,94.921652,129.154072,15.139741,20.764848,7.997468,-15.421044,0.580592
0.050000,95.795842,129.750169,16.197824,21.161665,7.936342,-1.222517,0.615941
0.050000,96.666370,130.388837,17.277507,21.593665,8.640002,14.073189,0.649562
0.050000,97.533536,131.069762,18.380066,22.051176,9.150218,10.204328,0.681354
0.050000,98.397475,131.792314,19.506331,22.525296,9.482396,6.643561,0.711249
0.050000,99.258218,132.555572,20.656739,23.008168,9.657434,3.500765,0.739214
0.050000,100.115752,133.358352,21.831397,23.493156,9.699760,0.846508,0.765238
0.050000,100.970076,134.199264,23.030148,23.975009,9.637067,-1.253845,0.789336
0.050000,101.821239,135.076755,24.252632,24.449695,9.493714,-2.867065,0.811535
0.050000,102.669368,135.989158,25.498346,24.914266,9.291419,-4.045911,0.831876
0.050000,103.514692,136.934733,26.766685,25.366791,9.050509,-4.818185,0.850408
0.050000,104.357550,137.911707,28.056991,25.806108,8.786328,-5.283635,0.867182
0.050000,105.198400,138.918310,29.368584,26.231874,8.515319,-5.420168,0.882253
0.050000,106.037824,139.952792,30.700796,26.644228,8.247093,-5.364530,0.895676
0.050000,106.876518,141.013450,32.052980,27.043687,7.989164,-5.158583,0.907501
0.050000,107.715290,142.098627,33.424529,27.430978,7.745835,-4.866571,0.917776
0.050000,108.555064,143.206738,34.814900,27.807422,7.528872,-4.339251,0.926546
0.050000,109.396870,144.336263,36.223610,28.174191,7.335386,-3.869740,0.933849
0.050000,110.241838,145.485744,37.650241,28.532634,7.168857,-3.330568,0.939718
0.050000,111.091205,146.653795,39.094460,28.884379,7.034907,-2.679005,0.944181
0.050000,111.946300,147.839086,40.556001,29.230825,6.928911,-2.119908,0.947258
0.050000,112.808559,149.040343,42.034686,29.573682,6.857134,-1.435549,0.948963
0.050000,113.679511,150.256333,43.530409,29.914477,6.815915,-0.824378,0.949305
0.050000,114.560791,151.485860,45.043153,30.254867,6.807794,-0.162425,0.948286
0.050000,115.454139,152.727750,46.572976,30.596475,6.832149,0.487110,0.945900
0.050000,116.361400,153.980836,48.120021,30.940890,6.888300,1.123007,0.942136
0.050000,117.284534,155.243946,49.684509,31.289755,6.977299,1.779991,0.936977
0.050000,118.225616,156.515878,51.266737,31.644568,7.096277,2.379549,0.930399
0.050000,119.186844,157.795392,52.867086,32.006973,7.248103,3.036525,0.922370
0.050000,120.170534,159.081170,54.485996,32.378212,7.424770,3.533349,0.912857
0.050000,121.179136,160.371812,56.123993,32.759936,7.634485,4.194298,0.901817
0.050000,122.215212,161.665781,57.781645,33.153041,7.862089,4.552079,0.889204
0.050000,123.281449,162.961386,59.459576,33.558625,8.111688,4.991985,0.874968
0.050000,124.380639,164.256742,61.158449,33.977450,8.376488,5.295982,0.859057
0.050000,125.515668,165.549731,62.878946,34.409941,8.649836,5.466962,0.841415
0.050000,126.689474,166.837941,64.621733,34.855738,8.915926,5.321801,0.821990
0.050000,127.905020,168.118638,66.387444,35.314218,9.169617,5.073833,0.800731
0.050000,129.165232,169.388709,68.176638,35.783880,9.393240,4.472450,0.777592
0.050000,130.472933,170.644617,69.989754,36.262313,9.568652,3.508236,0.752539
0.050000,131.830746,171.882373,71.827059,36.746118,9.676094,2.148857,0.725550
0.050000,133.240980,173.097494,73.688586,37.230529,9.688226,0.242631,0.696623
0.050000,134.705505,174.285014,75.574066,37.709612,9.581659,-2.131340,0.665778
0.050000,136.225606,175.439504,77.482876,38.176201,9.331775,-4.997672,0.633066
0.050000,137.801836,176.555133,79.413972,38.621911,8.914208,-8.351357,0.598571
0.050000,139.433865,177.625772,81.365839,39.037331,8.308387,-12.116415,0.562413
0.050000,141.117984,178.643769,83.333725,39.357719,6.407779,-38.012160,0.524806
0.050000,142.844926,179.599637,85.307556,39.476631,2.378228,-80.591021,0.486104
0.050000,144.601853,180.484339,87.274659,39.342052,-2.691585,-101.396254,0.446750
0.050000,146.374269,181.290831,89.221935,38.945529,-7.930452,-104.777332,0.407221
0.050000,148.146435,182.014392,91.136123,38.283763,-13.235318,-106.097339,0.368005
0.050000,149.901968,182.652821,93.004140,37.360325,-18.468756,-104.668741,0.329580
0.050000,151.624326,183.206394,94.813273,36.182660,-23.553300,-101.690883,0.292390
0.050000,153.297430,183.677716,96.551496,34.764471,-28.363796,-96.209932,0.256828
0.050000,154.905915,184.071340,98.207444,33.118952,-32.910378,-90.931634,0.223229
0.050000,156.435536,184.393393,99.770600,31.263131,-37.116417,-84.120777,0.191863
0.050000,157.873239,184.651103,101.231218,29.212356,-41.015490,-77.981472,0.162941
0.050000,159.207129,184.852354,102.580205,26.979731,-44.652500,-72.740188,0.136616
0.050000,160.426406,185.005288,103.809035,24.576614,-48.062338,-68.196762,0.113002
0.050000,161.521165,185.117964,104.909577,22.010841,-51.315467,-65.062572,0.092175
0.050000,162.484939,185.198274,105.876692,19.342289,-53.371039,-41.111450,0.074141
0.050000,163.319073,185.253773,106.712670,16.719565,-52.454479,18.331191,0.058766
0.050000,164.031683,185.291056,107.426255,14.271691,-48.957490,69.939786,0.045803
0.050000,164.632659,185.315343,108.027722,12.029343,-44.846948,82.210844,0.034996
0.050000,165.132001,185.330600,108.527296,9.991494,-40.756991,81.799130,0.026105
0.050000,165.539418,185.339770,108.934817,8.150415,-36.821570,78.708421,0.018910
0.050000,165.864573,185.344991,109.260014,6.503938,-32.929550,77.840415,0.013206
0.050000,166.116971,185.347768,109.512427,5.048259,-29.113570,76.319594,0.008802
0.050000,166.305964,185.349121,109.701425,3.779950,-25.366182,74.947757,0.005518
0.050000,166.440835,185.349707,109.836297,2.697459,-21.649813,74.327380,0.003181
0.050000,166.530814,185.349923,109.926276,1.799570,-17.957788,73.840504,0.001625
0.050000,166.585110,185.349986,109.980573,1.085935,-14.272706,73.701645,0.000688
0.050000,166.612839,185.349999,110.008302,0.554578,-10.627138,72.911352,0.000210
0.050000,166.623099,185.350000,110.018561,0.205195,-6.987653,72.789704,0.000033
0.050000,166.625000,185.350000,110.020462,0.038020,-3.343500,72.883064,0.000000
0.050000,166.625000,185.350000,110.020462,0.000000,-0.760404,51.661923,0.000000
