dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.590749,100.000047,0.003571,0.142857,2.857143,57.142857,6.280445
0.050000,80.594667,100.000037,0.007489,0.078360,-1.289947,-82.941791,6.280759
0.050000,80.603486,100.000019,0.016308,0.176373,1.960255,65.004043,6.281464
0.050000,80.619174,100.000001,0.031996,0.313766,2.747873,15.752343,6.282719
0.050000,80.711843,100.000065,0.124665,1.853374,30.792155,560.885647,0.001499
0.050000,80.875882,100.000544,0.288705,3.280799,28.548507,-44.872960,0.004336
0.050000,81.099352,100.001946,0.512179,4.469486,23.773730,-95.495547,0.008216
0.050000,81.391660,100.005092,0.804505,5.846510,27.540475,75.334899,0.013315
0.050000,81.762156,100.011229,1.175051,7.410932,31.288453,74.959570,0.019818
0.050000,82.220510,100.022170,1.633535,9.169676,35.174876,77.728458,0.027924
0.050000,82.776364,100.040451,2.189690,11.123098,39.068445,77.871390,0.037845
0.050000,83.439591,100.069530,2.853554,13.277282,43.083674,80.304564,0.049811
0.050000,84.220150,100.114013,3.635380,15.636507,47.184507,82.016658,0.064072
0.050000,85.128081,100.179923,4.545700,18.206414,51.398139,84.272650,0.080900
0.050000,86.168808,100.274552,5.590720,20.900401,53.879744,49.632108,0.100502
0.050000,87.337984,100.405668,6.767225,23.530099,52.593957,-25.715746,0.122911
0.050000,88.626211,100.581241,8.067362,26.002737,49.452754,-62.824063,0.148067
0.050000,90.023093,100.809445,9.482762,28.307988,46.105028,-66.954529,0.175874
0.050000,91.517305,101.098367,11.004650,30.437765,42.595534,-70.189873,0.206201
0.050000,93.096340,101.455622,12.623595,32.378905,38.822808,-75.454520,0.238866
0.050000,94.746535,101.887943,14.329481,34.117712,34.776137,-80.933417,0.273629
0.050000,96.453014,102.400697,16.111330,35.636978,30.385318,-87.816386,0.310186
0.050000,98.199981,102.997466,17.957414,36.921697,25.694380,-93.818764,0.348168
0.050000,99.971066,103.679671,19.855346,37.958631,20.738681,-99.113975,0.387155
0.050000,101.749715,104.446284,21.792171,38.736490,15.557168,-103.630258,0.426682
0.050000,103.519774,105.293735,23.754639,39.249374,10.257677,-105.989808,0.466262
0.050000,105.266096,106.216026,25.729546,39.498144,4.975406,-105.645439,0.505407
0.050000,106.974993,107.204973,27.703969,39.488451,-0.193858,-103.385277,0.543657
0.050000,108.634636,108.250626,29.665551,39.231645,-5.136125,-98.845337,0.580592
0.050000,110.239018,109.344417,31.607308,38.835145,-7.929995,-55.877392,0.615941
0.050000,111.787319,110.480122,33.527481,38.403446,-8.633986,-14.079816,0.649562
0.050000,113.279664,111.651743,35.424792,37.946231,-9.144296,-10.206201,0.681354
0.050000,114.716990,112.853639,37.298415,37.472450,-9.475625,-6.626589,0.711249
0.050000,116.100892,114.080607,39.147910,36.989911,-9.650774,-3.502982,0.739214
0.050000,117.433474,115.327919,40.973167,36.505133,-9.695548,-0.895474,0.765238
0.050000,118.717217,116.591340,42.774341,36.023488,-9.632908,1.252797,0.789336
0.050000,119.954856,117.867110,44.551794,35.549054,-9.488678,2.884597,0.811535
0.050000,121.149276,119.151907,46.306030,35.084713,-9.286828,4.037005,0.831876
0.050000,122.303428,120.442814,48.037650,34.632404,-9.046175,4.813053,0.850408
0.050000,123.420270,121.737262,49.747307,34.193152,-8.785044,5.222617,0.867182
0.050000,124.502718,123.032991,51.435682,33.767491,-8.513208,5.436719,0.882253
0.050000,125.553614,124.328005,53.103448,33.355324,-8.243344,5.397286,0.895676
0.050000,126.575699,125.620521,54.751252,32.956071,-7.985065,5.165588,0.907501
0.050000,127.571598,126.908926,56.379687,32.568711,-7.747198,4.757329,0.917776
0.050000,128.543821,128.191759,57.989307,32.192402,-7.526179,4.420377,0.926546
0.050000,129.494749,129.467663,59.580594,31.825739,-7.333259,3.858414,0.933849
0.050000,130.426638,130.735359,61.153957,31.467261,-7.169553,3.274116,0.939718
0.050000,131.341628,131.993632,62.709739,31.115635,-7.032526,2.740538,0.944181
0.050000,132.241731,133.241296,64.248197,30.769149,-6.929730,2.055914,0.947258
0.050000,133.128854,134.477184,65.769514,30.426350,-6.855964,1.475322,0.948963
0.050000,134.004788,135.700128,67.273791,30.085547,-6.816078,0.797729,0.949305
0.050000,134.871219,136.908942,68.761049,29.745153,-6.807874,0.164082,0.948286
0.050000,135.729730,138.102416,70.231227,29.403547,-6.832107,-0.484672,0.945900
0.050000,136.581804,139.279296,71.684181,29.059090,-6.889154,-1.140937,0.942136
0.050000,137.428823,140.438283,73.119692,28.710222,-6.977358,-1.764070,0.936977
0.050000,138.272070,141.578017,74.537458,28.355310,-7.098228,-2.417397,0.930399
0.050000,139.112731,142.697080,75.937105,27.992942,-7.247365,-2.982744,0.922370
0.050000,139.951884,143.793979,77.318179,27.621485,-7.429139,-3.635496,0.912857
0.050000,140.790509,144.867167,78.680172,27.239857,-7.632573,-4.068667,0.901817
0.050000,141.629472,145.915018,80.022502,26.846601,-7.865117,-4.650883,0.889204
0.050000,142.469525,146.935852,81.344543,26.440819,-8.115632,-5.010305,0.874968
0.050000,143.311309,147.927941,82.645634,26.021833,-8.379719,-5.281737,0.859057
0.050000,144.155344,148.889524,83.925102,25.589355,-8.649558,-5.396776,0.841415
0.050000,145.002028,149.818823,85.182270,25.143347,-8.920159,-5.412022,0.821990
0.050000,145.851643,150.714079,86.416502,24.684647,-9.173997,-5.076768,0.800731
0.050000,146.704368,151.573582,87.627239,24.214748,-9.397987,-4.479784,0.777592
0.050000,147.560286,152.395717,88.814042,23.736053,-9.573910,-3.518467,0.752539
0.050000,148.419417,153.179005,89.976646,23.252072,-9.679622,-2.114238,0.725550
0.050000,149.281749,153.922153,91.115015,22.767396,-9.693512,-0.277794,0.696623
0.050000,150.147284,154.624102,92.229414,22.287969,-9.588532,2.099585,0.665778
0.050000,151.016096,155.284073,93.320466,21.821052,-9.338349,5.003663,0.633066
0.050000,151.888396,155.901590,94.389220,21.375063,-8.919787,8.371237,0.598571
