dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,61.625182,139.789524,0.003571,0.142857,2.857143,57.142857,0.001215
0.050000,61.626840,139.789526,0.005229,0.033143,-2.194285,-101.028554,0.001082
0.050000,61.630568,139.789530,0.008957,0.074562,0.828387,60.453441,0.000784
0.050000,61.637194,139.789533,0.015583,0.132523,1.159222,6.616705,0.000254
0.050000,61.709442,139.789514,0.087831,1.444961,26.248756,501.790677,6.282611
0.050000,61.852913,139.789346,0.231302,2.869424,28.489251,44.809885,6.281419
0.050000,62.048184,139.788843,0.426574,3.905436,20.720255,-155.379915,6.279797
0.050000,62.303220,139.787709,0.681612,5.100770,23.906667,63.728251,6.277680
0.050000,62.625972,139.785500,1.004371,6.455180,27.088201,63.630670,6.275002
0.050000,63.024382,139.781581,1.402801,7.968588,30.268154,63.599056,6.271699
0.050000,63.506384,139.775082,1.884847,9.640928,33.446814,63.573214,6.267707
0.050000,64.079877,139.764844,2.458431,11.471678,36.615003,63.363764,6.262963
0.050000,64.752731,139.749364,3.131464,13.460651,39.779444,63.288830,6.257406
0.050000,65.532770,139.726740,3.911830,15.607327,42.933534,63.081807,6.250976
0.050000,66.423770,139.694763,4.803404,17.831474,44.482943,30.988177,6.243650
0.050000,67.421478,139.651209,5.802062,19.973167,42.833846,-32.981941,6.235472
0.050000,68.517599,139.593947,6.899677,21.952308,39.582826,-65.020402,6.226520
0.050000,69.703773,139.520914,8.088098,23.768405,36.321929,-65.217951,6.216874
0.050000,70.971580,139.430181,9.359148,25.421002,33.051946,-65.399648,6.206618
0.050000,72.312566,139.320019,10.704651,26.910055,29.781072,-65.417488,6.195834
0.050000,73.718209,139.188957,12.116391,28.234802,26.494929,-65.722862,6.184609
0.050000,75.179989,139.035824,13.586170,29.395590,23.215771,-65.583152,6.173026
0.050000,76.689368,138.859797,15.105778,30.392165,19.931489,-65.685635,6.161171
0.050000,78.237821,138.660430,16.667014,31.224702,16.650736,-65.615071,6.149128
0.050000,79.816871,138.437676,18.261697,31.893676,13.379491,-65.424885,6.136981
0.050000,81.418096,138.191900,19.881676,32.399564,10.117763,-65.234571,6.124811
0.050000,83.033172,137.923882,21.518839,32.743262,6.873952,-64.876210,6.112694
0.050000,84.653864,137.634819,23.165108,32.925379,3.642335,-64.632342,6.100706
0.050000,86.272084,137.326301,24.812474,32.947333,0.439076,-64.065185,6.088916
0.050000,87.883696,136.999502,26.456887,32.888256,-1.181533,-32.412179,6.077362
0.050000,89.488478,136.654944,28.098242,32.827099,-1.223146,-0.832255,6.066053
0.050000,91.086234,136.293155,29.736447,32.764098,-1.260009,-0.737266,6.054996
0.050000,92.676787,135.914679,31.371409,32.699250,-1.296967,-0.739153,6.044198
0.050000,94.259989,135.520064,33.003049,32.632801,-1.328975,-0.640168,6.033666
0.050000,95.835719,135.109866,34.631296,32.564929,-1.357431,-0.569119,6.023406
0.050000,97.403877,134.684645,36.256083,32.495748,-1.383621,-0.523791,6.013423
0.050000,98.964389,134.244963,37.877353,32.425395,-1.407079,-0.469164,6.003721
0.050000,100.517200,133.791383,39.495054,32.354028,-1.427321,-0.404840,5.994304
0.050000,102.062282,133.324470,41.109144,32.281790,-1.444774,-0.349069,5.985176
0.050000,103.599622,132.844786,42.719583,32.208779,-1.460211,-0.308728,5.976341
0.050000,105.129231,132.352890,44.326339,32.135123,-1.473125,-0.258294,5.967800
0.050000,106.651137,131.849339,45.929386,32.060934,-1.483774,-0.212982,5.959556
0.050000,108.165383,131.334686,47.528701,31.986310,-1.492486,-0.174226,5.951610
0.050000,109.672032,130.809477,49.124268,31.911341,-1.499371,-0.137696,5.943964
0.050000,111.171159,130.274255,50.716074,31.836118,-1.504476,-0.102118,5.936620
0.050000,112.662856,129.729556,52.304110,31.760714,-1.508072,-0.071916,5.929577
0.050000,114.147225,129.175908,53.888369,31.685188,-1.510518,-0.048916,5.922836
0.050000,115.624382,128.613835,55.468850,31.609614,-1.511491,-0.019459,5.916397
0.050000,117.094453,128.043850,57.045552,31.534045,-1.511366,0.002497,5.910261
