dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.616535,99.750003,0.003571,0.142857,2.857143,57.142857,6.282508
0.050000,80.617302,99.750002,0.004338,0.015334,-2.550456,-108.151978,6.282569
0.050000,80.619028,99.750001,0.006064,0.034514,0.383598,58.681081,6.282708
0.050000,80.622098,99.750000,0.009134,0.061400,0.537707,3.082187,6.282953
0.050000,80.662221,99.750003,0.049257,0.802465,14.821305,285.671958,0.000152
0.050000,80.797714,99.750061,0.184750,2.709853,38.147762,466.529139,0.000706
0.050000,80.982175,99.750261,0.369211,3.689223,19.587396,-371.207327,0.001463
0.050000,81.223152,99.750733,0.610189,4.819558,22.606703,60.386148,0.002455
0.050000,81.528203,99.751674,0.915241,6.101043,25.629707,60.460072,0.003716
0.050000,81.904927,99.753369,1.291969,7.534562,28.670367,60.813196,0.005283
0.050000,82.360929,99.756213,1.747980,9.120220,31.713175,60.856165,0.007193
0.050000,82.903860,99.760740,2.290929,10.858985,34.775298,61.242464,0.009486
0.050000,83.541380,99.767652,2.928487,12.751151,37.843306,61.360163,0.012205
0.050000,84.281216,99.777861,3.668393,14.798123,40.939455,61.922973,0.015397
0.050000,85.127340,99.792452,4.514644,16.925012,42.537777,31.966438,0.019097
0.050000,86.076217,99.812569,5.463733,18.981789,41.135543,-28.044685,0.023310
0.050000,87.120533,99.839373,6.508394,20.893215,38.228524,-58.140378,0.028026
0.050000,88.252973,99.874062,7.641364,22.659412,35.323936,-58.091749,0.033235
0.050000,89.466210,99.917845,8.855392,24.280542,32.422602,-58.026690,0.038929
0.050000,90.752904,99.971921,10.143221,25.756590,29.520948,-58.033076,0.045098
0.050000,92.105682,100.037450,11.497585,27.087287,26.613951,-58.139931,0.051733
0.050000,93.517148,100.115533,12.911209,28.272477,23.703797,-58.203093,0.058824
0.050000,94.979871,100.207182,14.376801,29.311829,20.787043,-58.335079,0.066357
0.050000,96.486385,100.313297,15.887047,30.204932,17.862045,-58.499959,0.074319
0.050000,98.029152,100.434635,17.434578,30.950622,14.913799,-58.964916,0.082694
0.050000,99.600637,100.571794,19.012038,31.549196,11.971481,-58.846359,0.091462
0.050000,101.193203,100.725168,20.611972,31.998684,8.989776,-59.634099,0.100600
0.050000,102.799188,100.894937,22.226905,32.298661,5.999528,-59.804967,0.110081
0.050000,104.410873,101.081029,23.849299,32.447863,2.984051,-60.309542,0.119873
0.050000,106.024332,101.283597,25.475424,32.522509,1.492909,-29.822837,0.129965
0.050000,107.639475,101.503207,27.105429,32.600100,1.551822,1.178256,0.140365
0.050000,109.256159,101.740440,28.739426,32.679935,1.596699,0.897557,0.151085
0.050000,110.874230,101.995896,30.377538,32.762235,1.646014,0.986292,0.162136
0.050000,112.493559,102.270208,32.019936,32.847972,1.714738,1.374487,0.173527
0.050000,114.113916,102.564013,33.666715,32.935579,1.752122,0.747674,0.185271
0.050000,115.735137,102.877987,35.318058,33.026866,1.825757,1.472692,0.197379
0.050000,117.356947,103.212812,36.974070,33.120237,1.867413,0.833126,0.209861
0.050000,118.979086,103.569197,38.634897,33.216537,1.925994,1.171621,0.222728
0.050000,120.601271,103.947876,40.300695,33.315968,1.988620,1.252527,0.235993
0.050000,122.223156,104.349592,41.971589,33.417880,2.038249,0.992564,0.249665
0.050000,123.844366,104.775109,43.647711,33.522434,2.091086,1.056757,0.263756
0.050000,125.464484,105.225206,45.329190,33.629584,2.142982,1.037906,0.278276
0.050000,127.083051,105.700676,47.016149,33.739180,2.191923,0.978830,0.293234
0.050000,128.699562,106.202323,48.708708,33.851180,2.240011,0.961761,0.308640
0.050000,130.313460,106.730957,50.406978,33.965393,2.284247,0.884719,0.324503
0.050000,131.924114,107.287387,52.111039,34.081215,2.316440,0.643848,0.340829
0.050000,133.530851,107.872422,53.820971,34.198645,2.348616,0.643525,0.357626
0.050000,135.132950,108.486874,55.536859,34.317759,2.382282,0.673319,0.374898
0.050000,136.729582,109.131522,57.258720,34.437217,2.389141,0.137191,0.392649
0.050000,138.319902,109.807145,58.986605,34.557696,2.409588,0.408927,0.410882
0.050000,139.902953,110.514479,60.720493,34.677777,2.401628,-0.159185,0.429595
0.050000,141.477724,111.254229,62.460360,34.797329,2.391037,-0.211830,0.448787
0.050000,143.043148,112.027061,64.206161,34.916026,2.373931,-0.342122,0.468453
0.050000,144.598062,112.833578,65.957796,35.032705,2.333584,-0.806933,0.488586
0.050000,146.141246,113.674318,67.715141,35.146883,2.283569,-1.000297,0.509176
0.050000,147.671413,114.549747,69.478033,35.257843,2.219188,-1.287618,0.530210
0.050000,149.187218,115.460244,71.246272,35.364789,2.138928,-1.605212,0.551672
0.050000,150.687259,116.406093,73.019618,35.466906,2.042330,-1.931955,0.573543
0.050000,152.170088,117.387469,74.797786,35.563364,1.929158,-2.263441,0.595799
0.050000,153.634220,118.404435,76.580452,35.653335,1.799428,-2.594598,0.618416
0.050000,155.078144,119.456927,78.367253,35.736007,1.653440,-2.919763,0.641363
0.050000,156.500336,120.544754,80.157783,35.810597,1.491800,-3.232807,0.664609
0.050000,157.899272,121.667590,81.951601,35.876369,1.315435,-3.527287,0.688117
0.050000,159.273447,122.824972,83.748234,35.932649,1.125603,-3.796645,0.711851
0.050000,160.621385,124.016296,85.547175,35.978836,0.923744,-4.037178,0.735770
0.050000,161.941659,125.240826,87.347896,36.014411,0.711492,-4.245045,0.759831
0.050000,163.232906,126.497691,89.149847,36.039023,0.492245,-4.384940,0.783991
0.050000,164.493842,127.785898,90.952467,36.052397,0.267476,-4.495384,0.808204
0.050000,165.723279,129.104337,92.755187,36.054393,0.039924,-4.551040,0.832426
0.050000,166.920134,130.451796,94.557437,36.045007,-0.187714,-4.552762,0.856609
0.050000,168.083442,131.826970,96.358656,36.024373,-0.412689,-4.499486,0.880710
0.050000,169.212365,133.228480,98.158293,35.992760,-0.632265,-4.391517,0.904684
0.050000,170.306192,134.654876,99.955809,35.950319,-0.848815,-4.331003,0.928489
0.050000,171.364360,136.104678,101.750704,35.897887,-1.048629,-3.996286,0.952085
0.050000,172.386443,137.576378,103.542505,35.836033,-1.237086,-3.769131,0.975432
0.050000,173.372145,139.068443,105.330763,35.765158,-1.417500,-3.608297,0.998496
0.050000,174.321306,140.579343,107.115063,35.685993,-1.583293,-3.315848,1.021243
0.050000,175.233905,142.107581,108.895049,35.599727,-1.725329,-2.840724,1.043645
0.050000,176.110036,143.651676,110.670390,35.506810,-1.858348,-2.660381,1.065675
0.050000,176.949899,145.210174,112.440781,35.407822,-1.979748,-2.428001,1.087310
0.050000,177.753817,146.781702,114.205996,35.304304,-2.070367,-1.812377,1.108530
0.050000,178.522198,148.364923,115.965825,35.196582,-2.154443,-1.681525,1.129319
0.050000,179.255534,149.958566,117.720100,35.085504,-2.221561,-1.342348,1.149663
0.050000,179.954394,151.561433,119.468696,34.971911,-2.271857,-1.005931,1.169553
0.050000,180.619406,153.172393,121.211520,34.856477,-2.308665,-0.736162,1.188980
0.050000,181.251244,154.790355,122.948476,34.739133,-2.346896,-0.764616,1.207940
0.050000,181.850653,156.414387,124.679595,34.622372,-2.335217,0.233581,1.226430
0.050000,182.418373,158.043507,126.404802,34.504137,-2.364692,-0.589495,1.244450
0.050000,182.955207,159.676922,128.124172,34.387397,-2.334809,0.597662,1.262001
0.050000,183.461955,161.313837,129.837731,34.271188,-2.324178,0.212614,1.279087
0.050000,183.939432,162.953531,131.545531,34.155998,-2.303797,0.407625,1.295713
0.050000,184.388458,164.595350,133.247645,34.042286,-2.274241,0.591120,1.311884
0.050000,184.809858,166.238705,134.944169,33.930481,-2.236092,0.762983,1.327608
0.050000,185.204452,167.883072,136.635219,33.820985,-2.189930,0.923223,1.342893
0.050000,185.573050,169.527967,138.320907,33.713757,-2.144563,0.907344,1.357748
0.050000,185.916441,171.172913,140.001313,33.608127,-2.112588,0.639503,1.372183
0.050000,186.235420,172.817568,141.676615,33.506050,-2.041556,1.420642,1.386208
0.050000,186.530751,174.461571,143.346934,33.406382,-1.993356,0.963990,1.399834
0.050000,186.803178,176.104566,145.012362,33.308542,-1.956788,0.731362,1.413070
0.050000,187.053436,177.746315,146.673075,33.214271,-1.885419,1.427388,1.425928
0.050000,187.282234,179.386568,148.329209,33.122674,-1.831948,1.069412,1.438419
0.050000,187.490260,181.025110,149.980904,33.033900,-1.775484,1.129292,1.450555
0.050000,187.678177,182.661717,151.628263,32.947188,-1.734243,0.824819,1.462345
0.050000,187.846632,184.296242,153.271446,32.863657,-1.670609,1.272667,1.473802
0.050000,187.996250,185.928580,154.910627,32.783613,-1.600886,1.394475,1.484935
0.050000,188.127626,187.558511,156.545844,32.704341,-1.585433,0.309058,1.495755
0.050000,188.241345,189.186026,158.177326,32.629649,-1.493838,1.831895,1.506273
