dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.645416,124.749983,0.003571,0.142857,2.857143,57.142857,6.281552
0.050000,80.642381,124.749988,0.006607,0.060704,-1.643058,-90.004022,6.281795
0.050000,80.635550,124.749996,0.013438,0.136630,1.518514,63.231449,6.282341
0.050000,80.630935,124.750000,0.018053,0.092287,-0.886851,-48.107311,0.000128
0.050000,80.701197,124.750063,0.088314,1.405232,26.258901,542.915055,0.001650
0.050000,80.802302,124.750341,0.189420,2.022119,12.337737,-278.423287,0.003848
0.050000,80.939739,124.751076,0.326859,2.748768,14.532982,43.904889,0.006852
0.050000,81.118991,124.752657,0.506118,3.585188,16.728398,43.908326,0.010798
0.050000,81.345388,124.755670,0.732535,4.528336,18.862958,42.691211,0.015827
0.050000,81.624175,124.760955,1.011372,5.576748,20.968234,42.105507,0.022091
0.050000,81.960458,124.769671,1.347768,6.727917,23.023374,41.102800,0.029752
0.050000,82.359110,124.783371,1.746655,7.977742,24.996512,39.462775,0.038983
0.050000,82.824784,124.804090,2.212790,9.322700,26.899155,38.052859,0.049977
0.050000,83.361860,124.834432,2.750722,10.758630,28.718601,36.388920,0.062943
0.050000,83.971611,124.877466,3.361990,12.225368,29.334750,12.322969,0.078041
0.050000,84.649620,124.936353,4.042551,13.611221,27.717079,-32.353419,0.095310
0.050000,85.388627,125.014209,4.785648,14.861934,25.014255,-54.056474,0.114718
0.050000,86.181371,125.114157,5.584668,15.980407,22.369459,-52.895915,0.136224
0.050000,87.020595,125.239223,6.433160,16.969829,19.788444,-51.620309,0.159771
0.050000,87.899176,125.392266,7.324971,17.836221,17.327842,-49.212037,0.185281
0.050000,88.810212,125.575899,8.254329,18.587175,15.019070,-46.175437,0.212645
0.050000,89.747035,125.792407,9.215845,19.230322,12.862935,-43.122696,0.241721
0.050000,90.703368,126.043711,10.204646,19.776001,10.913594,-38.986829,0.272327
0.050000,91.673337,126.331306,11.216353,20.234142,9.162805,-35.015787,0.304245
0.050000,92.651504,126.656219,12.247070,20.614355,7.604276,-31.170580,0.337212
0.050000,93.632900,127.018979,13.293365,20.925891,6.230720,-27.471116,0.370933
0.050000,94.612977,127.419573,14.352151,21.175715,4.996480,-24.684794,0.405083
0.050000,95.587547,127.857400,15.420551,21.368001,3.845703,-23.015542,0.439321
0.050000,96.552728,128.331231,16.495767,21.504322,2.726429,-22.385474,0.473300
0.050000,97.507098,128.840402,17.577468,21.634031,2.594178,-2.645021,0.506759
0.050000,98.451516,129.385203,18.667759,21.805819,3.435758,16.831589,0.539532
0.050000,99.386751,129.965833,19.768575,22.016322,4.210055,15.485941,0.571463
0.050000,100.313466,130.582376,20.881645,22.261399,4.901549,13.829893,0.602414
0.050000,101.232215,131.234773,22.008465,22.536390,5.499814,11.965291,0.632265
