dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.642281,100.000002,0.003571,0.142857,2.857143,57.142857,6.282568
0.050000,80.644648,100.000001,0.005938,0.047335,-1.910439,-95.351631,6.282757
0.050000,80.649962,100.000000,0.011252,0.106284,1.178977,61.788310,6.283182
0.050000,80.716283,100.000025,0.077573,1.326418,24.402677,464.474007,0.000750
0.050000,80.820172,100.000164,0.181463,2.077789,15.027428,-187.504982,0.001918
0.050000,80.969561,100.000575,0.330852,2.987792,18.200058,63.452596,0.003583
0.050000,81.172497,100.001529,0.533791,4.058766,21.419481,64.388473,0.005819
0.050000,81.436861,100.003447,0.798161,5.287405,24.572768,63.065737,0.008682
0.050000,81.770319,100.006934,1.131637,6.669525,27.642408,61.392795,0.012218
0.050000,82.180259,100.012814,1.541620,8.199650,30.602501,59.201864,0.016445
0.050000,82.673727,100.022151,2.035176,9.871136,33.429723,56.544427,0.021358
0.050000,83.257353,100.036254,2.618972,11.675917,36.095611,53.317767,0.026919
0.050000,83.937275,100.056669,3.299201,13.604576,38.573174,49.551271,0.033052
0.050000,84.719066,100.085128,4.081510,15.646178,40.832055,45.177619,0.039636
0.050000,85.603726,100.123290,4.966993,17.709653,41.269488,8.748657,0.046475
0.050000,86.583962,100.172289,5.948452,19.629197,38.390881,-57.572155,0.053278
0.050000,87.648507,100.232588,7.014704,21.325033,33.916727,-89.483069,0.059721
0.050000,88.786235,100.304021,8.154672,22.799360,29.486537,-88.603794,0.065490
0.050000,89.986246,100.385747,9.357463,24.055816,25.129112,-87.148514,0.070285
0.050000,91.237932,100.476253,10.612416,25.099070,20.865098,-85.280276,0.073824
0.050000,92.531013,100.573386,11.909140,25.934476,16.708119,-83.139581,0.075848
0.050000,93.855557,100.674431,13.237533,26.567851,12.667486,-80.812667,0.076119
0.050000,95.201979,100.776201,14.587796,27.005272,8.748435,-78.381013,0.074426
0.050000,96.561033,100.875162,15.950448,27.253041,4.955370,-75.861300,0.070581
0.050000,97.923790,100.967564,17.316334,27.317711,1.293401,-73.239387,0.064423
0.050000,99.281629,101.049589,18.676649,27.206293,-2.228361,-70.435225,0.055820
0.050000,100.626239,101.117513,20.022973,26.926494,-5.595985,-67.352494,0.044670
0.050000,101.949632,101.167865,21.347324,26.487010,-8.789680,-63.873900,0.030904
0.050000,103.244192,101.197588,22.642225,25.898015,-11.779897,-59.804326,0.014497
0.050000,104.505703,101.204181,23.903753,25.230576,-13.348783,-31.377731,6.278606
0.050000,105.733044,101.185525,25.131235,24.549640,-13.618707,-5.398477,6.256807
0.050000,106.925056,101.139766,26.324126,23.857805,-13.836701,-4.359880,6.232241
0.050000,108.080645,101.065333,27.482110,23.159684,-13.962432,-2.514621,6.204882
0.050000,109.198897,100.960958,28.605222,22.462245,-13.948769,0.273269,6.174735
0.050000,110.279211,100.825664,29.693975,21.775062,-13.743663,4.102109,6.141839
0.050000,111.321446,100.658735,30.749494,21.110368,-13.293876,8.995739,6.106285
0.050000,112.326051,100.459650,31.773635,20.482830,-12.550772,14.862090,6.068221
0.050000,113.294169,100.227991,32.769083,19.908961,-11.477365,21.468130,6.027862
0.050000,114.227678,99.963322,33.739387,19.406073,-10.057774,28.391823,5.985493
0.050000,115.129161,99.665065,34.688928,18.990835,-8.304756,35.060361,5.941462
0.050000,116.001779,99.332392,35.622809,18.677613,-6.264429,40.806552,5.896179
0.050000,116.849066,98.964163,36.546653,18.476876,-4.014752,44.993523,5.850093
0.050000,117.674664,98.558931,37.466341,18.393763,-1.662255,47.049950,5.803675
0.050000,118.482046,98.115020,38.387711,18.427395,0.672647,46.698037,5.757391
0.050000,119.274271,97.630660,39.316272,18.571217,2.876437,44.075810,5.711682
0.050000,120.053798,97.104167,40.256940,18.813373,4.843114,39.333528,5.666942
0.050000,120.822409,96.534108,41.213878,19.138757,6.507685,33.291416,5.623503
0.050000,121.581189,95.919465,42.190368,19.529796,7.820775,26.261802,5.581628
