dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,60.240211,134.852886,0.003571,0.142857,2.857143,57.142857,6.109420
0.050000,60.241113,134.852727,0.004487,0.018316,-2.490821,-106.959268,6.109347
0.050000,60.243142,134.852371,0.006547,0.041195,0.457584,58.968084,6.109182
0.050000,60.246746,134.851737,0.010206,0.073182,0.639724,3.642810,6.108890
0.050000,60.267837,134.848015,0.031624,0.428352,7.103402,129.273557,6.108433
0.050000,60.402526,134.824190,0.168403,2.735585,46.144663,780.825214,6.107776
0.050000,60.585798,134.791624,0.354546,3.722866,19.745618,-527.980896,6.106885
0.050000,60.825082,134.748852,0.597623,4.861530,22.773294,60.553527,6.105724
0.050000,61.127775,134.694336,0.905186,6.151261,25.794623,60.426578,6.104262
0.050000,61.501238,134.626446,1.284769,7.591670,28.808170,60.270946,6.102467
0.050000,61.952784,134.543439,1.743882,9.182253,31.811652,60.069626,6.100309
0.050000,62.489670,134.443438,2.290001,10.922382,34.802589,59.818750,6.097763
0.050000,63.119081,134.324409,2.930568,12.811340,37.779165,59.531520,6.094803
0.050000,63.848121,134.184138,3.672980,14.848246,40.738113,59.178948,6.091410
0.050000,64.680087,134.020946,4.520800,16.956392,42.162920,28.496157,6.087584
0.050000,65.610780,133.834497,5.469986,18.983714,40.546432,-32.329772,6.083364
0.050000,66.632272,133.625187,6.512701,20.854313,37.411985,-62.688939,6.078803
0.050000,67.736637,133.393478,7.641112,22.568218,34.278109,-62.677514,6.073959
0.050000,68.915971,133.139926,8.847395,24.125652,31.148684,-62.588503,6.068885
0.050000,70.162400,132.865207,10.123740,25.526899,28.024926,-62.475168,6.063634
0.050000,71.468096,132.570142,11.462361,26.772416,24.910348,-62.291552,6.058259
0.050000,72.825284,132.255707,12.855497,27.862730,21.806269,-62.081590,6.052808
0.050000,74.226255,131.923050,14.295421,28.798477,18.714947,-61.826427,6.047328
0.050000,75.663373,131.573489,15.774440,29.580391,15.638288,-61.533184,6.041863
0.050000,77.129080,131.208523,17.284904,30.209263,12.577426,-61.217239,6.036455
0.050000,78.615906,130.829819,18.819200,30.685932,9.533390,-60.880725,6.031139
0.050000,80.116465,130.439213,20.369765,31.011303,6.507411,-60.519574,6.025951
0.050000,81.623465,130.038697,21.929080,31.186295,3.499847,-60.151279,6.020920
0.050000,83.129700,129.630410,23.489670,31.211803,0.510149,-59.793968,6.016073
0.050000,84.631626,129.215622,25.047820,31.163002,-0.976005,-29.723082,6.011421
0.050000,86.129306,128.794656,26.603538,31.114345,-0.973151,0.057093,6.006963
0.050000,87.622803,128.367830,28.156829,31.065827,-0.970348,0.056055,6.002700
0.050000,89.112185,127.935459,29.707701,31.017440,-0.967747,0.052022,5.998630
0.050000,90.597527,127.497855,31.256164,30.969258,-0.963639,0.082161,5.994753
0.050000,92.078903,127.055324,32.802226,30.921243,-0.960294,0.066891,5.991068
0.050000,93.556391,126.608173,34.345896,30.873392,-0.957031,0.065263,5.987574
0.050000,95.030070,126.156702,35.887179,30.825677,-0.954303,0.054565,5.984271
0.050000,96.500025,125.701210,37.426088,30.778171,-0.950119,0.083672,5.981159
0.050000,97.966339,125.241991,38.962629,30.730830,-0.946817,0.066039,5.978235
0.050000,99.429099,124.779336,40.496812,30.683650,-0.943596,0.064433,5.975501
0.050000,100.888391,124.313537,42.028642,30.636600,-0.941005,0.051813,5.972954
0.050000,102.344306,123.844878,43.558128,30.589722,-0.937563,0.068836,5.970595
0.050000,103.796932,123.373642,45.085278,30.542995,-0.934538,0.060512,5.968423
0.050000,105.246361,122.900112,46.610098,30.496403,-0.931844,0.053872,5.966438
0.050000,106.692684,122.424565,48.132594,30.449933,-0.929400,0.048873,5.964638
0.050000,108.135993,121.947277,49.652773,30.403565,-0.927358,0.040836,5.963024
0.050000,109.576379,121.468523,51.170639,30.357325,-0.924789,0.051394,5.961594
0.050000,111.013935,120.988574,52.686198,30.311181,-0.922886,0.038048,5.960350
0.050000,112.448754,120.507701,54.199454,30.265120,-0.921212,0.033493,5.959289
0.050000,113.880926,120.026171,55.710410,30.219128,-0.919842,0.027384,5.958413
0.050000,115.310544,119.544250,57.219070,30.173195,-0.918665,0.023548,5.957720
0.050000,116.737699,119.062205,58.725436,30.127318,-0.917533,0.022636,5.957211
0.050000,118.162481,118.580299,60.229510,30.081476,-0.916843,0.013807,5.956885
0.050000,119.584980,118.098793,61.731293,30.035656,-0.916411,0.008640,5.956742
0.050000,121.005285,117.617949,63.230785,29.989844,-0.916227,0.003686,5.956783
0.050000,122.423484,117.138027,64.727987,29.944032,-0.916239,-0.000238,5.957007
0.050000,123.839663,116.659286,66.222897,29.898203,-0.916582,-0.006863,5.957414
0.050000,125.253908,116.181985,67.715514,29.852344,-0.917193,-0.012233,5.958005
0.050000,126.666304,115.706382,69.205836,29.806440,-0.918062,-0.017370,5.958779
0.050000,128.076933,115.232734,70.693860,29.760487,-0.919066,-0.020094,5.959737
0.050000,129.485876,114.761297,72.179584,29.714472,-0.920311,-0.024889,5.960879
0.050000,130.893214,114.292328,73.663002,29.668368,-0.922066,-0.035101,5.962206
0.050000,132.299023,113.826084,75.144111,29.622173,-0.923909,-0.036859,5.963717
0.050000,133.703379,113.362820,76.622905,29.575874,-0.925974,-0.041310,5.965413
0.050000,135.106358,112.902792,78.099378,29.529477,-0.927935,-0.039206,5.967295
0.050000,136.508031,112.446257,79.573526,29.482955,-0.930440,-0.050114,5.969364
0.050000,137.908468,111.993470,81.045341,29.436290,-0.933305,-0.057286,5.971618
0.050000,139.307735,111.544688,82.514815,29.389483,-0.936138,-0.056670,5.974060
0.050000,140.705898,111.100167,83.981941,29.342527,-0.939115,-0.059528,5.976690
0.050000,142.103022,110.660163,85.446714,29.295453,-0.941492,-0.047543,5.979508
0.050000,143.499166,110.224934,86.909123,29.248183,-0.945400,-0.078168,5.982516
0.050000,144.894386,109.794736,88.369160,29.200747,-0.948724,-0.066467,5.985713
0.050000,146.288738,109.369828,89.826817,29.153141,-0.952110,-0.067735,5.989100
0.050000,147.682275,108.950467,91.282087,29.105396,-0.954906,-0.055906,5.992678
0.050000,149.075046,108.536911,92.734960,29.057463,-0.958653,-0.074946,5.996448
0.050000,150.467097,108.129418,94.185428,29.009346,-0.962338,-0.073703,6.000411
0.050000,151.858470,107.728248,95.633481,28.961061,-0.965699,-0.067224,6.004567
0.050000,153.249208,107.333659,97.079113,28.912645,-0.968336,-0.052735,6.008916
0.050000,154.639347,106.945910,98.522316,28.864057,-0.971744,-0.068154,6.013460
0.050000,156.028919,106.565262,99.963081,28.815303,-0.975083,-0.066794,6.018198
0.050000,157.417955,106.191973,101.401402,28.766411,-0.977855,-0.055428,6.023133
0.050000,158.806484,105.826302,102.837273,28.717432,-0.979568,-0.034266,6.028263
0.050000,160.194527,105.468508,104.270689,28.668310,-0.982433,-0.057297,6.033589
0.050000,161.582104,105.118852,105.701643,28.619085,-0.984500,-0.041351,6.039113
0.050000,162.969232,104.777590,107.130133,28.569795,-0.985816,-0.026307,6.044833
0.050000,164.355925,104.444982,108.556157,28.520480,-0.986288,-0.009436,6.050751
0.050000,165.742189,104.121284,109.979712,28.471100,-0.987599,-0.026230,6.056867
0.050000,167.128030,103.806753,111.400798,28.421723,-0.987552,0.000938,6.063180
0.050000,168.513451,103.501644,112.819418,28.372402,-0.986421,0.022623,6.069690
0.050000,169.898449,103.206212,114.235574,28.323130,-0.985438,0.019653,6.076397
0.050000,171.283017,102.920709,115.649272,28.273950,-0.983586,0.037046,6.083301
0.050000,172.667146,102.645386,117.060518,28.224922,-0.980574,0.060241,6.090401
0.050000,174.050822,102.380492,118.469322,28.176083,-0.976786,0.075766,6.097697
0.050000,175.434028,102.126273,119.875695,28.127461,-0.972436,0.086990,6.105186
0.050000,176.816742,101.882974,121.279651,28.079124,-0.966743,0.113862,6.112870
0.050000,178.198940,101.650837,122.681207,28.031116,-0.960151,0.131848,6.120745
0.050000,179.580593,101.430100,124.080382,27.983495,-0.952422,0.154579,6.128811
0.050000,180.961669,101.220997,125.477198,27.936326,-0.943386,0.180714,6.137065
0.050000,182.342133,101.023761,126.871681,27.889649,-0.933530,0.197129,6.145506
0.050000,183.721944,100.838618,128.263858,27.843543,-0.922118,0.228237,6.154131
0.050000,185.101062,100.665792,129.653762,27.798092,-0.909033,0.261689,6.162939
0.050000,186.479440,100.505501,131.041430,27.753342,-0.894992,0.280830,6.171925
0.050000,187.857028,100.357959,132.426896,27.709324,-0.880353,0.292771,6.181087
0.050000,189.233776,100.223374,133.810206,27.666207,-0.862342,0.360231,6.190422
0.050000,190.609629,100.101949,135.191407,27.624021,-0.843723,0.372374,6.199926
0.050000,191.984528,99.993879,136.570546,27.582785,-0.824723,0.380005,6.209594
0.050000,193.358411,99.899357,137.947678,27.542627,-0.803169,0.431077,6.219423
0.050000,194.731219,99.818565,139.322861,27.503667,-0.779188,0.479614,6.229408
0.050000,196.102887,99.751680,140.696158,27.465942,-0.754501,0.493744,6.239544
0.050000,197.473343,99.698872,142.067631,27.429461,-0.729627,0.497475,6.249825
0.050000,198.842517,99.660303,143.437349,27.394353,-0.702164,0.549257,6.260247
0.050000,200.210342,99.636128,144.805387,27.360762,-0.671803,0.607225,6.270803
0.050000,201.576743,99.626494,146.171822,27.328700,-0.641240,0.611264,6.281488
0.050000,202.941645,99.631537,147.536734,27.298235,-0.609317,0.638448,0.009109
0.050000,204.304970,99.651389,148.900203,27.269388,-0.576922,0.647899,0.020031
0.050000,205.666637,99.686170,150.262314,27.242214,-0.543498,0.668488,0.031062
0.050000,207.026570,99.735991,151.623159,27.216911,-0.506056,0.748843,0.042193
