dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,74.698492,115.418514,0.003571,0.142857,2.857143,57.142857,6.281211
0.050000,74.698492,115.418514,0.017857,0.428571,5.714286,57.142857,6.281286
0.050000,74.698492,115.418514,0.050000,0.857143,8.571429,57.142857,6.281453
0.050000,74.698492,115.418514,0.107143,1.428571,11.428571,57.142857,6.281752
0.050000,74.698492,115.418514,0.196429,2.142857,14.285714,57.142857,6.282219
0.050000,74.698492,115.418514,0.325000,3.000000,17.142857,57.142857,6.282893
0.050000,74.817825,115.418551,0.500000,4.000000,20.000000,57.142857,0.000627
0.050000,75.046303,115.418832,0.728571,5.142857,22.857143,57.142857,0.001833
0.050000,75.335682,115.419584,1.017857,6.428571,25.714286,57.142857,0.003369
0.050000,75.692832,115.421128,1.375000,7.857143,28.571429,57.142857,0.005280
0.050000,76.124926,115.423913,1.807143,9.428571,31.428571,57.142857,0.007613
0.050000,76.639154,115.428548,2.321429,11.142857,34.285714,57.142857,0.010422
0.050000,77.242719,115.435845,2.925000,13.000000,37.142857,57.142857,0.013763
0.050000,77.942661,115.446852,3.625000,15.000000,40.000000,57.142857,0.017699
0.050000,78.742444,115.462836,4.425000,17.000000,40.000000,-0.000000,0.022281
0.050000,79.638631,115.485149,5.321429,18.857143,37.142857,-57.142857,0.027523
0.050000,80.623761,115.515165,6.307143,20.571429,34.285714,-57.142857,0.033422
0.050000,81.690891,115.554333,7.375000,22.142857,31.428571,-57.142857,0.039981
0.050000,82.832769,115.604120,8.517857,23.571429,28.571429,-57.142857,0.047201
0.050000,84.041920,115.665987,9.728571,24.857143,25.714286,-57.142857,0.055083
0.050000,85.311118,115.741383,11.000000,26.000000,22.857143,-57.142857,0.063632
0.050000,86.633005,115.831695,12.325000,27.000000,20.000000,-57.142857,0.072852
0.050000,88.000300,115.938241,13.696429,27.857143,17.142857,-57.142857,0.082744
0.050000,89.405548,116.062215,15.107143,28.571429,14.285714,-57.142857,0.093311
0.050000,90.841244,116.204660,16.550000,29.142857,11.428571,-57.142857,0.104550
0.050000,92.300238,116.366485,18.017857,29.571429,8.571429,-57.142857,0.116459
0.050000,93.774774,116.548321,19.503571,29.857143,5.714286,-57.142857,0.129026
0.050000,95.257418,116.750585,21.000000,30.000000,2.857143,-57.142857,0.142237
0.050000,96.740738,116.973405,22.500000,30.000000,0.000000,-57.142857,0.156068
0.050000,98.220790,117.217181,24.000000,30.000000,0.000000,0.000000,0.170524
0.050000,99.697097,117.482813,25.500000,30.000000,0.000000,0.000000,0.185640
0.050000,101.169106,117.771237,27.000000,30.000000,0.000000,0.000000,0.201455
0.050000,102.636184,118.083424,28.500000,30.000000,0.000000,0.000000,0.218007
0.050000,104.097831,118.420430,30.000000,30.000000,0.000000,0.000000,0.235338
0.050000,105.553251,118.783305,31.500000,30.000000,0.000000,0.000000,0.253491
0.050000,107.001698,119.173165,33.000000,30.000000,0.000000,0.000000,0.272510
0.050000,108.442200,119.591126,34.500000,30.000000,0.000000,0.000000,0.292436
0.050000,109.873899,120.038389,36.000000,30.000000,0.000000,0.000000,0.313315
0.050000,111.295753,120.516161,37.500000,30.000000,0.000000,0.000000,0.335190
0.050000,112.706529,121.025638,39.000000,30.000000,0.000000,0.000000,0.358102
0.050000,114.105035,121.568075,40.500000,30.000000,0.000000,0.000000,0.382090
0.050000,115.489773,122.144648,42.000000,30.000000,0.000000,0.000000,0.407186
0.050000,116.859165,122.756520,43.500000,30.000000,0.000000,0.000000,0.433418
0.050000,118.211793,123.404945,45.000000,30.000000,0.000000,0.000000,0.460810
0.050000,119.545680,124.090912,46.500000,30.000000,0.000000,0.000000,0.489368
0.050000,120.858995,124.815442,48.000000,30.000000,0.000000,0.000000,0.519090
0.050000,122.149770,125.579432,49.500000,30.000000,0.000000,0.000000,0.549961
0.050000,123.415913,126.383618,51.000000,30.000000,0.000000,0.000000,0.581947
0.050000,124.655236,127.228549,52.500000,30.000000,0.000000,0.000000,0.614995
0.050000,125.865493,128.114556,54.000000,30.000000,0.000000,0.000000,0.649032
0.050000,127.044471,129.041771,55.500000,30.000000,0.000000,0.000000,0.683964
