dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.641407,124.999989,0.003571,0.142857,2.857143,57.142857,6.281873
0.050000,80.639881,124.999991,0.005098,0.030530,-2.246539,-102.073635,6.281995
0.050000,80.636446,124.999995,0.008533,0.068701,0.763416,60.199091,6.282270
0.050000,80.630338,124.999999,0.014641,0.122163,1.069231,6.116301,6.282758
0.050000,80.660167,125.000006,0.044470,0.596582,9.488392,168.383218,0.000337
0.050000,80.774967,125.000108,0.159270,2.296002,33.988399,490.000146,0.001438
0.050000,80.931207,125.000450,0.315512,3.124824,16.576435,-348.239281,0.002939
0.050000,81.135222,125.001250,0.519527,4.080320,19.109920,50.669708,0.004904
0.050000,81.393336,125.002837,0.777646,5.162375,21.641095,50.623500,0.007397
0.050000,81.711852,125.005685,1.096176,6.370588,24.164264,50.463380,0.010486
0.050000,82.097063,125.010447,1.481416,7.704805,26.684341,50.401534,0.014239
0.050000,82.555185,125.017997,1.939600,9.163684,29.177588,49.864950,0.018726
0.050000,83.092433,125.029481,2.476970,10.747400,31.674317,49.934581,0.024022
0.050000,83.714922,125.046360,3.099689,12.454374,34.139472,49.303085,0.030205
0.050000,84.425545,125.070359,3.810717,14.220559,35.323702,23.684604,0.037323
0.050000,85.220778,125.103250,4.606629,15.918255,33.953932,-27.395399,0.045364
0.050000,86.093898,125.146782,5.480834,17.484084,31.316576,-52.747123,0.054284
0.050000,87.038164,125.202702,6.426754,18.918416,28.686646,-52.598600,0.064038
0.050000,88.046822,125.272714,7.437839,20.221697,26.065620,-52.420516,0.074580
0.050000,89.113088,125.358423,8.507544,21.394095,23.447950,-52.353405,0.085861
0.050000,90.230193,125.461298,9.629376,22.436638,20.850859,-51.941815,0.097827
0.050000,91.391396,125.582634,10.796901,23.350504,18.277318,-51.470815,0.110424
0.050000,92.589966,125.723506,12.003721,24.136407,15.718056,-51.185251,0.123593
0.050000,93.819175,125.884733,13.243459,24.794742,13.166714,-51.026827,0.137269
0.050000,95.072389,126.066858,14.509837,25.327575,10.656646,-50.201361,0.151387
0.050000,96.343008,126.270109,15.796610,25.735452,8.157540,-49.982119,0.165873
0.050000,97.624490,126.494377,17.097569,26.019174,5.674447,-49.661873,0.180653
0.050000,98.910376,126.739199,18.406553,26.179679,3.210109,-49.286745,0.195647
0.050000,100.194322,127.003749,19.717470,26.218350,0.773403,-48.734131,0.210773
0.050000,101.473087,127.287518,21.027342,26.197438,-0.418224,-23.832540,0.225982
0.050000,102.746525,127.590546,22.336338,26.179917,-0.350432,1.355846,0.241261
0.050000,104.014507,127.912861,23.644645,26.166142,-0.275503,1.498580,0.256595
