dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.629521,100.000001,0.003571,0.142857,2.857143,57.142857,0.000362
0.050000,80.628649,100.000001,0.004443,0.017438,-2.508378,-107.310411,0.000292
0.050000,80.626692,100.000000,0.006401,0.039148,0.434204,58.851641,0.000135
0.050000,80.652505,99.999998,0.032214,0.516258,9.542197,182.159859,6.283043
0.050000,80.736416,99.999968,0.116124,1.678214,23.239104,273.938138,6.282613
0.050000,80.857331,99.999862,0.237039,2.418303,14.801784,-168.746396,6.282001
0.050000,81.022066,99.999599,0.401775,3.294712,17.528176,54.527830,6.281180
0.050000,81.237504,99.999053,0.617214,4.308770,20.281162,55.059715,6.280129
0.050000,81.510609,99.998041,0.890321,5.462141,23.067425,55.725274,6.278835
0.050000,81.848451,99.996308,1.228167,6.756933,25.895851,56.568512,6.277291
0.050000,82.258236,99.993524,1.637961,8.195883,28.778999,57.662955,6.275503
0.050000,82.747324,99.989268,2.127068,9.782125,31.724838,58.916777,6.273489
0.050000,83.323264,99.983039,2.703042,11.519486,34.747213,60.447511,6.271281
0.050000,83.993826,99.974255,3.373662,13.412391,37.858107,62.217878,6.268931
0.050000,84.763585,99.962334,4.143513,15.397020,39.692578,36.689420,6.266519
0.050000,85.630406,99.946837,5.010472,17.339186,38.843314,-16.985273,6.264161
0.050000,86.588745,99.927525,5.969006,19.170684,36.629961,-44.267064,6.261987
0.050000,87.633035,99.904365,7.013553,20.890936,34.405034,-44.498542,6.260122
0.050000,88.757653,99.877561,8.138489,22.498730,32.155883,-44.983027,6.258688
0.050000,89.956896,99.847579,9.338108,23.992372,29.872853,-45.660588,6.257801
0.050000,91.224972,99.815158,10.606598,25.369794,27.548440,-46.488273,6.257566
0.050000,92.555970,99.781308,11.938027,26.628578,25.175664,-47.455511,6.258080
0.050000,93.943856,99.747299,13.326329,27.766047,22.749384,-48.525610,6.259430
0.050000,95.382451,99.714640,14.765294,28.779311,20.265293,-49.681812,6.261690
0.050000,96.865419,99.685044,16.248558,29.665260,17.718974,-50.926372,6.264922
0.050000,98.386246,99.660382,17.769585,30.420556,15.105909,-52.261315,6.269176
0.050000,99.938230,99.642633,19.321671,31.041707,12.423026,-53.657655,6.274486
0.050000,101.514452,99.633823,20.897916,31.524917,9.664199,-55.176534,6.280872
0.050000,103.107756,99.635948,22.491223,31.866124,6.824137,-56.801249,0.005151
0.050000,104.714578,99.650959,24.098114,32.137827,5.434065,-27.801438,0.013703
0.050000,106.335081,99.680856,25.718893,32.415585,5.555169,2.422075,0.023366
0.050000,107.969401,99.727737,27.353886,32.699848,5.685245,2.601519,0.034166
0.050000,109.617628,99.793798,29.003435,32.990995,5.822939,2.753881,0.046130
0.050000,111.279792,99.881340,30.667904,33.289371,5.967525,2.891721,0.059289
0.050000,112.955840,99.992772,32.347651,33.594951,6.111601,2.881518,0.073670
0.050000,114.645612,100.130611,34.043036,33.907689,6.254760,2.863182,0.089302
0.050000,116.348819,100.297482,35.754399,34.227253,6.391284,2.730477,0.106212
0.050000,118.065007,100.496108,37.482043,34.552879,6.512516,2.424654,0.124426
0.050000,119.793530,100.729301,39.226224,34.883627,6.614963,2.048936,0.143963
0.050000,121.533512,100.999940,40.987128,35.218090,6.689264,1.486024,0.164838
0.050000,123.283817,101.310949,42.764849,35.554420,6.726587,0.746448,0.187058
0.050000,125.043005,101.665260,44.559364,35.890289,6.717380,-0.184140,0.210623
0.050000,126.809310,102.065769,46.370507,36.222872,6.651669,-1.314218,0.235518
0.050000,128.580605,102.515282,48.197950,36.548846,6.519487,-2.643642,0.261718
0.050000,130.354384,103.016450,50.041171,36.864419,6.311451,-4.160714,0.289180
0.050000,132.127761,103.571700,51.899440,37.165393,6.019481,-5.839399,0.317847
0.050000,133.897469,104.183157,53.771804,37.447274,5.637623,-7.637158,0.347641
0.050000,135.659894,104.852562,55.657075,37.705420,5.162924,-9.493984,0.378469
0.050000,137.411119,105.581202,57.553837,37.935233,4.596264,-11.333196,0.410216
0.050000,139.146991,106.369837,59.460456,38.132385,3.943040,-13.064482,0.442753
0.050000,140.863211,107.218652,61.375109,38.293064,3.213572,-14.589365,0.475932
0.050000,142.555431,108.127221,63.295814,38.414091,2.420544,-15.860545,0.509596
0.050000,144.219373,109.094504,65.220480,38.493322,1.584608,-16.718737,0.543577
0.050000,145.850948,110.118866,67.146967,38.529745,0.728471,-17.122728,0.577703
0.050000,147.446358,111.198117,69.073134,38.523332,-0.128258,-17.134590,0.611804
0.050000,149.002194,112.329585,70.996892,38.475166,-0.963321,-16.701260,0.645712
0.050000,150.515523,113.510207,72.916275,38.387662,-1.750075,-15.735072,0.679270
0.050000,151.983939,114.736627,74.829480,38.264093,-2.471395,-14.426399,0.712333
0.050000,153.405577,116.005290,76.734883,38.108060,-3.120657,-12.985253,0.744772
0.050000,154.779124,117.312546,78.631076,37.923870,-3.683792,-11.262699,0.776474
0.050000,156.103813,118.654756,80.516899,37.716456,-4.148281,-9.289762,0.807347
0.050000,157.379376,120.028369,82.391432,37.490663,-4.515858,-7.351542,0.837315
0.050000,158.605970,121.429960,84.253954,37.250444,-4.804384,-5.770531,0.866322
0.050000,159.784151,122.856306,86.103974,37.000397,-5.000949,-3.931300,0.894328
0.050000,160.914793,124.304412,87.941191,36.744333,-5.121274,-2.406506,0.921310
0.050000,161.999031,125.771525,89.765469,36.485566,-5.175341,-1.081335,0.947257
0.050000,162.875818,127.012544,91.284970,30.390020,-121.910918,-2334.711532,0.959004
0.050000,163.738529,128.242456,92.787286,30.046325,-6.873892,2300.740508,0.959190
0.050000,164.600483,129.471668,94.288594,30.026157,-0.403375,129.410351,0.959294
0.050000,165.461779,130.700109,95.788894,30.005990,-0.403333,0.000831,0.959318
0.050000,166.322516,131.927711,97.288185,29.985824,-0.403323,0.000198,0.959262
0.050000,167.182793,133.154403,98.786468,29.965656,-0.403348,-0.000494,0.959124
0.050000,168.042709,134.380117,100.283742,29.945486,-0.403401,-0.001056,0.958906
0.050000,168.902362,135.604783,101.780008,29.925314,-0.403455,-0.001076,0.958607
0.050000,169.761851,136.828332,103.275265,29.905135,-0.403576,-0.002419,0.958228
0.050000,170.621272,138.050695,104.769512,29.884949,-0.403712,-0.002725,0.957768
0.050000,171.480724,139.271801,106.262750,29.864756,-0.403874,-0.003236,0.957227
0.050000,172.340305,140.491582,107.754977,29.844554,-0.404039,-0.003311,0.956605
0.050000,173.200110,141.709968,109.246195,29.824342,-0.404235,-0.003909,0.955902
0.050000,174.060236,142.926889,110.736400,29.804117,-0.404498,-0.005275,0.955119
0.050000,174.920780,144.142274,112.225594,29.783879,-0.404758,-0.005192,0.954254
0.050000,175.781838,145.356055,113.713776,29.763627,-0.405039,-0.005623,0.953309
0.050000,176.643505,146.568160,115.200944,29.743363,-0.405276,-0.004745,0.952282
0.050000,177.505877,147.778519,116.687098,29.723081,-0.405638,-0.007232,0.951175
0.050000,178.369048,148.987061,118.172237,29.702782,-0.405990,-0.007032,0.949986
0.050000,179.233112,150.193715,119.656360,29.682465,-0.406343,-0.007073,0.948716
0.050000,180.098165,151.398410,121.139467,29.662130,-0.406699,-0.007118,0.947364
0.050000,180.964299,152.601073,122.621556,29.641780,-0.407004,-0.006090,0.945931
0.050000,181.831609,153.801633,124.102626,29.621406,-0.407472,-0.009366,0.944417
0.050000,182.700185,155.000017,125.582677,29.601013,-0.407869,-0.007934,0.942821
0.050000,183.570122,156.196152,127.061707,29.580599,-0.408270,-0.008031,0.941143
0.050000,184.441510,157.389966,128.539715,29.560167,-0.408644,-0.007466,0.939384
0.050000,185.314442,158.581384,130.016701,29.539717,-0.409003,-0.007183,0.937543
0.050000,186.189008,159.770332,131.492663,29.519243,-0.409477,-0.009479,0.935620
0.050000,187.065299,160.956737,132.967600,29.498749,-0.409872,-0.007914,0.933615
0.050000,187.943404,162.140522,134.441512,29.478236,-0.410259,-0.007731,0.931528
0.050000,188.823413,163.321613,135.914398,29.457706,-0.410602,-0.006857,0.929359
0.050000,189.705415,164.499933,137.386256,29.437160,-0.410920,-0.006365,0.927107
0.050000,190.589498,165.675406,138.857085,29.416594,-0.411334,-0.008273,0.924774
0.050000,191.475749,166.847956,140.326886,29.396011,-0.411651,-0.006354,0.922358
0.050000,192.364255,168.017505,141.795656,29.375414,-0.411942,-0.005819,0.919860
0.050000,193.255103,169.183974,143.263397,29.354804,-0.412192,-0.004993,0.917279
0.050000,194.148379,170.347286,144.730106,29.334187,-0.412349,-0.003149,0.914616
0.050000,195.044167,171.507361,146.195784,29.313556,-0.412622,-0.005458,0.911870
0.050000,195.942552,172.664121,147.660430,29.292917,-0.412767,-0.002894,0.909042
0.050000,196.843617,173.817484,149.124043,29.272274,-0.412864,-0.001936,0.906131
0.050000,197.747446,174.967370,150.586625,29.251629,-0.412908,-0.000885,0.903137
0.050000,198.654119,176.113699,152.048174,29.230986,-0.412848,0.001205,0.900061
0.050000,199.563719,177.256389,153.508691,29.210346,-0.412813,0.000703,0.896903
0.050000,200.476325,178.395357,154.968177,29.189711,-0.412691,0.002434,0.893662
0.050000,201.392017,179.530520,156.426631,29.169087,-0.412477,0.004271,0.890338
0.050000,202.310874,180.661797,157.884055,29.148478,-0.412186,0.005827,0.886932
0.050000,203.232974,181.789102,159.340450,29.127888,-0.411807,0.007585,0.883444
0.050000,204.158393,182.912352,160.795816,29.107321,-0.411335,0.009429,0.879873
0.050000,205.087207,184.031462,162.250155,29.086781,-0.410810,0.010506,0.876220
0.050000,206.019490,185.146346,163.703468,29.066273,-0.410154,0.013116,0.872485
0.050000,206.955317,186.256921,165.155759,29.045803,-0.409393,0.015233,0.868669
0.050000,207.894760,187.363098,166.607027,29.025377,-0.408519,0.017467,0.864770
0.050000,208.837890,188.464792,168.057277,29.005000,-0.407547,0.019445,0.860790
0.050000,209.784778,189.561916,169.506511,28.984677,-0.406450,0.021929,0.856729
0.050000,210.735494,190.654383,170.954732,28.964417,-0.405198,0.025054,0.852587
0.050000,211.690104,191.742105,172.401943,28.944226,-0.403820,0.027551,0.848364
0.050000,212.648677,192.824995,173.848149,28.924111,-0.402301,0.030385,0.844060
0.050000,213.611277,193.902963,175.293353,28.904080,-0.400634,0.033341,0.839677
0.050000,214.577968,194.975922,176.737560,28.884133,-0.398939,0.033893,0.835213
0.050000,215.548814,196.043783,178.180774,28.864289,-0.396873,0.041319,0.830671
0.050000,216.523875,197.106456,179.623002,28.844553,-0.394728,0.042914,0.826049
0.050000,217.503212,198.163854,181.064248,28.824932,-0.392413,0.046294,0.821349
0.050000,218.486884,199.215887,182.504520,28.805436,-0.389921,0.049841,0.816571
0.050000,219.474947,200.262465,183.943823,28.786065,-0.387417,0.050074,0.811715
0.050000,220.467457,201.303499,185.382165,28.766840,-0.384501,0.058328,0.806783
0.050000,221.464468,202.338900,186.819554,28.747771,-0.381382,0.062376,0.801774
0.050000,222.466033,203.368578,188.255997,28.728865,-0.378130,0.065044,0.796689
0.050000,223.472201,204.392445,189.691504,28.710131,-0.374673,0.069127,0.791530
0.050000,224.483023,205.410411,191.126082,28.691563,-0.371359,0.066285,0.786296
0.050000,225.498545,206.422387,192.559742,28.673200,-0.367262,0.081950,0.780989
0.050000,226.518814,207.428285,193.992494,28.655044,-0.363114,0.082955,0.775610
0.050000,227.543873,208.428017,195.424349,28.637104,-0.358802,0.086245,0.770158
0.050000,228.573764,209.421494,196.855318,28.619376,-0.354559,0.084846,0.764636
0.050000,229.608527,210.408628,198.285412,28.601882,-0.349887,0.093449,0.759044
0.050000,230.648202,211.389333,199.714645,28.584651,-0.344606,0.105621,0.753382
0.050000,231.692825,212.363522,201.143029,28.567682,-0.339380,0.104509,0.747653
0.050000,232.742429,213.331108,202.570577,28.550960,-0.334442,0.098767,0.741857
0.050000,233.797049,214.292007,203.997303,28.534526,-0.328678,0.115288,0.735996
0.050000,234.856714,215.246133,205.423224,28.518406,-0.322417,0.125210,0.730069
0.050000,235.921455,216.193404,206.848353,28.502586,-0.316400,0.120335,0.724080
0.050000,236.991295,217.133734,208.272705,28.487040,-0.310918,0.109648,0.718028
0.050000,238.066262,218.067042,209.696298,28.471872,-0.303345,0.151463,0.711916
0.050000,239.146379,218.993247,211.119151,28.457047,-0.296517,0.136553,0.705744
0.050000,240.231663,219.912268,212.541276,28.442503,-0.290863,0.113077,0.699514
0.050000,241.322136,220.824026,213.962696,28.428395,-0.282169,0.173878,0.693228
0.050000,242.359419,221.679351,215.307142,26.888933,-30.789248,-610.141564,0.684881
0.050000,243.430478,222.545326,216.684488,27.546912,13.159588,878.976717,0.675069
0.050000,244.516157,223.406225,218.070073,27.711709,3.295950,-197.272771,0.665917
0.050000,245.615930,224.262609,219.463950,27.877540,3.316610,0.413200,0.657427
0.050000,246.729265,225.115058,220.866157,28.044127,3.331731,0.302420,0.649604
0.050000,247.855624,225.964175,222.276719,28.211243,3.342321,0.211798,0.642449
0.050000,248.994468,226.810586,223.695654,28.378699,3.349130,0.136192,0.635964
0.050000,250.145253,227.654936,225.122971,28.546345,3.352926,0.075911,0.630150
0.050000,251.307435,228.497893,226.558674,28.714066,3.354417,0.029832,0.625006
0.050000,252.480469,229.340143,228.002763,28.881776,3.354203,-0.004285,0.620533
0.050000,253.663806,230.182394,229.455234,29.049421,3.352885,-0.026373,0.616731
0.050000,254.856897,231.025371,230.916082,29.216966,3.350910,-0.039491,0.613599
0.050000,256.059192,231.869820,232.385302,29.384400,3.348684,-0.044517,0.611136
0.050000,257.270138,232.716503,233.862889,29.551729,3.346579,-0.042100,0.609343
0.050000,258.489177,233.566201,235.348837,29.718971,3.344832,-0.034943,0.608219
0.050000,259.715748,234.419711,236.843145,29.886153,3.343635,-0.023934,0.607764
0.050000,260.949283,235.277846,238.345811,30.053309,3.343122,-0.010255,0.607977
0.050000,262.189206,236.141433,239.856834,30.220475,3.343330,0.004160,0.608859
0.050000,263.434932,237.011315,241.376219,30.387687,3.344242,0.018234,0.610410
0.050000,264.685865,237.888346,242.903967,30.554976,3.345769,0.030538,0.612630
0.050000,265.941394,238.773392,244.440086,30.722362,3.347722,0.039056,0.615519
0.050000,267.200891,239.667330,245.984578,30.889856,3.349889,0.043348,0.619079
0.050000,268.463711,240.571044,247.537451,31.057455,3.351965,0.041513,0.623309
0.050000,269.729188,241.485423,249.098708,31.225131,3.353519,0.031079,0.628209
0.050000,270.996631,242.411363,250.668350,31.392838,3.354147,0.012559,0.633781
0.050000,272.265322,243.349759,252.246375,31.560503,3.353305,-0.016843,0.640023
0.050000,273.534514,244.301505,253.832776,31.728021,3.350366,-0.058771,0.646935
0.050000,274.803428,245.267489,255.427539,31.895256,3.344700,-0.113313,0.654517
0.050000,276.071252,246.248590,257.030640,32.062032,3.335513,-0.183740,0.662765
0.050000,277.337134,247.245672,258.642047,32.228137,3.322087,-0.268521,0.671678
0.050000,278.600185,248.259584,260.261713,32.393313,3.303526,-0.371228,0.681252
0.050000,279.859476,249.291148,261.889575,32.557255,3.278846,-0.493592,0.691481
0.050000,281.114034,250.341156,263.525556,32.719620,3.247305,-0.630836,0.702361
0.050000,282.362845,251.410366,265.169557,32.880014,3.207870,-0.788691,0.713881
0.050000,283.519075,252.421275,266.705396,30.716785,-43.264580,-929.449006,0.720112
0.050000,284.662834,253.425790,268.227644,30.444946,-5.436786,756.555881,0.721892
0.050000,285.841070,254.468592,269.801071,31.468554,20.472175,518.179222,0.727766
0.050000,287.051385,255.557258,271.428971,32.557994,21.788787,26.332246,0.737999
0.050000,288.292286,256.702087,273.117304,33.766660,24.173323,47.690712,0.753067
0.050000,289.563014,257.917034,274.875384,35.161601,27.898834,74.510230,0.773715
0.050000,290.863280,259.221160,276.716970,36.831717,33.402315,110.069615,0.801047
0.050000,292.192705,260.640952,278.662010,38.900790,41.381458,159.582860,0.836658
0.050000,293.549500,262.213862,280.739253,41.544865,52.881495,230.000747,0.882852
0.050000,294.927267,263.993541,282.989919,45.013326,69.369216,329.754411,0.942933
0.050000,296.307515,266.056655,285.472160,49.644827,92.630017,465.216014,1.021563
0.050000,297.642757,268.507773,288.263370,55.824195,123.587369,619.147039,1.124960
0.050000,298.822690,271.464471,291.446813,63.668849,156.893072,666.114075,1.259954
0.050000,299.635767,274.983266,295.058323,72.230219,171.227413,286.686806,1.429883
0.050000,299.805035,278.914121,298.992821,78.689950,129.194619,-840.655867,1.626920
0.050000,299.183439,282.836752,302.964397,79.431529,14.831585,-2287.260687,1.828631
0.050000,297.921404,286.302261,306.652552,73.763089,-113.368808,-2564.007865,2.009781
0.050000,296.327866,289.124061,309.893218,64.813316,-178.995460,-1312.533043,2.157786
0.050000,294.646966,291.354693,312.686271,55.861064,-179.045038,-0.991553,2.273261
0.050000,293.005368,293.124411,315.100136,48.277296,-151.675362,547.393515,2.362305
0.050000,291.454884,294.551808,317.207614,42.149571,-122.554508,582.417078,2.431342
0.050000,290.013537,295.723735,319.065272,37.153162,-99.928175,452.526674,2.485484
0.050000,288.686750,296.699762,320.712388,32.942320,-84.216834,314.226820,2.528453
0.050000,287.476252,297.520190,322.174718,29.246603,-73.914349,206.049697,2.562885
0.050000,286.383322,298.212463,323.468449,25.874606,-67.439933,129.488327,2.590646
0.050000,285.410002,298.795363,324.602963,22.690287,-63.686381,75.071038,2.613062
0.050000,284.557492,299.282803,325.584988,19.640488,-60.995971,53.808199,2.631115
0.050000,283.822319,299.687450,326.424165,16.783547,-57.138829,77.142835,2.645616
