dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,30.009978,39.964996,0.003571,0.142857,2.857143,57.142857,6.282387
0.050000,30.008644,39.964997,0.004905,0.026663,-2.323874,-103.620329,6.282494
0.050000,30.005645,39.964999,0.007904,0.059991,0.666542,59.808315,6.282734
0.050000,30.000313,39.965000,0.013236,0.106642,0.933034,5.329841,6.283160
0.050000,30.077917,39.965025,0.090840,1.552080,28.908757,559.514461,0.000641
0.050000,30.194488,39.965156,0.207412,2.331427,15.586941,-266.436323,0.001601
0.050000,30.353157,39.965513,0.366081,3.173387,16.839190,25.044978,0.002908
0.050000,30.560390,39.966293,0.573315,4.144681,19.425888,51.733954,0.004615
0.050000,30.822659,39.967787,0.835589,5.245481,22.015998,51.802201,0.006776
0.050000,31.146438,39.970413,1.159378,6.475785,24.606080,51.801639,0.009444
0.050000,31.538187,39.974745,1.551151,7.835459,27.193486,51.748132,0.012674
0.050000,32.004365,39.981550,2.017379,9.324547,29.781749,51.765254,0.016518
0.050000,32.551430,39.991822,2.564540,10.943225,32.373572,51.836451,0.021031
0.050000,33.185812,40.006827,3.199100,12.691204,34.959567,51.719900,0.026266
0.050000,33.910712,40.028042,3.924310,14.504209,36.260103,26.010734,0.032249
0.050000,34.722827,40.056967,4.736940,16.252591,34.967643,-25.849207,0.038953
0.050000,35.615610,40.095056,5.630536,17.871913,32.386448,-51.623889,0.046322
0.050000,36.582505,40.143744,6.598656,19.362398,29.809683,-51.535301,0.054301
0.050000,37.616942,40.204398,7.634869,20.724263,27.237313,-51.447403,0.062832
0.050000,38.712342,40.278281,8.732758,21.957784,24.670416,-51.337945,0.071858
0.050000,39.862121,40.366516,9.885917,23.063181,22.107936,-51.249605,0.081319
0.050000,41.059682,40.470051,11.087946,24.040573,19.547842,-51.201871,0.091157
0.050000,42.298433,40.589633,12.332455,24.890196,16.992468,-51.107492,0.101310
0.050000,43.571782,40.725782,13.613062,25.612135,14.438783,-51.073688,0.111718
0.050000,44.873143,40.878770,14.923385,26.206461,11.886504,-51.045581,0.122320
0.050000,46.195937,41.048605,16.257037,26.673039,9.331559,-51.098897,0.133056
0.050000,47.533604,41.235020,17.607630,27.011866,6.776546,-51.100261,0.143865
