dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,30.000000,27.425684,0.003571,0.142857,2.857143,57.142857,0.023978
0.050000,30.000000,27.425684,0.017857,0.428571,5.714286,57.142857,0.024058
0.050000,30.000000,27.425684,0.050000,0.857143,8.571429,57.142857,0.024239
0.050000,30.000000,27.425684,0.107143,1.428571,11.428571,57.142857,0.024560
0.050000,30.011806,27.425980,0.196429,2.142857,14.285714,57.142857,0.025061
0.050000,30.140338,27.429248,0.325000,3.000000,17.142857,57.142857,0.025782
0.050000,30.315278,27.433845,0.500000,4.000000,20.000000,57.142857,0.026762
0.050000,30.543761,27.440107,0.728571,5.142857,22.857143,57.142857,0.028040
0.050000,30.832929,27.448451,1.017857,6.428571,25.714286,57.142857,0.029654
0.050000,31.189904,27.459395,1.375000,7.857143,28.571429,57.142857,0.031641
0.050000,31.621813,27.473584,1.807143,9.428571,31.428571,57.142857,0.034036
0.050000,32.135776,27.491815,2.321429,11.142857,34.285714,57.142857,0.036875
0.050000,32.738897,27.515068,2.925000,13.000000,37.142857,57.142857,0.040191
0.050000,33.438278,27.544532,3.625000,15.000000,40.000000,57.142857,0.044013
0.050000,34.237421,27.581467,4.425000,17.000000,40.000000,-0.000000,0.048351
0.050000,35.132695,27.626955,5.321429,18.857143,37.142857,-57.142857,0.053173
0.050000,36.116874,27.681933,6.307143,20.571429,34.285714,-57.142857,0.058427
0.050000,37.182726,27.747297,7.375000,22.142857,31.428571,-57.142857,0.064060
0.050000,38.323015,27.823865,8.517857,23.571429,28.571429,-57.142857,0.070021
0.050000,39.530489,27.912345,9.728571,24.857143,25.714286,-57.142857,0.076258
0.050000,40.797900,28.013313,11.000000,26.000000,22.857143,-57.142857,0.082720
0.050000,42.117994,28.127184,12.325000,27.000000,20.000000,-57.142857,0.089356
0.050000,43.483527,28.254196,13.696429,27.857143,17.142857,-57.142857,0.096119
0.050000,44.887254,28.394400,15.107143,28.571429,14.285714,-57.142857,0.102960
0.050000,46.321947,28.547641,16.550000,29.142857,11.428571,-57.142857,0.109835
0.050000,47.780393,28.713562,18.017857,29.571429,8.571429,-57.142857,0.116701
0.050000,49.255399,28.891596,19.503571,29.857143,5.714286,-57.142857,0.123516
0.050000,50.739794,29.080970,21.000000,30.000000,2.857143,-57.142857,0.130243
0.050000,52.226433,29.280709,22.500000,30.000000,0.000000,-57.142857,0.136846
0.050000,53.711735,29.490154,24.000000,30.000000,0.000000,0.000000,0.143307
0.050000,55.195670,29.709085,25.500000,30.000000,0.000000,0.000000,0.149625
0.050000,56.678208,29.937282,27.000000,30.000000,0.000000,0.000000,0.155799
0.050000,58.159326,30.174519,28.500000,30.000000,0.000000,0.000000,0.161828
0.050000,59.639005,30.420574,30.000000,30.000000,0.000000,0.000000,0.167711
0.050000,61.117230,30.675221,31.500000,30.000000,0.000000,0.000000,0.173447
0.050000,62.593989,30.938234,33.000000,30.000000,0.000000,0.000000,0.179035
0.050000,64.069276,31.209385,34.500000,30.000000,0.000000,0.000000,0.184475
0.050000,65.543086,31.488449,36.000000,30.000000,0.000000,0.000000,0.189766
0.050000,67.015421,31.775198,37.500000,30.000000,0.000000,0.000000,0.194908
0.050000,68.486284,32.069403,39.000000,30.000000,0.000000,0.000000,0.199901
0.050000,69.955683,32.370838,40.500000,30.000000,0.000000,0.000000,0.204743
0.050000,71.423628,32.679274,42.000000,30.000000,0.000000,0.000000,0.209435
0.050000,72.890134,32.994485,43.500000,30.000000,0.000000,0.000000,0.213977
0.050000,74.355216,33.316243,45.000000,30.000000,0.000000,0.000000,0.218369
0.050000,75.818897,33.644321,46.500000,30.000000,0.000000,0.000000,0.222609
0.050000,77.281199,33.978493,48.000000,30.000000,0.000000,0.000000,0.226700
0.050000,78.742147,34.318534,49.500000,30.000000,0.000000,0.000000,0.230639
0.050000,80.201770,34.664218,51.000000,30.000000,0.000000,0.000000,0.234428
0.050000,81.660099,35.015320,52.500000,30.000000,0.000000,0.000000,0.238067
0.050000,83.117169,35.371616,54.000000,30.000000,0.000000,0.000000,0.241555
0.050000,84.573013,35.732883,55.500000,30.000000,0.000000,0.000000,0.244893
0.050000,86.027672,36.098899,57.000000,30.000000,0.000000,0.000000,0.248081
0.050000,87.481183,36.469441,58.500000,30.000000,0.000000,0.000000,0.251119
0.050000,88.933591,36.844289,60.000000,30.000000,0.000000,0.000000,0.254007
0.050000,90.384938,37.223222,61.500000,30.000000,0.000000,0.000000,0.256746
0.050000,91.835271,37.606020,63.000000,30.000000,0.000000,0.000000,0.259336
0.050000,93.284636,37.992465,64.500000,30.000000,0.000000,0.000000,0.261776
0.050000,94.733082,38.382338,66.000000,30.000000,0.000000,0.000000,0.264068
0.050000,96.180661,38.775422,67.500000,30.000000,0.000000,0.000000,0.266211
0.050000,97.627424,39.171500,69.000000,30.000000,0.000000,0.000000,0.268206
0.050000,99.073423,39.570355,70.500000,30.000000,0.000000,0.000000,0.270052
0.050000,100.518713,39.971773,72.000000,30.000000,0.000000,0.000000,0.271751
0.050000,101.963349,40.375538,73.500000,30.000000,0.000000,0.000000,0.273301
0.050000,103.407387,40.781436,75.000000,30.000000,0.000000,0.000000,0.274704
0.050000,104.850885,41.189253,76.500000,30.000000,0.000000,0.000000,0.275960
0.050000,106.293899,41.598776,78.000000,30.000000,0.000000,0.000000,0.277068
0.050000,107.736489,42.009792,79.500000,30.000000,0.000000,0.000000,0.278029
0.050000,109.178714,42.422087,81.000000,30.000000,0.000000,0.000000,0.278843
0.050000,110.620634,42.835450,82.500000,30.000000,0.000000,0.000000,0.279509
0.050000,112.062307,43.249669,84.000000,30.000000,0.000000,0.000000,0.280030
0.050000,113.503796,43.664532,85.500000,30.000000,0.000000,0.000000,0.280403
0.050000,114.945160,44.079826,87.000000,30.000000,0.000000,0.000000,0.280629
0.050000,116.386460,44.495342,88.500000,30.000000,0.000000,0.000000,0.280709
0.050000,117.827758,44.910867,90.000000,30.000000,0.000000,0.000000,0.280642
0.050000,119.269114,45.326190,91.500000,30.000000,0.000000,0.000000,0.280429
0.050000,120.710589,45.741099,93.000000,30.000000,0.000000,0.000000,0.280068
0.050000,122.152244,46.155383,94.500000,30.000000,0.000000,0.000000,0.279561
