dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,30.299697,14.929277,0.003571,0.142857,2.857143,57.142857,0.023978
0.050000,30.300700,14.929301,0.004575,0.020073,-2.455693,-106.256714,0.024058
0.050000,30.302957,14.929356,0.006833,0.045153,0.501617,59.146206,0.024239
0.050000,30.306968,14.929454,0.010845,0.080239,0.701719,4.002022,0.024560
0.050000,30.325037,14.929905,0.028919,0.361486,5.624934,98.464317,0.025061
0.050000,30.462578,14.933402,0.166505,2.751714,47.804555,843.592412,0.025782
0.050000,30.649764,14.938321,0.353756,3.745025,19.866230,-558.766503,0.026762
0.050000,30.894215,14.945021,0.598298,4.890851,22.916514,61.005678,0.028040
0.050000,31.203547,14.953947,0.907759,6.189220,25.967373,61.017192,0.029654
0.050000,31.585345,14.965652,1.289737,7.639542,29.006451,60.781560,0.031641
0.050000,32.047184,14.980823,1.751824,9.241755,32.044254,60.756062,0.034036
0.050000,32.596615,15.000313,2.301601,10.995535,35.075594,60.626793,0.036875
0.050000,33.241149,15.025162,2.946614,12.900250,38.094308,60.374279,0.040191
0.050000,33.988266,15.056637,3.694394,14.955610,41.107197,60.257785,0.044013
0.050000,34.841577,15.096075,4.548616,17.084435,42.576505,29.386155,0.048351
0.050000,35.797047,15.144622,5.505318,19.134046,40.992215,-31.685803,0.053173
0.050000,36.846796,15.203263,6.556704,21.027720,37.873490,-62.374494,0.058427
0.050000,37.982934,15.272937,7.694976,22.765439,34.754381,-62.382191,0.064060
0.050000,39.197568,15.354496,8.912345,24.347387,31.638953,-62.308553,0.070021
0.050000,40.482793,15.448673,10.201016,25.773421,28.520680,-62.365469,0.076258
0.050000,41.830719,15.556055,11.553213,27.043931,25.410189,-62.209818,0.082720
0.050000,43.233462,15.677054,12.961164,28.159021,22.301807,-62.167635,0.089356
0.050000,44.683161,15.811894,14.417121,29.119143,19.202441,-61.987327,0.096119
0.050000,46.171981,15.960596,15.913349,29.924548,16.108104,-61.886726,0.102960
0.050000,47.692126,16.122963,17.442140,30.575826,13.025556,-61.650957,0.109835
0.050000,49.235842,16.298585,18.995814,31.073479,9.953059,-61.449946,0.116701
