dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,30.002871,14.925684,0.003571,0.142857,2.857143,57.142857,0.000230
0.050000,30.002358,14.925684,0.004085,0.010266,-2.651817,-110.179199,0.000189
0.050000,30.001204,14.925684,0.005239,0.023079,0.256251,58.161359,0.000096
0.050000,30.022720,14.925683,0.026755,0.430322,8.144858,157.772140,6.283118
0.050000,30.108815,14.925666,0.112849,1.721893,25.831425,353.731340,6.282863
0.050000,30.232810,14.925604,0.236845,2.479908,15.160294,-213.422625,6.282496
0.050000,30.401618,14.925446,0.405652,3.376153,17.924915,55.292432,6.282001
0.050000,30.622164,14.925113,0.626199,4.410926,20.695451,55.410715,6.281359
0.050000,30.901394,14.924491,0.905430,5.584620,23.473874,55.568454,6.280555
0.050000,31.246279,14.923414,1.250317,6.897738,26.262358,55.769679,6.279574
0.050000,31.663821,14.921662,1.667862,8.350911,29.063461,56.022062,6.278406
0.050000,32.161059,14.918945,2.165108,9.944907,31.879933,56.329440,6.277043
0.050000,32.745077,14.914900,2.749140,11.680650,34.714852,56.698394,6.275480
0.050000,33.423014,14.909075,3.427101,13.559226,37.571522,57.133388,6.273717
0.050000,34.198602,14.900971,4.202732,15.512617,39.067813,29.925834,6.271767
0.050000,35.068693,14.890115,5.072891,17.403169,37.811039,-25.135487,6.269666
0.050000,36.026682,14.876095,6.030982,19.161839,35.173405,-52.752675,6.267456
0.050000,37.065961,14.858553,7.070410,20.788543,32.534082,-52.786470,6.265182
0.050000,38.179908,14.837203,8.184561,22.283029,29.889728,-52.887071,6.262885
0.050000,39.361881,14.811843,9.366806,23.644892,27.237252,-53.049526,6.260608
0.050000,40.605211,14.782367,10.610485,24.873588,24.573915,-53.266739,6.258388
0.050000,41.903198,14.748772,11.908907,25.968444,21.897132,-53.535653,6.256262
0.050000,43.249107,14.711156,13.255341,26.928682,19.204746,-53.847724,6.254262
0.050000,44.636159,14.669722,14.643012,27.753421,16.494797,-54.198980,6.252419
0.050000,46.057534,14.624768,16.065098,28.441708,13.765732,-54.581311,6.250757
0.050000,47.506362,14.576682,17.514724,28.992513,11.016107,-54.992503,6.249298
0.050000,48.975724,14.525930,18.984962,29.404763,8.245000,-55.422127,6.248060
0.050000,50.458648,14.473045,20.468829,29.677339,5.451517,-55.869658,6.247055
0.050000,51.948109,14.418607,21.959284,29.809100,2.635220,-56.325945,6.246292
0.050000,53.440581,14.363101,23.452788,29.870085,1.219695,-28.310507,6.245772
0.050000,54.936078,14.306886,24.949341,29.931056,1.219414,-0.005609,6.245496
0.050000,56.434612,14.250327,26.448942,29.992019,1.219266,-0.002974,6.245464
0.050000,57.936197,14.193788,27.951591,30.052981,1.219245,-0.000407,6.245676
0.050000,59.440847,14.137636,29.457288,30.113949,1.219356,0.002225,6.246132
0.050000,60.948576,14.082242,30.966035,30.174929,1.219597,0.004802,6.246832
0.050000,62.459398,14.027978,32.477831,30.235927,1.219959,0.007251,6.247776
0.050000,63.973326,13.975217,33.992678,30.296949,1.220434,0.009503,6.248963
0.050000,65.490373,13.924337,35.510578,30.357999,1.221009,0.011488,6.250395
0.050000,67.010550,13.875718,37.031532,30.419082,1.221666,0.013136,6.252072
0.050000,68.533867,13.829740,38.555543,30.480202,1.222384,0.014377,6.253993
0.050000,70.060330,13.786790,40.082610,30.541359,1.223141,0.015141,6.256158
0.050000,71.589947,13.747252,41.612738,30.602554,1.223909,0.015355,6.258568
0.050000,73.122720,13.711517,43.145927,30.663787,1.224657,0.014949,6.261223
0.050000,74.658649,13.679978,44.682180,30.725054,1.225349,0.013850,6.264124
0.050000,76.197731,13.653028,46.221498,30.786352,1.225948,0.011986,6.267269
0.050000,77.739958,13.631064,47.763881,30.847673,1.226417,0.009379,6.270660
0.050000,79.285319,13.614486,49.309332,30.909008,1.226697,0.005599,6.274296
0.050000,80.833799,13.603695,50.857849,30.970345,1.226748,0.001009,6.278177
0.050000,82.385376,13.599096,52.409433,31.031671,1.226519,-0.004578,6.282304
0.050000,83.940023,13.601094,53.964081,31.092968,1.225952,-0.011344,0.003491
0.050000,85.497708,13.610097,55.521792,31.154218,1.224987,-0.019299,0.008108
0.050000,87.058391,13.626514,57.082562,31.215396,1.223561,-0.028508,0.012970
0.050000,88.622027,13.650757,58.646386,31.276476,1.221610,-0.039034,0.018076
0.050000,90.188562,13.683238,60.213257,31.337429,1.219063,-0.050935,0.023425
0.050000,91.757934,13.724369,61.783168,31.398222,1.215850,-0.064265,0.029019
0.050000,93.330074,13.774564,63.356109,31.458817,1.211896,-0.079069,0.034854
0.050000,94.904902,13.834237,64.932068,31.519173,1.207127,-0.095391,0.040931
0.050000,96.482331,13.903800,66.511030,31.579246,1.201464,-0.113261,0.047248
0.050000,98.062264,13.983666,68.092979,31.638988,1.194828,-0.132703,0.053804
0.050000,99.644590,14.074246,69.677897,31.698345,1.187142,-0.153730,0.060598
0.050000,101.229193,14.175949,71.265760,31.757261,1.178325,-0.176343,0.067627
0.050000,102.815942,14.289181,72.856543,31.815675,1.168278,-0.200929,0.074890
0.050000,104.404695,14.414346,74.450219,31.873519,1.156889,-0.227784,0.082385
0.050000,105.995300,14.551842,76.046756,31.930733,1.144265,-0.252476,0.090108
0.050000,107.587591,14.702064,77.646118,31.987240,1.130146,-0.282382,0.098057
0.050000,109.181392,14.865401,79.248266,32.042966,1.114523,-0.312455,0.106229
0.050000,110.776512,15.042234,80.853158,32.097833,1.097334,-0.343793,0.114621
0.050000,112.372748,15.232939,82.460746,32.151759,1.078520,-0.376273,0.123228
0.050000,113.969886,15.437883,84.070979,32.204660,1.058033,-0.409752,0.132048
0.050000,115.373019,15.629579,85.487146,28.323343,-77.626349,-1573.687634,0.129790
0.050000,115.918391,15.678611,86.034718,10.951445,-347.437965,-5396.232325,0.053606
