dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.503528,39.925684,0.003571,0.142857,2.857143,57.142857,6.282903
0.050000,3.502991,39.925684,0.004109,0.010746,-2.642217,-109.987187,6.282946
0.050000,3.501782,39.925684,0.005318,0.024183,0.268724,58.218819,6.283043
0.050000,3.509418,39.925684,0.012954,0.152715,2.570655,46.038612,0.000029
0.050000,3.595342,39.925698,0.098878,1.718488,31.315459,574.896072,0.000298
0.050000,3.719071,39.925759,0.222607,2.474570,15.121636,-323.876458,0.000686
0.050000,3.887471,39.925919,0.391007,3.368017,17.868945,54.946178,0.001214
0.050000,4.107413,39.926262,0.610949,4.398832,20.616295,54.947001,0.001904
0.050000,4.385757,39.926914,0.889294,5.566900,23.361361,54.901317,0.002779
0.050000,4.729362,39.928055,1.232901,6.872149,26.104984,54.872473,0.003862
0.050000,5.145083,39.929933,1.648626,8.314487,28.846747,54.835254,0.005176
0.050000,5.639760,39.932881,2.143312,9.893731,31.584889,54.762834,0.006744
0.050000,6.220231,39.937331,2.723800,11.609758,34.320542,54.713068,0.008590
0.050000,6.893318,39.943837,3.396918,13.462365,37.052136,54.631874,0.010741
0.050000,7.662395,39.953046,4.166051,15.382641,38.405520,27.067683,0.013210
0.050000,8.523958,39.965626,5.027706,17.233100,37.009192,-27.926556,0.015992
0.050000,9.471064,39.982229,5.974958,18.945039,34.238773,-55.408379,0.019069
0.050000,10.496767,40.003510,7.000881,20.518475,31.468719,-55.401091,0.022424
0.050000,11.594118,40.030103,8.098554,21.953450,28.699492,-55.384533,0.026038
0.050000,12.756164,40.062607,9.261055,23.250021,25.931437,-55.361098,0.029895
0.050000,13.975958,40.101573,10.481471,24.408319,23.165943,-55.309884,0.033976
0.050000,15.246551,40.147482,11.752892,25.428432,20.402275,-55.273347,0.038263
0.050000,16.560999,40.200740,13.068420,26.310544,17.642237,-55.200770,0.042735
0.050000,17.912366,40.261661,14.421159,27.054778,14.884681,-55.151115,0.047373
0.050000,19.293720,40.330455,15.804225,27.661325,12.130941,-55.074809,0.052156
0.050000,20.698142,40.407220,17.210743,28.130368,9.380862,-55.001569,0.057063
0.050000,22.118724,40.491935,18.633849,28.462120,6.635034,-54.916570,0.062071
0.050000,23.548573,40.584448,20.066687,28.656762,3.892831,-54.844056,0.067158
0.050000,24.980810,40.684473,21.502413,28.714517,1.155099,-54.754629,0.072300
0.050000,26.411983,40.791852,22.937609,28.703909,-0.212160,-27.345185,0.077484
0.050000,27.842052,40.906638,24.372277,28.693370,-0.210764,0.027916,0.082711
0.050000,29.270976,41.028881,25.806421,28.682874,-0.209928,0.016720,0.087979
0.050000,30.698716,41.158633,27.240044,28.672463,-0.208219,0.034179,0.093289
0.050000,32.125228,41.295945,28.673149,28.662107,-0.207126,0.021862,0.098641
0.050000,33.550470,41.440866,30.105741,28.651832,-0.205490,0.032720,0.104033
0.050000,34.974401,41.593445,31.537823,28.641642,-0.203808,0.033636,0.109466
0.050000,36.396976,41.753730,32.969399,28.631528,-0.202271,0.030743,0.114940
0.050000,37.818152,41.921770,34.400475,28.621519,-0.200179,0.041834,0.120454
0.050000,39.237884,42.097611,35.831055,28.611598,-0.198438,0.034820,0.126007
0.050000,40.656127,42.281298,37.261144,28.601780,-0.196351,0.041745,0.131600
0.050000,42.072836,42.472876,38.690748,28.592076,-0.194070,0.045630,0.137232
0.050000,43.487965,42.672390,40.119872,28.582479,-0.191942,0.042547,0.142902
0.050000,44.901467,42.879882,41.548522,28.573006,-0.189460,0.049651,0.148609
0.050000,46.313296,43.095395,42.976705,28.563658,-0.186965,0.049891,0.154355
0.050000,47.723404,43.318970,44.404427,28.554439,-0.184388,0.051545,0.160137
0.050000,49.131744,43.550646,45.831695,28.545359,-0.181596,0.055839,0.165955
0.050000,50.538266,43.790462,47.258516,28.536420,-0.178781,0.056294,0.171809
0.050000,51.942924,44.038457,48.684898,28.527630,-0.175801,0.059604,0.177699
0.050000,53.345667,44.294666,50.110847,28.518993,-0.172738,0.061251,0.183622
0.050000,54.746447,44.559126,51.536373,28.510517,-0.169522,0.064334,0.189580
0.050000,56.145215,44.831870,52.961483,28.502207,-0.166198,0.066472,0.195571
0.050000,57.541919,45.112932,54.386187,28.494064,-0.162851,0.066943,0.201595
0.050000,58.936511,45.402343,55.810492,28.486104,-0.159212,0.072772,0.207650
0.050000,60.328940,45.700135,57.234408,28.478323,-0.155623,0.071781,0.213737
0.050000,61.719155,46.006335,58.657944,28.470728,-0.151899,0.074485,0.219854
0.050000,63.107105,46.320972,60.081111,28.463333,-0.147892,0.080140,0.226000
0.050000,64.492740,46.644072,61.503917,28.456126,-0.144132,0.075204,0.232175
0.050000,65.876009,46.975661,62.926374,28.449132,-0.139887,0.084890,0.238379
0.050000,67.256859,47.315762,64.348491,28.442348,-0.135684,0.084073,0.244609
0.050000,68.635241,47.664397,65.770280,28.435766,-0.131634,0.080991,0.250866
0.050000,70.011102,48.021588,67.191751,28.429421,-0.126904,0.094608,0.257148
0.050000,71.384392,48.387352,68.612915,28.423282,-0.122790,0.082276,0.263455
0.050000,72.755058,48.761709,70.033784,28.417384,-0.117949,0.096826,0.269785
0.050000,74.123050,49.144674,71.454370,28.411715,-0.113372,0.091532,0.276138
0.050000,75.488316,49.536262,72.874684,28.406278,-0.108741,0.092611,0.282512
0.050000,76.850805,49.936486,74.294739,28.401098,-0.103612,0.102584,0.288908
0.050000,78.210465,50.345358,75.714546,28.396138,-0.099189,0.088462,0.295323
0.050000,79.567246,50.762888,77.134119,28.391460,-0.093570,0.112389,0.301757
0.050000,80.921097,51.189084,78.553468,28.386996,-0.089285,0.085686,0.308209
0.050000,82.271967,51.623953,79.972610,28.382830,-0.083311,0.119487,0.314677
0.050000,83.619805,52.067501,81.391554,28.378879,-0.079019,0.085831,0.321162
0.050000,84.964563,52.519730,82.810315,28.375234,-0.072911,0.122172,0.327661
0.050000,86.306189,52.980644,84.228906,28.371815,-0.068376,0.090706,0.334173
0.050000,87.644633,53.450241,85.647341,28.368692,-0.062451,0.118487,0.340698
0.050000,88.979848,53.928521,87.065632,28.365826,-0.057332,0.102385,0.347235
0.050000,90.311783,54.415481,88.483793,28.363225,-0.052021,0.106212,0.353781
0.050000,91.640392,54.911117,89.901840,28.360926,-0.045974,0.120947,0.360338
0.050000,92.965623,55.415421,91.319782,28.358851,-0.041490,0.089672,0.366902
0.050000,94.080371,55.852633,92.517203,23.948416,-88.208709,-1763.344380,0.386979
