dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,29.979163,311.499983,0.003571,0.142857,2.857143,57.142857,0.001667
0.050000,29.980489,311.499985,0.004898,0.026526,-2.326630,-103.675450,0.001561
0.050000,29.983473,311.499989,0.007882,0.059678,0.663040,59.793395,0.001322
0.050000,29.988777,311.499995,0.013185,0.106076,0.927972,5.298636,0.000898
0.050000,29.997062,311.500000,0.021470,0.165700,1.192465,5.289862,0.000235
0.050000,30.105907,311.499962,0.130315,2.176898,40.223961,780.629927,6.282466
0.050000,30.297130,311.499700,0.321539,3.824476,32.951572,-145.447787,6.281168
0.050000,30.546893,311.498985,0.571303,4.995280,23.416085,-190.709735,6.279472
0.050000,30.862994,311.497472,0.887407,6.322074,26.535870,62.395693,6.277327
0.050000,31.253197,311.494670,1.277620,7.804266,29.643841,62.159424,6.274681
0.050000,31.725324,311.489898,1.749772,9.443037,32.775415,62.631471,6.271480
0.050000,32.287137,311.482253,2.311637,11.237296,35.885196,62.195618,6.267674
0.050000,32.946375,311.470555,2.970978,13.186832,38.990707,62.110224,6.263212
0.050000,33.710772,311.453309,3.735570,15.291831,42.099979,62.185441,6.258044
0.050000,34.584138,311.428770,4.609281,17.474217,43.647726,30.954952,6.252148
0.050000,35.562396,311.395169,5.588115,19.576695,42.049558,-31.963377,6.245556
0.050000,36.637567,311.350796,6.664202,21.521729,38.900673,-62.977689,6.238325
0.050000,37.801648,311.293983,7.829668,23.309331,35.752040,-62.972660,6.230517
0.050000,39.046561,311.223153,9.076594,24.938521,32.583806,-63.364676,6.222191
0.050000,40.364217,311.136870,10.397072,26.409550,29.420587,-63.264391,6.213409
0.050000,41.746513,311.033881,11.783199,27.722545,26.259903,-63.213671,6.204233
0.050000,43.185298,310.913157,13.227041,28.876828,23.085648,-63.485101,6.194725
0.050000,44.672423,310.773923,14.720670,29.872584,19.915121,-63.410551,6.184948
0.050000,46.199760,310.615686,16.256181,30.710229,16.752894,-63.244539,6.174964
0.050000,47.759164,310.438257,17.825646,31.389304,13.581505,-63.427781,6.164835
0.050000,49.342544,310.241766,19.421172,31.910514,10.424212,-63.145854,6.154621
0.050000,50.941834,310.026670,21.034862,32.273800,7.265703,-63.170180,6.144382
0.050000,52.549040,309.793759,22.658857,32.479895,4.121917,-62.875711,6.134176
0.050000,54.156238,309.544148,24.285322,32.529305,0.988193,-62.674492,6.124058
0.050000,55.759379,309.278626,25.910303,32.499617,-0.593768,-31.639218,6.114059
0.050000,57.358276,308.997455,27.533735,32.468640,-0.619538,-0.515397,6.104184
0.050000,58.952755,308.700905,29.155557,32.436431,-0.644174,-0.492729,6.094438
0.050000,60.542651,308.389256,30.775709,32.403049,-0.667637,-0.469260,6.084825
0.050000,62.127811,308.062794,32.394137,32.368554,-0.689896,-0.445179,6.075350
0.050000,63.708094,307.721815,34.010788,32.333027,-0.710547,-0.413006,6.066017
0.050000,65.283372,307.366619,35.625615,32.296532,-0.729906,-0.387188,6.056831
0.050000,66.853524,306.997513,37.238567,32.259050,-0.749627,-0.394413,6.047794
0.050000,68.418443,306.614809,38.849603,32.220706,-0.766886,-0.345189,6.038911
0.050000,69.978035,306.218822,40.458681,32.181560,-0.782919,-0.320656,6.030184
