dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,30.020837,286.500017,0.003571,0.142857,2.857143,57.142857,0.001667
0.050000,30.019511,286.500015,0.004898,0.026526,-2.326630,-103.675450,0.001561
0.050000,30.016527,286.500011,0.007882,0.059678,0.663040,59.793395,0.001322
0.050000,30.011223,286.500005,0.013185,0.106076,0.927972,5.298636,0.000898
0.050000,30.002938,286.500000,0.021470,0.165700,1.192465,5.289862,0.000235
0.050000,30.087927,286.499968,0.106459,1.699776,30.681531,589.781311,6.282466
0.050000,30.246691,286.499751,0.265224,3.175294,29.510369,-23.423231,6.281168
0.050000,30.454069,286.499157,0.472603,4.147574,19.445598,-201.295416,6.279472
0.050000,30.716545,286.497901,0.735081,5.249571,22.039936,51.886756,6.277327
0.050000,31.040582,286.495574,1.059127,6.480909,24.626746,51.736204,6.274681
0.050000,31.432698,286.491611,1.451263,7.842727,27.236373,52.192527,6.271480
0.050000,31.899372,286.485260,1.917980,9.334346,29.832382,51.920185,6.267674
0.050000,32.447081,286.475541,2.465775,10.955897,32.431012,51.972611,6.263212
0.050000,33.082317,286.461209,3.101173,12.707956,35.041174,52.203234,6.258044
0.050000,33.808339,286.440810,3.827482,14.526173,36.364357,26.463656,6.252148
0.050000,34.621877,286.412866,4.641499,16.280352,35.083574,-25.615659,6.245556
0.050000,35.516440,286.375948,5.536824,17.906495,32.522849,-51.214500,6.238325
0.050000,36.485539,286.328650,6.507076,19.405034,29.970791,-51.041161,6.230517
0.050000,37.522639,286.269643,7.545853,20.775550,27.410317,-51.209479,6.222191
0.050000,38.621216,286.197705,8.646783,22.018594,24.860879,-50.988759,6.213409
0.050000,39.774745,286.111760,9.803510,23.134539,22.318911,-50.839368,6.204233
0.050000,40.976671,286.010909,11.009659,24.122988,19.768968,-50.998855,6.194725
0.050000,42.220438,285.894458,12.258866,24.984139,17.223025,-50.918864,6.184948
0.050000,43.499504,285.761941,13.544778,25.718244,14.682104,-50.818421,6.174964
0.050000,44.807299,285.613139,14.861012,26.324668,12.128472,-51.072629,6.164835
0.050000,46.137277,285.448092,16.201191,26.803583,9.578298,-51.003476,6.154621
0.050000,47.482878,285.267114,17.558908,27.154351,7.015369,-51.258579,6.144382
0.050000,48.837569,285.070795,18.927750,27.376839,4.449747,-51.312447,6.134176
0.050000,50.194825,284.859999,20.301278,27.470558,1.874385,-51.507243,6.124058
0.050000,51.551353,284.635320,21.676287,27.500173,0.592301,-25.641682,6.114059
0.050000,52.907105,284.396905,23.052842,27.531101,0.618572,0.525415,6.104184
0.050000,54.262033,284.144905,24.431006,27.563281,0.643597,0.500516,6.094438
0.050000,55.616097,283.879481,25.810838,27.596649,0.667359,0.475229,6.084825
0.050000,56.969254,283.600797,27.192396,27.631141,0.689843,0.449679,6.075350
0.050000,58.321470,283.309026,28.575731,27.666710,0.711370,0.430550,6.066017
0.050000,59.672710,283.004344,29.960896,27.703293,0.731660,0.405801,6.056831
0.050000,61.022941,282.686933,31.347934,27.740758,0.749292,0.352629,6.047794
0.050000,62.372136,282.356982,32.736888,27.779092,0.766696,0.348086,6.038911
0.050000,63.720271,282.014682,34.127800,27.818234,0.782842,0.322917,6.030184
0.050000,65.067323,281.660230,35.520706,27.858122,0.797751,0.298178,6.021617
0.050000,66.413277,281.293827,36.915641,27.898694,0.811449,0.273962,6.013212
0.050000,67.758118,280.915677,38.312635,27.939893,0.823966,0.250350,6.004972
0.050000,69.101835,280.525988,39.711718,27.981660,0.835337,0.227421,5.996899
0.050000,70.444422,280.124973,41.112915,28.023940,0.845599,0.205239,5.988995
0.050000,71.785875,279.712845,42.516249,28.066679,0.854793,0.183864,5.981262
0.050000,73.126195,279.289823,43.921741,28.109829,0.862987,0.163892,5.973702
0.050000,74.465386,278.856125,45.329407,28.153333,0.870083,0.141906,5.966316
0.050000,75.803455,278.411974,46.739265,28.197148,0.876301,0.124363,5.959104
0.050000,77.140413,277.957594,48.151326,28.241231,0.881675,0.107489,5.952070
0.050000,78.476275,277.493211,49.565603,28.285542,0.886210,0.090702,5.945212
0.050000,79.811060,277.019051,50.982105,28.330040,0.889955,0.074902,5.938532
0.050000,81.144790,276.535345,52.400840,28.374688,0.892960,0.060091,5.932031
0.050000,82.477490,276.042320,53.821812,28.419451,0.895273,0.046267,5.925709
0.050000,83.809190,275.540208,55.245027,28.464299,0.896944,0.033423,5.919567
0.050000,85.139922,275.029240,56.670487,28.509200,0.898022,0.021546,5.913604
0.050000,86.469723,274.509648,58.098194,28.554127,0.898553,0.010620,5.907820
0.050000,87.798631,273.981664,59.528146,28.599057,0.898584,0.000625,5.902217
0.050000,89.126689,273.445520,60.960344,28.643945,0.897778,-0.016115,5.896793
0.050000,90.453944,272.901449,62.394784,28.688807,0.897227,-0.011018,5.891548
0.050000,91.780445,272.349683,63.831465,28.733611,0.896085,-0.022852,5.886483
0.050000,93.106245,271.790454,65.270382,28.778339,0.894565,-0.030400,5.881596
0.050000,94.431399,271.223994,66.711530,28.822977,0.892758,-0.036140,5.876888
0.050000,95.755966,270.650535,68.154906,28.867512,0.890702,-0.041122,5.872358
0.050000,97.080007,270.070307,69.600503,28.911934,0.888433,-0.045379,5.868006
0.050000,98.403588,269.483542,71.048314,28.956233,0.885985,-0.048945,5.863831
0.050000,99.726775,268.890470,72.498335,29.000403,0.883393,-0.051853,5.859833
0.050000,101.049637,268.291320,73.950555,29.044417,0.880284,-0.062170,5.856011
0.050000,102.372248,267.686322,75.404970,29.088301,0.877671,-0.052256,5.852364
0.050000,103.694684,267.075703,76.861573,29.132053,0.875057,-0.052298,5.848892
0.050000,105.017022,266.459691,78.320356,29.175663,0.872187,-0.057392,5.845595
0.050000,106.339343,265.838513,79.781313,29.219128,0.869311,-0.057515,5.842471
0.050000,107.661729,265.212396,81.244435,29.262451,0.866452,-0.057177,5.839521
0.050000,108.984265,264.581565,82.709717,29.305632,0.863632,-0.056408,5.836744
0.050000,110.307038,263.946244,84.177150,29.348674,0.860833,-0.055982,5.834138
0.050000,111.630137,263.306660,85.646728,29.391557,0.857654,-0.063582,5.831705
0.050000,112.953655,262.663036,87.118445,29.434339,0.855652,-0.040038,5.829442
0.050000,114.277684,262.015594,88.592295,29.476998,0.853181,-0.049419,5.827350
0.050000,115.602320,261.364559,90.068272,29.519540,0.850835,-0.046924,5.825428
0.050000,116.927660,260.710152,91.546371,29.561971,0.848627,-0.044160,5.823676
0.050000,118.253804,260.052596,93.026586,29.604300,0.846569,-0.041151,5.822093
0.050000,119.580851,259.392113,94.508912,29.646527,0.844548,-0.040430,5.820679
0.050000,120.908903,258.728924,95.993345,29.688665,0.842750,-0.035942,5.819434
0.050000,122.238066,258.063252,97.479882,29.730740,0.841498,-0.025045,5.818357
0.050000,123.568444,257.395319,98.968520,29.772747,0.840147,-0.027019,5.817448
0.050000,124.900144,256.725345,100.459255,29.814697,0.838991,-0.023134,5.816707
0.050000,126.233274,256.053553,101.952084,29.856598,0.838034,-0.019134,5.816133
