dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.500000,299.000000,0.003571,0.142857,2.857143,57.142857,0.001564
0.050000,3.500000,299.000000,0.017857,0.428571,5.714286,57.142857,0.001482
0.050000,3.500000,299.000000,0.050000,0.857143,8.571429,57.142857,0.001298
0.050000,3.500000,299.000000,0.107143,1.428571,11.428571,57.142857,0.000972
0.050000,3.500000,299.000000,0.196429,2.142857,14.285714,57.142857,0.000461
0.050000,3.547952,298.999993,0.325000,3.000000,17.142857,57.142857,6.282911
0.050000,3.722952,298.999858,0.500000,4.000000,20.000000,57.142857,6.281911
0.050000,3.951528,298.999417,0.728571,5.142857,22.857143,57.142857,6.280605
0.050000,4.240811,298.998432,1.017857,6.428571,25.714286,57.142857,6.278953
0.050000,4.597937,298.996557,1.375000,7.857143,28.571429,57.142857,6.276916
0.050000,5.030081,298.993315,1.807143,9.428571,31.428571,57.142857,6.274452
0.050000,5.544339,298.988070,2.321429,11.142857,34.285714,57.142857,6.271522
0.050000,6.147856,298.979994,2.925000,13.000000,37.142857,57.142857,6.268088
0.050000,6.847744,298.968035,3.625000,15.000000,40.000000,57.142857,6.264112
0.050000,7.647556,298.950963,4.425000,17.000000,40.000000,-0.000000,6.259576
0.050000,8.543688,298.927528,5.321429,18.857143,37.142857,-57.142857,6.254505
0.050000,9.528907,298.896519,6.307143,20.571429,34.285714,-57.142857,6.248943
0.050000,10.596025,298.856753,7.375000,22.142857,31.428571,-57.142857,6.242935
0.050000,11.737794,298.807105,8.517857,23.571429,28.571429,-57.142857,6.236527
0.050000,12.946999,298.746544,9.728571,24.857143,25.714286,-57.142857,6.229766
0.050000,14.216353,298.674168,11.000000,26.000000,22.857143,-57.142857,6.222697
0.050000,15.538626,298.589218,12.325000,27.000000,20.000000,-57.142857,6.215366
0.050000,16.906536,298.491114,13.696429,27.857143,17.142857,-57.142857,6.207819
0.050000,18.312824,298.379462,15.107143,28.571429,14.285714,-57.142857,6.200102
0.050000,19.750224,298.254080,16.550000,29.142857,11.428571,-57.142857,6.192261
0.050000,21.211467,298.115004,18.017857,29.571429,8.571429,-57.142857,6.184339
0.050000,22.689334,297.962495,19.503571,29.857143,5.714286,-57.142857,6.176380
0.050000,24.176577,297.797050,21.000000,30.000000,2.857143,-57.142857,6.168427
0.050000,25.666021,297.619394,22.500000,30.000000,0.000000,-57.142857,6.160522
0.050000,27.154010,297.430022,24.000000,30.000000,0.000000,0.000000,6.152687
0.050000,28.640485,297.229049,25.500000,30.000000,0.000000,0.000000,6.144924
0.050000,30.125359,297.016598,27.000000,30.000000,0.000000,0.000000,6.137235
0.050000,31.608562,296.792793,28.500000,30.000000,0.000000,0.000000,6.129623
0.050000,33.090034,296.557763,30.000000,30.000000,0.000000,0.000000,6.122091
0.050000,34.569696,296.311642,31.500000,30.000000,0.000000,0.000000,6.114640
0.050000,36.047501,296.054563,33.000000,30.000000,0.000000,0.000000,6.107273
0.050000,37.523381,295.786668,34.500000,30.000000,0.000000,0.000000,6.099991
0.050000,38.997280,295.508098,36.000000,30.000000,0.000000,0.000000,6.092797
0.050000,40.469156,295.218998,37.500000,30.000000,0.000000,0.000000,6.085693
0.050000,41.938951,294.919516,39.000000,30.000000,0.000000,0.000000,6.078681
0.050000,43.406624,294.609802,40.500000,30.000000,0.000000,0.000000,6.071761
0.050000,44.872137,294.290008,42.000000,30.000000,0.000000,0.000000,6.064936
0.050000,46.335445,293.960291,43.500000,30.000000,0.000000,0.000000,6.058207
0.050000,47.796521,293.620805,45.000000,30.000000,0.000000,0.000000,6.051575
0.050000,49.255330,293.271709,46.500000,30.000000,0.000000,0.000000,6.045043
0.050000,50.711844,292.913165,48.000000,30.000000,0.000000,0.000000,6.038610
0.050000,52.166042,292.545332,49.500000,30.000000,0.000000,0.000000,6.032279
0.050000,53.617901,292.168373,51.000000,30.000000,0.000000,0.000000,6.026050
0.050000,55.067403,291.782454,52.500000,30.000000,0.000000,0.000000,6.019925
0.050000,56.514536,291.387738,54.000000,30.000000,0.000000,0.000000,6.013903
0.050000,57.959287,290.984391,55.500000,30.000000,0.000000,0.000000,6.007987
0.050000,59.401647,290.572580,57.000000,30.000000,0.000000,0.000000,6.002177
0.050000,60.841613,290.152472,58.500000,30.000000,0.000000,0.000000,5.996473
0.050000,62.279183,289.724234,60.000000,30.000000,0.000000,0.000000,5.990876
0.050000,63.714356,289.288034,61.500000,30.000000,0.000000,0.000000,5.985386
0.050000,65.147138,288.844041,63.000000,30.000000,0.000000,0.000000,5.980005
0.050000,66.577534,288.392421,64.500000,30.000000,0.000000,0.000000,5.974733
0.050000,68.005555,287.933344,66.000000,30.000000,0.000000,0.000000,5.969570
0.050000,69.431211,287.466977,67.500000,30.000000,0.000000,0.000000,5.964515
0.050000,70.854519,286.993489,69.000000,30.000000,0.000000,0.000000,5.959571
0.050000,72.275494,286.513046,70.500000,30.000000,0.000000,0.000000,5.954736
0.050000,73.694156,286.025818,72.000000,30.000000,0.000000,0.000000,5.950011
0.050000,75.110528,285.531969,73.500000,30.000000,0.000000,0.000000,5.945396
0.050000,76.524634,285.031667,75.000000,30.000000,0.000000,0.000000,5.940891
0.050000,77.936498,284.525078,76.500000,30.000000,0.000000,0.000000,5.936497
0.050000,79.346153,284.012367,78.000000,30.000000,0.000000,0.000000,5.932213
0.050000,80.753626,283.493699,79.500000,30.000000,0.000000,0.000000,5.928039
0.050000,82.158950,282.969238,81.000000,30.000000,0.000000,0.000000,5.923975
0.050000,83.562162,282.439147,82.500000,30.000000,0.000000,0.000000,5.920021
0.050000,84.963295,281.903590,84.000000,30.000000,0.000000,0.000000,5.916177
0.050000,86.362389,281.362728,85.500000,30.000000,0.000000,0.000000,5.912443
0.050000,87.759485,280.816721,87.000000,30.000000,0.000000,0.000000,5.908819
0.050000,89.154621,280.265732,88.500000,30.000000,0.000000,0.000000,5.905304
0.050000,90.547844,279.709918,90.000000,30.000000,0.000000,0.000000,5.901898
0.050000,91.939197,279.149439,91.500000,30.000000,0.000000,0.000000,5.898602
0.050000,93.328724,278.584453,93.000000,30.000000,0.000000,0.000000,5.895415
0.050000,94.716476,278.015115,94.500000,30.000000,0.000000,0.000000,5.892336
0.050000,96.102498,277.441583,96.000000,30.000000,0.000000,0.000000,5.889366
0.050000,97.486843,276.864013,97.500000,30.000000,0.000000,0.000000,5.886504
0.050000,98.869562,276.282557,99.000000,30.000000,0.000000,0.000000,5.883750
