dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,30.000000,297.670289,0.003571,0.142857,2.857143,57.142857,6.282860
0.050000,30.000000,297.670289,0.017857,0.428571,5.714286,57.142857,6.282897
0.050000,30.000000,297.670289,0.050000,0.857143,8.571429,57.142857,6.282981
0.050000,30.000000,297.670289,0.107143,1.428571,11.428571,57.142857,6.283130
0.050000,30.068146,297.670295,0.196429,2.142857,14.285714,57.142857,0.000177
0.050000,30.196717,297.670339,0.325000,3.000000,17.142857,57.142857,0.000512
0.050000,30.371717,297.670468,0.500000,4.000000,20.000000,57.142857,0.000965
0.050000,30.600288,297.670757,0.728571,5.142857,22.857143,57.142857,0.001556
0.050000,30.889573,297.671315,1.017857,6.428571,25.714286,57.142857,0.002300
0.050000,31.246715,297.672299,1.375000,7.857143,28.571429,57.142857,0.003214
0.050000,31.678855,297.673926,1.807143,9.428571,31.428571,57.142857,0.004312
0.050000,32.193134,297.676477,2.321429,11.142857,34.285714,57.142857,0.005607
0.050000,32.796693,297.680316,2.925000,13.000000,37.142857,57.142857,0.007112
0.050000,33.496671,297.685900,3.625000,15.000000,40.000000,57.142857,0.008838
0.050000,34.296632,297.693750,4.425000,17.000000,40.000000,-0.000000,0.010782
0.050000,35.192998,297.704379,5.321429,18.857143,37.142857,-57.142857,0.012927
0.050000,36.178614,297.718267,6.307143,20.571429,34.285714,-57.142857,0.015244
0.050000,37.246326,297.735863,7.375000,22.142857,31.428571,-57.142857,0.017705
0.050000,38.388976,297.757573,8.517857,23.571429,28.571429,-57.142857,0.020281
0.050000,39.599407,297.783745,9.728571,24.857143,25.714286,-57.142857,0.022945
0.050000,40.870460,297.814656,11.000000,26.000000,22.857143,-57.142857,0.025672
0.050000,42.194974,297.850506,12.325000,27.000000,20.000000,-57.142857,0.028435
0.050000,43.565792,297.891411,13.696429,27.857143,17.142857,-57.142857,0.031211
0.050000,44.975756,297.937394,15.107143,28.571429,14.285714,-57.142857,0.033978
0.050000,46.417711,297.988394,16.550000,29.142857,11.428571,-57.142857,0.036713
0.050000,47.884505,298.044253,18.017857,29.571429,8.571429,-57.142857,0.039399
0.050000,49.368987,298.104729,19.503571,29.857143,5.714286,-57.142857,0.042017
