dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,30.001267,311.350396,0.003571,0.142857,2.857143,57.142857,6.283084
0.050000,30.000898,311.350396,0.003941,0.007387,-2.709411,-111.331079,6.283113
0.050000,30.000068,311.350396,0.004771,0.016598,0.184226,57.872739,6.283180
0.050000,30.053113,311.350399,0.057816,1.060898,20.886006,414.035607,0.000112
0.050000,30.140109,311.350417,0.144811,1.739918,13.580406,-146.112006,0.000295
0.050000,30.265403,311.350471,0.270106,2.505894,15.319519,34.782270,0.000558
0.050000,30.435982,311.350596,0.440685,3.411582,18.113749,55.884588,0.000911
0.050000,30.658847,311.350850,0.663550,4.457300,20.914363,56.012292,0.001368
0.050000,30.941020,311.351316,0.945724,5.643473,23.723463,56.181996,0.001937
0.050000,31.289552,311.352112,1.294256,6.970646,26.543452,56.399783,0.002626
0.050000,31.711525,311.353392,1.716231,8.439497,29.377030,56.671557,0.003439
0.050000,32.214064,311.355358,2.218774,10.050858,32.227204,57.003473,0.004378
0.050000,32.804343,311.358258,2.809060,11.805721,35.097270,57.401321,0.005441
0.050000,33.489593,311.362394,3.494323,13.705263,37.990838,57.871359,0.006620
0.050000,34.273613,311.368090,4.278364,15.680807,39.510882,30.400876,0.007897
0.050000,35.153244,311.375634,5.158027,17.593271,38.249274,-25.232154,0.009238
0.050000,36.121840,311.385253,6.126671,19.372874,35.592068,-53.144110,0.010604
0.050000,37.172750,311.397119,7.177647,21.019530,32.933116,-53.179040,0.011954
0.050000,38.299309,311.411332,8.304296,22.532970,30.268806,-53.286204,0.013251
0.050000,39.494832,311.427913,9.499934,23.912762,27.595834,-53.459452,0.014457
0.050000,40.752606,311.446798,10.757850,25.158322,24.911199,-53.692696,0.015538
0.050000,42.065884,311.467836,12.071297,26.268932,22.212207,-53.979846,0.016462
0.050000,43.427879,311.490788,13.433484,27.243756,19.496480,-54.314538,0.017202
0.050000,44.831757,311.515339,14.837577,28.081853,16.761931,-54.690976,0.017731
0.050000,46.270636,311.541100,16.276687,28.782192,14.006784,-55.102934,0.018031
0.050000,47.737579,311.567624,17.743870,29.343670,11.229566,-55.544371,0.018085
0.050000,49.225594,311.594419,19.232126,29.765125,8.429088,-56.009560,0.017882
0.050000,50.727627,311.620962,20.734394,30.045348,5.604462,-56.492514,0.017415
0.050000,52.236562,311.646723,22.243549,30.183102,2.755094,-56.987368,0.016682
0.050000,53.748826,311.671232,23.756011,30.249236,1.322672,-28.648424,0.015685
0.050000,55.264422,311.694083,25.271780,30.315380,1.322872,0.003983,0.014424
0.050000,56.783357,311.714867,26.790856,30.381534,1.323080,0.004170,0.012898
0.050000,58.305632,311.733172,28.313241,30.447699,1.323304,0.004478,0.011107
0.050000,59.831248,311.748582,29.838935,30.513873,1.323488,0.003675,0.009051
0.050000,61.360202,311.760680,31.367938,30.580055,1.323632,0.002886,0.006731
0.050000,62.892492,311.769047,32.900250,30.646238,1.323673,0.000814,0.004146
0.050000,64.428107,311.773258,34.435871,30.712418,1.323597,-0.001522,0.001296
0.050000,65.967036,311.772890,35.974800,30.778585,1.323341,-0.005113,6.281367
0.050000,67.509263,311.767513,37.517036,30.844729,1.322868,-0.009468,6.277988
0.050000,69.054767,311.756699,39.062578,30.910835,1.322127,-0.014806,6.274345
0.050000,70.603521,311.740013,40.611422,30.976887,1.321044,-0.021659,6.270437
0.050000,72.155494,311.717023,42.163566,31.042867,1.319597,-0.028945,6.266266
0.050000,73.710648,311.687291,43.719003,31.108750,1.317658,-0.038788,6.261830
0.050000,75.268936,311.650379,45.277729,31.174513,1.315249,-0.048165,6.257132
0.050000,76.830307,311.605849,46.839735,31.240121,1.312173,-0.061525,6.252172
0.050000,78.394701,311.553259,48.405012,31.305547,1.308521,-0.073053,6.246949
0.050000,79.962048,311.492170,49.973550,31.370747,1.304001,-0.090399,6.241466
0.050000,81.532272,311.422138,51.545334,31.435687,1.298788,-0.104254,6.235723
0.050000,83.105284,311.342725,53.120350,31.500312,1.292506,-0.125637,6.229722
0.050000,84.506440,311.266778,54.523562,28.064249,-68.721262,-1400.275363,6.229006
0.050000,86.005321,311.185448,56.024648,30.021726,39.149534,2157.415933,6.228920
0.050000,87.506430,311.103731,57.527980,30.066633,0.898149,-765.027717,6.228653
0.050000,89.009753,311.021356,59.033558,30.111557,0.898489,0.006805,6.228207
0.050000,90.515276,310.938051,60.541383,30.156513,0.899109,0.012406,6.227581
0.050000,92.022984,310.853542,62.051459,30.201508,0.899907,0.015953,6.226775
0.050000,93.532866,310.767554,63.563787,30.246555,0.900929,0.020438,6.225789
0.050000,95.044905,310.679810,65.078370,30.291664,0.902181,0.025048,6.224622
0.050000,96.559088,310.590032,66.595212,30.336846,0.903648,0.029331,6.223274
0.050000,98.075400,310.497939,68.114318,30.382116,0.905404,0.035136,6.221746
0.050000,99.593824,310.403251,69.635692,30.427480,0.907265,0.037216,6.220036
0.050000,101.114344,310.305682,71.159339,30.472943,0.909273,0.040158,6.218144
0.050000,102.636942,310.204948,72.685265,30.518518,0.911501,0.044558,6.216070
0.050000,104.161597,310.100761,74.213476,30.564213,0.913889,0.047756,6.213813
0.050000,105.688289,309.992832,75.743978,30.610043,0.916598,0.054182,6.211373
0.050000,107.216994,309.880870,77.276778,30.656000,0.919147,0.050978,6.208749
0.050000,108.747688,309.764582,78.811882,30.702094,0.921878,0.054628,6.205941
0.050000,110.280342,309.643672,80.349299,30.748331,0.924737,0.057179,6.202947
0.050000,111.814928,309.517843,81.889035,30.794720,0.927786,0.060969,6.199768
0.050000,113.351413,309.386796,83.431098,30.841261,0.930811,0.060508,6.196403
0.050000,114.889760,309.250229,84.975495,30.887943,0.933649,0.056754,6.192851
0.050000,116.429931,309.107840,86.522234,30.934775,0.936631,0.059653,6.189112
0.050000,117.971883,308.959322,88.071322,30.981761,0.939724,0.061849,6.185185
0.050000,119.515570,308.804370,89.622767,31.028893,0.942651,0.058548,6.181069
0.050000,121.060942,308.642675,91.176574,31.076156,0.945248,0.051935,6.176765
0.050000,122.607943,308.473925,92.732752,31.123550,0.947891,0.052867,6.172270
0.050000,124.156514,308.297808,94.291306,31.171082,0.950637,0.054923,6.167586
0.050000,125.706592,308.114012,95.852242,31.218717,0.952703,0.041312,6.162711
0.050000,127.258105,307.922220,97.415564,31.266449,0.954631,0.038567,6.157645
0.050000,128.810979,307.722117,98.981278,31.314272,0.956473,0.036828,6.152388
0.050000,130.365133,307.513385,100.549386,31.362169,0.957929,0.029134,6.146939
0.050000,131.920480,307.295708,102.119891,31.410103,0.958692,0.015252,6.141298
0.050000,133.476925,307.068765,103.692795,31.458068,0.959293,0.012019,6.135466
0.050000,135.034369,306.832239,105.268097,31.506046,0.959554,0.005231,6.129442
0.050000,136.592705,306.585812,106.845797,31.553986,0.958810,-0.014883,6.123225
0.050000,138.151816,306.329164,108.425890,31.601875,0.957771,-0.020790,6.116818
0.050000,139.711581,306.061978,110.008375,31.649686,0.956227,-0.030879,6.110219
0.050000,141.271870,305.783939,111.593243,31.697366,0.953587,-0.052806,6.103429
0.050000,142.832544,305.494731,113.180487,31.744887,0.950438,-0.062975,6.096449
0.050000,144.393457,305.194041,114.770098,31.792212,0.946499,-0.078781,6.089280
0.050000,145.954452,304.881560,116.362062,31.839288,0.941522,-0.099540,6.081923
0.050000,147.515366,304.556981,117.956366,31.886076,0.935743,-0.115574,6.074378
0.050000,149.076026,304.219999,119.552992,31.932519,0.928867,-0.137516,6.066648
0.050000,150.636248,303.870315,121.151921,31.978573,0.921079,-0.155774,6.058733
0.050000,152.195842,303.507636,122.753130,32.024180,0.912147,-0.178621,6.050636
0.050000,153.754606,303.131670,124.356593,32.069272,0.901832,-0.206307,6.042358
0.050000,155.312331,302.742136,125.962284,32.113810,0.890769,-0.221258,6.033903
0.050000,156.868796,302.338757,127.570170,32.157723,0.878258,-0.250222,6.025272
0.050000,158.423771,301.921264,129.180216,32.200922,0.863970,-0.285763,6.016467
0.050000,159.977019,301.489396,130.792385,32.243385,0.849272,-0.293970,6.007493
0.050000,161.528293,301.042902,132.406637,32.285026,0.832818,-0.329080,5.998353
0.050000,163.077334,300.581539,134.022924,32.325746,0.814395,-0.368454,5.989049
0.050000,164.623879,300.105077,135.641200,32.365515,0.795384,-0.380210,5.979587
0.050000,166.167653,299.613293,137.261413,32.404260,0.774892,-0.409845,5.969969
0.050000,167.708375,299.105980,138.883508,32.441899,0.752778,-0.442285,5.960201
0.050000,169.245755,298.582943,140.507424,32.478319,0.728415,-0.487258,5.950287
0.050000,170.779496,298.043998,142.133100,32.513521,0.704030,-0.487708,5.940233
0.050000,172.309295,297.488978,143.760470,32.547410,0.677783,-0.524932,5.930042
0.050000,173.834844,296.917728,145.389466,32.579911,0.650028,-0.555103,5.919722
0.050000,175.355828,296.330110,147.020014,32.610958,0.620927,-0.582016,5.909278
0.050000,176.871927,295.726002,148.652038,32.640484,0.590528,-0.607983,5.898715
0.050000,178.382817,295.105298,150.285458,32.668409,0.558495,-0.640652,5.888041
