dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,29.996005,286.350397,0.003571,0.142857,2.857143,57.142857,6.282866
0.050000,29.996428,286.350397,0.003995,0.008471,-2.687731,-110.897471,6.282900
0.050000,29.997380,286.350397,0.004947,0.019044,0.211472,57.984048,6.282976
0.050000,29.999071,286.350396,0.006637,0.033806,0.295240,1.675357,6.283111
0.050000,30.059527,286.350400,0.067094,1.209131,23.506493,464.225063,0.000136
0.050000,30.191879,286.350438,0.199446,2.647031,28.757999,105.030124,0.000439
0.050000,30.371998,286.350554,0.379564,3.602376,19.106907,-193.021832,0.000848
0.050000,30.607209,286.350816,0.614776,4.704235,22.037174,58.605341,0.001380
0.050000,30.904824,286.351326,0.912392,5.952313,24.961557,58.487662,0.002046
0.050000,31.272136,286.352228,1.279705,7.346261,27.878967,58.348191,0.002860
0.050000,31.716414,286.353714,1.723985,8.885602,30.786825,58.157161,0.003831
0.050000,32.244898,286.356040,2.252474,10.569790,33.683760,57.938706,0.004967
0.050000,32.864798,286.359525,2.872384,12.398182,36.567841,57.681610,0.006274
0.050000,33.583278,286.364567,3.590882,14.369963,39.435612,57.355414,0.007754
0.050000,34.403798,286.371607,4.411432,16.411011,40.820966,27.707089,0.009398
0.050000,35.322458,286.381064,5.330141,18.374173,39.263242,-31.154481,0.011180
0.050000,36.331688,286.393307,6.339445,20.186072,36.237969,-60.505463,0.013067
0.050000,37.423918,286.408658,7.431783,21.846765,33.213866,-60.482048,0.015026
0.050000,38.591590,286.427380,8.599605,23.356435,30.193405,-60.409225,0.017023
0.050000,39.827159,286.449666,9.835375,24.715413,27.179545,-60.277206,0.019028
0.050000,41.123103,286.475626,11.131579,25.924068,24.173105,-60.128804,0.021010
0.050000,42.471923,286.505286,12.480724,26.982918,21.177006,-59.921968,0.022941
0.050000,43.866151,286.538588,13.875350,27.892509,18.191825,-59.703629,0.024797
0.050000,45.298352,286.575387,15.308024,28.653489,15.219601,-59.444484,0.026554
0.050000,46.761130,286.615456,16.771351,29.266531,12.260825,-59.175523,0.028191
0.050000,48.247126,286.658496,18.257970,29.732377,9.316928,-58.877931,0.029692
0.050000,49.749022,286.704140,19.760559,30.051789,6.388233,-58.573900,0.031042
0.050000,51.259543,286.751965,21.271838,30.225565,3.475527,-58.254120,0.032230
0.050000,52.771457,286.801503,22.784563,30.254507,0.578845,-57.933642,0.033248
0.050000,54.281166,286.852377,24.295128,30.211307,-0.864014,-28.857181,0.034094
0.050000,55.788679,286.904323,25.803536,30.168155,-0.863036,0.019562,0.034766
0.050000,57.294006,286.957077,27.309788,30.125037,-0.862349,0.013748,0.035266
0.050000,58.797159,287.010378,28.813885,30.081945,-0.861845,0.010065,0.035594
0.050000,60.298146,287.063965,30.315829,30.038869,-0.861523,0.006449,0.035750
0.050000,61.796978,287.117580,31.815619,29.995802,-0.861349,0.003479,0.035733
0.050000,63.293663,287.170963,33.313255,29.952733,-0.861361,-0.000238,0.035544
0.050000,64.788210,287.223859,34.808738,29.909655,-0.861576,-0.004306,0.035182
0.050000,66.280626,287.276010,36.302066,29.866556,-0.861970,-0.007882,0.034649
0.050000,67.770921,287.327162,37.793237,29.823433,-0.862465,-0.009887,0.033942
0.050000,69.259098,287.377060,39.282251,29.780272,-0.863216,-0.015022,0.033063
0.050000,70.745163,287.425452,40.769104,29.737065,-0.864152,-0.018717,0.032012
0.050000,72.229121,287.472084,42.253794,29.693803,-0.865226,-0.021485,0.030787
0.050000,73.710973,287.516705,43.736318,29.650481,-0.866448,-0.024446,0.029389
0.050000,75.190722,287.559063,45.216673,29.607099,-0.867635,-0.023732,0.027817
0.050000,76.668367,287.598909,46.694855,29.563634,-0.869309,-0.033474,0.026072
0.050000,78.143905,287.635992,48.170859,29.520086,-0.870950,-0.032827,0.024152
0.050000,79.617334,287.670064,49.644682,29.476451,-0.872705,-0.035108,0.022058
0.050000,81.088647,287.700875,51.116318,29.432725,-0.874523,-0.036361,0.019789
0.050000,82.557839,287.728178,52.585764,29.388911,-0.876280,-0.035132,0.017345
0.050000,84.024900,287.751726,54.053013,29.344986,-0.878498,-0.044368,0.014725
0.050000,85.489817,287.771271,55.518061,29.300957,-0.880568,-0.041390,0.011928
0.050000,86.952578,287.786568,56.980902,29.256824,-0.882671,-0.042069,0.008956
0.050000,88.413168,287.797371,58.441531,29.212584,-0.884788,-0.042342,0.005806
0.050000,89.871568,287.803435,59.899944,29.168252,-0.886645,-0.037127,0.002479
0.050000,91.327757,287.804516,61.356134,29.123804,-0.888955,-0.046209,6.282160
0.050000,92.781714,287.800369,62.810097,29.079254,-0.891002,-0.040940,6.278477
0.050000,94.233413,287.790753,64.261827,29.034607,-0.892946,-0.038884,6.274615
0.050000,95.682825,287.775426,65.711321,28.989868,-0.894780,-0.036673,6.270575
0.050000,97.129921,287.754145,67.158573,28.945046,-0.896432,-0.033033,6.266355
0.050000,98.574668,287.726671,68.603581,28.900156,-0.897808,-0.027528,6.261956
