dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,77.043659,174.215457,0.003571,0.142857,2.857143,57.142857,0.002323
0.050000,77.046275,174.215463,0.006187,0.052309,-1.810969,-93.362236,0.002114
0.050000,77.052161,174.215474,0.012073,0.117720,1.308224,62.383865,0.001643
0.050000,77.062629,174.215487,0.022541,0.209366,1.832928,10.494084,0.000805
0.050000,77.113388,174.215481,0.073300,1.015173,16.116139,285.664202,6.282681
0.050000,77.265550,174.215261,0.225463,3.043255,40.561634,488.909916,6.280792
0.050000,77.472800,174.214497,0.432714,4.145021,22.035321,-370.526259,6.278212
0.050000,77.743663,174.212693,0.703583,5.417390,25.447376,68.241094,6.274830
0.050000,78.086688,174.209089,1.046627,6.860878,28.869765,68.447782,6.270529
0.050000,78.510568,174.202593,1.470557,8.478594,32.354314,69.690968,6.265187
0.050000,79.023985,174.191681,1.984090,10.270659,35.841312,69.739962,6.258675
0.050000,79.635751,174.174293,2.596102,12.240250,39.391808,71.009921,6.250857
0.050000,80.354662,174.147713,3.315504,14.388042,42.955850,71.280835,6.241590
0.050000,81.189621,174.108423,4.151387,16.717660,46.592351,72.730018,6.230719
0.050000,82.145244,174.052219,5.108662,19.145489,48.556587,39.284721,6.218135
0.050000,83.217588,173.974677,6.183806,21.502881,47.147840,-28.174938,6.203838
0.050000,84.398168,173.871342,7.368899,23.701869,43.979748,-63.361836,6.187886
0.050000,85.678357,173.737651,8.656051,25.743035,40.823330,-63.128360,6.170341
0.050000,87.049161,173.569082,10.037180,27.622576,37.590823,-64.650128,6.151278
0.050000,88.501219,173.361294,11.504030,29.337006,34.288595,-66.044562,6.130784
0.050000,90.024870,173.110258,13.048223,30.883862,30.937124,-67.029422,6.108961
0.050000,91.609996,172.812435,14.661085,32.257236,27.467468,-69.393133,6.085929
0.050000,93.246153,172.464913,16.333742,33.453137,23.918036,-70.988626,6.061827
0.050000,94.922621,172.065558,18.057119,34.467538,20.288009,-72.600536,6.036810
0.050000,96.628399,171.613166,19.821867,35.294961,16.548463,-74.790921,6.011055
0.050000,98.352370,171.107566,21.618449,35.931652,12.733815,-76.292974,5.984753
0.050000,100.083406,170.549714,23.437154,36.374087,8.848708,-77.702126,5.958109
0.050000,101.810555,169.941730,25.268188,36.620691,4.932076,-78.332641,5.931336
0.050000,103.523162,169.286900,27.101716,36.670562,0.997427,-78.692983,5.904649
0.050000,105.215023,168.587930,28.932277,36.611211,-1.187022,-43.688984,5.878200
0.050000,106.884238,167.846357,30.758806,36.530581,-1.612605,-8.511658,5.852073
0.050000,108.529103,167.063927,32.580283,36.429545,-2.020710,-8.162104,5.826351
0.050000,110.148133,166.242553,34.395748,36.309298,-2.404956,-7.684928,5.801110
0.050000,111.740077,165.384287,36.204313,36.171292,-2.760120,-7.103274,5.776421
0.050000,113.303929,164.491281,38.005172,36.017180,-3.082235,-6.442286,5.752349
0.050000,114.838933,163.565753,39.797611,35.848791,-3.367778,-5.710864,5.728950
0.050000,116.344571,162.609954,41.581006,35.667892,-3.617972,-5.003883,5.706275
0.050000,117.820558,161.626140,43.354823,35.476346,-3.830937,-4.259311,5.684367
0.050000,119.266832,160.616540,45.118626,35.276061,-4.005686,-3.494966,5.663260
0.050000,120.683530,159.583335,46.872065,35.068769,-4.145850,-2.803286,5.642983
0.050000,122.070974,158.528643,48.614872,34.856140,-4.252584,-2.134685,5.623556
0.050000,123.429647,157.454499,50.346858,34.639729,-4.328206,-1.512439,5.604995
0.050000,124.760171,156.362848,52.067903,34.420901,-4.376573,-0.967336,5.587310
0.050000,126.063284,155.255541,53.777942,34.200776,-4.402484,-0.518220,5.570505
0.050000,127.339830,154.134326,55.476969,33.980547,-4.404589,-0.042109,5.554581
0.050000,128.590730,153.000847,57.165023,33.761065,-4.389636,0.299063,5.539535
0.050000,129.816967,151.856652,58.842175,33.543046,-4.360380,0.585121,5.525362
0.050000,131.019574,150.703191,60.508529,33.327078,-4.319360,0.820402,5.512053
0.050000,132.199615,149.541821,62.164210,33.113617,-4.269223,1.002737,5.499598
0.050000,133.358179,148.373813,63.809358,32.902961,-4.213113,1.122197,5.487985
0.050000,134.496367,147.200355,65.444128,32.695414,-4.150945,1.243364,5.477203
0.050000,135.615285,146.022561,67.068683,32.491083,-4.086613,1.286642,5.467238
0.050000,136.716036,144.841477,68.683183,32.290003,-4.021601,1.300237,5.458077
0.050000,137.799712,143.658087,70.287790,32.092149,-3.957077,1.290484,5.449708
0.050000,138.867393,142.473321,71.882662,31.897436,-3.894278,1.255978,5.442118
0.050000,139.920145,141.288058,73.467948,31.705723,-3.834256,1.200453,5.435295
0.050000,140.959009,140.103137,75.043790,31.516828,-3.777893,1.127252,5.429228
0.050000,141.985008,138.919359,76.610316,31.330532,-3.725926,1.039336,5.423906
0.050000,142.999140,137.737494,78.167644,31.146560,-3.679443,0.929670,5.419319
0.050000,144.002381,136.558283,79.715879,30.964689,-3.637404,0.840773,5.415460
0.050000,144.995679,135.382448,81.255109,30.784602,-3.601751,0.713058,5.412322
0.050000,145.979959,134.210693,82.785408,30.605986,-3.572323,0.588561,5.409898
0.050000,146.956119,133.043711,84.306834,30.428519,-3.549337,0.459719,5.408184
0.050000,147.925033,131.882183,85.819427,30.251871,-3.532965,0.327444,5.407177
0.050000,148.887547,130.726789,87.323213,30.075705,-3.523321,0.192882,5.406874
0.050000,149.844484,129.578203,88.818197,29.899681,-3.520467,0.057073,5.407275
0.050000,150.796642,128.437104,90.304370,29.723465,-3.524334,-0.077340,5.408381
0.050000,151.744791,127.304172,91.781706,29.546723,-3.534825,-0.209818,5.410194
0.050000,152.689680,126.180096,93.250161,29.369105,-3.552359,-0.350674,5.412718
0.050000,153.632029,125.065574,94.709676,29.190287,-3.576375,-0.480327,5.415957
0.050000,154.572537,123.961315,96.160173,29.009948,-3.606775,-0.608001,5.419917
0.050000,155.511874,122.868041,97.601562,28.827782,-3.643310,-0.730699,5.424606
0.050000,156.450687,121.786489,99.033737,28.643499,-3.685660,-0.846995,5.430032
0.050000,157.389596,120.717411,100.456579,28.456828,-3.733421,-0.955232,5.436204
0.050000,158.329194,119.661576,101.869955,28.267524,-3.786095,-1.053478,5.443134
0.050000,159.270048,118.619770,103.273723,28.075370,-3.843069,-1.139477,5.450832
0.050000,160.212698,117.592797,104.667733,27.880190,-3.903600,-1.210610,5.459311
0.050000,161.157653,116.581475,106.051825,27.681850,-3.966793,-1.263857,5.468583
0.050000,162.105395,115.586639,107.425839,27.480271,-4.031581,-1.295772,5.478662
