dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.740374,148.028410,0.003571,0.142857,2.857143,57.142857,0.001822
0.050000,17.738732,148.028407,0.005213,0.032841,-2.200316,-101.149176,0.001691
0.050000,17.735037,148.028401,0.008908,0.073892,0.821009,60.426500,0.001395
0.050000,17.728469,148.028394,0.015476,0.131359,1.149343,6.566673,0.000870
0.050000,17.718208,148.028389,0.025738,0.205237,1.477564,6.564432,0.000049
0.050000,17.826697,148.028327,0.134227,2.169783,39.290913,756.266982,6.282052
0.050000,17.981571,148.028027,0.289101,3.097487,18.554083,-414.736600,6.280442
0.050000,18.183835,148.027259,0.491367,4.045318,18.956616,8.050645,6.278337
0.050000,18.439784,148.025677,0.747321,5.119073,21.475109,50.369862,6.275672
0.050000,18.755746,148.022783,1.063297,6.319514,24.008815,50.674119,6.272378
0.050000,19.137973,148.017890,1.445554,7.645152,26.512769,50.079090,6.268388
0.050000,19.592775,148.010078,1.900423,9.097382,29.044586,50.636334,6.263633
0.050000,20.126365,147.998153,2.434147,10.674467,31.541699,49.942253,6.258046
0.050000,20.744979,147.980590,3.053010,12.377263,34.055929,50.284606,6.251556
0.050000,21.451687,147.955602,3.760159,14.142992,35.314575,25.172922,6.244128
0.050000,22.243195,147.921369,4.552408,15.844963,34.039417,-25.503158,6.235793
0.050000,23.113028,147.876115,5.423417,17.420198,31.504707,-50.694198,6.226617
0.050000,24.054714,147.818088,6.366889,18.869437,28.984779,-50.398564,6.216667
0.050000,25.061797,147.745609,7.376577,20.193760,26.486466,-49.966268,6.206014
0.050000,26.127775,147.657129,8.446220,21.392860,23.982001,-50.089285,6.194729
0.050000,27.246173,147.551261,9.569619,22.467968,21.502148,-49.597058,6.182886
0.050000,28.410493,147.426834,10.740568,23.418995,19.020539,-49.632193,6.170563
0.050000,29.614267,147.282919,11.952914,24.246914,16.558388,-49.243013,6.157837
0.050000,30.851027,147.118866,13.200507,24.951854,14.098806,-49.191639,6.144789
0.050000,32.114351,146.934329,14.477238,25.534621,11.655329,-48.869536,6.131499
0.050000,33.397796,146.729289,15.776958,25.994401,9.195603,-49.194536,6.118049
0.050000,34.694987,146.504067,17.093556,26.331962,6.751215,-48.887754,6.104521
0.050000,35.999573,146.259337,18.420899,26.546850,4.297759,-49.069122,6.090995
0.050000,37.305231,145.996128,19.752822,26.638468,1.832363,-49.307919,6.077549
0.050000,38.608787,145.715138,21.086319,26.669948,0.629604,-24.055169,6.064230
0.050000,39.910190,145.416513,22.421545,26.704506,0.691153,1.230982,6.051049
0.050000,41.209390,145.100413,23.758646,26.742032,0.750526,1.187449,6.038018
0.050000,42.506343,144.767010,25.097767,26.782408,0.807529,1.140058,6.025148
0.050000,43.801008,144.416492,26.439042,26.825508,0.861991,1.089246,6.012451
0.050000,45.093348,144.049055,27.782602,26.871196,0.913765,1.035488,5.999937
0.050000,46.383332,143.664911,29.128568,26.919333,0.962730,0.979290,5.987615
0.050000,47.670934,143.264281,30.477057,26.969773,1.008796,0.921322,5.975495
0.050000,48.956132,142.847397,31.828178,27.022409,1.052726,0.878600,5.963585
0.050000,50.238907,142.414502,33.182027,27.076998,1.091781,0.781096,5.951894
0.050000,51.519246,141.965850,34.538699,27.133437,1.128781,0.740010,5.940428
0.050000,52.797144,141.501703,35.898278,27.191575,1.162760,0.679578,5.929195
0.050000,54.072597,141.022332,37.260841,27.251262,1.193745,0.619701,5.918200
0.050000,55.345611,140.528017,38.626459,27.312352,1.221785,0.560803,5.907450
0.050000,56.616194,140.019044,39.995194,27.374699,1.246949,0.503268,5.896950
0.050000,57.884363,139.495707,41.367102,27.438165,1.269321,0.447438,5.886703
0.050000,59.150137,138.958306,42.742233,27.502617,1.289046,0.394513,5.876714
0.050000,60.413545,138.407146,44.120629,27.567919,1.306038,0.339827,5.866986
0.050000,61.674619,137.842540,45.502326,27.633947,1.320560,0.290445,5.857522
0.050000,62.933398,137.264802,46.887356,27.700593,1.332910,0.246994,5.848325
0.050000,64.189929,136.674251,48.275743,27.767747,1.343077,0.203347,5.839396
0.050000,65.444262,136.071210,49.667508,27.835307,1.351205,0.162551,5.830738
0.050000,66.696456,135.456005,51.062667,27.903179,1.357438,0.124664,5.822351
0.050000,67.946575,134.828962,52.461231,27.971275,1.361923,0.089710,5.814236
0.050000,69.194689,134.190412,53.863206,28.039499,1.364476,0.051045,5.806395
0.050000,70.440874,133.540685,55.268596,28.107801,1.366038,0.031254,5.798826
0.050000,71.685213,132.880114,56.677402,28.176116,1.366300,0.005233,5.791531
0.050000,72.927794,132.209030,58.089621,28.244379,1.365259,-0.020811,5.784509
0.050000,74.168712,131.527765,59.505248,28.312537,1.363176,-0.041662,5.777759
0.050000,75.408068,130.836653,60.924275,28.380546,1.360180,-0.059926,5.771282
0.050000,76.645967,130.136024,62.346693,28.448366,1.356394,-0.075710,5.765075
0.050000,77.882520,129.426211,63.772491,28.515963,1.351938,-0.089133,5.759139
0.050000,79.117846,128.707542,65.201657,28.583309,1.346922,-0.100314,5.753473
0.050000,80.352066,127.980348,66.634176,28.650382,1.341453,-0.109379,5.748074
0.050000,81.585308,127.244957,68.070033,28.717148,1.335318,-0.122710,5.742943
0.050000,82.817706,126.501694,69.509214,28.783622,1.329486,-0.116637,5.738078
0.050000,84.049396,125.750885,70.951704,28.849788,1.323331,-0.123091,5.733477
0.050000,85.280523,124.992853,72.397486,28.915638,1.316985,-0.126916,5.729139
0.050000,86.511233,124.227920,73.846544,28.981169,1.310620,-0.127307,5.725064
0.050000,87.741679,123.456405,75.298863,29.046384,1.304304,-0.126315,5.721250
0.050000,88.972016,122.678629,76.754428,29.111289,1.298102,-0.124055,5.717695
0.050000,90.202407,121.894907,78.213222,29.175893,1.292070,-0.120632,5.714399
0.050000,91.433016,121.105556,79.675233,29.240206,1.286262,-0.116151,5.711360
0.050000,92.664012,120.310889,81.140445,29.304242,1.280727,-0.110710,5.708577
0.050000,93.895568,119.511219,82.608846,29.368017,1.275507,-0.104403,5.706049
0.050000,95.127861,118.706859,84.080423,29.431549,1.270641,-0.097319,5.703775
0.050000,96.361071,117.898120,85.555166,29.494858,1.266164,-0.089544,5.701754
0.050000,97.595382,117.085310,87.033064,29.557963,1.262106,-0.081158,5.699986
0.050000,98.830981,116.268740,88.514109,29.620888,1.258494,-0.072240,5.698470
0.050000,100.068059,115.448718,89.998291,29.683655,1.255351,-0.062862,5.697204
0.050000,101.306810,114.625553,91.485606,29.746290,1.252696,-0.053095,5.696189
0.050000,102.547430,113.799553,92.976047,29.808817,1.250545,-0.043009,5.695425
0.050000,103.790120,112.971028,94.469610,29.871263,1.248912,-0.032669,5.694910
0.050000,105.035081,112.140287,95.966292,29.933653,1.247805,-0.022139,5.694644
0.050000,106.282519,111.307640,97.466093,29.996015,1.247231,-0.011482,5.694628
0.050000,107.532640,110.473397,98.969012,30.058374,1.247193,-0.000761,5.694862
0.050000,108.785656,109.637872,100.475050,30.120759,1.247691,0.009963,5.695345
0.050000,110.041778,108.801379,101.984210,30.183195,1.248722,0.020629,5.696078
0.050000,111.301220,107.964233,103.496495,30.245709,1.250281,0.031174,5.697060
0.050000,112.564198,107.126753,105.011911,30.308327,1.252358,0.041535,5.698294
0.050000,113.830930,106.289260,106.530465,30.371074,1.254940,0.051649,5.699778
0.050000,115.101635,105.452077,108.052164,30.433974,1.258013,0.061449,5.701514
0.050000,116.376534,104.615531,109.577016,30.497052,1.261556,0.070867,5.703502
0.050000,117.655848,103.779953,111.105033,30.560330,1.265548,0.079833,5.705744
0.050000,118.939799,102.945677,112.636224,30.623828,1.269961,0.088272,5.708239
