dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,80.616042,174.499997,0.003571,0.142857,2.857143,57.142857,0.000717
0.050000,80.617658,174.499998,0.005188,0.032329,-2.210563,-101.354115,0.000587
0.050000,80.621294,174.499999,0.008823,0.072704,0.807508,60.361424,0.000297
0.050000,80.652099,174.499997,0.039628,0.616104,10.867992,201.209674,6.282965
0.050000,80.751458,174.499935,0.138987,1.987184,27.421593,331.072011,6.282159
0.050000,80.894502,174.499706,0.282032,2.860889,17.474104,-198.949766,6.281002
0.050000,81.089141,174.499127,0.476672,3.892792,20.638065,63.279223,6.279430
0.050000,81.343256,174.497913,0.730790,5.082362,23.791388,63.066457,6.277387
0.050000,81.664693,174.495636,1.052235,6.428900,26.930771,62.787654,6.274814
0.050000,82.061251,174.491690,1.448812,7.931550,30.052998,62.444552,6.271659
0.050000,82.540667,174.485255,1.928271,9.589180,33.152608,61.992200,6.267874
0.050000,83.110600,174.475254,2.498292,11.400421,36.224803,61.443894,6.263415
0.050000,83.778611,174.460315,3.166470,13.363561,39.262808,60.760101,6.258246
0.050000,84.552134,174.438729,3.940295,15.476488,42.258535,59.914535,6.252340
0.050000,85.434521,174.408565,4.823197,17.658046,43.631164,27.452574,6.245708
0.050000,86.421122,174.367964,5.810633,19.748712,41.813325,-36.356774,6.238427
0.050000,87.503289,174.315239,6.894083,21.669014,38.406036,-68.145781,6.230608
0.050000,88.672345,174.248861,8.065023,23.418792,34.995568,-68.209352,6.222361
0.050000,89.919607,174.167515,9.314934,24.998229,31.588740,-68.136566,6.213797
0.050000,91.236405,174.070159,10.635326,26.407841,28.192222,-67.930359,6.205022
0.050000,92.614113,173.956060,12.017751,27.648491,24.813000,-67.584442,6.196142
0.050000,94.044169,173.824821,13.453816,28.721304,21.456262,-67.134752,6.187256
0.050000,95.518103,173.676400,14.935204,29.627759,18.129098,-66.543279,6.178459
0.050000,97.027558,173.511107,16.453682,30.369566,14.836151,-65.858948,6.169838
0.050000,98.564309,173.329600,18.001116,30.948670,11.582071,-65.081601,6.161471
0.050000,100.120282,173.132864,19.569476,31.367211,8.370818,-64.225056,6.153431
0.050000,101.687559,172.922190,21.150850,31.627470,5.205183,-63.312704,6.145778
0.050000,103.258394,172.699137,22.737442,31.731838,2.087369,-62.356275,6.138564
0.050000,104.825208,172.465498,24.321580,31.682771,-0.981349,-61.374367,6.131833
0.050000,106.384298,172.222672,25.899467,31.557732,-2.500777,-30.388566,6.125602
0.050000,107.935736,171.971523,27.471101,31.432688,-2.500882,-0.002096,6.119871
0.050000,109.479611,171.712908,29.036486,31.307706,-2.499633,0.024987,6.114640
0.050000,111.016026,171.447667,30.595629,31.182843,-2.497255,0.047565,6.109908
0.050000,112.545097,171.176631,32.148535,31.058132,-2.494223,0.060634,6.105676
0.050000,114.066949,170.900616,33.695215,30.933592,-2.490801,0.068428,6.101941
0.050000,115.581716,170.620430,35.235677,30.809234,-2.487163,0.072760,6.098704
0.050000,117.089536,170.336865,36.769929,30.685058,-2.483520,0.072867,6.095964
0.050000,118.590555,170.050704,38.297982,30.561050,-2.480159,0.067219,6.093720
0.050000,120.084918,169.762719,39.819841,30.437190,-2.477209,0.059007,6.091971
0.050000,121.572773,169.473670,41.335514,30.313452,-2.474755,0.049067,6.090717
0.050000,123.054269,169.184308,42.845004,30.189807,-2.472905,0.037009,6.089958
0.050000,124.529553,168.895376,44.348315,30.066217,-2.471782,0.022457,6.089693
0.050000,125.998768,168.607605,45.845448,29.942648,-2.471396,0.007717,6.089923
0.050000,127.462055,168.321718,47.336401,29.819060,-2.471746,-0.006996,6.090646
0.050000,128.919551,168.038432,48.821172,29.695417,-2.472861,-0.022289,6.091865
0.050000,130.371385,167.758454,50.299756,29.571684,-2.474675,-0.036292,6.093578
0.050000,131.817683,167.482483,51.772147,29.447828,-2.477113,-0.048748,6.095787
0.050000,133.258561,167.211214,53.238338,29.323826,-2.480029,-0.058330,6.098491
0.050000,134.694129,166.945330,54.698321,29.199654,-2.483452,-0.068458,6.101693
0.050000,136.124488,166.685512,56.152086,29.075300,-2.487073,-0.072421,6.105391
0.050000,137.549731,166.432431,57.599624,28.950763,-2.490737,-0.073279,6.109588
0.050000,138.969941,166.186752,59.040927,28.826054,-2.494183,-0.068919,6.114284
0.050000,140.385191,165.949133,60.475986,28.701187,-2.497355,-0.063432,6.119479
0.050000,141.795545,165.720225,61.904796,28.576199,-2.499756,-0.048036,6.125174
0.050000,143.200594,165.500741,63.326885,28.441779,-2.688388,-3.772635,6.131367
0.050000,144.596597,165.291860,64.738429,28.230865,-4.218283,-30.597904,6.138039
0.050000,145.976993,165.095030,66.132787,27.887168,-6.873949,-53.113316,6.145149
0.050000,147.335301,164.911465,67.503443,27.413122,-9.480904,-52.139100,6.152648
0.050000,148.665117,164.742118,68.843998,26.811102,-12.040416,-51.190232,6.160476
0.050000,149.960108,164.587670,70.148167,26.083377,-14.554496,-50.281598,6.168564
0.050000,151.214014,164.448518,71.409771,25.232075,-17.026046,-49.431002,6.176835
0.050000,152.420642,164.324770,72.622728,24.259143,-19.458622,-48.651532,6.185204
0.050000,153.573863,164.216251,73.781043,23.166306,-21.856759,-47.962731,6.193580
0.050000,154.667605,164.122518,74.878794,21.955015,-24.225814,-47.381105,6.201865
0.050000,155.695848,164.042877,75.910117,20.626465,-26.570990,-46.903527,6.209957
0.050000,156.652618,163.976414,76.869193,19.181511,-28.899092,-46.562021,6.217749
0.050000,157.531973,163.922034,77.750227,17.620689,-31.216427,-46.346708,6.225133
0.050000,158.327993,163.878503,78.547437,15.944191,-33.529971,-46.270873,6.232002
0.050000,159.035215,163.844480,79.255477,14.160801,-35.667799,-42.756577,6.238251
0.050000,159.651815,163.818466,79.872625,12.342959,-36.356833,-13.780665,6.243810
0.050000,160.181880,163.798871,80.403052,10.608550,-34.688185,33.372955,6.248672
0.050000,160.632173,163.784266,80.853582,9.010591,-31.959185,54.580003,6.252862
0.050000,161.009371,163.773494,81.230933,7.547032,-29.271177,53.760151,6.256414
0.050000,161.320079,163.765633,81.541741,6.216156,-26.617511,53.073328,6.259369
0.050000,161.570844,163.759961,81.792571,5.016591,-23.991310,52.524020,6.261773
0.050000,161.768164,163.755923,81.989932,3.947220,-21.387423,52.077735,6.263676
0.050000,161.918494,163.753099,82.140288,3.007136,-18.801683,51.714804,6.265133
0.050000,162.028262,163.751176,82.250073,2.195685,-16.229020,51.453263,6.266201
0.050000,162.103869,163.749919,82.325690,1.512354,-13.666602,51.248358,6.266938
0.050000,162.151702,163.749153,82.373530,0.956788,-11.111320,51.105637,6.267405
0.050000,162.178138,163.748740,82.399969,0.528775,-8.560279,51.020829,6.267664
0.050000,162.189544,163.748563,82.411376,0.228145,-6.012588,50.953812,6.267775
0.050000,162.192285,163.748521,82.414117,0.054831,-3.466276,50.926240,6.267802
0.050000,162.192285,163.748521,82.414117,0.000000,-1.096627,47.392979,6.267802
